,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_67,-0.202,0.273,33,72,0.458,0.991,0.981
Person_68,1.428,0.303,54,72,0.75,0.681,0.656
Person_69,0.688,0.278,45,72,0.625,0.737,0.78
Person_70,-1.059,0.292,22,72,0.306,1.031,0.986
Person_71,0.843,0.281,47,72,0.653,0.805,0.845
Person_72,2.556,0.393,64,72,0.889,1.086,0.907
Person_73,-0.276,0.274,32,72,0.444,0.894,0.893
Person_74,2.033,0.341,60,72,0.833,0.829,0.72
Person_75,-3.143,0.477,5,72,0.069,0.891,0.85
Person_76,1.083,0.288,50,72,0.694,0.864,0.859
Person_77,-0.276,0.274,32,72,0.444,0.303,0.305
Person_78,-0.202,0.273,33,72,0.458,0.726,0.715
Person_79,0.019,0.272,36,72,0.5,0.461,0.462
Person_80,-4.522,0.822,1,72,0.014,0.628,0.353
Person_81,0.019,0.272,36,72,0.5,0.744,0.766
Person_82,1.002,0.286,49,72,0.681,0.872,0.865
Person_83,2.891,0.437,66,72,0.917,1.027,0.899
Person_84,-0.894,0.286,24,72,0.333,1.165,1.135
Person_85,-1.059,0.292,22,72,0.306,0.874,0.839
Person_86,-0.578,0.278,28,72,0.389,0.895,0.916
Person_87,1.083,0.288,50,72,0.694,1.049,0.987
Person_88,0.612,0.276,44,72,0.611,0.631,0.67
Person_89,-0.733,0.282,26,72,0.361,1.114,1.088
Person_90,1.002,0.286,49,72,0.681,1.198,1.098
Person_91,0.313,0.273,40,72,0.556,1.492,1.485
Person_92,1.814,0.325,58,72,0.806,0.713,0.721
Person_93,-0.894,0.286,24,72,0.333,0.799,0.747
Person_94,-0.426,0.276,30,72,0.417,0.84,0.817
Person_95,-0.501,0.277,29,72,0.403,0.713,0.69
Person_96,-2.296,0.37,10,72,0.139,0.796,0.735
Person_97,0.843,0.281,47,72,0.653,1.098,1.041
Person_98,0.536,0.275,43,72,0.597,0.683,0.685
Person_99,0.239,0.272,39,72,0.542,0.857,0.857
Person_100,-0.276,0.274,32,72,0.444,1.013,1.037
Person_101,-1.815,0.331,14,72,0.194,1.147,1.055
Person_102,-0.813,0.284,25,72,0.347,0.867,0.882
Person_103,-0.813,0.284,25,72,0.347,0.765,0.785
Person_104,-0.655,0.28,27,72,0.375,0.821,0.853
Person_105,-0.128,0.273,34,72,0.472,0.762,0.787
Person_106,0.765,0.279,46,72,0.639,1.194,1.134
Person_107,2.891,0.437,66,72,0.917,0.705,0.773
Person_108,-0.202,0.273,33,72,0.458,1.103,1.149
Person_109,0.536,0.275,43,72,0.597,1.0,0.988
Person_110,0.092,0.272,37,72,0.514,1.024,1.058
Person_111,-2.935,0.445,6,72,0.083,0.81,0.884
Person_112,0.461,0.274,42,72,0.583,0.919,0.902
Person_113,0.239,0.272,39,72,0.542,0.852,0.833
Person_114,3.959,0.66,70,72,0.972,0.895,1.29
Person_115,-0.276,0.274,32,72,0.444,0.78,0.766
Person_116,0.612,0.276,44,72,0.611,0.4,0.414
Person_117,0.019,0.272,36,72,0.5,0.75,0.748
Person_118,-1.145,0.295,21,72,0.292,1.028,0.968
Person_119,1.428,0.303,54,72,0.75,0.711,0.652
Person_120,0.765,0.279,46,72,0.639,0.985,1.062
Person_121,0.922,0.283,48,72,0.667,1.042,1.176
Person_122,-1.926,0.339,13,72,0.181,1.398,1.34
Person_123,2.033,0.341,60,72,0.833,1.038,0.963
Person_124,-1.926,0.339,13,72,0.181,1.341,1.152
Person_125,0.843,0.281,47,72,0.653,1.173,1.102
Person_126,3.323,0.511,68,72,0.944,0.794,1.29
Person_127,-1.322,0.303,19,72,0.264,1.072,1.034
Person_128,-1.607,0.318,16,72,0.222,1.427,1.38
Person_129,0.536,0.275,43,72,0.597,1.345,1.305
Person_130,-1.232,0.299,20,72,0.278,0.828,0.78
Person_131,-2.587,0.401,8,72,0.111,0.853,0.726
Person_132,0.019,0.272,36,72,0.5,0.556,0.55
Person_133,-1.509,0.312,17,72,0.236,1.083,1.038
Person_134,0.461,0.274,42,72,0.583,0.88,0.862
Person_135,-1.145,0.295,21,72,0.292,0.892,0.9
Person_136,2.714,0.413,65,72,0.903,1.62,1.133
Person_137,-0.426,0.276,30,72,0.417,1.154,1.115
Person_138,-0.813,0.284,25,72,0.347,1.102,1.125
Person_139,1.251,0.295,52,72,0.722,0.785,0.748
Person_140,-1.926,0.339,13,72,0.181,1.036,0.956
Person_141,0.387,0.273,41,72,0.569,1.08,1.069
Person_142,1.814,0.325,58,72,0.806,1.113,1.187
Person_143,-1.607,0.318,16,72,0.222,0.606,0.62
Person_144,0.688,0.278,45,72,0.625,0.713,0.717
Person_145,0.765,0.279,46,72,0.639,1.272,1.232
Person_146,1.083,0.288,50,72,0.694,0.588,0.578
Person_147,-1.926,0.339,13,72,0.181,0.964,1.018
Person_148,-1.509,0.312,17,72,0.236,0.772,0.877
Person_149,0.843,0.281,47,72,0.653,1.167,1.111
Person_150,0.313,0.273,40,72,0.556,0.712,0.72
Person_151,0.387,0.273,41,72,0.569,0.714,0.706
Person_152,0.461,0.274,42,72,0.583,0.646,0.65
Person_153,-0.578,0.278,28,72,0.389,0.65,0.653
Person_154,0.536,0.275,43,72,0.597,0.711,0.704
Person_155,0.843,0.281,47,72,0.653,1.011,0.965
Person_156,-0.894,0.286,24,72,0.333,0.659,0.639
Person_157,2.556,0.393,64,72,0.889,0.559,0.479
Person_158,1.338,0.298,53,72,0.736,0.83,0.834
Person_159,-1.709,0.324,15,72,0.208,1.366,1.364
Person_160,1.251,0.295,52,72,0.722,1.147,1.104
Person_161,-1.414,0.307,18,72,0.25,1.087,1.117
Person_162,1.519,0.307,55,72,0.764,1.019,0.919
Person_163,1.428,0.303,54,72,0.75,1.316,1.157
Person_164,-1.145,0.295,21,72,0.292,0.718,0.68
Person_165,1.519,0.307,55,72,0.764,0.694,0.732
Person_166,0.765,0.279,46,72,0.639,0.805,0.882
Person_167,1.712,0.318,57,72,0.792,0.967,1.087
Person_168,2.556,0.393,64,72,0.889,0.537,0.492
Person_169,-0.054,0.272,35,72,0.486,0.974,0.969
Person_170,-0.813,0.284,25,72,0.347,0.955,0.923
Person_171,-1.232,0.299,20,72,0.278,1.068,1.21
Person_172,-1.607,0.318,16,72,0.222,0.929,0.918
Person_173,-0.276,0.274,32,72,0.444,1.118,1.112
Person_174,0.688,0.278,45,72,0.625,0.983,0.992
Person_175,0.536,0.275,43,72,0.597,1.08,1.107
Person_176,0.922,0.283,48,72,0.667,1.196,1.217
Person_177,0.019,0.272,36,72,0.5,0.924,0.912
Person_178,1.814,0.325,58,72,0.806,0.758,0.645
Person_179,-0.202,0.273,33,72,0.458,0.953,0.947
Person_180,3.959,0.66,70,72,0.972,0.851,0.792
Person_181,1.002,0.286,49,72,0.681,0.557,0.58
Person_182,-1.145,0.295,21,72,0.292,0.774,0.782
Person_183,-1.607,0.318,16,72,0.222,0.479,0.513
Person_184,0.461,0.274,42,72,0.583,0.967,0.966
Person_185,-0.351,0.275,31,72,0.431,0.717,0.706
Person_186,1.002,0.286,49,72,0.681,1.163,1.094
Person_187,1.166,0.291,51,72,0.708,0.698,0.679
Person_188,-0.054,0.272,35,72,0.486,1.255,1.261
Person_189,-0.976,0.289,23,72,0.319,1.093,1.028
Person_190,-1.322,0.303,19,72,0.264,0.863,0.951
Person_191,-0.894,0.286,24,72,0.333,1.05,1.007
Person_192,0.843,0.281,47,72,0.653,1.206,1.156
Person_193,0.536,0.275,43,72,0.597,0.725,0.732
Person_194,-2.436,0.384,9,72,0.125,0.874,1.186
Person_195,0.387,0.273,41,72,0.569,1.143,1.242
Person_196,0.612,0.276,44,72,0.611,0.789,0.796
Person_197,-0.976,0.289,23,72,0.319,1.009,1.078
Person_198,-0.054,0.272,35,72,0.486,0.749,0.736
Person_199,0.239,0.272,39,72,0.542,0.984,0.991
Person_200,-1.709,0.324,15,72,0.208,0.801,0.765
