,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_96,1.707,0.124,0.125,394,480,0.821,1.024,1.02,0.194,0.164
Person_97,0.805,0.1,0.094,319,480,0.665,0.882,0.895,-0.795,-0.638
Person_98,1.336,0.112,0.125,367,480,0.765,1.255,1.182,1.496,1.019
Person_99,1.834,0.128,0.123,402,480,0.838,0.918,0.88,-0.413,-0.543
Person_100,-0.9,0.109,0.101,141,480,0.294,0.849,0.871,-0.952,-0.767
Person_101,2.735,0.177,0.163,443,480,0.923,0.839,0.645,-0.654,-1.171
Person_102,-0.006,0.095,0.092,230,480,0.479,0.943,0.983,-0.381,-0.065
Person_103,1.055,0.105,0.114,343,480,0.715,1.176,1.207,1.129,1.221
Person_104,-3.027,0.2,0.199,36,480,0.075,0.986,1.104,-0.005,0.519
Person_105,1.336,0.112,0.104,367,480,0.765,0.864,0.874,-0.82,-0.675
Person_106,1.179,0.108,0.114,354,480,0.738,1.111,1.196,0.727,1.131
Person_107,-1.087,0.114,0.115,126,480,0.262,1.007,0.977,0.098,-0.082
Person_108,0.948,0.102,0.099,333,480,0.694,0.931,0.937,-0.421,-0.342
Person_109,0.603,0.097,0.097,298,480,0.621,1.009,1.066,0.11,0.473
Person_110,1.505,0.117,0.115,380,480,0.792,0.973,1.067,-0.106,0.413
Person_111,0.875,0.101,0.103,326,480,0.679,1.038,1.069,0.3,0.477
Person_112,-0.877,0.109,0.11,143,480,0.298,1.022,0.987,0.19,-0.026
Person_113,-0.169,0.096,0.094,212,480,0.442,0.954,0.972,-0.289,-0.138
Person_114,-3.027,0.2,0.186,36,480,0.075,0.864,0.963,-0.663,-0.089
Person_115,-0.105,0.096,0.1,219,480,0.456,1.088,1.066,0.664,0.487
Person_116,-0.853,0.108,0.105,145,480,0.302,0.95,1.01,-0.27,0.116
Person_117,1.478,0.116,0.106,378,480,0.788,0.829,0.811,-1.031,-1.024
Person_118,1.953,0.133,0.125,409,480,0.852,0.876,0.894,-0.645,-0.444
Person_119,0.825,0.1,0.1,321,480,0.669,1.004,1.014,0.074,0.139
Person_120,-2.802,0.188,0.184,42,480,0.088,0.957,0.988,-0.155,0.012
Person_121,0.641,0.097,0.096,302,480,0.629,0.975,0.891,-0.134,-0.69
Person_122,-1.935,0.145,0.166,74,480,0.154,1.3,1.222,1.513,1.199
Person_123,0.631,0.097,0.092,301,480,0.627,0.904,0.901,-0.667,-0.621
Person_124,0.216,0.094,0.098,255,480,0.531,1.076,1.092,0.594,0.657
Person_125,-1.476,0.127,0.117,99,480,0.206,0.845,0.947,-0.875,-0.25
Person_126,-2.161,0.156,0.164,64,480,0.133,1.115,0.947,0.638,-0.174
Person_127,1.099,0.106,0.111,347,480,0.723,1.092,0.914,0.623,-0.47
Person_128,2.978,0.196,0.193,450,480,0.938,0.968,0.893,-0.045,-0.264
Person_129,-0.426,0.099,0.096,185,480,0.385,0.922,0.927,-0.501,-0.44
Person_130,0.234,0.094,0.09,257,480,0.535,0.922,0.988,-0.549,-0.03
Person_131,-1.1,0.115,0.12,125,480,0.26,1.102,1.171,0.657,1.014
Person_132,-0.387,0.099,0.093,189,480,0.394,0.883,0.818,-0.794,-1.227
Person_133,-2.802,0.188,0.193,42,480,0.088,1.054,0.959,0.337,-0.087
Person_134,0.012,0.095,0.097,232,480,0.483,1.048,1.02,0.393,0.187
Person_135,0.145,0.094,0.099,247,480,0.515,1.096,1.06,0.738,0.449
Person_136,-0.589,0.102,0.103,169,480,0.352,1.017,0.978,0.16,-0.089
Person_137,0.092,0.094,0.093,241,480,0.502,0.973,1.043,-0.154,0.34
Person_138,-0.819,0.107,0.115,148,480,0.308,1.159,1.156,1.022,0.966
Person_139,1.936,0.132,0.159,408,480,0.85,1.443,1.251,2.201,1.169
Person_140,-0.234,0.097,0.098,205,480,0.427,1.026,1.037,0.229,0.293
Person_141,0.34,0.094,0.102,269,480,0.56,1.167,1.107,1.225,0.747
Person_142,1.361,0.113,0.13,369,480,0.769,1.338,1.392,1.918,2.001
Person_143,0.278,0.094,0.083,262,480,0.546,0.782,0.746,-1.713,-1.848
Person_144,0.502,0.096,0.094,287,480,0.598,0.964,0.932,-0.222,-0.41
Person_145,-2.767,0.186,0.194,43,480,0.09,1.087,1.11,0.495,0.577
Person_146,-0.706,0.105,0.107,158,480,0.329,1.042,1.154,0.324,0.973
Person_147,3.561,0.251,0.27,462,480,0.962,1.162,0.881,0.615,0.107
Person_148,0.448,0.095,0.091,281,480,0.585,0.921,0.901,-0.552,-0.634
Person_149,1.361,0.113,0.115,369,480,0.769,1.033,1.029,0.256,0.219
Person_150,0.53,0.096,0.103,290,480,0.604,1.161,1.124,1.161,0.841
Person_151,2.903,0.19,0.163,448,480,0.933,0.731,0.849,-1.129,-0.356
Person_152,-1.074,0.114,0.113,127,480,0.265,0.983,1.163,-0.051,0.974
Person_153,-1.367,0.123,0.127,106,480,0.221,1.062,1.029,0.408,0.221
Person_154,0.855,0.101,0.102,324,480,0.675,1.022,1.019,0.196,0.169
Person_155,1.066,0.105,0.113,344,480,0.717,1.15,1.026,0.972,0.209
Person_156,0.278,0.094,0.091,262,480,0.546,0.923,0.851,-0.543,-1.016
Person_157,0.349,0.095,0.108,270,480,0.562,1.299,1.301,2.078,1.908
Person_158,-1.01,0.112,0.112,132,480,0.275,1.005,0.906,0.085,-0.525
Person_159,1.274,0.11,0.12,362,480,0.754,1.185,1.166,1.132,0.952
Person_160,-0.114,0.096,0.098,218,480,0.454,1.046,1.046,0.374,0.356
Person_161,0.679,0.098,0.083,306,480,0.638,0.724,0.69,-2.127,-2.209
Person_162,-0.784,0.106,0.114,151,480,0.315,1.144,1.194,0.935,1.181
Person_163,2.8,0.182,0.191,445,480,0.927,1.104,0.995,0.502,0.092
Person_164,-0.9,0.109,0.105,141,480,0.294,0.918,0.919,-0.481,-0.453
Person_165,0.11,0.094,0.09,243,480,0.506,0.92,0.887,-0.567,-0.75
Person_166,-1.914,0.144,0.136,75,480,0.156,0.892,0.798,-0.531,-1.135
Person_167,-1.774,0.138,0.125,82,480,0.171,0.821,0.917,-0.974,-0.415
Person_168,-0.31,0.098,0.083,197,480,0.41,0.713,0.797,-2.185,-1.399
Person_169,-1.558,0.13,0.13,94,480,0.196,1.004,0.971,0.081,-0.105
Person_170,0.003,0.095,0.105,231,480,0.481,1.22,1.32,1.55,2.029
Person_171,-1.525,0.129,0.143,96,480,0.2,1.238,1.162,1.31,0.929
Person_172,0.066,0.094,0.09,238,480,0.496,0.909,0.856,-0.65,-0.988
Person_173,-0.142,0.096,0.096,215,480,0.448,0.997,0.955,0.027,-0.259
Person_174,1.818,0.128,0.143,401,480,0.835,1.247,1.127,1.351,0.666
Person_175,-0.9,0.109,0.128,141,480,0.294,1.368,1.402,2.136,2.227
Person_176,-1.717,0.136,0.14,85,480,0.177,1.052,1.038,0.338,0.267
Person_177,-1.413,0.125,0.128,103,480,0.215,1.059,1.033,0.391,0.244
Person_178,-3.701,0.243,0.219,22,480,0.046,0.813,0.714,-0.888,-0.659
Person_179,-3.532,0.231,0.211,25,480,0.052,0.835,0.68,-0.793,-0.844
Person_180,1.214,0.109,0.106,357,480,0.744,0.953,0.914,-0.244,-0.454
Person_181,2.903,0.19,0.202,448,480,0.933,1.13,0.864,0.588,-0.384
Person_182,-0.924,0.11,0.105,139,480,0.29,0.913,0.923,-0.507,-0.424
Person_183,-0.024,0.095,0.097,228,480,0.475,1.049,1.061,0.395,0.459
Person_184,-0.924,0.11,0.093,139,480,0.29,0.724,0.689,-1.869,-2.065
Person_185,1.262,0.11,0.113,361,480,0.752,1.06,0.964,0.415,-0.146
Person_186,-0.456,0.1,0.102,182,480,0.379,1.039,1.039,0.309,0.304
Person_187,-0.329,0.098,0.095,195,480,0.406,0.93,0.915,-0.449,-0.531
Person_188,-0.547,0.102,0.097,173,480,0.36,0.914,0.87,-0.547,-0.821
Person_189,-2.911,0.193,0.192,39,480,0.081,0.986,0.899,-0.004,-0.33
Person_190,1.077,0.105,0.106,345,480,0.719,1.011,0.944,0.123,-0.281
Person_191,-2.313,0.163,0.154,58,480,0.121,0.893,0.889,-0.503,-0.539
Person_192,3.283,0.223,0.248,457,480,0.952,1.236,1.086,0.887,0.343
Person_193,1.971,0.134,0.123,410,480,0.854,0.838,0.818,-0.876,-0.84
Person_194,0.314,0.094,0.098,266,480,0.554,1.07,1.073,0.554,0.531
Person_195,-5.195,0.416,0.418,6,480,0.012,1.012,1.47,0.154,0.746
Person_196,0.057,0.094,0.103,237,480,0.494,1.18,1.114,1.302,0.796
Person_197,1.022,0.104,0.103,340,480,0.708,0.974,0.987,-0.12,-0.022
Person_198,0.548,0.096,0.097,292,480,0.608,1.022,0.991,0.205,-0.009
Person_199,-0.853,0.108,0.107,145,480,0.302,0.984,0.978,-0.047,-0.081
Person_200,2.868,0.187,0.147,447,480,0.931,0.613,0.669,-1.781,-1.193
