,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15
Rater_1,Person_27,2,2,1,3,1,1,2,1,1,1,2,2,2,1,1
Rater_1,Person_28,2,3,1,2,0,1,2,1,1,1,1,2,3,2,1
Rater_1,Person_29,3,3,4,3,2,1,2,2,1,2,2,2,2,2,1
Rater_1,Person_30,3,3,4,3,3,3,4,4,2,4,3,4,4,2,2
Rater_1,Person_31,3,2,1,3,2,1,2,2,2,3,3,3,2,2,2
Rater_1,Person_32,3,3,2,4,0,3,4,2,3,4,4,3,3,3,2
Rater_1,Person_33,3,3,3,4,2,2,3,4,2,4,3,3,3,2,2
Rater_1,Person_34,4,3,3,3,3,1,2,4,2,4,3,2,2,2,2
Rater_1,Person_35,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1
Rater_1,Person_36,2,0,1,2,2,2,2,2,1,2,3,2,1,1,1
Rater_1,Person_37,3,3,2,3,3,2,3,3,3,2,2,3,3,2,2
Rater_1,Person_38,3,2,3,2,2,1,3,2,2,2,2,2,3,1,2
Rater_1,Person_39,2,2,1,3,2,1,5,2,3,2,2,2,2,2,2
Rater_1,Person_40,4,4,3,4,3,3,4,3,4,3,2,3,3,3,3
Rater_1,Person_41,2,3,3,2,1,0,1,2,1,2,2,2,2,1,2
Rater_1,Person_42,3,4,2,3,2,2,3,4,3,4,3,4,4,3,4
Rater_1,Person_43,2,2,2,1,2,2,2,2,0,2,2,1,2,1,2
Rater_1,Person_44,5,4,5,5,4,4,5,5,5,5,4,4,5,4,5
Rater_1,Person_45,2,2,2,1,2,0,3,2,2,2,1,2,3,2,2
Rater_1,Person_46,2,2,2,3,1,1,2,3,2,3,2,2,2,2,1
Rater_1,Person_47,3,4,2,4,3,3,4,3,3,3,2,2,4,2,3
Rater_1,Person_48,2,2,2,3,2,1,2,2,2,2,1,1,1,2,2
Rater_1,Person_49,3,4,4,3,3,2,4,3,2,3,3,4,3,2,3
Rater_1,Person_50,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1
Rater_1,Person_51,3,3,2,4,3,2,3,2,2,2,2,3,2,3,2
Rater_1,Person_52,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2
Rater_1,Person_53,3,4,2,3,3,1,3,2,3,3,2,2,2,2,2
Rater_1,Person_54,3,1,0,2,1,1,2,1,1,2,1,0,1,2,2
Rater_1,Person_55,3,2,2,1,1,1,2,3,2,2,2,3,3,2,1
Rater_1,Person_56,4,3,4,4,3,4,3,4,3,4,4,4,3,4,4
Rater_1,Person_57,2,1,3,2,1,1,2,0,2,2,0,2,2,1,1
Rater_1,Person_58,3,3,2,3,3,2,2,3,2,2,2,2,3,3,4
Rater_1,Person_59,3,4,2,3,3,4,2,2,1,3,2,3,4,3,2
Rater_1,Person_60,2,2,2,1,2,2,2,2,3,1,1,2,2,3,1
Rater_1,Person_61,3,3,2,3,2,1,3,2,2,3,1,2,1,1,2
Rater_1,Person_62,2,3,2,2,2,1,1,2,2,2,2,2,3,1,4
Rater_1,Person_63,2,2,2,1,2,2,2,2,1,2,0,2,3,2,1
Rater_1,Person_64,3,2,1,4,2,2,3,2,2,2,2,2,3,2,3
Rater_1,Person_65,2,1,1,2,2,1,3,3,3,2,1,2,2,2,2
Rater_1,Person_66,3,2,1,3,2,3,3,3,2,3,2,3,3,3,1
Rater_1,Person_67,2,3,2,3,2,3,3,3,2,2,2,3,2,2,2
Rater_1,Person_68,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2
Rater_1,Person_69,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2
Rater_1,Person_70,2,3,1,4,2,3,2,2,1,3,2,2,3,2,2
Rater_1,Person_71,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
Rater_1,Person_72,4,3,3,4,4,2,3,4,2,4,3,3,2,3,2
Rater_1,Person_73,1,2,1,2,3,2,2,2,2,1,1,2,2,2,1
Rater_1,Person_74,4,2,3,4,3,4,3,4,4,3,3,4,4,3,4
Rater_1,Person_75,1,1,0,2,0,0,2,1,2,1,1,1,2,2,0
Rater_1,Person_76,3,2,3,2,2,2,3,2,1,1,2,2,2,2,2
Rater_1,Person_77,2,1,1,2,0,1,1,1,1,2,2,2,2,1,2
Rater_1,Person_78,3,3,2,3,2,3,4,2,2,3,2,3,3,2,3
Rater_1,Person_79,3,2,2,2,2,2,2,3,3,2,2,3,3,2,3
Rater_1,Person_80,2,2,2,2,2,0,2,1,0,3,1,1,2,1,1
Rater_1,Person_81,4,1,2,3,3,3,2,3,2,3,3,4,4,3,3
Rater_1,Person_82,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2
Rater_1,Person_83,2,2,3,2,1,1,2,3,2,1,1,3,2,2,2
Rater_1,Person_84,2,2,2,2,3,2,2,4,2,2,3,3,2,2,1
Rater_1,Person_85,2,2,1,3,2,1,2,3,1,3,2,2,1,2,1
Rater_1,Person_86,2,2,2,3,3,2,2,1,1,2,1,2,2,0,2
Rater_1,Person_87,3,3,3,3,4,2,2,2,1,2,3,3,2,2,2
Rater_1,Person_88,3,4,2,3,4,2,3,3,2,3,4,2,2,4,2
Rater_1,Person_89,3,4,3,3,2,2,4,3,4,4,3,2,4,2,4
Rater_1,Person_90,2,2,2,2,2,2,3,3,2,2,2,3,4,2,1
Rater_1,Person_91,3,3,3,4,3,2,4,2,2,4,3,2,4,2,2
Rater_1,Person_92,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
Rater_1,Person_93,2,3,2,2,1,1,2,2,2,2,1,2,2,2,2
Rater_1,Person_94,3,3,1,2,3,3,3,3,2,3,4,3,4,2,3
Rater_1,Person_95,2,1,2,2,2,2,2,2,1,2,2,2,3,2,2
Rater_1,Person_96,2,2,2,3,2,2,1,2,1,2,1,2,2,2,2
Rater_1,Person_97,2,2,1,0,1,1,0,1,1,0,1,2,1,1,1
Rater_1,Person_98,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1
Rater_1,Person_99,2,4,2,3,2,2,2,2,2,2,2,3,3,2,2
Rater_1,Person_100,1,2,1,4,3,2,4,2,2,2,2,3,4,2,2
Rater_1,Person_101,4,3,2,4,2,2,2,2,3,3,2,4,3,2,2
Rater_1,Person_102,2,2,3,4,2,2,3,2,1,2,4,2,3,2,2
Rater_1,Person_103,3,2,2,3,3,2,2,3,2,2,2,2,2,3,2
Rater_1,Person_104,2,1,0,2,1,0,2,2,1,2,1,1,3,1,1
Rater_1,Person_105,1,1,1,1,1,0,2,0,1,1,0,2,2,1,0
Rater_1,Person_106,2,3,1,3,2,2,3,2,1,2,2,2,2,2,1
Rater_1,Person_107,4,4,3,4,2,2,4,3,2,2,3,4,3,2,2
Rater_1,Person_108,4,3,2,4,1,3,3,4,2,2,2,2,2,3,2
Rater_1,Person_109,3,2,4,3,3,2,3,3,1,3,2,2,3,2,3
Rater_1,Person_110,4,4,4,5,4,3,4,4,3,4,3,4,3,3,3
Rater_1,Person_111,2,2,2,3,3,2,2,2,2,3,2,1,3,1,2
Rater_1,Person_112,3,3,2,2,2,2,2,2,1,1,2,2,3,2,1
Rater_1,Person_113,3,4,2,4,2,3,2,2,1,3,2,3,2,2,1
Rater_1,Person_114,2,1,2,2,2,1,1,2,2,1,1,2,3,3,1
Rater_1,Person_115,3,4,4,3,3,4,2,3,2,4,2,2,4,4,3
Rater_1,Person_116,3,2,1,2,3,2,3,4,2,1,2,3,4,3,3
Rater_1,Person_117,4,4,2,3,3,2,4,2,2,3,4,3,3,2,5
Rater_1,Person_118,2,2,2,2,1,1,2,2,1,3,1,2,3,0,1
Rater_1,Person_119,2,4,2,4,3,2,3,3,3,3,2,3,3,1,2
Rater_1,Person_120,2,2,2,2,2,1,2,2,2,2,2,2,3,1,2
Rater_1,Person_121,3,1,2,2,1,1,2,3,2,4,3,2,3,3,3
Rater_1,Person_122,3,4,4,3,4,2,3,4,2,5,3,4,4,3,3
Rater_1,Person_123,2,4,2,3,2,2,3,2,2,3,2,3,2,2,3
Rater_1,Person_124,3,3,4,3,2,3,4,3,3,3,2,3,3,3,2
Rater_1,Person_125,2,4,3,3,3,1,3,2,2,2,2,3,3,2,1
Rater_1,Person_126,1,4,2,4,2,2,3,3,2,4,3,3,4,2,3
Rater_1,Person_127,3,2,3,3,2,3,4,3,2,3,2,2,3,3,2
Rater_1,Person_128,3,3,2,3,0,2,3,2,0,2,1,3,1,3,2
Rater_1,Person_129,5,4,3,3,4,4,4,5,2,4,3,4,4,4,4
Rater_1,Person_130,2,3,1,3,2,2,1,2,2,2,2,2,2,1,2
Rater_1,Person_131,3,3,4,2,1,2,2,2,1,2,3,3,3,2,2
Rater_1,Person_132,3,4,2,4,2,3,4,2,3,3,3,2,2,2,2
Rater_1,Person_133,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2
Rater_1,Person_134,2,3,3,1,2,1,2,2,2,1,2,2,3,1,2
Rater_1,Person_135,4,5,4,5,3,4,4,4,5,4,4,5,4,3,4
Rater_1,Person_136,3,2,2,1,1,2,3,3,1,1,3,2,1,1,1
Rater_1,Person_137,3,3,2,3,3,3,3,3,4,3,2,2,3,2,1
Rater_1,Person_138,3,2,2,4,1,2,3,2,2,2,2,3,1,2,2
Rater_1,Person_139,3,4,2,3,3,2,3,3,3,2,2,4,3,2,2
Rater_1,Person_140,1,1,0,2,0,0,1,1,2,2,2,0,1,1,1
Rater_1,Person_141,1,2,0,1,1,0,1,0,1,1,1,2,3,1,1
Rater_1,Person_142,1,2,2,4,2,1,2,2,1,2,2,2,3,1,0
Rater_1,Person_143,3,4,3,4,3,3,3,3,3,3,3,2,3,4,3
Rater_1,Person_144,2,3,2,2,2,2,1,2,2,3,1,2,3,0,2
Rater_1,Person_145,3,2,2,3,2,1,2,4,2,2,3,2,3,4,3
Rater_1,Person_146,2,2,0,2,2,2,2,1,2,2,1,1,2,1,1
Rater_1,Person_147,2,2,1,1,1,1,2,1,1,2,1,1,2,2,1
Rater_1,Person_148,2,1,0,2,1,0,2,3,1,2,1,1,3,2,2
Rater_1,Person_149,3,2,2,3,2,1,3,3,2,2,2,2,2,3,2
Rater_1,Person_150,3,3,3,4,4,2,3,2,2,2,1,2,3,2,2
Rater_1,Person_151,3,2,2,3,1,3,2,3,2,3,2,3,3,1,1
Rater_1,Person_152,3,4,3,3,2,4,3,3,3,5,3,2,4,3,4
Rater_1,Person_153,2,3,2,2,3,2,3,2,2,1,2,2,2,2,2
Rater_1,Person_154,1,3,3,3,2,3,4,3,2,3,3,4,3,2,2
Rater_1,Person_155,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1
Rater_1,Person_156,3,3,1,2,1,1,3,2,2,2,3,3,3,2,2
Rater_1,Person_157,2,2,2,2,3,2,1,2,2,3,2,1,3,2,1
Rater_1,Person_158,3,2,2,3,2,2,2,3,2,1,1,3,2,2,2
Rater_1,Person_159,5,4,4,4,3,2,3,3,3,3,3,3,4,2,4
Rater_1,Person_160,5,5,3,4,3,4,3,3,4,5,5,4,4,3,5
Rater_1,Person_161,1,2,0,1,1,1,1,1,2,1,0,1,0,0,0
Rater_1,Person_162,3,2,2,1,2,2,2,2,3,3,2,2,3,1,2
Rater_1,Person_163,3,2,2,1,1,2,2,2,1,1,1,3,3,1,1
Rater_1,Person_164,3,3,2,2,3,2,2,2,1,2,2,3,3,2,3
Rater_1,Person_165,4,3,2,4,4,1,4,3,2,3,3,3,4,3,2
Rater_1,Person_166,2,3,2,2,2,2,3,3,2,4,2,2,3,2,2
Rater_1,Person_167,3,2,2,2,1,1,1,1,3,1,2,2,2,2,2
Rater_1,Person_168,2,3,2,4,2,3,2,3,2,3,2,4,3,2,4
Rater_1,Person_169,4,4,3,5,3,3,5,5,3,4,3,4,4,4,3
Rater_1,Person_170,3,2,2,2,2,1,3,2,3,2,2,3,2,2,2
Rater_1,Person_171,2,2,3,2,2,3,2,4,2,3,2,1,4,4,2
Rater_1,Person_172,4,3,2,3,2,4,2,4,3,3,3,3,3,2,2
Rater_1,Person_173,3,3,2,4,3,2,4,4,3,2,2,2,4,3,3
Rater_1,Person_174,2,2,2,4,2,4,2,2,1,2,3,2,2,2,4
Rater_1,Person_175,2,2,2,3,3,2,2,2,2,2,1,3,1,2,2
Rater_1,Person_176,2,2,1,1,0,1,3,2,1,1,0,1,2,1,1
Rater_1,Person_177,2,2,1,1,2,1,2,1,1,1,0,2,1,1,1
Rater_1,Person_178,2,2,2,2,1,1,2,1,1,0,1,2,1,1,2
Rater_1,Person_179,3,2,2,3,2,3,4,3,3,2,2,2,2,2,1
Rater_1,Person_180,5,5,4,4,4,3,5,4,4,5,4,4,4,4,3
Rater_1,Person_181,2,3,1,2,1,0,1,3,2,2,1,2,2,1,2
Rater_1,Person_182,2,2,2,3,4,1,3,2,2,2,2,4,4,2,3
Rater_1,Person_183,3,3,2,2,1,2,2,1,3,2,2,2,2,1,3
Rater_1,Person_184,4,3,2,4,4,4,4,4,3,2,4,4,4,5,3
Rater_1,Person_185,2,3,2,2,1,1,2,1,2,2,1,3,3,2,1
Rater_1,Person_186,3,3,2,3,3,2,3,3,2,2,2,3,2,2,2
Rater_1,Person_187,2,2,0,1,0,1,1,0,0,1,1,2,1,0,0
Rater_1,Person_188,2,4,3,2,2,2,3,2,3,3,3,3,2,2,3
Rater_1,Person_189,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2
Rater_1,Person_190,2,3,2,3,2,1,2,3,2,2,2,2,2,0,3
Rater_1,Person_191,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1
Rater_1,Person_192,3,3,2,2,2,2,3,2,2,2,2,2,2,1,2
Rater_1,Person_193,2,1,1,2,1,2,2,2,0,1,2,2,2,1,2
Rater_1,Person_194,1,3,0,2,2,1,1,3,1,2,1,1,2,2,3
Rater_1,Person_195,2,2,1,2,2,1,2,3,2,3,0,3,2,4,3
Rater_1,Person_196,1,2,1,2,0,2,2,1,1,1,0,2,1,1,0
Rater_1,Person_197,2,2,1,2,2,2,1,2,2,3,2,2,2,1,2
Rater_1,Person_198,4,3,3,3,2,2,2,3,2,3,1,2,2,3,2
Rater_1,Person_199,2,2,1,2,1,2,3,2,2,2,2,2,3,2,1
Rater_1,Person_200,1,2,1,2,1,3,2,2,2,1,2,3,2,2,2
Rater_2,Person_1,1,3,1,3,2,0,3,3,2,3,2,2,3,2,2
Rater_2,Person_2,3,2,3,4,1,2,3,4,2,2,2,3,2,2,1
Rater_2,Person_3,2,2,2,3,3,4,3,2,2,2,2,3,3,2,3
Rater_2,Person_4,2,4,2,3,2,3,3,3,2,3,2,3,3,3,2
Rater_2,Person_5,4,4,4,5,4,3,4,4,3,4,4,4,5,3,4
Rater_2,Person_6,1,2,2,1,1,1,2,2,1,1,2,2,3,2,1
Rater_2,Person_7,1,1,2,2,2,2,2,1,1,2,2,2,2,0,2
Rater_2,Person_8,2,3,1,2,1,2,1,3,1,3,2,2,3,2,2
Rater_2,Person_9,3,2,4,4,3,3,4,4,3,3,2,4,4,4,2
Rater_2,Person_10,2,3,4,3,3,2,4,4,3,1,3,2,3,2,3
Rater_2,Person_11,1,2,0,1,1,1,1,1,1,1,0,1,1,1,2
Rater_2,Person_12,3,2,2,2,2,1,2,4,2,1,2,2,1,0,2
Rater_2,Person_13,5,2,4,2,2,2,4,2,4,4,3,2,2,2,3
Rater_2,Person_14,3,3,3,3,3,2,3,4,3,4,3,2,2,4,3
Rater_2,Person_15,3,4,3,3,3,2,3,3,3,4,4,4,3,3,2
Rater_2,Person_16,2,0,0,1,0,0,1,2,1,2,0,0,2,1,1
Rater_2,Person_17,3,1,1,2,2,1,2,3,0,2,2,3,1,1,1
Rater_2,Person_18,2,2,2,4,2,1,2,2,2,3,2,2,2,2,2
Rater_2,Person_19,2,3,1,2,4,2,1,2,1,3,3,2,2,1,1
Rater_2,Person_20,4,4,2,3,4,3,3,2,2,4,2,2,2,2,3
Rater_2,Person_21,2,4,2,3,2,1,2,2,2,3,2,3,2,2,2
Rater_2,Person_22,4,4,4,5,3,4,4,4,3,3,4,4,3,3,4
Rater_2,Person_23,4,2,2,2,2,2,2,2,3,1,2,2,3,2,2
Rater_2,Person_24,4,5,3,3,5,2,5,4,3,4,4,3,4,3,3
Rater_2,Person_25,3,2,2,2,3,1,2,2,3,2,2,2,3,2,2
Rater_2,Person_26,2,2,1,2,2,1,2,2,1,2,2,2,3,2,1
Rater_2,Person_27,1,2,1,2,2,2,1,2,2,1,2,2,1,1,0
Rater_2,Person_28,2,3,1,2,3,1,1,1,2,2,2,2,2,3,0
Rater_2,Person_29,2,2,2,2,3,2,3,2,1,2,1,3,3,2,1
Rater_2,Person_30,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3
Rater_2,Person_31,3,2,2,3,3,2,3,2,2,2,2,3,2,1,1
Rater_2,Person_32,2,4,1,3,3,2,3,3,3,4,3,3,3,2,3
Rater_2,Person_33,4,3,4,2,2,2,4,3,4,3,3,4,3,2,2
Rater_2,Person_34,4,3,3,4,2,3,3,2,2,2,3,2,3,3,2
Rater_2,Person_35,3,2,1,2,2,1,4,2,1,1,1,3,2,2,1
Rater_2,Person_36,3,3,0,2,1,2,2,1,1,2,2,1,2,2,1
Rater_2,Person_37,2,3,1,4,3,2,2,2,2,4,1,2,3,2,2
Rater_2,Person_38,3,3,2,2,2,2,4,2,2,1,1,1,1,1,1
Rater_2,Person_39,3,2,1,2,2,2,3,3,2,2,2,3,3,2,1
Rater_2,Person_40,3,3,5,4,4,2,4,4,3,3,2,4,4,3,3
Rater_2,Person_41,2,3,1,1,2,1,2,1,2,1,0,1,1,2,2
Rater_2,Person_42,4,4,3,4,3,2,2,4,3,3,2,4,4,3,3
Rater_2,Person_43,2,2,1,2,1,2,3,2,1,1,2,2,4,2,2
Rater_2,Person_44,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4
Rater_2,Person_45,2,2,2,2,1,1,2,1,2,2,2,2,2,0,2
Rater_2,Person_46,3,2,1,3,2,2,4,2,2,3,2,2,2,2,2
Rater_2,Person_47,2,4,4,4,2,4,3,3,4,3,4,3,4,2,3
Rater_2,Person_48,3,2,2,2,1,1,2,2,2,1,1,2,2,0,2
Rater_2,Person_49,3,3,2,4,2,2,3,4,2,4,2,4,4,3,2
Rater_2,Person_50,2,2,2,2,1,0,2,1,1,1,1,1,2,1,1
Rater_2,Person_51,3,4,2,4,4,3,3,2,2,2,3,3,3,2,3
Rater_2,Person_52,3,2,1,3,1,1,2,3,2,1,2,2,2,2,2
Rater_2,Person_53,2,5,2,4,3,2,2,3,2,4,3,2,4,1,2
Rater_2,Person_54,2,2,1,2,0,1,1,1,0,2,1,2,2,1,1
Rater_2,Person_55,3,2,2,2,2,2,2,2,2,3,2,2,2,2,1
Rater_2,Person_56,4,3,4,4,4,2,4,3,4,4,5,4,4,4,4
Rater_2,Person_57,2,2,2,3,2,0,2,2,1,2,1,2,1,1,2
Rater_2,Person_58,2,3,2,4,2,2,3,2,2,3,2,3,2,2,2
Rater_2,Person_59,3,4,2,4,3,2,4,4,3,3,3,2,3,1,2
Rater_2,Person_60,3,4,2,2,2,1,2,2,1,3,2,1,3,2,2
Rater_2,Person_61,2,2,2,3,2,2,4,3,2,2,1,2,2,2,1
Rater_2,Person_62,2,2,1,4,2,1,2,1,2,3,1,2,2,2,1
Rater_2,Person_63,1,2,2,1,1,1,3,3,1,1,2,1,2,2,0
Rater_2,Person_64,3,3,2,4,2,1,3,4,2,2,3,2,3,3,2
Rater_2,Person_65,3,2,2,2,3,2,2,3,2,2,1,1,2,2,2
Rater_2,Person_66,3,2,2,3,4,3,3,2,2,4,2,4,3,2,3
Rater_2,Person_67,3,2,2,3,3,1,2,2,3,2,3,2,2,2,3
Rater_2,Person_68,1,3,4,2,1,2,2,1,2,0,2,3,2,0,2
Rater_2,Person_69,2,3,3,2,2,2,2,3,3,2,2,2,1,2,3
Rater_2,Person_70,4,3,3,2,1,2,3,2,2,2,2,2,4,2,1
Rater_2,Person_71,2,2,2,2,2,1,2,1,2,1,3,2,2,1,1
Rater_2,Person_72,4,4,4,4,2,3,4,4,4,3,3,4,3,3,3
Rater_2,Person_73,2,2,2,2,2,2,1,1,1,2,1,2,3,1,1
Rater_2,Person_74,4,4,3,3,4,3,3,4,3,4,3,5,4,3,2
Rater_2,Person_75,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Rater_2,Person_76,3,3,2,3,1,2,2,2,2,2,2,3,3,2,2
Rater_2,Person_77,2,0,1,1,1,1,1,2,1,1,2,1,2,1,2
Rater_2,Person_78,3,4,3,4,2,4,3,2,2,2,3,2,2,3,3
Rater_2,Person_79,3,2,4,3,4,3,3,2,2,2,3,2,2,3,3
Rater_2,Person_80,1,2,2,1,1,0,2,0,0,2,1,1,2,3,1
Rater_2,Person_81,4,4,3,4,3,2,5,4,3,3,3,4,4,3,3
Rater_2,Person_82,2,3,2,1,1,2,1,2,2,2,2,1,2,2,2
Rater_2,Person_83,1,2,2,2,2,3,2,2,2,2,3,2,3,1,2
Rater_2,Person_84,2,2,2,3,2,3,4,2,2,3,2,2,2,2,2
Rater_2,Person_85,2,4,1,2,2,2,2,1,1,3,3,3,1,2,2
Rater_2,Person_86,2,2,2,2,3,1,2,1,1,1,0,2,2,2,1
Rater_2,Person_87,2,4,3,3,3,2,4,3,4,2,1,2,4,2,2
Rater_2,Person_88,4,3,2,3,2,2,4,4,3,3,3,3,3,4,3
Rater_2,Person_89,4,5,2,4,3,2,4,3,3,3,4,4,3,2,3
Rater_2,Person_90,3,4,3,2,2,1,3,3,3,3,2,3,3,2,3
Rater_2,Person_91,3,4,2,4,2,4,3,4,2,4,3,2,3,3,2
Rater_2,Person_92,0,0,0,0,0,0,1,1,0,1,1,1,1,2,0
Rater_2,Person_93,2,1,2,3,3,2,3,2,1,2,0,1,3,1,1
Rater_2,Person_94,2,3,2,4,2,2,3,2,2,3,1,2,3,3,2
Rater_2,Person_95,2,3,2,2,2,3,2,2,2,1,2,2,2,1,1
Rater_2,Person_96,3,2,1,2,2,2,2,2,1,2,2,4,4,1,2
Rater_2,Person_97,2,2,1,1,1,0,1,2,1,1,1,1,0,0,0
Rater_2,Person_98,2,1,3,1,0,2,2,1,0,1,1,2,2,2,2
Rater_2,Person_99,1,2,2,4,2,2,3,1,3,3,2,3,4,2,2
Rater_2,Person_100,3,2,3,3,2,1,4,3,3,3,3,2,3,2,2
Rater_2,Person_101,3,4,2,4,2,1,3,3,2,3,2,4,3,2,3
Rater_2,Person_102,3,3,3,3,2,2,3,3,2,2,2,3,2,3,2
Rater_2,Person_103,2,3,2,2,2,2,3,2,2,1,2,2,4,1,2
Rater_2,Person_104,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1
Rater_2,Person_105,1,1,0,0,1,0,2,1,1,1,1,1,1,1,1
Rater_2,Person_106,2,1,3,2,2,2,2,1,2,2,1,2,2,1,2
Rater_2,Person_107,3,3,2,2,2,2,3,4,4,3,2,4,3,3,2
Rater_2,Person_108,2,3,2,4,2,1,2,3,1,3,2,3,3,2,2
Rater_2,Person_109,2,3,2,4,3,2,4,3,2,4,3,3,2,2,2
Rater_2,Person_110,4,4,4,4,4,4,5,4,3,4,4,5,4,4,4
Rater_2,Person_111,2,3,2,2,1,1,2,2,1,3,3,3,3,3,1
Rater_2,Person_112,2,3,2,3,2,0,1,2,1,2,2,2,2,2,2
Rater_2,Person_113,2,2,2,4,2,1,2,2,2,2,2,3,3,3,3
Rater_2,Person_114,2,2,2,2,2,0,2,1,1,2,3,2,3,1,2
Rater_2,Person_115,3,4,3,4,4,2,4,4,3,3,2,3,4,2,2
Rater_2,Person_116,2,1,3,2,2,2,2,4,2,3,2,2,2,2,3
Rater_2,Person_117,4,4,2,3,3,2,4,4,3,4,4,3,4,4,4
Rater_2,Person_118,1,3,3,3,1,1,2,1,2,2,1,2,2,1,1
Rater_2,Person_119,4,4,2,3,4,3,3,2,2,4,2,2,4,3,3
Rater_2,Person_120,2,3,2,2,2,1,1,1,2,1,2,2,2,2,2
Rater_2,Person_121,2,2,3,3,2,2,2,2,2,3,2,3,3,1,3
Rater_2,Person_122,4,3,3,4,2,4,4,3,4,4,4,4,4,4,3
Rater_2,Person_123,3,3,3,4,2,2,3,3,2,3,1,3,2,2,1
Rater_2,Person_124,3,4,2,4,2,3,4,2,2,4,3,3,2,3,2
Rater_2,Person_125,2,2,3,2,4,2,4,2,2,3,2,4,3,2,2
Rater_2,Person_126,4,3,3,3,3,3,2,3,2,3,2,3,3,1,2
Rater_2,Person_127,3,2,3,3,3,3,4,4,3,4,3,2,2,2,2
Rater_2,Person_128,2,3,2,2,3,2,4,2,1,3,2,2,3,2,4
Rater_2,Person_129,4,4,4,4,2,4,3,4,3,4,4,4,4,3,3
Rater_2,Person_130,2,2,2,1,2,1,2,1,2,2,1,2,1,1,2
Rater_2,Person_131,3,3,2,2,2,1,4,2,3,3,1,2,3,2,3
Rater_2,Person_132,4,4,4,3,2,4,4,3,3,2,2,4,3,2,4
Rater_2,Person_133,2,2,2,2,3,1,2,2,2,2,2,3,3,1,2
Rater_2,Person_134,3,2,0,3,2,3,2,2,2,2,2,2,3,1,3
Rater_2,Person_135,4,4,4,5,3,5,4,4,4,3,5,4,4,3,4
Rater_2,Person_136,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1
Rater_2,Person_137,4,2,2,3,3,2,2,4,3,2,2,3,2,2,3
