,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_52,1.226,0.358,30,40,0.75,0.768,-0.3,0.85,-0.0
Person_53,-1.986,0.47,5,40,0.125,0.676,-0.322,0.524,-0.545
Person_54,-0.763,0.36,13,40,0.325,1.324,0.728,1.417,0.844
Person_55,-0.392,0.347,16,40,0.4,0.683,-0.518,0.646,-0.565
Person_56,-1.026,0.372,11,40,0.275,0.722,-0.383,0.804,-0.167
Person_57,-0.763,0.36,13,40,0.325,0.555,-0.817,0.59,-0.673
Person_58,2.636,0.597,38,40,0.95,1.132,0.434,0.638,0.067
Person_59,-1.307,0.389,9,40,0.225,1.099,0.358,1.094,0.353
Person_60,1.483,0.376,32,40,0.8,0.43,-1.148,0.509,-0.548
Person_61,-1.986,0.47,5,40,0.125,0.515,-0.661,1.063,0.329
Person_62,-0.636,0.355,14,40,0.35,0.595,-0.721,0.592,-0.681
Person_63,0.521,0.339,24,40,0.6,0.359,-1.511,0.345,-1.38
Person_64,0.867,0.345,27,40,0.675,0.615,-0.688,0.706,-0.33
Person_65,0.985,0.348,28,40,0.7,2.687,2.414,1.912,1.35
Person_66,1.771,0.408,34,40,0.85,0.311,-1.408,0.264,-0.983
Person_67,-1.026,0.372,11,40,0.275,0.898,-0.012,0.96,0.125
Person_68,-0.392,0.347,16,40,0.4,1.361,0.8,1.266,0.632
Person_69,0.867,0.345,27,40,0.675,0.506,-0.997,0.454,-0.923
Person_70,-0.274,0.344,17,40,0.425,0.716,-0.446,0.695,-0.451
Person_71,-1.79,0.44,6,40,0.15,0.431,-0.96,0.338,-1.082
Person_72,-1.026,0.372,11,40,0.275,0.99,0.165,1.465,0.893
Person_73,-1.307,0.389,9,40,0.225,0.588,-0.682,0.471,-0.877
Person_74,0.295,0.338,22,40,0.55,0.852,-0.136,0.735,-0.345
Person_75,0.408,0.338,23,40,0.575,0.833,-0.177,0.778,-0.241
Person_76,0.867,0.345,27,40,0.675,0.907,-0.011,0.754,-0.233
Person_77,-0.158,0.342,18,40,0.45,1.07,0.304,0.84,-0.131
Person_78,-0.044,0.34,19,40,0.475,0.76,-0.348,0.646,-0.568
Person_79,0.521,0.339,24,40,0.6,0.399,-1.363,0.388,-1.232
Person_80,-0.513,0.351,15,40,0.375,0.734,-0.387,0.688,-0.458
Person_81,0.295,0.338,22,40,0.55,0.148,-2.605,0.182,-2.163
Person_82,-2.217,0.513,4,40,0.1,0.392,-0.861,0.873,0.097
Person_83,-0.513,0.351,15,40,0.375,1.192,0.521,0.918,0.03
Person_84,-0.763,0.36,13,40,0.325,0.583,-0.743,0.546,-0.788
Person_85,-1.456,0.402,8,40,0.2,0.621,-0.574,0.674,-0.369
Person_86,0.867,0.345,27,40,0.675,1.578,1.119,1.287,0.633
Person_87,-0.274,0.344,17,40,0.425,0.774,-0.307,1.021,0.22
Person_88,0.07,0.339,20,40,0.5,0.401,-1.389,0.481,-1.012
Person_89,-0.158,0.342,18,40,0.45,0.999,0.167,1.047,0.265
Person_90,1.226,0.358,30,40,0.75,0.961,0.102,0.741,-0.185
Person_91,0.867,0.345,27,40,0.675,0.599,-0.729,0.675,-0.393
Person_92,0.07,0.339,20,40,0.5,0.36,-1.544,0.437,-1.148
Person_93,-0.636,0.355,14,40,0.35,0.508,-0.966,0.474,-1.008
Person_94,-0.274,0.344,17,40,0.425,0.537,-0.925,0.501,-0.958
Person_95,-2.217,0.513,4,40,0.1,0.504,-0.598,1.288,0.597
Person_96,-1.616,0.418,7,40,0.175,0.593,-0.607,0.501,-0.714
Person_97,-2.503,0.576,3,40,0.075,0.761,-0.062,0.464,-0.476
Person_98,-1.307,0.389,9,40,0.225,0.917,0.035,0.702,-0.339
Person_99,1.104,0.353,29,40,0.725,0.714,-0.433,0.61,-0.471
Person_100,-1.026,0.372,11,40,0.275,0.494,-0.967,0.559,-0.711
Person_101,-0.893,0.366,12,40,0.3,0.823,-0.168,0.832,-0.121
Person_102,1.771,0.408,34,40,0.85,1.357,0.735,1.797,1.045
Person_103,-0.893,0.366,12,40,0.3,0.618,-0.64,0.727,-0.339
Person_104,0.295,0.338,22,40,0.55,0.736,-0.402,0.757,-0.296
Person_105,-1.026,0.372,11,40,0.275,0.388,-1.304,0.597,-0.617
Person_106,-0.158,0.342,18,40,0.45,0.355,-1.55,0.368,-1.388
Person_107,-0.636,0.355,14,40,0.35,0.704,-0.447,0.678,-0.472
Person_108,-0.274,0.344,17,40,0.425,1.285,0.681,1.923,1.528
Person_109,1.104,0.353,29,40,0.725,0.841,-0.145,0.68,-0.329
Person_110,-1.79,0.44,6,40,0.15,0.33,-1.266,0.318,-1.142
Person_111,0.751,0.343,26,40,0.65,0.877,-0.073,0.958,0.127
Person_112,0.751,0.343,26,40,0.65,0.611,-0.702,0.565,-0.671
Person_113,-1.026,0.372,11,40,0.275,1.71,1.257,1.904,1.425
Person_114,-1.986,0.47,5,40,0.125,1.42,0.778,0.786,-0.069
Person_115,0.182,0.338,21,40,0.525,0.594,-0.775,0.598,-0.679
Person_116,-0.763,0.36,13,40,0.325,0.397,-1.305,0.515,-0.873
Person_117,0.07,0.339,20,40,0.5,0.793,-0.272,0.719,-0.394
Person_118,-0.274,0.344,17,40,0.425,1.692,1.292,1.718,1.274
Person_119,2.351,0.518,37,40,0.925,0.435,-0.696,0.278,-0.601
Person_120,-0.636,0.355,14,40,0.35,0.826,-0.173,0.769,-0.268
Person_121,-1.026,0.372,11,40,0.275,0.664,-0.519,0.626,-0.549
Person_122,0.985,0.348,28,40,0.7,0.897,-0.03,0.959,0.147
Person_123,0.521,0.339,24,40,0.6,0.671,-0.553,0.665,-0.478
Person_124,1.621,0.39,33,40,0.825,0.274,-1.644,0.929,0.175
Person_125,0.985,0.348,28,40,0.7,0.384,-1.395,0.535,-0.676
Person_126,0.636,0.341,25,40,0.625,1.422,0.893,1.241,0.578
Person_127,1.771,0.408,34,40,0.85,1.862,1.348,1.951,1.165
Person_128,-1.986,0.47,5,40,0.125,0.684,-0.306,0.5,-0.596
Person_129,-0.893,0.366,12,40,0.3,1.836,1.425,1.89,1.431
Person_130,-1.307,0.389,9,40,0.225,0.522,-0.856,0.466,-0.892
Person_131,-0.636,0.355,14,40,0.35,0.549,-0.849,0.583,-0.705
Person_132,-1.456,0.402,8,40,0.2,0.456,-1.01,0.491,-0.785
Person_133,0.521,0.339,24,40,0.6,0.653,-0.599,0.537,-0.794
Person_134,0.182,0.338,21,40,0.525,1.726,1.35,1.333,0.734
Person_135,-1.456,0.402,8,40,0.2,0.265,-1.678,0.287,-1.396
Person_136,-1.79,0.44,6,40,0.15,1.983,1.434,1.761,1.129
Person_137,-0.044,0.34,19,40,0.475,0.303,-1.776,0.392,-1.303
Person_138,1.104,0.353,29,40,0.725,2.281,1.983,1.994,1.395
Person_139,3.015,0.73,39,40,0.975,0.475,-0.311,0.271,-0.25
Person_140,3.015,0.73,39,40,0.975,0.306,-0.625,0.184,-0.413
Person_141,0.867,0.345,27,40,0.675,0.182,-2.32,0.181,-1.914
Person_142,-2.217,0.513,4,40,0.1,0.489,-0.63,1.05,0.326
Person_143,-2.884,0.677,2,40,0.05,0.594,-0.254,0.418,-0.401
Person_144,0.521,0.339,24,40,0.6,0.463,-1.147,0.453,-1.031
Person_145,-1.307,0.389,9,40,0.225,0.75,-0.303,0.731,-0.28
Person_146,-0.636,0.355,14,40,0.35,0.878,-0.064,0.712,-0.394
Person_147,-1.026,0.372,11,40,0.275,0.815,-0.18,0.789,-0.197
Person_148,-0.044,0.34,19,40,0.475,1.025,0.217,0.888,-0.033
Person_149,1.352,0.366,31,40,0.775,1.14,0.428,1.186,0.484
Person_150,0.867,0.345,27,40,0.675,0.32,-1.644,0.327,-1.311
Person_151,-0.274,0.344,17,40,0.425,0.249,-1.997,0.284,-1.715
Person_152,-1.79,0.44,6,40,0.15,1.505,0.907,1.511,0.869
Person_153,-2.884,0.677,2,40,0.05,0.594,-0.254,0.418,-0.401
Person_154,-0.763,0.36,13,40,0.325,1.151,0.448,1.086,0.336
Person_155,-0.044,0.34,19,40,0.475,0.564,-0.86,0.601,-0.683
Person_156,3.015,0.73,39,40,0.975,0.757,0.076,0.961,0.455
Person_157,0.295,0.338,22,40,0.55,1.052,0.269,1.132,0.413
Person_158,1.621,0.39,33,40,0.825,1.856,1.389,1.077,0.361
Person_159,-0.392,0.347,16,40,0.4,0.423,-1.271,0.501,-0.952
Person_160,-1.456,0.402,8,40,0.2,1.386,0.792,0.968,0.161
Person_161,-1.456,0.402,8,40,0.2,0.693,-0.411,0.439,-0.921
Person_162,-0.513,0.351,15,40,0.375,0.355,-1.495,0.416,-1.204
Person_163,2.636,0.597,38,40,0.95,0.382,-0.665,0.225,-0.552
Person_164,-1.164,0.38,10,40,0.25,0.259,-1.786,0.486,-0.875
Person_165,1.226,0.358,30,40,0.75,0.749,-0.344,0.609,-0.435
Person_166,-1.026,0.372,11,40,0.275,0.212,-2.032,0.309,-1.471
Person_167,1.771,0.408,34,40,0.85,1.715,1.183,1.025,0.313
Person_168,0.521,0.339,24,40,0.6,1.891,1.55,1.543,1.008
Person_169,0.182,0.338,21,40,0.525,1.276,0.67,1.041,0.256
Person_170,-0.392,0.347,16,40,0.4,0.321,-1.652,0.313,-1.588
Person_171,-1.026,0.372,11,40,0.275,0.774,-0.267,0.768,-0.239
Person_172,0.867,0.345,27,40,0.675,1.253,0.623,1.018,0.235
Person_173,-1.026,0.372,11,40,0.275,0.614,-0.64,0.677,-0.432
Person_174,-1.986,0.47,5,40,0.125,0.186,-1.693,0.237,-1.309
Person_175,-1.616,0.418,7,40,0.175,0.231,-1.746,0.644,-0.398
Person_176,-0.044,0.34,19,40,0.475,0.072,-3.289,0.073,-3.042
Person_177,2.636,0.597,38,40,0.95,0.382,-0.665,0.225,-0.552
Person_178,0.07,0.339,20,40,0.5,0.368,-1.512,0.444,-1.125
Person_179,0.182,0.338,21,40,0.525,0.667,-0.579,0.659,-0.528
Person_180,0.521,0.339,24,40,0.6,1.102,0.363,1.027,0.237
Person_181,1.771,0.408,34,40,0.85,1.053,0.288,1.029,0.317
Person_182,0.182,0.338,21,40,0.525,0.694,-0.509,0.708,-0.413
Person_183,-0.636,0.355,14,40,0.35,1.052,0.273,0.871,-0.059
Person_184,2.125,0.467,36,40,0.9,0.423,-0.848,0.356,-0.561
Person_185,0.408,0.338,23,40,0.575,0.772,-0.315,0.793,-0.21
Person_186,1.771,0.408,34,40,0.85,0.404,-1.1,0.321,-0.833
Person_187,0.636,0.341,25,40,0.625,0.689,-0.505,0.583,-0.653
Person_188,-1.456,0.402,8,40,0.2,0.246,-1.758,0.292,-1.377
Person_189,-1.307,0.389,9,40,0.225,0.721,-0.365,0.734,-0.273
Person_190,3.015,0.73,39,40,0.975,0.475,-0.311,0.271,-0.25
Person_191,1.936,0.433,35,40,0.875,0.752,-0.21,1.654,0.906
Person_192,-0.274,0.344,17,40,0.425,1.608,1.175,1.489,0.965
Person_193,-0.044,0.34,19,40,0.475,0.932,0.032,1.078,0.321
Person_194,1.483,0.376,32,40,0.8,0.396,-1.259,0.325,-0.987
Person_195,-1.164,0.38,10,40,0.25,1.241,0.589,0.899,0.024
Person_196,-1.79,0.44,6,40,0.15,0.402,-1.042,0.355,-1.032
Person_197,0.295,0.338,22,40,0.55,1.101,0.361,1.249,0.602
Person_198,-0.392,0.347,16,40,0.4,0.532,-0.926,0.596,-0.692
Person_199,0.182,0.338,21,40,0.525,0.476,-1.129,0.574,-0.743
Person_200,-0.763,0.36,13,40,0.325,0.505,-0.96,0.499,-0.915
Person_201,-0.274,0.344,17,40,0.425,0.849,-0.14,0.715,-0.403
Person_202,2.636,0.597,38,40,0.95,0.25,-0.995,0.182,-0.653
Person_203,0.07,0.339,20,40,0.5,0.897,-0.043,0.688,-0.465
Person_204,1.104,0.353,29,40,0.725,0.262,-1.882,0.248,-1.47
Person_205,-2.884,0.677,2,40,0.05,0.686,-0.113,0.611,-0.104
Person_206,-0.513,0.351,15,40,0.375,1.219,0.566,1.338,0.74
Person_207,-1.307,0.389,9,40,0.225,0.659,-0.507,0.635,-0.48
Person_208,-1.616,0.418,7,40,0.175,0.294,-1.487,0.306,-1.26
Person_209,-1.307,0.389,9,40,0.225,1.978,1.553,2.685,2.108
Person_210,-0.513,0.351,15,40,0.375,0.547,-0.868,0.524,-0.877
Person_211,1.621,0.39,33,40,0.825,0.207,-1.947,0.328,-0.901
Person_212,-1.986,0.47,5,40,0.125,0.701,-0.275,0.46,-0.685
Person_213,0.295,0.338,22,40,0.55,0.852,-0.136,0.755,-0.3
Person_214,-1.307,0.389,9,40,0.225,1.456,0.901,1.297,0.646
Person_215,-0.636,0.355,14,40,0.35,1.254,0.62,1.132,0.413
Person_216,0.867,0.345,27,40,0.675,0.983,0.14,1.261,0.596
Person_217,0.985,0.348,28,40,0.7,0.649,-0.596,0.55,-0.64
Person_218,2.125,0.467,36,40,0.9,1.298,0.625,2.049,1.151
Person_219,-0.893,0.366,12,40,0.3,0.994,0.17,0.831,-0.124
Person_220,-0.636,0.355,14,40,0.35,0.798,-0.233,0.739,-0.334
Person_221,0.182,0.338,21,40,0.525,0.797,-0.261,0.753,-0.311
Person_222,0.295,0.338,22,40,0.55,1.102,0.364,1.15,0.442
Person_223,0.182,0.338,21,40,0.525,0.631,-0.673,0.639,-0.576
Person_224,-1.79,0.44,6,40,0.15,0.571,-0.605,0.83,-0.03
Person_225,0.636,0.341,25,40,0.625,0.682,-0.522,0.588,-0.641
Person_226,0.182,0.338,21,40,0.525,0.53,-0.96,0.557,-0.788
Person_227,3.157,,40,40,1.0,,,,
Person_228,3.015,0.73,39,40,0.975,0.306,-0.625,0.184,-0.413
Person_229,-0.158,0.342,18,40,0.45,0.96,0.091,1.236,0.586
Person_230,0.07,0.339,20,40,0.5,0.442,-1.243,0.547,-0.822
Person_231,-1.79,0.44,6,40,0.15,0.672,-0.383,1.094,0.362
Person_232,-0.893,0.366,12,40,0.3,0.685,-0.477,0.662,-0.484
Person_233,0.521,0.339,24,40,0.6,1.477,0.981,1.214,0.542
Person_234,2.125,0.467,36,40,0.9,0.876,0.044,0.508,-0.287
Person_235,-0.513,0.351,15,40,0.375,1.58,1.118,1.286,0.661
Person_236,-1.164,0.38,10,40,0.25,0.46,-1.055,0.559,-0.687
Person_237,-2.503,0.576,3,40,0.075,0.67,-0.205,0.613,-0.221
Person_238,-0.636,0.355,14,40,0.35,0.898,-0.023,0.813,-0.175
Person_239,-0.893,0.366,12,40,0.3,0.884,-0.042,0.723,-0.347
Person_240,-0.513,0.351,15,40,0.375,1.189,0.514,0.937,0.066
Person_241,-1.456,0.402,8,40,0.2,1.076,0.32,0.713,-0.292
Person_242,-0.392,0.347,16,40,0.4,0.606,-0.718,0.879,-0.05
Person_243,-1.79,0.44,6,40,0.15,0.427,-0.97,0.639,-0.369
Person_244,-1.986,0.47,5,40,0.125,0.787,-0.119,0.995,0.238
Person_245,3.015,0.73,39,40,0.975,0.475,-0.311,0.271,-0.25
Person_246,-2.217,0.513,4,40,0.1,0.484,-0.642,0.983,0.243
Person_247,-1.307,0.389,9,40,0.225,0.264,-1.731,0.269,-1.525
Person_248,2.636,0.597,38,40,0.95,0.512,-0.406,0.528,-0.061
Person_249,3.015,0.73,39,40,0.975,0.757,0.076,0.961,0.455
Person_250,-2.884,0.677,2,40,0.05,0.714,-0.071,0.712,0.025
Person_251,-0.763,0.36,13,40,0.325,0.996,0.172,0.97,0.133
Person_252,0.751,0.343,26,40,0.65,0.689,-0.501,0.597,-0.595
Person_253,2.351,0.518,37,40,0.925,1.767,1.075,0.949,0.313
Person_254,-1.79,0.44,6,40,0.15,0.712,-0.301,0.547,-0.556
Person_255,-0.274,0.344,17,40,0.425,0.636,-0.648,0.55,-0.818
Person_256,0.751,0.343,26,40,0.65,1.546,1.076,1.524,0.956
Person_257,0.751,0.343,26,40,0.65,0.847,-0.137,0.813,-0.135
Person_258,-0.763,0.36,13,40,0.325,0.936,0.057,0.843,-0.107
Person_259,-0.392,0.347,16,40,0.4,0.323,-1.646,0.364,-1.391
Person_260,-1.307,0.389,9,40,0.225,0.225,-1.909,0.423,-1.011
Person_261,-0.763,0.36,13,40,0.325,0.987,0.154,0.88,-0.034
Person_262,0.07,0.339,20,40,0.5,1.062,0.289,1.0,0.182
Person_263,0.295,0.338,22,40,0.55,2.277,2.03,2.707,2.318
Person_264,-0.158,0.342,18,40,0.45,0.32,-1.695,0.37,-1.381
Person_265,0.751,0.343,26,40,0.65,1.649,1.22,1.521,0.952
Person_266,1.483,0.376,32,40,0.8,2.044,1.646,2.463,1.642
Person_267,0.408,0.338,23,40,0.575,0.982,0.135,1.198,0.52
Person_268,1.104,0.353,29,40,0.725,0.993,0.162,0.869,0.013
Person_269,0.182,0.338,21,40,0.525,0.475,-1.131,0.559,-0.781
Person_270,-0.158,0.342,18,40,0.45,2.358,2.121,3.304,2.891
Person_271,-1.026,0.372,11,40,0.275,0.709,-0.412,0.79,-0.195
Person_272,0.751,0.343,26,40,0.65,0.326,-1.625,0.491,-0.86
Person_273,0.182,0.338,21,40,0.525,0.544,-0.917,0.511,-0.916
Person_274,3.157,,40,40,1.0,,,,
Person_275,1.936,0.433,35,40,0.875,0.835,-0.059,0.553,-0.289
Person_276,0.408,0.338,23,40,0.575,1.796,1.433,1.782,1.322
Person_277,-0.392,0.347,16,40,0.4,0.713,-0.445,0.695,-0.447
Person_278,-1.79,0.44,6,40,0.15,1.519,0.924,0.808,-0.066
Person_279,1.936,0.433,35,40,0.875,0.658,-0.396,0.505,-0.369
Person_280,0.867,0.345,27,40,0.675,0.651,-0.595,0.559,-0.654
Person_281,0.636,0.341,25,40,0.625,0.574,-0.805,0.506,-0.852
Person_282,-2.503,0.576,3,40,0.075,0.881,0.11,0.675,-0.126
Person_283,1.104,0.353,29,40,0.725,0.714,-0.433,0.61,-0.471
Person_284,1.104,0.353,29,40,0.725,0.612,-0.688,0.478,-0.77
Person_285,-1.79,0.44,6,40,0.15,0.953,0.133,2.274,1.595
Person_286,-0.274,0.344,17,40,0.425,0.8,-0.249,0.717,-0.4
Person_287,0.521,0.339,24,40,0.6,0.892,-0.046,0.94,0.083
Person_288,0.295,0.338,22,40,0.55,0.781,-0.295,0.883,-0.035
Person_289,-0.274,0.344,17,40,0.425,0.299,-1.769,0.46,-1.081
Person_290,-0.158,0.342,18,40,0.45,0.293,-1.812,0.414,-1.229
Person_291,-0.044,0.34,19,40,0.475,0.87,-0.099,0.761,-0.3
Person_292,0.07,0.339,20,40,0.5,1.521,1.059,1.622,1.146
Person_293,2.351,0.518,37,40,0.925,1.0,0.255,0.666,0.01
Person_294,-2.503,0.576,3,40,0.075,0.172,-1.405,0.218,-1.064
Person_295,-0.636,0.355,14,40,0.35,0.778,-0.277,0.963,0.118
Person_296,0.751,0.343,26,40,0.65,0.338,-1.576,0.343,-1.307
Person_297,0.295,0.338,22,40,0.55,0.635,-0.657,0.51,-0.904
Person_298,-1.026,0.372,11,40,0.275,0.898,-0.011,0.936,0.083
Person_299,-1.986,0.47,5,40,0.125,0.486,-0.73,1.016,0.267
Person_300,0.867,0.345,27,40,0.675,0.504,-1.003,0.629,-0.492
Person_301,1.936,0.433,35,40,0.875,1.411,0.782,0.768,0.025
Person_302,-1.986,0.47,5,40,0.125,1.021,0.255,1.696,1.031
Person_303,1.226,0.358,30,40,0.75,0.422,-1.238,0.804,-0.077
Person_304,-0.893,0.366,12,40,0.3,0.446,-1.126,0.473,-0.969
Person_305,-0.636,0.355,14,40,0.35,0.202,-2.161,0.279,-1.69
Person_306,-1.307,0.389,9,40,0.225,1.545,1.022,1.874,1.342
Person_307,-0.513,0.351,15,40,0.375,2.11,1.792,3.952,3.358
Person_308,1.352,0.366,31,40,0.775,0.375,-1.373,0.326,-1.059
Person_309,0.07,0.339,20,40,0.5,0.664,-0.588,0.73,-0.368
Person_310,3.015,0.73,39,40,0.975,0.475,-0.311,0.271,-0.25
Person_311,1.483,0.376,32,40,0.8,0.511,-0.904,0.428,-0.725
Person_312,0.867,0.345,27,40,0.675,0.684,-0.512,0.738,-0.264
Person_313,1.936,0.433,35,40,0.875,0.806,-0.112,0.865,0.147
Person_314,0.408,0.338,23,40,0.575,0.294,-1.794,0.327,-1.475
Person_315,0.985,0.348,28,40,0.7,0.604,-0.714,0.759,-0.201
Person_316,-0.044,0.34,19,40,0.475,0.553,-0.892,0.528,-0.879
Person_317,-0.044,0.34,19,40,0.475,0.757,-0.355,0.675,-0.498
Person_318,-1.164,0.38,10,40,0.25,0.353,-1.41,0.401,-1.12
Person_319,0.867,0.345,27,40,0.675,1.229,0.584,1.042,0.272
Person_320,-1.164,0.38,10,40,0.25,1.883,1.459,1.293,0.648
Person_321,1.352,0.366,31,40,0.775,0.5,-0.97,0.944,0.161
Person_322,-0.158,0.342,18,40,0.45,0.819,-0.209,0.686,-0.472
Person_323,1.483,0.376,32,40,0.8,1.436,0.88,0.851,0.044
Person_324,1.104,0.353,29,40,0.725,0.385,-1.38,0.365,-1.077
Person_325,3.157,,40,40,1.0,,,,
Person_326,1.621,0.39,33,40,0.825,0.64,-0.533,1.158,0.454
Person_327,-2.217,0.513,4,40,0.1,0.889,0.085,0.604,-0.321
Person_328,0.408,0.338,23,40,0.575,0.295,-1.789,0.291,-1.617
Person_329,-1.616,0.418,7,40,0.175,0.413,-1.085,0.646,-0.394
Person_330,-0.392,0.347,16,40,0.4,0.556,-0.856,0.616,-0.64
Person_331,2.125,0.467,36,40,0.9,0.147,-1.812,0.155,-1.084
Person_332,1.104,0.353,29,40,0.725,0.504,-0.993,0.709,-0.272
Person_333,-0.763,0.36,13,40,0.325,0.342,-1.504,0.364,-1.34
Person_334,-2.217,0.513,4,40,0.1,0.386,-0.875,0.328,-0.908
Person_335,-0.274,0.344,17,40,0.425,0.371,-1.477,0.331,-1.524
Person_336,-1.986,0.47,5,40,0.125,0.434,-0.861,1.035,0.292
Person_337,-0.893,0.366,12,40,0.3,0.748,-0.331,0.677,-0.45
Person_338,0.636,0.341,25,40,0.625,1.299,0.7,1.098,0.357
Person_339,1.771,0.408,34,40,0.85,1.328,0.695,0.908,0.171
Person_340,1.104,0.353,29,40,0.725,1.122,0.399,0.848,-0.024
Person_341,-3.667,,0,40,0.0,,,,
Person_342,0.07,0.339,20,40,0.5,0.842,-0.161,0.772,-0.274
Person_343,-0.044,0.34,19,40,0.475,1.397,0.867,1.166,0.472
Person_344,0.985,0.348,28,40,0.7,0.665,-0.555,0.832,-0.068
Person_345,2.636,0.597,38,40,0.95,0.214,-1.108,0.166,-0.695
Person_346,-2.503,0.576,3,40,0.075,0.881,0.11,0.675,-0.126
Person_347,-1.026,0.372,11,40,0.275,0.558,-0.787,1.164,0.462
Person_348,0.751,0.343,26,40,0.65,0.529,-0.93,0.568,-0.663
Person_349,-1.79,0.44,6,40,0.15,1.128,0.405,0.693,-0.267
Person_350,1.771,0.408,34,40,0.85,0.3,-1.448,1.114,0.413
Person_351,0.985,0.348,28,40,0.7,0.176,-2.347,0.208,-1.712
Person_352,1.226,0.358,30,40,0.75,0.577,-0.771,0.46,-0.766
Person_353,-0.636,0.355,14,40,0.35,0.259,-1.876,0.347,-1.423
Person_354,1.352,0.366,31,40,0.775,2.641,2.309,3.035,2.107
Person_355,0.751,0.343,26,40,0.65,0.64,-0.626,0.665,-0.44
Person_356,0.408,0.338,23,40,0.575,1.109,0.376,0.985,0.16
Person_357,0.751,0.343,26,40,0.65,0.435,-1.224,0.55,-0.707
Person_358,-0.044,0.34,19,40,0.475,0.372,-1.495,0.379,-1.347
Person_359,-1.307,0.389,9,40,0.225,0.091,-2.754,0.161,-2.02
Person_360,-0.513,0.351,15,40,0.375,0.967,0.112,0.842,-0.122
