,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20
Person_53,1.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,1.0,0.0,,,0.0
Person_54,,1.0,1.0,,0.0,,1.0,,,0.0,,,,0.0,0.0,,1.0,0.0,1.0,0.0
Person_55,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,1.0,0.0,,1.0,0.0,1.0,,1.0,1.0
Person_56,,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
Person_57,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,,1.0
Person_58,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,0.0,
Person_59,0.0,,,0.0,,0.0,,1.0,0.0,1.0,,,0.0,0.0,,,,,,
Person_60,,,,0.0,,0.0,1.0,1.0,1.0,1.0,,,0.0,,1.0,1.0,,1.0,,
Person_61,1.0,1.0,1.0,0.0,,,0.0,,0.0,,0.0,1.0,,1.0,,1.0,0.0,,0.0,1.0
Person_62,,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,1.0,,0.0,,
Person_63,,1.0,1.0,0.0,,,0.0,,0.0,,,,0.0,,,,,1.0,,
Person_64,,,0.0,,,0.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,
Person_65,1.0,,1.0,,0.0,1.0,,1.0,,,1.0,1.0,,0.0,0.0,,,,1.0,
Person_66,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,,0.0,1.0,,0.0,1.0,,,1.0,1.0
Person_67,0.0,1.0,,0.0,,,0.0,,0.0,,,1.0,,0.0,,0.0,,0.0,1.0,1.0
Person_68,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0
Person_69,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,1.0,
Person_70,0.0,1.0,,0.0,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Person_71,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,
Person_72,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,,0.0,1.0,1.0,
Person_73,0.0,,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0
Person_74,0.0,,,0.0,,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,,,,,,
Person_75,0.0,0.0,,,0.0,1.0,,1.0,,,,0.0,,,,1.0,1.0,0.0,1.0,
Person_76,,,0.0,1.0,,0.0,,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1.0,,1.0
Person_77,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,,,0.0
Person_78,,,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0,,,,,1.0,,1.0,,1.0
Person_79,1.0,,,,0.0,,1.0,0.0,,1.0,1.0,1.0,1.0,,1.0,,,0.0,,
Person_80,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,
Person_81,0.0,,0.0,0.0,,1.0,,0.0,,,0.0,1.0,0.0,,,1.0,,,1.0,1.0
Person_82,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
Person_83,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0
Person_84,1.0,,,0.0,,,,,0.0,,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,
Person_85,0.0,0.0,0.0,,,,,1.0,,1.0,,0.0,,0.0,0.0,,1.0,,,1.0
Person_86,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Person_87,,,,0.0,1.0,,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0
Person_88,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,0.0,0.0,
Person_89,0.0,,1.0,,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,,1.0,1.0
Person_90,0.0,1.0,1.0,0.0,,,1.0,0.0,,0.0,1.0,1.0,,,,0.0,1.0,,,1.0
Person_91,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,,1.0,,1.0,0.0,0.0,1.0
Person_92,,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,1.0,,,1.0,
Person_93,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,0.0,,
Person_94,,,0.0,,0.0,1.0,0.0,,0.0,1.0,,0.0,0.0,1.0,1.0,,1.0,,1.0,1.0
Person_95,,1.0,,0.0,,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,,1.0,1.0
Person_96,,1.0,,,0.0,1.0,0.0,,,1.0,,0.0,0.0,,,,1.0,,,
Person_97,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,0.0
Person_98,1.0,,0.0,1.0,,1.0,,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,,1.0
Person_99,1.0,,,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
Person_100,,0.0,,,,,,,0.0,,,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0
Person_101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,,0.0
Person_102,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,,1.0,0.0,,,1.0,1.0,0.0,1.0,0.0
Person_103,0.0,,0.0,,0.0,1.0,,0.0,1.0,0.0,,1.0,0.0,0.0,,,1.0,,,
Person_104,1.0,1.0,,,,,1.0,1.0,1.0,,,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0
Person_105,,,,,0.0,1.0,0.0,,,0.0,,,,,0.0,,0.0,,,1.0
Person_106,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,
Person_107,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0
Person_108,,0.0,0.0,0.0,,1.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0
Person_109,1.0,1.0,,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,0.0,,1.0,
Person_110,,1.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1.0,0.0
Person_111,1.0,,,,,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0
Person_112,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,0.0,1.0,
Person_113,,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,,,0.0,0.0,,,1.0,0.0,1.0,
Person_114,,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,,,,
Person_115,,1.0,,0.0,,1.0,,,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Person_116,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0
Person_117,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,,,0.0
Person_118,1.0,,0.0,,,1.0,0.0,,0.0,,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0
Person_119,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0
Person_120,0.0,,,0.0,0.0,,0.0,,0.0,1.0,,,0.0,1.0,0.0,,,,0.0,1.0
Person_121,,,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,,,1.0,,0.0,0.0,
Person_122,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,
Person_123,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,,1.0,1.0
Person_124,0.0,1.0,,,1.0,1.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0
Person_125,,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,
Person_126,0.0,1.0,,0.0,0.0,,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,,,1.0,
Person_127,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.0,,,,1.0,1.0,,1.0,,
Person_128,,1.0,0.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,,0.0,,
Person_129,0.0,,1.0,,0.0,,,1.0,,,,0.0,,1.0,,,,0.0,1.0,0.0
Person_130,0.0,,,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,1.0
Person_131,0.0,1.0,0.0,,0.0,1.0,0.0,,,1.0,,,0.0,0.0,0.0,,1.0,,,1.0
Person_132,1.0,,,,0.0,,1.0,,,,,,1.0,1.0,,,1.0,0.0,1.0,
Person_133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,
Person_134,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,1.0,,,0.0,0.0
Person_135,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,,0.0,
Person_136,0.0,1.0,0.0,0.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
Person_137,0.0,,0.0,0.0,,,,1.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Person_138,0.0,1.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,1.0,0.0
Person_139,,1.0,0.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,,0.0,0.0
Person_140,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,
Person_141,,1.0,,1.0,0.0,,1.0,1.0,1.0,,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0
Person_142,1.0,,,1.0,1.0,,,1.0,0.0,,0.0,1.0,,,,0.0,1.0,,1.0,1.0
Person_143,0.0,,0.0,1.0,1.0,1.0,,,0.0,,1.0,,,0.0,,1.0,1.0,,1.0,0.0
Person_144,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,,1.0,1.0
Person_145,1.0,,1.0,,,,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0
Person_146,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
Person_147,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,1.0,0.0,,0.0,0.0
Person_148,1.0,1.0,,1.0,0.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,
Person_149,,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0
Person_150,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,0.0,,0.0,1.0,1.0,,1.0,1.0
Person_151,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,1.0,,0.0,1.0
Person_152,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0
Person_153,1.0,1.0,,,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,,,1.0,0.0,,1.0
Person_154,,1.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,,,1.0,1.0
Person_155,0.0,1.0,,1.0,,0.0,,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,,1.0
Person_156,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,1.0,0.0,,
Person_157,,1.0,0.0,1.0,,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0
Person_158,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,,0.0
Person_159,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,
Person_160,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0
Person_161,,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,,,1.0,,1.0,1.0,0.0
Person_162,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,1.0
Person_163,,1.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,
Person_164,,1.0,,0.0,,1.0,0.0,1.0,,,1.0,1.0,0.0,1.0,0.0,,1.0,,1.0,0.0
Person_165,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,0.0,1.0,,,,
Person_166,1.0,,1.0,0.0,,,0.0,,0.0,,,1.0,,,0.0,,,0.0,0.0,0.0
Person_167,1.0,,1.0,1.0,,1.0,,,,0.0,,,0.0,,,,,,,
Person_168,,1.0,1.0,,,0.0,1.0,,,0.0,,1.0,,,,0.0,1.0,1.0,1.0,
Person_169,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,,0.0,
Person_170,0.0,1.0,,0.0,1.0,,,,,0.0,,0.0,0.0,,1.0,1.0,,,,0.0
Person_171,0.0,,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,,1.0,1.0,,0.0,1.0,1.0
Person_172,,0.0,0.0,0.0,,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,,,1.0,,,1.0,0.0
Person_173,,1.0,1.0,,0.0,,,0.0,1.0,,,,,,0.0,,,,,0.0
Person_174,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,,,1.0,0.0
Person_175,,,1.0,,1.0,,,,0.0,0.0,,,0.0,1.0,0.0,1.0,1.0,,0.0,0.0
Person_176,1.0,1.0,,0.0,1.0,,1.0,0.0,1.0,1.0,,,1.0,,,,,1.0,,1.0
Person_177,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,1.0,,,1.0,
Person_178,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,0.0,,,0.0,1.0,0.0
Person_179,1.0,,,,1.0,1.0,,1.0,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,
Person_180,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Person_181,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,
Person_182,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Person_183,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,
Person_184,0.0,,0.0,,,1.0,,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,
Person_185,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,
Person_186,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Person_187,,,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0
Person_188,1.0,1.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0
Person_189,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
Person_190,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,,,1.0
Person_191,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,,,1.0,0.0,,
Person_192,,,,0.0,1.0,1.0,0.0,1.0,,,1.0,,0.0,,1.0,1.0,,1.0,0.0,1.0
Person_193,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0
Person_194,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,
Person_195,0.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
Person_196,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,1.0,1.0,,,0.0
Person_197,,,1.0,1.0,0.0,,1.0,,,0.0,0.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
Person_198,,,,,,1.0,,,,1.0,0.0,,1.0,1.0,0.0,1.0,,0.0,1.0,0.0
Person_199,0.0,1.0,0.0,,0.0,,,1.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,
Person_200,,,,,0.0,,1.0,,0.0,,0.0,1.0,,1.0,0.0,0.0,,1.0,1.0,
Person_201,,1.0,0.0,,,,,1.0,,1.0,1.0,0.0,,1.0,,1.0,,0.0,,0.0
Person_202,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
Person_203,,,0.0,0.0,,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,,
Person_204,0.0,,,1.0,,1.0,0.0,0.0,0.0,,,1.0,1.0,,,,1.0,,,0.0
Person_205,1.0,1.0,1.0,,0.0,,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,0.0
Person_206,,1.0,1.0,1.0,,1.0,,,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,,,0.0,
Person_207,1.0,1.0,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0
Person_208,0.0,1.0,,0.0,1.0,,0.0,0.0,,,0.0,1.0,0.0,,1.0,,1.0,,,
Person_209,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Person_210,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
Person_211,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,,1.0,1.0
Person_212,0.0,,1.0,1.0,,1.0,,1.0,,0.0,1.0,1.0,,0.0,1.0,,1.0,0.0,1.0,1.0
Person_213,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,1.0,,0.0,0.0,0.0
Person_214,0.0,,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,,1.0
Person_215,,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,,1.0,0.0,,0.0
Person_216,1.0,,,0.0,1.0,1.0,,,0.0,1.0,,,,,,1.0,1.0,0.0,,1.0
Person_217,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0
Person_218,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,1.0,,1.0,,,1.0
Person_219,1.0,,,0.0,0.0,0.0,,,0.0,1.0,,0.0,,0.0,,1.0,1.0,0.0,1.0,
Person_220,1.0,,,,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0
Person_221,0.0,1.0,,,,1.0,0.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,0.0
Person_222,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,,0.0,,1.0,1.0,0.0,,,,1.0,0.0
Person_223,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,,,0.0,0.0,,,0.0
Person_224,,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,,0.0,,0.0,1.0,1.0,,,0.0
Person_225,,,1.0,1.0,,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,,,
