,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_93,-0.92,0.137,0.143,214,480,0.446,1.085,1.034,0.658,0.282
Person_94,-1.934,0.135,0.128,158,480,0.329,0.893,0.911,-0.803,-0.605
Person_95,0.31,0.161,0.162,271,480,0.565,1.011,1.132,0.119,0.757
Person_96,-0.323,0.146,0.131,244,480,0.508,0.796,0.835,-1.452,-1.001
Person_97,-1.087,0.136,0.142,205,480,0.427,1.09,1.082,0.697,0.614
Person_98,1.36,0.177,0.157,307,480,0.64,0.788,0.776,-1.255,-1.289
Person_99,1.706,0.177,0.173,318,480,0.662,0.964,0.945,-0.165,-0.267
Person_100,1.204,0.176,0.179,302,480,0.629,1.031,1.024,0.233,0.189
Person_101,-0.258,0.148,0.151,247,480,0.515,1.04,1.107,0.313,0.672
Person_102,2.016,0.175,0.171,328,480,0.683,0.957,0.914,-0.225,-0.476
Person_103,1.955,0.175,0.189,326,480,0.679,1.161,1.095,1.014,0.604
Person_104,1.266,0.176,0.168,304,480,0.633,0.903,0.844,-0.513,-0.851
Person_105,0.779,0.171,0.16,288,480,0.6,0.876,0.922,-0.665,-0.371
Person_106,1.329,0.177,0.172,306,480,0.638,0.949,0.878,-0.239,-0.648
Person_107,0.721,0.17,0.163,286,480,0.596,0.926,0.921,-0.37,-0.379
Person_108,0.692,0.169,0.191,285,480,0.594,1.269,1.298,1.457,1.539
Person_109,1.581,0.177,0.197,314,480,0.654,1.245,1.283,1.399,1.533
Person_110,-0.386,0.145,0.161,241,480,0.502,1.224,1.29,1.495,1.684
Person_111,1.8,0.176,0.161,321,480,0.669,0.838,0.868,-0.997,-0.752
Person_112,2.348,0.172,0.177,339,480,0.706,1.05,1.031,0.378,0.246
Person_113,-0.939,0.137,0.145,213,480,0.444,1.118,1.071,0.889,0.529
Person_114,-1.161,0.135,0.138,201,480,0.419,1.046,1.07,0.389,0.538
Person_115,0.014,0.154,0.139,259,480,0.54,0.818,0.781,-1.185,-1.296
Person_116,-1.556,0.134,0.141,179,480,0.373,1.114,1.102,0.888,0.77
Person_117,1.706,0.177,0.148,318,480,0.662,0.7,0.682,-1.972,-2.013
Person_118,1.581,0.177,0.19,314,480,0.654,1.151,1.098,0.909,0.595
Person_119,-1.753,0.134,0.126,168,480,0.35,0.88,0.89,-0.922,-0.782
Person_120,0.664,0.169,0.172,284,480,0.592,1.039,0.946,0.277,-0.238
Person_121,-0.236,0.148,0.139,248,480,0.517,0.887,0.93,-0.739,-0.37
Person_122,-1.124,0.135,0.138,203,480,0.423,1.038,1.069,0.329,0.525
Person_123,-2.081,0.136,0.138,150,480,0.312,1.023,0.955,0.22,-0.27
Person_124,-0.033,0.153,0.148,257,480,0.535,0.94,0.98,-0.342,-0.06
Person_125,0.336,0.161,0.155,272,480,0.567,0.92,0.895,-0.431,-0.541
Person_126,-1.069,0.136,0.126,206,480,0.429,0.864,0.912,-1.028,-0.593
Person_127,-0.079,0.152,0.171,255,480,0.531,1.28,1.278,1.725,1.536
Person_128,-0.571,0.142,0.152,232,480,0.483,1.152,1.102,1.077,0.68
Person_129,1.737,0.177,0.197,319,480,0.665,1.242,1.237,1.419,1.33
Person_130,1.455,0.177,0.186,310,480,0.646,1.098,1.019,0.61,0.167
Person_131,-0.28,0.147,0.134,246,480,0.512,0.824,0.774,-1.222,-1.414
Person_132,-1.287,0.134,0.123,194,480,0.404,0.834,0.836,-1.292,-1.218
Person_133,0.579,0.167,0.173,281,480,0.585,1.078,1.113,0.49,0.653
Person_134,2.524,0.171,0.182,345,480,0.719,1.138,1.145,0.954,0.958
Person_135,0.415,0.163,0.185,275,480,0.573,1.287,1.307,1.602,1.596
Person_136,0.415,0.163,0.162,275,480,0.573,0.99,1.105,0.001,0.619
Person_137,0.958,0.174,0.168,294,480,0.612,0.939,0.948,-0.287,-0.226
Person_138,-1.988,0.136,0.143,155,480,0.323,1.118,1.145,0.911,1.032
Person_139,1.455,0.177,0.166,310,480,0.646,0.878,0.795,-0.682,-1.176
Person_140,0.037,0.154,0.168,260,480,0.542,1.188,1.165,1.178,0.949
Person_141,0.014,0.154,0.144,259,480,0.54,0.884,0.942,-0.717,-0.28
Person_142,-1.771,0.134,0.131,167,480,0.348,0.952,0.948,-0.331,-0.334
Person_143,0.259,0.16,0.166,269,480,0.56,1.079,1.103,0.521,0.613
Person_144,0.085,0.155,0.15,262,480,0.546,0.936,1.0,-0.359,0.061
Person_145,-2.484,0.142,0.145,129,480,0.269,1.051,1.036,0.408,0.285
Person_146,0.442,0.164,0.163,276,480,0.575,0.994,1.022,0.023,0.182
Person_147,-3.242,0.158,0.164,95,480,0.198,1.07,1.061,0.485,0.43
Person_148,0.061,0.155,0.179,261,480,0.544,1.332,1.394,1.953,2.047
Person_149,0.389,0.163,0.158,274,480,0.571,0.939,0.832,-0.31,-0.919
Person_150,0.208,0.158,0.15,267,480,0.556,0.893,0.874,-0.622,-0.672
Person_151,-0.214,0.149,0.135,249,480,0.519,0.822,0.778,-1.217,-1.37
Person_152,0.524,0.166,0.17,279,480,0.581,1.051,1.074,0.346,0.453
Person_153,1.893,0.176,0.168,324,480,0.675,0.91,0.871,-0.523,-0.741
Person_154,1.455,0.177,0.187,310,480,0.646,1.116,1.089,0.705,0.543
Person_155,1.235,0.176,0.16,303,480,0.631,0.822,0.858,-1.019,-0.761
Person_156,-2.174,0.137,0.128,145,480,0.302,0.873,0.816,-0.953,-1.32
Person_157,-0.787,0.139,0.126,221,480,0.46,0.83,0.846,-1.275,-1.039
Person_158,0.779,0.171,0.149,288,480,0.6,0.757,0.682,-1.431,-1.887
Person_159,-4.433,0.188,0.193,55,480,0.115,1.055,1.101,0.407,0.705
Person_160,-1.106,0.136,0.136,204,480,0.425,1.002,0.996,0.063,0.015
Person_161,0.085,0.155,0.168,262,480,0.546,1.167,1.157,1.048,0.905
Person_162,-1.269,0.135,0.141,195,480,0.406,1.095,1.097,0.743,0.726
Person_163,0.928,0.173,0.161,293,480,0.61,0.865,0.878,-0.73,-0.627
Person_164,1.204,0.176,0.202,302,480,0.629,1.311,1.25,1.662,1.332
Person_165,-0.056,0.152,0.145,256,480,0.533,0.912,0.948,-0.534,-0.244
Person_166,0.607,0.167,0.145,282,480,0.588,0.754,0.755,-1.475,-1.395
Person_167,1.329,0.177,0.181,306,480,0.638,1.046,1.002,0.32,0.073
Person_168,-3.396,0.162,0.165,89,480,0.185,1.039,1.088,0.294,0.596
Person_169,-0.47,0.144,0.13,237,480,0.494,0.819,0.763,-1.305,-1.559
Person_170,-0.995,0.136,0.133,210,480,0.438,0.943,0.865,-0.387,-0.941
Person_171,-0.236,0.148,0.143,248,480,0.517,0.928,0.926,-0.447,-0.398
Person_172,-0.806,0.139,0.133,220,480,0.458,0.917,0.891,-0.58,-0.71
Person_173,-0.033,0.153,0.145,257,480,0.535,0.905,0.833,-0.577,-0.957
Person_174,1.581,0.177,0.154,314,480,0.654,0.762,0.771,-1.482,-1.357
Person_175,1.423,0.177,0.172,309,480,0.644,0.945,0.951,-0.265,-0.22
Person_176,0.496,0.165,0.141,278,480,0.579,0.735,0.68,-1.636,-1.915
Person_177,1.08,0.175,0.189,298,480,0.621,1.169,1.1,0.96,0.59
Person_178,-1.413,0.134,0.13,187,480,0.39,0.937,0.968,-0.452,-0.194
Person_179,0.31,0.161,0.175,271,480,0.565,1.189,1.434,1.12,2.172
Person_180,-1.269,0.135,0.116,195,480,0.406,0.738,0.733,-2.147,-2.097
Person_181,-1.503,0.134,0.14,182,480,0.379,1.101,1.135,0.792,0.993
Person_182,-0.28,0.147,0.157,246,480,0.512,1.14,1.07,0.957,0.465
Person_183,0.158,0.157,0.147,265,480,0.552,0.877,0.809,-0.739,-1.085
Person_184,-0.591,0.142,0.135,231,480,0.481,0.913,0.878,-0.592,-0.767
Person_185,-0.323,0.146,0.147,244,480,0.508,1.009,1.098,0.111,0.628
Person_186,0.551,0.166,0.136,280,480,0.583,0.665,0.75,-2.134,-1.429
Person_187,3.204,0.167,0.165,369,480,0.769,0.981,0.988,-0.098,-0.04
Person_188,-0.958,0.137,0.143,212,480,0.442,1.09,1.038,0.69,0.312
Person_189,0.336,0.161,0.163,272,480,0.567,1.02,1.069,0.175,0.43
Person_190,1.737,0.177,0.171,319,480,0.665,0.936,0.928,-0.343,-0.372
Person_191,-0.571,0.142,0.146,232,480,0.483,1.053,1.019,0.419,0.172
Person_192,-1.789,0.134,0.133,166,480,0.346,0.978,0.962,-0.129,-0.232
Person_193,0.31,0.161,0.142,271,480,0.565,0.776,0.73,-1.399,-1.587
Person_194,-0.651,0.141,0.14,228,480,0.475,0.988,0.935,-0.04,-0.38
Person_195,2.168,0.174,0.173,333,480,0.694,0.988,1.07,-0.028,0.475
Person_196,-0.147,0.15,0.183,252,480,0.525,1.485,1.611,2.84,3.077
Person_197,0.31,0.161,0.14,271,480,0.565,0.76,0.836,-1.513,-0.9
Person_198,1.549,0.177,0.164,313,480,0.652,0.859,0.817,-0.817,-1.045
Person_199,-2.099,0.137,0.138,149,480,0.31,1.019,0.978,0.188,-0.105
Person_200,-1.52,0.134,0.138,181,480,0.377,1.071,1.015,0.573,0.156
