,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_47,1.158,0.47,25,38,0.658,0.594,-0.878,0.693,-0.608
Person_48,0.538,0.447,22,38,0.579,0.959,0.052,1.073,0.308
Person_49,-0.99,0.447,14,38,0.368,0.499,-1.312,0.531,-1.199
Person_50,2.412,0.526,30,38,0.789,0.851,-0.119,1.373,0.754
Person_51,0.737,0.453,23,38,0.605,0.867,-0.167,0.91,-0.068
Person_52,-2.318,0.508,8,38,0.211,1.072,0.306,0.904,-0.018
Person_53,-0.038,0.438,19,38,0.5,0.535,-1.185,0.481,-1.406
Person_54,0.538,0.447,22,38,0.579,1.009,0.166,0.914,-0.065
Person_55,-0.795,0.443,15,38,0.395,0.651,-0.807,0.643,-0.832
Person_56,2.138,0.516,29,38,0.763,0.289,-1.739,0.286,-1.651
Person_57,0.538,0.447,22,38,0.579,1.693,1.463,1.851,1.738
Person_58,-0.414,0.437,17,38,0.447,0.902,-0.102,0.988,0.111
Person_59,1.621,0.493,27,38,0.711,1.337,0.775,1.337,0.785
Person_60,-2.07,0.494,9,38,0.237,0.892,-0.086,0.889,-0.07
Person_61,0.538,0.447,22,38,0.579,1.828,1.674,1.806,1.667
Person_62,-0.226,0.437,18,38,0.474,0.691,-0.683,0.734,-0.561
Person_63,-2.582,0.526,7,38,0.184,0.399,-1.511,0.378,-1.3
Person_64,-0.795,0.443,15,38,0.395,0.565,-1.092,0.532,-1.21
Person_65,-0.603,0.439,16,38,0.421,1.065,0.292,1.076,0.317
Person_66,-0.414,0.437,17,38,0.447,0.704,-0.648,0.789,-0.405
Person_67,0.538,0.447,22,38,0.579,0.829,-0.269,0.938,-0.005
Person_68,-0.99,0.447,14,38,0.368,0.626,-0.874,0.571,-1.059
Person_69,-0.795,0.443,15,38,0.395,0.825,-0.301,0.821,-0.311
Person_70,0.538,0.447,22,38,0.579,0.546,-1.108,0.555,-1.104
Person_71,1.873,0.505,28,38,0.737,0.484,-1.067,0.464,-1.131
Person_72,-0.603,0.439,16,38,0.421,0.989,0.113,1.001,0.142
Person_73,0.538,0.447,22,38,0.579,0.818,-0.299,1.047,0.25
Person_74,0.737,0.453,23,38,0.605,0.851,-0.207,0.685,-0.673
Person_75,0.151,0.439,20,38,0.526,0.946,0.014,0.94,-0.004
Person_76,-0.795,0.443,15,38,0.395,1.033,0.219,1.079,0.322
Person_77,-0.795,0.443,15,38,0.395,0.574,-1.06,0.648,-0.817
Person_78,-0.038,0.438,19,38,0.5,0.535,-1.185,0.481,-1.406
Person_79,0.538,0.447,22,38,0.579,0.362,-1.826,0.392,-1.733
Person_80,1.158,0.47,25,38,0.658,0.758,-0.417,0.819,-0.273
Person_81,0.737,0.453,23,38,0.605,0.859,-0.187,0.918,-0.048
Person_82,0.343,0.443,21,38,0.553,1.204,0.586,1.225,0.637
Person_83,-2.582,0.526,7,38,0.184,0.751,-0.418,1.335,0.729
Person_84,1.158,0.47,25,38,0.658,0.97,0.09,1.007,0.168
Person_85,-0.99,0.447,14,38,0.368,1.119,0.411,1.177,0.536
Person_86,0.343,0.443,21,38,0.553,1.379,0.928,1.382,0.947
Person_87,-0.603,0.439,16,38,0.421,0.677,-0.73,0.694,-0.68
Person_88,-0.414,0.437,17,38,0.447,0.276,-2.348,0.289,-2.285
Person_89,-0.603,0.439,16,38,0.421,1.529,1.225,1.682,1.492
Person_90,3.589,0.592,34,38,0.895,0.313,-1.733,0.243,-0.826
Person_91,3.276,0.565,33,38,0.868,0.43,-1.307,0.313,-0.855
Person_92,1.383,0.481,26,38,0.684,0.682,-0.586,0.874,-0.124
Person_93,1.158,0.47,25,38,0.658,1.049,0.258,1.184,0.533
Person_94,1.873,0.505,28,38,0.737,0.782,-0.281,0.776,-0.295
Person_95,4.856,0.858,37,38,0.974,0.609,-0.297,0.351,0.126
Person_96,1.383,0.481,26,38,0.684,0.44,-1.33,0.481,-1.224
Person_97,-2.07,0.494,9,38,0.237,0.693,-0.589,0.883,-0.083
Person_98,0.343,0.443,21,38,0.553,1.766,1.59,1.579,1.304
Person_99,-2.865,0.548,6,38,0.158,1.171,0.497,0.881,-0.001
Person_100,1.158,0.47,25,38,0.658,0.656,-0.693,0.569,-0.979
Person_101,0.343,0.443,21,38,0.553,0.665,-0.735,0.686,-0.693
Person_102,-0.226,0.437,18,38,0.474,0.604,-0.958,0.591,-1.011
Person_103,2.138,0.516,29,38,0.763,0.475,-1.065,0.402,-1.224
Person_104,-2.865,0.548,6,38,0.158,0.92,-0.011,0.741,-0.266
Person_105,0.737,0.453,23,38,0.605,1.521,1.164,1.457,1.068
Person_106,0.538,0.447,22,38,0.579,0.99,0.122,0.942,0.005
Person_107,0.343,0.443,21,38,0.553,1.153,0.481,0.968,0.066
Person_108,0.538,0.447,22,38,0.579,0.441,-1.495,0.463,-1.444
Person_109,0.343,0.443,21,38,0.553,0.68,-0.69,0.653,-0.796
Person_110,1.873,0.505,28,38,0.737,0.71,-0.449,0.583,-0.778
Person_111,2.98,0.548,32,38,0.842,0.856,-0.13,1.555,0.886
Person_112,-0.226,0.437,18,38,0.474,0.86,-0.208,0.865,-0.199
Person_113,-1.611,0.47,11,38,0.289,0.459,-1.375,0.452,-1.391
Person_114,1.621,0.493,27,38,0.711,0.761,-0.354,0.727,-0.451
Person_115,2.138,0.516,29,38,0.763,0.366,-1.43,0.356,-1.381
Person_116,1.621,0.493,27,38,0.711,1.1,0.361,1.14,0.437
Person_117,0.943,0.461,24,38,0.632,0.484,-1.278,0.497,-1.26
Person_118,0.343,0.443,21,38,0.553,0.887,-0.126,1.047,0.25
Person_119,0.943,0.461,24,38,0.632,0.654,-0.727,0.702,-0.607
Person_120,-2.865,0.548,6,38,0.158,0.842,-0.188,0.689,-0.373
Person_121,-0.99,0.447,14,38,0.368,0.817,-0.315,0.823,-0.301
Person_122,2.412,0.526,30,38,0.789,1.268,0.643,1.58,1.018
Person_123,-0.99,0.447,14,38,0.368,1.504,1.168,1.284,0.755
Person_124,-0.226,0.437,18,38,0.474,0.547,-1.152,0.534,-1.212
Person_125,-0.226,0.437,18,38,0.474,0.759,-0.483,0.812,-0.34
Person_126,-1.19,0.454,13,38,0.342,0.331,-1.989,0.357,-1.876
Person_127,-1.19,0.454,13,38,0.342,1.351,0.875,1.349,0.873
Person_128,-0.99,0.447,14,38,0.368,1.803,1.669,1.918,1.851
Person_129,3.276,0.565,33,38,0.868,2.149,1.912,1.807,1.054
Person_130,-0.603,0.439,16,38,0.421,0.964,0.054,0.972,0.072
Person_131,3.934,0.637,35,38,0.921,0.941,0.071,0.482,-0.175
Person_132,-2.865,0.548,6,38,0.158,1.789,1.498,4.006,3.104
Person_133,1.383,0.481,26,38,0.684,1.705,1.374,1.741,1.451
Person_134,1.158,0.47,25,38,0.658,1.635,1.307,1.538,1.169
Person_135,-0.795,0.443,15,38,0.395,0.53,-1.213,0.5,-1.326
Person_136,0.538,0.447,22,38,0.579,0.89,-0.116,0.759,-0.472
Person_137,2.98,0.548,32,38,0.842,0.689,-0.522,1.365,0.688
Person_138,-1.835,0.481,10,38,0.263,1.064,0.289,0.947,0.042
Person_139,-0.038,0.438,19,38,0.5,0.765,-0.46,0.759,-0.488
Person_140,1.383,0.481,26,38,0.684,0.491,-1.154,0.439,-1.375
Person_141,1.873,0.505,28,38,0.737,1.017,0.205,1.008,0.189
Person_142,0.151,0.439,20,38,0.526,0.534,-1.175,0.643,-0.834
Person_143,1.383,0.481,26,38,0.684,0.282,-1.986,0.324,-1.84
Person_144,1.621,0.493,27,38,0.711,0.555,-0.897,0.724,-0.459
Person_145,-2.07,0.494,9,38,0.237,0.759,-0.412,0.819,-0.228
Person_146,0.943,0.461,24,38,0.632,0.858,-0.181,0.786,-0.374
Person_147,-1.396,0.461,12,38,0.316,0.367,-1.785,0.394,-1.672
Person_148,0.343,0.443,21,38,0.553,1.201,0.58,1.21,0.604
Person_149,0.737,0.453,23,38,0.605,0.611,-0.88,0.679,-0.691
Person_150,1.621,0.493,27,38,0.711,0.811,-0.236,0.896,-0.056
Person_151,1.158,0.47,25,38,0.658,0.947,0.038,1.027,0.211
Person_152,-0.99,0.447,14,38,0.368,1.222,0.628,1.115,0.402
Person_153,-0.795,0.443,15,38,0.395,0.727,-0.576,0.871,-0.18
Person_154,0.538,0.447,22,38,0.579,2.068,2.027,2.524,2.673
Person_155,1.873,0.505,28,38,0.737,0.708,-0.454,0.638,-0.628
Person_156,-3.906,0.67,3,38,0.079,1.436,0.901,0.963,0.265
Person_157,0.943,0.461,24,38,0.632,1.335,0.823,1.656,1.387
Person_158,0.538,0.447,22,38,0.579,0.446,-1.475,0.461,-1.45
Person_159,-1.611,0.47,11,38,0.289,0.798,-0.333,0.841,-0.221
Person_160,-0.603,0.439,16,38,0.421,0.883,-0.151,0.946,0.01
Person_161,1.383,0.481,26,38,0.684,0.804,-0.278,0.927,-0.003
Person_162,3.934,0.637,35,38,0.921,0.375,-1.357,0.256,-0.561
Person_163,0.538,0.447,22,38,0.579,0.544,-1.114,0.478,-1.386
Person_164,-1.19,0.454,13,38,0.342,1.135,0.443,1.137,0.448
Person_165,-0.038,0.438,19,38,0.5,0.354,-1.922,0.356,-1.939
Person_166,-0.414,0.437,17,38,0.447,1.171,0.525,1.253,0.699
Person_167,0.943,0.461,24,38,0.632,1.3,0.758,1.346,0.853
Person_168,-2.07,0.494,9,38,0.237,1.677,1.37,1.397,0.883
Person_169,2.693,0.536,31,38,0.816,0.872,-0.084,0.606,-0.47
Person_170,-2.318,0.508,8,38,0.211,0.612,-0.809,0.519,-0.957
Person_171,1.621,0.493,27,38,0.711,0.871,-0.102,0.837,-0.187
Person_172,-0.603,0.439,16,38,0.421,1.01,0.163,0.997,0.133
Person_173,0.151,0.439,20,38,0.526,0.616,-0.9,0.679,-0.721
Person_174,-1.835,0.481,10,38,0.263,1.095,0.355,0.932,0.008
Person_175,-0.226,0.437,18,38,0.474,0.597,-0.982,0.526,-1.241
Person_176,0.538,0.447,22,38,0.579,1.498,1.136,1.222,0.626
Person_177,1.621,0.493,27,38,0.711,0.598,-0.776,0.855,-0.146
Person_178,0.343,0.443,21,38,0.553,1.178,0.534,1.299,0.786
Person_179,-0.414,0.437,17,38,0.447,0.881,-0.155,1.016,0.179
Person_180,-0.414,0.437,17,38,0.447,1.546,1.255,1.478,1.135
Person_181,1.873,0.505,28,38,0.737,0.732,-0.396,0.862,-0.106
Person_182,1.158,0.47,25,38,0.658,1.633,1.304,1.515,1.132
Person_183,-1.19,0.454,13,38,0.342,1.499,1.145,1.559,1.253
Person_184,-3.172,0.576,5,38,0.132,0.458,-1.248,0.392,-0.965
Person_185,0.737,0.453,23,38,0.605,0.647,-0.767,0.743,-0.505
Person_186,1.873,0.505,28,38,0.737,0.766,-0.317,0.661,-0.571
Person_187,-0.226,0.437,18,38,0.474,0.733,-0.559,0.802,-0.367
Person_188,0.343,0.443,21,38,0.553,0.401,-1.675,0.426,-1.61
Person_189,2.412,0.526,30,38,0.789,1.402,0.851,1.006,0.212
Person_190,-2.07,0.494,9,38,0.237,0.805,-0.295,0.854,-0.148
Person_191,1.383,0.481,26,38,0.684,0.55,-0.965,0.551,-0.991
Person_192,-2.582,0.526,7,38,0.184,0.793,-0.312,0.684,-0.453
Person_193,-0.414,0.437,17,38,0.447,0.845,-0.249,0.769,-0.459
Person_194,3.589,0.592,34,38,0.895,0.648,-0.629,0.387,-0.505
Person_195,0.538,0.447,22,38,0.579,1.079,0.322,0.993,0.127
Person_196,2.138,0.516,29,38,0.763,0.498,-0.993,0.738,-0.332
Person_197,-0.795,0.443,15,38,0.395,0.96,0.044,0.986,0.106
Person_198,2.693,0.536,31,38,0.816,1.187,0.512,0.7,-0.281
Person_199,-0.603,0.439,16,38,0.421,1.074,0.313,1.024,0.196
Person_200,0.737,0.453,23,38,0.605,0.898,-0.091,0.915,-0.056
Person_201,1.873,0.505,28,38,0.737,0.935,0.045,1.134,0.42
Person_202,-0.414,0.437,17,38,0.447,1.856,1.773,1.758,1.62
Person_203,-0.603,0.439,16,38,0.421,1.072,0.308,1.19,0.567
Person_204,-0.038,0.438,19,38,0.5,1.251,0.688,1.224,0.637
Person_205,2.693,0.536,31,38,0.816,1.028,0.226,2.246,1.615
Person_206,-1.396,0.461,12,38,0.316,1.041,0.238,1.02,0.191
Person_207,-0.795,0.443,15,38,0.395,0.912,-0.075,1.007,0.156
Person_208,-0.603,0.439,16,38,0.421,0.751,-0.51,0.715,-0.616
Person_209,0.943,0.461,24,38,0.632,1.472,1.065,1.361,0.88
Person_210,1.873,0.505,28,38,0.737,0.865,-0.099,0.844,-0.143
Person_211,-3.172,0.576,5,38,0.132,0.422,-1.376,0.353,-1.077
Person_212,0.538,0.447,22,38,0.579,2.078,2.04,2.237,2.298
Person_213,-0.603,0.439,16,38,0.421,0.702,-0.654,0.717,-0.608
Person_214,0.343,0.443,21,38,0.553,1.273,0.724,1.115,0.403
Person_215,-1.19,0.454,13,38,0.342,0.968,0.07,0.943,0.008
Person_216,2.693,0.536,31,38,0.816,0.773,-0.301,1.306,0.641
Person_217,0.737,0.453,23,38,0.605,0.77,-0.418,0.753,-0.479
Person_218,-0.226,0.437,18,38,0.474,1.418,1.018,1.248,0.687
Person_219,0.151,0.439,20,38,0.526,1.206,0.594,1.134,0.445
Person_220,1.621,0.493,27,38,0.711,1.044,0.254,1.21,0.564
Person_221,0.943,0.461,24,38,0.632,1.104,0.373,1.083,0.33
Person_222,2.412,0.526,30,38,0.789,1.557,1.077,1.674,1.13
Person_223,2.138,0.516,29,38,0.763,2.583,2.28,2.24,1.846
Person_224,-0.038,0.438,19,38,0.5,1.547,1.245,1.769,1.636
Person_225,1.158,0.47,25,38,0.658,0.932,0.004,1.013,0.181
Person_226,1.383,0.481,26,38,0.684,0.947,0.048,1.052,0.265
Person_227,-2.582,0.526,7,38,0.184,1.272,0.687,1.332,0.725
Person_228,-0.414,0.437,17,38,0.447,1.202,0.591,1.158,0.498
Person_229,0.151,0.439,20,38,0.526,0.53,-1.189,0.599,-0.978
Person_230,1.383,0.481,26,38,0.684,1.756,1.446,1.552,1.164
Person_231,0.737,0.453,23,38,0.605,0.846,-0.219,0.822,-0.293
Person_232,2.412,0.526,30,38,0.789,1.018,0.211,0.624,-0.519
Person_233,1.383,0.481,26,38,0.684,0.889,-0.079,0.972,0.096
Person_234,-1.19,0.454,13,38,0.342,0.889,-0.121,0.838,-0.254
Person_235,2.138,0.516,29,38,0.763,0.519,-0.933,0.462,-1.035
Person_236,2.138,0.516,29,38,0.763,0.807,-0.214,0.948,0.09
Person_237,-2.07,0.494,9,38,0.237,0.319,-1.893,0.311,-1.8
Person_238,2.138,0.516,29,38,0.763,1.292,0.68,0.906,0.011
Person_239,-0.795,0.443,15,38,0.395,0.36,-1.909,0.315,-2.131
Person_240,0.151,0.439,20,38,0.526,0.784,-0.401,0.917,-0.062
Person_241,0.737,0.453,23,38,0.605,1.152,0.475,0.982,0.103
Person_242,0.943,0.461,24,38,0.632,0.751,-0.454,0.748,-0.477
Person_243,0.737,0.453,23,38,0.605,0.646,-0.772,0.664,-0.736
Person_244,-0.99,0.447,14,38,0.368,0.591,-0.989,0.568,-1.069
Person_245,-2.07,0.494,9,38,0.237,0.869,-0.14,0.727,-0.45
Person_246,0.737,0.453,23,38,0.605,0.779,-0.395,0.747,-0.494
Person_247,-0.603,0.439,16,38,0.421,0.923,-0.047,0.894,-0.122
Person_248,0.943,0.461,24,38,0.632,0.93,-0.009,0.875,-0.146
Person_249,2.412,0.526,30,38,0.789,1.563,1.084,1.553,0.985
Person_250,-1.611,0.47,11,38,0.289,1.082,0.328,1.031,0.218
Person_251,-1.396,0.461,12,38,0.316,1.118,0.406,1.071,0.305
Person_252,-0.226,0.437,18,38,0.474,1.233,0.655,1.2,0.588
Person_253,3.934,0.637,35,38,0.921,0.614,-0.646,0.334,-0.409
Person_254,0.538,0.447,22,38,0.579,0.722,-0.56,0.571,-1.049
Person_255,0.538,0.447,22,38,0.579,0.359,-1.841,0.395,-1.719
Person_256,0.737,0.453,23,38,0.605,1.146,0.463,1.216,0.609
Person_257,-0.603,0.439,16,38,0.421,0.603,-0.968,0.612,-0.937
Person_258,1.621,0.493,27,38,0.711,2.194,1.958,2.751,2.613
Person_259,0.538,0.447,22,38,0.579,0.784,-0.388,0.699,-0.644
Person_260,-0.226,0.437,18,38,0.474,0.86,-0.208,0.865,-0.199
Person_261,-0.603,0.439,16,38,0.421,1.12,0.415,1.1,0.371
Person_262,-3.172,0.576,5,38,0.132,0.539,-0.983,0.447,-0.82
Person_263,-0.414,0.437,17,38,0.447,0.599,-0.982,0.544,-1.176
Person_264,-2.07,0.494,9,38,0.237,0.657,-0.689,0.601,-0.787
Person_265,-0.99,0.447,14,38,0.368,1.015,0.178,0.972,0.076
Person_266,-0.414,0.437,17,38,0.447,0.81,-0.345,0.82,-0.319
Person_267,-1.19,0.454,13,38,0.342,1.233,0.646,1.117,0.405
Person_268,1.621,0.493,27,38,0.711,0.735,-0.415,0.621,-0.731
Person_269,-2.07,0.494,9,38,0.237,0.81,-0.283,0.862,-0.129
Person_270,0.737,0.453,23,38,0.605,1.275,0.72,1.255,0.688
Person_271,2.693,0.536,31,38,0.816,2.038,1.718,1.266,0.59
Person_272,1.873,0.505,28,38,0.737,0.425,-1.257,0.591,-0.755
Person_273,-1.611,0.47,11,38,0.289,0.792,-0.35,0.855,-0.186
Person_274,-1.611,0.47,11,38,0.289,1.09,0.344,1.076,0.315
Person_275,-2.07,0.494,9,38,0.237,0.186,-2.62,0.213,-2.287
Person_276,0.737,0.453,23,38,0.605,0.321,-1.989,0.395,-1.693
Person_277,0.737,0.453,23,38,0.605,1.241,0.653,1.217,0.612
Person_278,-0.414,0.437,17,38,0.447,1.448,1.078,1.487,1.152
Person_279,-0.414,0.437,17,38,0.447,1.053,0.265,1.02,0.186
Person_280,1.158,0.47,25,38,0.658,0.527,-1.09,0.477,-1.292
Person_281,-0.226,0.437,18,38,0.474,0.731,-0.564,0.794,-0.39
Person_282,-2.582,0.526,7,38,0.184,0.486,-1.195,0.793,-0.214
Person_283,-0.795,0.443,15,38,0.395,0.312,-2.146,0.34,-2.008
Person_284,-1.611,0.47,11,38,0.289,0.362,-1.768,0.361,-1.757
Person_285,2.412,0.526,30,38,0.789,1.268,0.643,1.58,1.018
Person_286,4.34,0.714,36,38,0.947,1.077,0.329,1.961,1.005
Person_287,1.383,0.481,26,38,0.684,0.447,-1.305,0.489,-1.197
Person_288,-3.514,0.614,4,38,0.105,0.445,-1.245,0.37,-0.837
Person_289,0.737,0.453,23,38,0.605,0.285,-2.169,0.361,-1.844
Person_290,-0.795,0.443,15,38,0.395,1.044,0.244,1.085,0.336
Person_291,-0.226,0.437,18,38,0.474,1.096,0.361,1.171,0.527
Person_292,2.693,0.536,31,38,0.816,0.741,-0.375,0.77,-0.152
Person_293,-2.07,0.494,9,38,0.237,0.58,-0.919,0.537,-0.977
Person_294,-2.07,0.494,9,38,0.237,1.143,0.448,1.138,0.432
Person_295,-1.611,0.47,11,38,0.289,1.251,0.667,1.549,1.191
Person_296,-0.603,0.439,16,38,0.421,0.405,-1.718,0.395,-1.759
Person_297,0.943,0.461,24,38,0.632,0.69,-0.624,0.651,-0.754
Person_298,2.98,0.548,32,38,0.842,0.706,-0.48,0.409,-0.787
Person_299,-2.865,0.548,6,38,0.158,0.658,-0.656,0.547,-0.695
Person_300,-1.396,0.461,12,38,0.316,0.316,-2.019,0.334,-1.942
Person_301,0.151,0.439,20,38,0.526,0.913,-0.065,0.941,-0.003
Person_302,-1.611,0.47,11,38,0.289,0.772,-0.401,0.66,-0.707
Person_303,0.151,0.439,20,38,0.526,1.364,0.905,1.397,0.979
Person_304,-0.795,0.443,15,38,0.395,0.919,-0.056,1.071,0.306
Person_305,-0.795,0.443,15,38,0.395,0.913,-0.072,0.858,-0.214
Person_306,1.383,0.481,26,38,0.684,2.044,1.837,2.31,2.211
Person_307,-2.865,0.548,6,38,0.158,0.938,0.027,0.824,-0.105
Person_308,-1.396,0.461,12,38,0.316,1.533,1.187,1.471,1.083
Person_309,1.383,0.481,26,38,0.684,1.042,0.246,1.034,0.229
Person_310,-0.226,0.437,18,38,0.474,1.894,1.825,1.696,1.518
Person_311,-2.318,0.508,8,38,0.211,0.854,-0.171,0.733,-0.392
Person_312,-2.582,0.526,7,38,0.184,0.497,-1.157,0.451,-1.065
Person_313,-1.19,0.454,13,38,0.342,1.038,0.23,1.039,0.233
Person_314,-0.226,0.437,18,38,0.474,1.09,0.348,1.09,0.349
Person_315,-1.611,0.47,11,38,0.289,1.874,1.704,1.717,1.459
Person_316,2.693,0.536,31,38,0.816,1.282,0.671,1.113,0.385
Person_317,2.412,0.526,30,38,0.789,0.756,-0.327,0.444,-0.975
Person_318,1.383,0.481,26,38,0.684,0.517,-1.07,0.558,-0.971
Person_319,-0.603,0.439,16,38,0.421,0.176,-3.002,0.182,-2.957
Person_320,-1.611,0.47,11,38,0.289,0.921,-0.031,0.845,-0.21
Person_321,-2.318,0.508,8,38,0.211,0.873,-0.127,0.998,0.17
Person_322,-0.226,0.437,18,38,0.474,0.686,-0.697,0.814,-0.334
Person_323,1.383,0.481,26,38,0.684,1.496,1.056,1.887,1.661
Person_324,1.873,0.505,28,38,0.737,0.533,-0.919,0.791,-0.262
Person_325,1.873,0.505,28,38,0.737,0.476,-1.092,0.46,-1.144
Person_326,-2.865,0.548,6,38,0.158,0.699,-0.543,0.571,-0.638
Person_327,0.151,0.439,20,38,0.526,0.74,-0.523,0.638,-0.849
Person_328,1.621,0.493,27,38,0.711,1.361,0.814,1.2,0.547
Person_329,-0.795,0.443,15,38,0.395,0.448,-1.529,0.471,-1.436
Person_330,1.873,0.505,28,38,0.737,0.611,-0.7,0.526,-0.939
Person_331,1.158,0.47,25,38,0.658,1.838,1.609,1.686,1.407
Person_332,-0.795,0.443,15,38,0.395,0.345,-1.982,0.414,-1.668
Person_333,0.737,0.453,23,38,0.605,0.699,-0.614,0.667,-0.726
Person_334,-1.835,0.481,10,38,0.263,1.104,0.372,1.047,0.255
Person_335,-0.99,0.447,14,38,0.368,0.769,-0.447,0.73,-0.56
Person_336,-4.97,0.912,1,38,0.026,0.816,-0.023,0.573,0.179
Person_337,2.412,0.526,30,38,0.789,0.477,-1.06,0.831,-0.095
Person_338,-0.038,0.438,19,38,0.5,1.114,0.401,1.038,0.229
Person_339,-1.19,0.454,13,38,0.342,1.497,1.141,1.579,1.288
Person_340,0.943,0.461,24,38,0.632,0.633,-0.792,0.587,-0.955
Person_341,0.538,0.447,22,38,0.579,0.45,-1.459,0.459,-1.457
Person_342,-1.835,0.481,10,38,0.263,0.685,-0.623,0.692,-0.58
Person_343,1.621,0.493,27,38,0.711,0.516,-1.017,0.609,-0.766
Person_344,-1.396,0.461,12,38,0.316,0.535,-1.134,0.57,-1.019
Person_345,-0.038,0.438,19,38,0.5,0.731,-0.558,0.603,-0.968
Person_346,0.151,0.439,20,38,0.526,0.821,-0.302,0.957,0.037
Person_347,0.737,0.453,23,38,0.605,0.859,-0.187,0.918,-0.048
Person_348,2.693,0.536,31,38,0.816,0.999,0.171,0.89,0.051
Person_349,-3.514,0.614,4,38,0.105,0.797,-0.268,0.632,-0.293
Person_350,2.693,0.536,31,38,0.816,1.899,1.548,1.913,1.308
Person_351,-2.07,0.494,9,38,0.237,0.485,-1.228,0.465,-1.208
Person_352,0.737,0.453,23,38,0.605,1.281,0.73,1.291,0.758
Person_353,-0.603,0.439,16,38,0.421,0.607,-0.956,0.692,-0.683
Person_354,1.383,0.481,26,38,0.684,0.73,-0.46,0.682,-0.607
Person_355,1.158,0.47,25,38,0.658,1.247,0.649,1.095,0.354
Person_356,-1.19,0.454,13,38,0.342,1.976,1.909,1.972,1.91
Person_357,3.589,0.592,34,38,0.895,0.732,-0.418,2.399,1.364
Person_358,-0.99,0.447,14,38,0.368,0.779,-0.42,0.737,-0.539
Person_359,0.737,0.453,23,38,0.605,0.558,-1.051,0.54,-1.138
Person_360,-3.514,0.614,4,38,0.105,0.685,-0.539,0.536,-0.471
