,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Person_58,4,5,4,4,3,3,1,3,3,3
Person_59,1,0,2,2,1,2,1,1,0,1
Person_60,4,3,3,3,3,3,1,2,2,3
Person_61,1,0,0,0,1,0,0,0,0,0
Person_62,2,4,3,2,2,2,1,0,0,3
Person_63,1,3,3,4,2,1,1,0,0,3
Person_64,2,4,2,4,3,2,2,1,2,2
Person_65,2,5,3,4,3,3,1,3,2,3
Person_66,3,4,5,4,2,3,2,0,3,3
Person_67,2,1,2,1,3,2,0,1,1,3
Person_68,0,1,2,2,2,2,1,0,1,1
Person_69,2,5,4,4,2,2,1,2,2,3
Person_70,3,4,4,0,3,3,0,0,0,2
Person_71,0,0,1,0,1,1,0,0,0,2
Person_72,1,2,0,2,1,0,1,0,0,2
Person_73,0,0,2,1,2,1,0,0,0,3
Person_74,2,3,3,4,3,3,2,2,1,3
Person_75,3,2,3,2,3,3,1,0,1,3
Person_76,3,4,5,3,3,2,1,1,0,3
Person_77,2,3,4,5,2,2,0,2,0,3
Person_78,0,4,3,3,3,3,0,1,0,3
Person_79,2,3,1,4,3,3,2,1,0,2
Person_80,1,2,1,1,3,2,0,1,1,1
Person_81,0,2,3,4,3,3,1,1,1,3
Person_82,0,2,2,3,3,1,0,1,0,2
Person_83,3,3,3,2,3,3,2,0,2,2
Person_84,2,2,3,2,3,2,0,2,1,1
Person_85,0,2,2,1,1,1,0,0,0,2
Person_86,3,5,5,4,3,3,1,1,1,3
Person_87,0,1,3,2,2,3,2,1,0,3
Person_88,3,2,2,3,1,3,0,0,3,2
Person_89,0,2,2,3,3,2,1,1,2,3
Person_90,3,3,4,3,2,3,1,1,0,3
Person_91,3,5,4,3,2,3,2,0,2,3
Person_92,2,2,1,3,2,1,1,2,0,3
Person_93,3,2,2,3,3,1,0,0,0,1
Person_94,1,4,2,3,3,3,0,2,1,3
Person_95,0,0,0,1,2,0,0,0,0,3
Person_96,0,1,1,0,1,1,0,1,0,2
Person_97,0,2,0,0,3,1,0,0,0,1
Person_98,0,0,3,1,1,3,0,0,2,2
Person_99,1,4,3,1,3,3,2,0,2,3
Person_100,2,2,0,1,0,2,0,0,0,2
Person_101,0,2,2,0,3,3,2,0,1,2
Person_102,4,5,5,4,3,3,2,3,1,3
Person_103,2,1,3,4,2,3,1,0,1,2
Person_104,1,4,3,3,1,3,2,1,2,3
Person_105,0,4,0,2,3,3,1,0,1,2
Person_106,2,3,3,3,3,3,2,1,0,1
Person_107,0,1,1,2,1,1,0,0,0,1
Person_108,0,3,1,3,0,2,1,0,2,2
Person_109,2,4,3,4,3,3,3,2,2,3
Person_110,0,0,1,0,1,1,0,0,0,1
Person_111,3,4,3,3,2,3,0,0,0,2
Person_112,3,3,4,2,3,3,0,2,1,3
Person_113,2,2,1,3,2,3,0,1,0,1
Person_114,1,1,0,0,1,2,1,0,0,0
Person_115,2,2,4,4,1,1,1,1,1,3
Person_116,2,1,3,2,3,3,0,0,0,3
Person_117,0,3,2,4,3,3,1,1,2,3
Person_118,3,3,4,3,2,3,1,1,0,3
Person_119,4,4,4,3,3,3,3,2,1,3
Person_120,3,2,4,2,2,2,0,0,0,2
Person_121,0,0,3,1,2,1,0,0,1,2
Person_122,1,4,4,2,2,3,1,0,0,3
Person_123,3,4,4,2,3,3,1,0,0,3
Person_124,4,5,5,4,3,3,1,0,3,3
Person_125,4,5,4,4,3,3,0,3,3,3
Person_126,4,4,1,4,3,3,1,1,1,2
Person_127,4,5,4,3,3,3,3,3,3,3
Person_128,1,0,3,0,0,3,1,1,0,2
Person_129,0,2,1,2,2,0,1,0,1,2
Person_130,0,1,1,2,2,2,0,0,0,2
Person_131,2,2,3,1,2,3,0,0,1,3
Person_132,2,2,0,0,2,0,1,0,0,2
Person_133,5,4,2,4,3,3,1,1,1,3
Person_134,0,2,3,2,3,3,0,0,0,3
Person_135,0,1,2,1,1,2,0,0,0,1
Person_136,1,0,0,3,1,1,0,0,0,2
Person_137,3,3,2,3,3,3,1,0,2,3
Person_138,3,5,4,5,3,3,1,1,1,3
Person_139,4,5,5,4,3,3,3,2,2,3
Person_140,5,5,5,4,3,3,3,3,2,3
Person_141,2,4,5,4,3,3,0,1,2,3
Person_142,1,0,2,0,1,3,0,0,0,3
Person_143,0,0,0,0,1,0,0,1,0,0
Person_144,1,4,4,2,2,3,1,1,1,3
Person_145,2,2,0,3,2,2,1,1,0,2
Person_146,1,1,3,1,1,1,0,0,0,2
Person_147,3,0,2,1,2,3,0,0,0,3
Person_148,2,2,3,1,3,3,1,0,1,2
Person_149,2,5,4,5,3,3,3,2,2,3
Person_150,2,3,3,4,3,3,0,3,1,2
Person_151,0,2,2,2,1,3,0,2,0,3
Person_152,1,4,1,2,2,2,0,0,0,1
Person_153,1,1,0,2,1,0,0,0,0,1
Person_154,0,4,3,2,3,2,1,0,0,2
Person_155,1,4,3,3,2,2,0,0,0,3
Person_156,3,5,5,4,3,3,3,3,2,3
Person_157,2,3,3,3,3,2,1,0,0,3
Person_158,2,5,3,3,3,3,1,0,2,3
Person_159,0,2,0,2,2,3,1,0,0,3
Person_160,1,1,0,0,3,1,0,0,0,2
Person_161,0,1,1,1,1,1,0,0,0,3
Person_162,0,2,1,2,1,3,0,0,0,1
Person_163,3,5,5,4,3,3,2,3,3,3
Person_164,0,1,2,0,2,3,0,0,1,3
Person_165,4,3,4,4,1,3,1,1,1,3
Person_166,0,2,1,1,3,2,0,2,0,2
Person_167,3,5,4,4,3,3,1,3,1,3
Person_168,2,4,3,4,3,3,3,2,1,2
Person_169,3,1,2,2,2,2,1,0,0,3
Person_170,2,5,1,3,2,2,0,1,0,2
Person_171,2,1,2,1,2,3,1,1,1,2
Person_172,3,5,3,3,3,2,1,0,2,3
Person_173,0,1,2,2,3,2,0,0,0,3
Person_174,0,2,2,1,1,2,1,1,0,1
Person_175,1,3,0,1,1,1,0,0,0,3
Person_176,0,1,3,3,3,2,0,1,1,3
Person_177,3,5,4,4,3,3,3,2,2,3
Person_178,3,4,3,3,3,2,1,1,1,2
Person_179,2,2,1,2,3,2,1,1,1,3
Person_180,3,4,4,3,3,2,2,1,1,3
Person_181,4,5,5,4,3,3,3,3,3,3
Person_182,3,3,4,4,1,3,2,2,0,3
Person_183,1,0,4,0,3,2,1,0,0,3
Person_184,1,5,4,2,3,2,2,1,3,3
Person_185,2,4,4,4,2,3,1,0,3,3
Person_186,3,5,4,4,3,3,2,2,3,3
Person_187,1,3,3,3,3,3,3,0,2,2
Person_188,1,1,1,1,0,0,0,0,0,2
Person_189,0,1,1,2,3,2,0,0,0,2
Person_190,4,5,4,5,3,3,3,3,2,3
Person_191,3,5,4,4,3,3,1,3,3,3
Person_192,1,4,3,4,2,3,0,0,0,3
Person_193,1,2,2,2,3,0,1,0,0,3
Person_194,3,5,4,4,3,3,2,3,1,3
Person_195,0,2,0,0,3,2,1,0,0,2
Person_196,0,2,3,2,1,1,0,0,1,3
Person_197,3,2,3,3,3,3,1,2,0,3
Person_198,1,1,0,2,2,1,1,0,1,2
Person_199,1,2,3,2,3,3,1,0,1,3
Person_200,0,3,3,3,3,2,1,2,0,2
Person_201,2,2,2,3,3,3,1,2,2,3
Person_202,3,4,5,5,3,3,1,1,1,3
Person_203,0,3,4,4,3,3,1,0,2,2
Person_204,2,4,3,4,3,3,0,2,2,3
Person_205,0,0,0,1,0,1,0,0,0,1
Person_206,2,4,4,3,3,2,0,1,0,3
Person_207,2,1,1,0,3,1,0,0,1,0
Person_208,1,0,0,0,1,0,1,2,0,2
Person_209,1,2,2,3,3,0,0,0,0,3
Person_210,0,2,2,3,3,3,0,0,0,2
Person_211,1,4,5,3,3,3,2,0,2,3
Person_212,1,2,2,0,0,2,0,0,1,1
Person_213,1,2,3,3,3,3,0,0,0,2
Person_214,0,0,2,4,3,3,1,0,0,2
Person_215,1,3,2,3,3,3,1,1,0,2
Person_216,3,5,3,3,3,3,2,2,3,3
Person_217,4,5,4,2,3,3,2,0,1,2
Person_218,4,5,4,4,3,3,2,1,2,3
Person_219,1,5,2,4,3,2,2,1,0,3
Person_220,1,2,3,3,1,0,1,0,0,2
Person_221,1,2,2,2,2,3,1,0,2,3
Person_222,3,4,3,3,3,3,1,1,0,3
Person_223,2,3,1,2,3,3,2,0,1,3
Person_224,0,0,3,3,3,1,1,0,0,2
Person_225,2,4,4,2,3,3,1,3,1,2
Person_226,1,3,2,3,2,3,1,0,2,3
Person_227,5,5,5,5,3,3,3,3,2,3
Person_228,5,5,4,4,3,3,3,3,3,3
Person_229,1,1,2,1,2,1,0,0,0,2
Person_230,1,3,3,2,2,3,1,0,2,2
Person_231,1,0,1,3,0,1,0,0,0,0
Person_232,1,3,1,2,0,2,1,1,0,1
Person_233,4,3,2,4,3,3,1,2,0,3
Person_234,2,4,4,4,3,3,3,2,3,3
Person_235,2,2,3,1,1,3,0,0,0,2
Person_236,1,3,2,3,1,1,0,0,0,0
Person_237,0,1,0,0,1,2,0,0,0,2
Person_238,2,1,3,2,2,3,0,0,0,3
Person_239,2,0,0,0,0,3,0,0,0,3
Person_240,1,1,1,2,3,3,0,0,0,2
Person_241,1,1,2,0,0,0,0,0,0,1
Person_242,1,2,2,2,2,3,1,0,3,2
Person_243,0,1,0,0,0,1,0,0,0,3
Person_244,0,0,0,1,0,1,0,0,0,0
Person_245,3,4,4,4,3,3,2,3,2,3
Person_246,0,1,1,2,2,0,0,1,1,1
Person_247,1,0,0,2,1,2,0,0,0,1
Person_248,4,5,5,4,2,3,2,2,2,3
Person_249,5,5,5,5,3,3,3,3,3,3
Person_250,1,0,0,0,1,0,0,0,1,2
Person_251,1,3,3,1,3,2,1,0,0,3
Person_252,2,2,3,3,3,2,1,0,2,2
Person_253,5,5,2,4,3,3,3,3,3,3
Person_254,1,0,4,2,2,2,1,0,0,2
Person_255,0,2,2,3,3,3,0,0,1,3
Person_256,2,4,4,3,3,3,2,3,0,3
Person_257,3,4,5,2,3,2,1,1,3,2
Person_258,2,4,2,3,3,3,0,1,1,3
Person_259,2,3,4,3,3,2,2,1,0,2
Person_260,0,1,1,2,2,1,0,0,0,2
Person_261,2,2,1,3,2,3,2,0,1,3
Person_262,1,3,4,3,1,2,1,2,0,3
Person_263,2,3,3,3,3,3,1,0,2,3
Person_264,0,4,3,2,2,2,0,0,0,0
Person_265,2,3,3,3,2,2,1,1,1,2
Person_266,3,4,3,2,3,3,1,0,1,3
Person_267,2,4,1,3,2,2,1,1,2,2
Person_268,2,5,3,4,2,3,2,2,1,3
Person_269,1,3,3,3,3,1,1,0,1,3
Person_270,3,5,2,3,3,2,1,0,0,2
Person_271,0,1,2,1,3,1,0,1,0,1
Person_272,3,4,2,2,3,3,1,1,2,3
Person_273,3,2,2,2,2,3,1,2,1,3
Person_274,5,5,5,4,3,3,2,3,3,3
Person_275,5,5,5,4,3,3,1,2,2,3
Person_276,4,3,3,4,3,2,1,1,1,3
Person_277,1,2,2,1,3,1,1,0,0,2
Person_278,0,0,1,0,1,2,0,0,0,2
Person_279,4,5,5,3,3,3,3,2,3,3
Person_280,3,2,4,3,3,3,1,1,2,3
Person_281,4,0,4,5,2,3,1,1,0,3
Person_282,0,0,2,0,0,0,0,0,0,1
Person_283,3,3,4,4,3,3,2,3,1,3
Person_284,3,4,3,3,2,3,1,1,1,2
Person_285,0,1,2,1,1,1,0,0,0,2
Person_286,0,3,2,2,1,3,0,0,0,2
Person_287,4,4,4,3,3,3,2,2,2,3
Person_288,1,4,2,3,3,2,1,1,0,2
Person_289,1,4,2,0,1,3,1,1,1,2
Person_290,2,3,4,3,3,3,1,0,2,3
Person_291,2,4,3,4,3,3,0,1,1,2
Person_292,3,4,4,4,3,1,0,0,1,3
Person_293,4,5,5,5,3,3,3,2,3,3
Person_294,0,0,0,0,1,1,0,0,0,0
Person_295,3,2,3,3,3,3,0,1,1,3
Person_296,1,2,2,3,3,3,0,1,1,3
Person_297,2,5,4,3,2,3,0,1,0,3
Person_298,0,2,3,3,3,3,0,0,0,2
Person_299,0,0,0,1,0,1,0,0,0,2
Person_300,2,5,3,4,3,2,2,1,1,3
Person_301,5,5,5,4,3,3,3,3,3,3
Person_302,0,0,0,0,0,2,0,0,0,0
Person_303,4,5,4,3,3,3,1,2,1,3
Person_304,2,1,4,2,2,1,1,1,0,2
Person_305,2,2,3,2,2,3,1,0,0,2
Person_306,0,0,2,1,1,1,0,0,0,2
Person_307,1,2,4,2,1,2,0,0,0,3
Person_308,4,5,5,5,3,3,2,3,2,3
Person_309,3,4,5,2,3,3,2,1,2,2
Person_310,4,5,5,5,3,3,3,1,2,2
Person_311,4,4,4,4,2,3,1,1,3,3
Person_312,3,2,3,4,3,3,1,2,1,3
Person_313,3,5,4,5,3,3,3,3,2,3
Person_314,2,3,3,4,3,3,2,1,2,3
Person_315,4,4,4,3,3,2,1,3,3,3
Person_316,2,3,1,2,3,2,1,0,2,2
Person_317,1,5,4,3,2,3,1,0,0,3
Person_318,1,1,3,1,3,3,0,0,1,3
Person_319,3,4,5,5,3,2,2,0,1,3
Person_320,0,0,1,1,0,1,0,0,0,1
Person_321,2,5,5,4,2,3,1,3,2,3
Person_322,3,1,4,1,3,0,0,1,2,3
Person_323,3,4,4,4,3,3,1,2,2,2
Person_324,3,5,5,3,3,2,1,1,1,3
Person_325,3,5,4,3,3,3,3,2,2,3
Person_326,4,5,4,5,3,3,0,3,0,3
Person_327,0,0,2,3,2,1,0,0,0,1
Person_328,2,2,1,2,1,3,0,1,2,2
Person_329,1,0,0,0,2,1,0,0,0,1
Person_330,0,1,3,2,2,3,1,1,1,2
Person_331,4,5,5,4,3,3,3,3,3,3
Person_332,3,3,3,4,3,3,1,2,1,3
Person_333,0,2,2,3,1,3,0,0,0,3
Person_334,1,1,1,0,2,0,1,0,1,1
Person_335,3,4,2,3,3,3,1,1,2,3
Person_336,1,1,1,2,2,2,1,0,0,1
Person_337,1,2,2,1,3,2,1,1,0,1
Person_338,1,5,3,3,3,3,3,0,0,3
Person_339,3,5,4,5,3,3,1,2,2,3
Person_340,1,5,4,4,3,1,2,0,2,3
Person_341,1,0,0,0,1,0,0,0,0,0
Person_342,3,2,4,2,3,3,1,1,0,1
Person_343,3,4,3,3,3,2,0,3,1,3
Person_344,3,5,4,3,3,3,1,1,1,2
Person_345,5,5,5,4,3,3,3,3,3,3
Person_346,0,0,0,0,0,1,0,0,0,0
Person_347,1,2,3,2,1,3,1,1,2,0
Person_348,3,5,4,2,3,3,2,3,1,3
Person_349,0,1,0,0,0,3,0,0,0,2
Person_350,3,5,4,4,3,3,2,3,1,3
Person_351,3,2,4,2,3,3,2,1,0,2
Person_352,1,4,3,4,2,3,1,2,2,3
Person_353,2,3,0,2,3,3,1,0,0,0
Person_354,3,4,4,3,3,3,0,1,2,3
Person_355,3,5,4,5,3,3,2,3,1,3
Person_356,1,5,3,2,3,3,1,1,1,3
Person_357,3,3,4,3,2,3,1,1,3,3
Person_358,4,4,1,2,3,3,1,0,0,3
Person_359,1,2,0,0,3,1,1,0,0,2
Person_360,3,2,3,2,3,2,1,1,1,3
Person_361,2,2,4,4,3,3,0,0,2,2
Person_362,2,1,4,4,3,2,1,1,2,3
Person_363,2,5,4,4,3,3,1,0,2,3
Person_364,0,2,2,3,1,2,0,0,0,1
Person_365,0,2,4,3,2,3,1,1,1,3
Person_366,3,5,5,4,3,3,2,3,1,3
Person_367,1,0,1,1,3,3,0,1,1,1
Person_368,1,3,3,2,1,1,1,1,0,2
Person_369,2,2,3,3,1,3,0,1,1,2
Person_370,3,5,4,3,3,3,1,1,2,3
Person_371,2,5,4,3,3,3,1,1,0,2
Person_372,3,3,3,4,3,3,2,2,3,3
Person_373,1,5,4,4,3,3,1,2,2,3
Person_374,3,4,3,4,3,3,1,1,1,3
Person_375,1,4,5,4,3,3,1,1,2,3
Person_376,4,5,5,5,3,3,2,3,3,3
Person_377,1,3,2,4,3,3,1,0,1,3
Person_378,0,0,0,1,0,1,0,0,0,0
Person_379,5,5,3,4,3,3,3,3,2,3
Person_380,0,2,3,3,3,2,0,0,1,2
Person_381,2,3,3,3,2,3,1,1,1,3
Person_382,4,4,4,5,3,3,0,3,3,3
Person_383,0,0,0,1,1,0,0,0,0,2
Person_384,0,0,0,0,2,1,0,1,0,2
Person_385,0,1,0,0,0,0,0,0,0,2
Person_386,0,2,2,2,2,1,1,0,0,1
Person_387,3,3,4,3,3,3,2,0,3,3
Person_388,0,4,3,3,3,3,1,2,1,3
Person_389,0,4,4,2,3,3,1,2,2,3
Person_390,0,1,3,1,1,3,0,0,1,2
Person_391,0,0,0,0,1,0,0,0,0,1
Person_392,3,4,3,3,3,2,2,3,0,2
Person_393,1,2,3,3,2,3,0,1,0,2
Person_394,3,5,4,3,3,3,1,2,1,3
Person_395,2,5,4,3,3,3,1,0,1,2
Person_396,2,3,3,3,3,3,2,3,0,3
Person_397,3,4,4,3,3,2,1,2,2,3
Person_398,2,4,0,4,2,3,0,1,1,3
Person_399,4,3,4,3,3,3,3,2,2,3
Person_400,2,0,2,1,2,2,0,0,0,2
Person_401,1,0,3,3,3,3,0,1,0,3
Person_402,4,2,3,2,3,2,1,1,0,3
Person_403,3,2,4,3,3,3,1,1,2,3
Person_404,1,1,3,3,3,2,0,1,0,2
Person_405,1,5,2,3,3,3,1,1,2,3
Person_406,1,2,4,3,3,1,0,1,1,3
Person_407,2,1,3,4,3,3,0,0,0,3
Person_408,2,5,3,3,3,2,2,1,3,3
Person_409,0,1,2,0,0,0,0,0,0,2
Person_410,0,0,0,1,0,2,0,0,0,1
Person_411,1,1,2,1,3,1,0,0,0,3
Person_412,0,1,0,1,0,0,0,0,0,1
Person_413,0,0,0,2,2,1,0,0,1,3
Person_414,3,5,5,5,2,3,3,2,2,2
Person_415,0,2,3,3,3,3,1,1,0,3
Person_416,3,3,3,4,3,3,1,0,0,3
Person_417,3,4,4,4,3,3,2,3,2,3
Person_418,4,5,4,4,3,3,1,2,3,3
Person_419,1,2,2,2,3,3,1,0,0,3
Person_420,3,5,5,4,3,3,2,1,1,3
Person_421,1,3,2,3,2,3,0,0,1,1
Person_422,1,2,3,1,1,2,0,0,0,1
Person_423,0,1,2,0,3,3,1,0,0,2
Person_424,0,3,0,0,1,2,0,0,0,2
Person_425,0,2,2,3,0,2,0,1,0,1
Person_426,3,3,3,2,1,3,1,0,0,3
Person_427,4,5,3,3,3,3,2,2,3,3
Person_428,4,5,5,4,3,3,3,1,2,3
Person_429,0,0,0,0,1,1,0,0,1,2
Person_430,1,2,2,3,2,2,1,2,0,3
Person_431,0,1,0,2,1,2,0,0,0,1
Person_432,3,5,3,4,3,3,0,1,2,2
Person_433,2,3,3,3,3,2,2,0,1,3
Person_434,0,0,0,0,1,1,0,0,0,1
Person_435,4,4,4,5,2,3,2,2,2,3
Person_436,3,0,2,0,1,1,0,0,0,2
Person_437,1,1,3,1,3,1,1,1,0,2
Person_438,0,0,2,0,2,1,0,2,0,1
Person_439,2,0,2,3,1,3,1,0,1,3
Person_440,2,5,3,3,3,3,2,1,2,2
Person_441,2,2,4,3,3,2,0,2,3,3
Person_442,3,2,2,2,3,3,1,1,1,3
Person_443,3,2,4,2,3,3,1,2,1,3
Person_444,3,4,4,5,3,3,2,3,2,3
Person_445,2,4,0,3,3,3,0,0,1,3
Person_446,0,1,0,1,1,0,0,0,0,1
Person_447,4,4,4,4,3,3,3,0,2,3
Person_448,1,2,3,0,2,2,1,1,2,3
Person_449,4,4,3,4,3,3,3,1,2,3
Person_450,3,2,4,3,3,3,0,2,3,3
Person_451,0,3,4,0,2,2,0,0,1,3
Person_452,2,3,2,3,3,3,1,1,0,3
Person_453,5,5,4,4,3,3,3,3,3,3
Person_454,3,5,5,5,3,3,2,3,2,3
Person_455,1,3,4,3,2,3,2,1,1,3
Person_456,2,5,3,2,2,3,1,1,2,3
Person_457,4,5,4,4,3,3,2,2,1,3
Person_458,1,1,2,1,3,2,1,0,0,2
Person_459,3,4,4,2,2,3,1,1,3,3
Person_460,3,4,2,3,1,2,0,0,0,3
Person_461,2,4,2,4,3,2,1,0,1,3
Person_462,0,2,4,3,2,1,0,0,1,2
Person_463,0,0,1,2,0,0,1,0,0,2
Person_464,0,0,0,0,0,2,0,0,0,0
Person_465,0,2,2,0,0,3,1,0,1,3
Person_466,0,1,1,2,3,1,1,1,0,2
Person_467,0,3,1,2,2,1,1,0,0,2
Person_468,3,5,5,5,3,3,1,3,3,3
Person_469,3,5,4,5,3,3,3,3,1,3
Person_470,0,1,1,2,1,2,0,0,0,2
Person_471,2,5,5,3,3,3,2,0,0,3
Person_472,0,3,2,1,1,1,1,0,0,3
Person_473,3,2,2,2,1,2,1,0,0,2
Person_474,2,3,3,2,2,3,0,1,2,3
Person_475,2,4,3,4,3,3,1,1,1,3
Person_476,2,3,3,2,3,2,0,0,1,3
Person_477,3,5,5,3,3,3,2,2,2,3
Person_478,0,1,0,0,2,3,0,0,0,3
Person_479,3,5,2,3,3,3,1,0,2,3
Person_480,4,5,5,4,3,3,3,3,3,3
Person_481,3,5,3,3,3,2,1,1,2,2
Person_482,2,5,5,4,3,3,3,1,2,3
Person_483,1,5,2,4,2,3,2,0,2,3
Person_484,2,4,3,3,3,3,2,0,2,3
Person_485,2,4,3,2,2,2,1,1,3,2
Person_486,2,2,4,2,2,1,2,0,1,3
Person_487,1,2,1,2,2,1,0,0,0,3
Person_488,1,5,4,4,3,3,1,1,1,3
Person_489,2,2,1,1,3,1,1,1,1,2
Person_490,3,4,4,3,3,3,1,2,3,3
Person_491,1,3,5,3,3,3,1,2,2,3
Person_492,3,3,4,4,3,2,1,2,1,2
Person_493,0,2,3,2,1,1,0,0,1,2
Person_494,3,5,3,3,2,2,0,0,1,3
Person_495,1,4,4,3,1,2,0,0,0,3
Person_496,2,4,3,4,3,2,2,2,2,3
Person_497,1,0,0,0,1,1,0,0,1,0
Person_498,0,2,3,3,3,3,1,0,0,2
Person_499,0,2,1,1,0,0,0,0,0,1
Person_500,0,1,0,1,1,1,1,0,1,3
Person_501,4,4,4,4,3,3,1,3,3,3
Person_502,4,5,3,4,3,3,1,3,3,3
Person_503,0,0,2,3,2,2,1,0,1,1
Person_504,0,1,0,0,2,1,0,1,0,2
Person_505,0,0,0,0,0,0,1,0,0,0
Person_506,1,4,3,3,3,2,1,1,0,2
Person_507,5,5,5,4,3,3,3,3,3,3
Person_508,2,4,3,3,3,2,1,0,1,3
Person_509,1,2,3,2,3,3,0,0,0,3
Person_510,2,2,3,3,3,3,1,0,1,3
Person_511,0,1,0,0,1,1,0,1,0,0
Person_512,1,3,2,2,3,2,0,0,1,3
Person_513,2,5,3,2,3,3,0,1,1,3
Person_514,3,4,2,3,3,3,0,2,0,3
Person_515,3,5,4,3,3,3,2,2,2,3
Person_516,3,4,4,3,3,3,1,0,1,2
Person_517,3,5,5,4,3,2,1,1,2,3
Person_518,0,3,3,0,0,2,0,0,1,2
Person_519,3,3,3,3,3,3,2,1,3,3
Person_520,3,5,4,5,3,3,3,3,3,3
Person_521,2,3,0,2,1,1,1,0,0,2
Person_522,2,0,1,1,0,2,0,0,0,1
Person_523,1,5,4,3,3,3,1,3,2,3
Person_524,2,2,4,2,1,3,0,1,0,1
Person_525,4,5,4,4,3,3,2,3,2,3
Person_526,2,2,3,1,2,2,1,0,0,2
Person_527,4,5,5,4,3,3,2,1,1,3
Person_528,2,4,3,1,2,3,1,0,0,2
Person_529,2,4,3,3,2,3,1,1,1,3
Person_530,5,4,5,4,3,3,2,1,3,2
Person_531,0,3,3,3,1,3,1,0,0,2
Person_532,0,2,0,2,3,0,1,1,0,2
Person_533,2,2,1,1,3,2,0,1,1,3
Person_534,3,5,3,2,3,3,2,3,1,3
Person_535,0,0,1,1,1,0,0,0,0,1
Person_536,2,5,5,4,3,3,2,1,2,3
Person_537,0,2,2,2,3,1,0,0,0,1
Person_538,3,5,5,4,3,3,1,3,2,3
Person_539,0,0,0,0,0,0,0,0,0,0
Person_540,1,1,0,2,1,0,0,0,0,0
Person_541,0,1,2,0,1,1,0,0,0,0
Person_542,0,0,0,2,1,3,0,0,0,1
Person_543,3,2,5,3,3,3,1,0,1,3
Person_544,0,2,4,1,3,2,1,0,1,3
Person_545,0,4,3,2,2,3,1,0,1,3
Person_546,2,3,0,3,3,3,2,1,0,2
Person_547,4,4,4,4,3,3,0,0,2,2
Person_548,0,2,0,3,1,1,0,0,0,1
Person_549,4,5,4,3,3,2,2,1,2,3
Person_550,1,4,3,3,3,3,0,1,1,3
Person_551,2,4,3,3,2,1,0,0,1,3
Person_552,3,4,4,5,2,2,1,2,1,3
Person_553,1,0,4,4,3,3,1,3,2,3
Person_554,5,5,5,4,3,3,3,3,3,3
Person_555,3,0,4,3,2,3,1,0,1,3
