,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_125,1.094,0.148,221,320,0.691,1.259,1.223
Person_126,0.45,0.141,190,320,0.594,0.913,0.932
Person_127,2.052,0.168,260,320,0.812,1.131,1.054
Person_128,-1.45,0.14,88,320,0.275,0.641,0.684
Person_129,-0.833,0.135,121,320,0.378,0.753,0.775
Person_130,-0.961,0.136,114,320,0.356,1.178,1.141
Person_131,-0.306,0.135,150,320,0.469,0.954,0.929
Person_132,-1.773,0.145,72,320,0.225,0.632,0.6
Person_133,0.921,0.146,213,320,0.666,0.955,0.959
Person_134,-0.47,0.135,141,320,0.441,0.815,0.805
Person_135,-1.836,0.147,69,320,0.216,1.047,1.07
Person_136,-1.334,0.138,94,320,0.294,0.842,0.845
Person_137,0.217,0.138,178,320,0.556,0.844,0.826
Person_138,1.072,0.148,220,320,0.688,0.894,0.892
Person_139,2.479,0.183,274,320,0.856,0.786,0.956
Person_140,3.802,0.264,303,320,0.947,0.807,0.744
Person_141,0.45,0.141,190,320,0.594,0.725,0.713
Person_142,-1.45,0.14,88,320,0.275,0.914,0.898
Person_143,-2.87,0.19,30,320,0.094,0.723,0.716
Person_144,0.372,0.14,186,320,0.581,0.823,0.842
Person_145,-1.053,0.136,109,320,0.341,0.778,0.774
Person_146,-0.434,0.135,143,320,0.447,1.004,1.02
Person_147,-0.815,0.135,122,320,0.381,0.665,0.723
Person_148,-0.122,0.136,160,320,0.5,0.769,0.754
Person_149,1.704,0.159,247,320,0.772,0.99,0.984
Person_150,0.236,0.139,179,320,0.559,1.047,1.047
Person_151,-0.177,0.136,157,320,0.491,1.053,1.105
Person_152,-1.568,0.142,82,320,0.256,0.871,0.927
Person_153,-2.381,0.164,46,320,0.144,0.648,0.561
Person_154,-0.524,0.135,138,320,0.431,0.642,0.637
Person_155,-0.029,0.137,165,320,0.516,0.627,0.631
Person_156,2.652,0.19,279,320,0.872,0.929,0.916
Person_157,-0.029,0.137,165,320,0.516,0.728,0.745
Person_158,1.388,0.153,234,320,0.731,0.892,0.892
Person_159,-0.561,0.135,136,320,0.425,0.826,0.814
Person_160,-1.469,0.14,87,320,0.272,0.875,0.877
Person_161,-1.09,0.136,107,320,0.334,0.922,1.067
Person_162,-0.76,0.135,125,320,0.391,0.936,0.969
Person_163,2.652,0.19,279,320,0.872,1.044,0.95
Person_164,-0.979,0.136,113,320,0.353,0.872,0.948
Person_165,1.182,0.15,225,320,0.703,0.818,0.801
Person_166,-1.053,0.136,109,320,0.341,0.976,0.986
Person_167,1.412,0.154,235,320,0.734,0.918,0.921
Person_168,0.59,0.142,197,320,0.616,0.639,0.633
Person_169,-0.14,0.136,159,320,0.497,0.648,0.647
Person_170,-0.066,0.136,163,320,0.509,0.879,0.875
Person_171,-0.76,0.135,125,320,0.391,0.677,0.678
Person_172,0.49,0.141,192,320,0.6,0.652,0.653
Person_173,-0.506,0.135,139,320,0.434,0.743,0.769
Person_174,-1.69,0.144,76,320,0.238,0.834,0.788
Person_175,-1.509,0.141,85,320,0.266,0.675,0.659
Person_176,0.16,0.138,175,320,0.547,0.972,0.973
Person_177,2.109,0.17,262,320,0.819,0.916,0.983
Person_178,-0.103,0.136,161,320,0.503,0.799,0.804
Person_179,-0.122,0.136,160,320,0.5,1.007,1.025
Person_180,0.49,0.141,192,320,0.6,0.886,0.917
Person_181,1.73,0.16,248,320,0.775,0.998,1.077
Person_182,0.333,0.139,184,320,0.575,0.935,0.94
Person_183,-0.47,0.135,141,320,0.441,0.676,0.669
Person_184,1.459,0.154,237,320,0.741,0.79,0.862
Person_185,0.55,0.142,195,320,0.609,0.764,0.778
Person_186,2.35,0.178,270,320,0.844,0.813,0.86
Person_187,0.294,0.139,182,320,0.569,0.806,0.805
Person_188,-1.608,0.142,80,320,0.25,0.797,0.855
Person_189,-1.649,0.143,78,320,0.244,0.818,0.803
Person_190,2.413,0.18,272,320,0.85,1.152,1.199
Person_191,2.35,0.178,270,320,0.844,0.625,0.68
Person_192,-0.048,0.137,164,320,0.512,0.918,0.91
Person_193,-0.47,0.135,141,320,0.441,0.812,0.794
Person_194,1.914,0.165,255,320,0.797,1.026,0.963
Person_195,-1.239,0.137,99,320,0.309,1.091,1.042
Person_196,-1.016,0.136,111,320,0.347,0.993,0.958
Person_197,0.942,0.146,214,320,0.669,1.14,1.126
Person_198,-0.452,0.135,142,320,0.444,0.961,0.971
Person_199,-0.122,0.136,160,320,0.5,0.67,0.685
Person_200,-0.251,0.136,153,320,0.478,0.73,0.747
