Person,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_128,-1.683,0.156,98,320,0.306,1.091,1.014
Person_129,0.236,0.171,171,320,0.534,0.94,0.915
Person_13,-1.731,0.156,96,320,0.3,1.116,1.071
Person_130,2.457,0.167,249,320,0.778,0.956,0.868
Person_131,0.178,0.171,169,320,0.528,0.977,0.923
Person_132,-1.465,0.156,107,320,0.334,1.221,1.09
Person_133,1.962,0.166,231,320,0.722,1.152,1.162
Person_134,-0.762,0.162,135,320,0.422,0.911,0.891
Person_135,1.378,0.168,210,320,0.656,0.814,0.814
Person_136,-1.269,0.157,115,320,0.359,0.93,1.041
Person_137,-0.968,0.16,127,320,0.397,1.154,1.087
Person_138,-1.61,0.156,101,320,0.316,1.261,1.332
Person_139,-2.689,0.171,59,320,0.184,0.86,0.849
Person_14,1.35,0.169,209,320,0.653,1.005,0.997
Person_140,-1.61,0.156,101,320,0.316,0.755,0.74
Person_141,-0.814,0.161,133,320,0.416,0.919,0.887
Person_142,-0.36,0.166,150,320,0.469,1.326,1.304
Person_143,-1.901,0.157,89,320,0.278,1.245,1.192
Person_144,-0.166,0.168,157,320,0.491,1.071,1.024
Person_145,-1.731,0.156,96,320,0.3,0.94,0.916
Person_146,-1.926,0.157,88,320,0.275,0.895,0.866
Person_147,1.742,0.166,223,320,0.697,1.144,1.054
Person_148,2.099,0.166,236,320,0.738,0.814,0.758
Person_149,1.207,0.17,204,320,0.638,1.013,0.944
Person_15,0.472,0.172,179,320,0.559,1.099,1.079
Person_150,0.295,0.171,173,320,0.541,1.087,1.117
Person_151,-2.66,0.17,60,320,0.188,1.266,1.151
Person_152,0.502,0.172,180,320,0.562,1.177,1.17
Person_153,0.443,0.172,178,320,0.556,0.954,0.95
Person_154,0.531,0.172,181,320,0.566,0.767,0.753
Person_155,-0.865,0.161,131,320,0.409,1.386,1.436
Person_156,-3.903,0.241,26,320,0.081,1.163,1.084
Person_157,0.443,0.172,178,320,0.556,1.097,1.121
Person_158,3.437,0.19,281,320,0.878,0.96,0.778
Person_159,1.004,0.171,197,320,0.616,0.939,0.903
Person_16,0.561,0.172,182,320,0.569,1.213,1.127
Person_160,0.709,0.172,187,320,0.584,0.778,0.79
Person_161,1.378,0.168,210,320,0.656,1.076,1.031
Person_162,-2.41,0.164,69,320,0.216,1.182,1.11
Person_163,-0.194,0.167,156,320,0.488,1.047,0.949
Person_164,0.443,0.172,178,320,0.556,1.095,1.022
Person_165,0.178,0.171,169,320,0.528,0.993,1.009
Person_166,1.631,0.167,219,320,0.684,1.045,0.948
Person_167,-0.523,0.164,144,320,0.45,0.811,0.831
Person_168,1.603,0.167,218,320,0.681,0.815,0.908
Person_169,-0.305,0.166,152,320,0.475,1.125,1.003
Person_17,1.033,0.171,198,320,0.619,0.954,0.981
Person_170,0.945,0.171,195,320,0.609,0.621,0.599
Person_171,1.435,0.168,212,320,0.662,0.998,1.035
Person_172,0.561,0.172,182,320,0.569,1.141,1.212
Person_173,1.907,0.166,229,320,0.716,0.867,0.847
Person_174,-2.809,0.175,55,320,0.172,0.834,0.827
Person_175,-1.828,0.156,92,320,0.288,0.937,0.853
Person_176,-1.465,0.156,107,320,0.334,1.321,1.295
Person_177,-2.304,0.162,73,320,0.228,1.185,1.338
Person_178,-0.25,0.167,154,320,0.481,1.14,1.159
Person_179,0.827,0.172,191,320,0.597,0.962,0.93
Person_18,2.429,0.167,248,320,0.775,0.907,0.891
Person_180,1.321,0.169,208,320,0.65,0.69,0.707
Person_181,3.298,0.184,277,320,0.866,1.012,1.037
Person_182,-0.25,0.167,154,320,0.481,0.776,0.779
Person_183,0.413,0.172,177,320,0.553,0.785,0.689
Person_184,-3.235,0.189,42,320,0.131,1.149,1.096
Person_185,2.126,0.166,237,320,0.741,0.816,0.871
Person_186,1.091,0.17,200,320,0.625,1.138,1.101
Person_187,2.711,0.17,258,320,0.806,1.041,1.011
Person_188,-1.659,0.156,99,320,0.309,0.99,0.951
Person_189,-1.069,0.159,123,320,0.384,0.933,0.875
Person_19,-0.138,0.168,158,320,0.494,1.073,1.007
Person_190,-1.095,0.159,122,320,0.381,1.007,0.906
Person_191,0.062,0.17,165,320,0.516,1.425,1.489
Person_192,1.407,0.168,211,320,0.659,0.759,0.74
Person_193,1.575,0.167,217,320,0.678,0.578,0.555
Person_194,1.235,0.169,205,320,0.641,1.119,1.12
Person_195,0.324,0.171,174,320,0.544,1.111,1.219
Person_196,-1.416,0.156,109,320,0.341,0.984,1.104
Person_197,1.962,0.166,231,320,0.722,1.185,1.206
Person_198,-2.0,0.158,85,320,0.266,1.202,1.297
Person_199,1.033,0.171,198,320,0.619,1.004,1.039
Person_2,0.709,0.172,187,320,0.584,1.029,1.012
Person_20,-0.25,0.167,154,320,0.481,0.904,0.992
Person_200,-0.278,0.166,153,320,0.478,0.96,0.944
Person_21,-0.55,0.164,143,320,0.447,1.044,0.938
Person_22,3.964,0.227,294,320,0.919,1.025,0.835
Person_23,0.502,0.172,180,320,0.562,1.117,1.102
Person_24,-1.294,0.157,114,320,0.356,1.145,1.226
Person_25,2.711,0.17,258,320,0.806,1.13,0.988
Person_26,1.35,0.169,209,320,0.653,1.086,1.119
Person_27,-1.145,0.158,120,320,0.375,0.906,0.86
Person_28,0.295,0.171,173,320,0.541,1.173,1.338
Person_29,0.65,0.172,185,320,0.578,0.675,0.703
Person_3,0.472,0.172,179,320,0.559,1.161,1.187
Person_30,0.739,0.172,188,320,0.588,0.967,0.961
Person_31,2.429,0.167,248,320,0.775,1.079,1.066
Person_32,0.413,0.172,177,320,0.553,1.319,1.275
Person_33,-0.36,0.166,150,320,0.469,0.929,0.88
Person_34,0.062,0.17,165,320,0.516,0.772,0.844
Person_35,-0.138,0.168,158,320,0.494,1.473,1.51
Person_36,1.207,0.17,204,320,0.638,1.238,1.308
Person_37,-1.044,0.159,124,320,0.388,0.755,0.74
Person_38,1.989,0.166,232,320,0.725,0.683,0.649
Person_39,2.401,0.167,247,320,0.772,0.943,0.877
Person_4,0.916,0.171,194,320,0.606,1.11,1.166
Person_40,2.099,0.166,236,320,0.738,0.897,0.879
Person_41,1.631,0.167,219,320,0.684,1.166,1.286
Person_42,0.12,0.17,167,320,0.522,0.718,0.746
Person_43,0.768,0.172,189,320,0.591,1.063,1.05
Person_44,-1.069,0.159,123,320,0.384,1.365,1.326
Person_45,2.318,0.166,244,320,0.762,1.12,1.098
Person_46,2.429,0.167,248,320,0.775,0.941,1.174
Person_47,0.443,0.172,178,320,0.556,1.063,1.145
Person_48,-0.657,0.163,139,320,0.434,0.755,0.854
Person_49,-1.683,0.156,98,320,0.306,1.161,1.124
Person_5,3.298,0.184,277,320,0.866,1.11,1.343
Person_50,1.091,0.17,200,320,0.625,1.248,1.174
Person_51,0.443,0.172,178,320,0.556,0.886,0.965
Person_52,-0.305,0.166,152,320,0.475,0.982,0.897
Person_53,1.907,0.166,229,320,0.716,0.972,1.031
Person_54,1.825,0.166,226,320,0.706,0.929,0.924
Person_55,-1.269,0.157,115,320,0.359,1.206,1.088
Person_56,-0.496,0.164,145,320,0.453,0.751,0.705
Person_57,0.591,0.172,183,320,0.572,1.097,1.068
Person_58,1.235,0.169,205,320,0.641,1.237,1.117
Person_59,-2.437,0.165,68,320,0.212,1.096,1.029
Person_6,-1.044,0.159,124,320,0.388,1.009,1.139
Person_60,-1.731,0.156,96,320,0.3,1.141,1.132
Person_61,-0.333,0.166,151,320,0.472,1.062,1.059
Person_62,0.502,0.172,180,320,0.562,1.004,1.049
Person_63,0.531,0.172,181,320,0.566,1.114,1.086
Person_64,-0.442,0.165,147,320,0.459,1.223,1.154
Person_65,-0.496,0.164,145,320,0.453,0.625,0.618
Person_66,0.149,0.17,168,320,0.525,1.071,1.148
Person_67,0.68,0.172,186,320,0.581,0.731,0.652
Person_68,-1.269,0.157,115,320,0.359,0.972,0.945
Person_69,-1.659,0.156,99,320,0.309,0.948,0.883
Person_7,-0.814,0.161,133,320,0.416,1.444,1.448
Person_70,2.236,0.166,241,320,0.753,0.943,0.922
Person_71,3.366,0.187,279,320,0.872,1.13,1.049
Person_72,-2.33,0.163,72,320,0.225,1.12,1.154
Person_73,0.916,0.171,194,320,0.606,1.467,1.411
Person_74,-0.865,0.161,131,320,0.409,1.306,1.225
Person_75,0.354,0.171,175,320,0.547,0.81,0.791
Person_76,1.935,0.166,230,320,0.719,1.161,1.165
Person_77,-0.442,0.165,147,320,0.459,0.877,0.874
Person_78,-1.392,0.157,110,320,0.344,1.032,1.196
Person_79,-0.917,0.16,129,320,0.403,0.939,0.965
Person_8,-0.222,0.167,155,320,0.484,1.084,1.063
Person_80,-1.392,0.157,110,320,0.344,0.927,0.916
Person_81,-1.877,0.157,90,320,0.281,1.135,1.158
Person_82,-0.36,0.166,150,320,0.469,1.146,1.137
Person_83,-3.5,0.201,35,320,0.109,0.996,0.852
Person_84,4.456,0.31,303,320,0.947,1.273,1.093
Person_85,-0.138,0.168,158,320,0.494,1.074,1.092
Person_86,-1.44,0.156,108,320,0.338,1.248,1.269
Person_87,-1.367,0.157,111,320,0.347,1.274,1.101
Person_88,0.916,0.171,194,320,0.606,1.027,1.041
Person_89,0.827,0.172,191,320,0.597,0.863,0.854
Person_9,2.044,0.166,234,320,0.731,1.123,1.06
Person_90,0.531,0.172,181,320,0.566,0.979,0.964
Person_91,-2.252,0.161,75,320,0.234,0.69,0.699
Person_92,1.852,0.166,227,320,0.709,1.133,1.01
Person_93,0.091,0.17,166,320,0.519,1.356,1.483
Person_94,-3.096,0.184,46,320,0.144,1.024,1.03
Person_95,3.166,0.18,273,320,0.853,0.998,0.979
Person_96,0.591,0.172,183,320,0.572,1.025,1.015
Person_97,-2.074,0.158,82,320,0.256,1.201,1.254
Person_98,0.739,0.172,188,320,0.588,0.935,0.962
Person_99,0.033,0.169,164,320,0.512,0.864,0.823
