,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_35,0.349,0.159,0.145,273,480,0.569,0.832,0.825,-0.996,-0.966
Person_36,0.275,0.157,0.129,270,480,0.562,0.673,0.642,-2.167,-2.22
Person_37,-1.601,0.131,0.121,172,480,0.358,0.851,0.821,-1.179,-1.358
Person_38,1.721,0.171,0.167,321,480,0.669,0.95,0.927,-0.262,-0.388
Person_39,-1.413,0.131,0.123,183,480,0.381,0.886,0.908,-0.873,-0.656
Person_40,-0.965,0.133,0.151,209,480,0.435,1.292,1.326,2.065,2.117
Person_41,2.377,0.166,0.171,344,480,0.717,1.062,1.048,0.477,0.374
Person_42,-2.105,0.134,0.143,143,480,0.298,1.135,1.149,1.017,1.046
Person_43,0.805,0.168,0.159,290,480,0.604,0.89,0.912,-0.575,-0.429
Person_44,-0.327,0.143,0.155,243,480,0.506,1.176,1.239,1.196,1.401
Person_45,-1.413,0.131,0.13,183,480,0.381,0.998,1.005,0.03,0.081
Person_46,0.862,0.169,0.183,292,480,0.608,1.177,1.167,0.992,0.924
Person_47,1.926,0.17,0.17,328,480,0.683,0.998,0.996,0.039,0.03
Person_48,1.066,0.171,0.166,299,480,0.623,0.935,0.914,-0.31,-0.428
Person_49,0.749,0.167,0.144,288,480,0.6,0.744,0.716,-1.516,-1.656
Person_50,-0.387,0.141,0.136,240,480,0.5,0.919,0.917,-0.533,-0.469
Person_51,0.862,0.169,0.147,292,480,0.608,0.759,0.753,-1.404,-1.41
Person_52,-2.893,0.149,0.153,103,480,0.215,1.053,1.049,0.392,0.365
Person_53,-0.052,0.149,0.144,256,480,0.533,0.933,0.857,-0.395,-0.81
Person_54,-2.806,0.147,0.148,107,480,0.223,1.02,1.046,0.181,0.348
Person_55,-0.657,0.137,0.134,226,480,0.471,0.96,0.937,-0.247,-0.368
Person_56,1.484,0.173,0.152,313,480,0.652,0.771,0.741,-1.415,-1.572
Person_57,1.514,0.172,0.156,314,480,0.654,0.818,0.773,-1.097,-1.36
Person_58,0.299,0.157,0.152,271,480,0.565,0.931,0.948,-0.366,-0.23
Person_59,1.334,0.173,0.179,308,480,0.642,1.081,1.092,0.514,0.563
Person_60,-0.804,0.135,0.14,218,480,0.454,1.078,1.051,0.608,0.388
Person_61,-1.208,0.131,0.135,195,480,0.406,1.051,1.051,0.43,0.412
Person_62,-0.117,0.147,0.156,253,480,0.527,1.122,1.081,0.824,0.515
Person_63,2.126,0.168,0.154,335,480,0.698,0.835,0.809,-1.127,-1.269
Person_64,-0.768,0.135,0.137,220,480,0.458,1.024,1.002,0.225,0.066
Person_65,-0.822,0.135,0.139,217,480,0.452,1.066,1.072,0.526,0.525
Person_66,1.274,0.172,0.149,306,480,0.638,0.751,0.695,-1.505,-1.85
Person_67,0.666,0.166,0.161,285,480,0.594,0.942,1.052,-0.271,0.342
Person_68,-1.226,0.131,0.142,194,480,0.404,1.166,1.152,1.251,1.099
Person_69,-0.139,0.147,0.149,252,480,0.525,1.027,0.998,0.225,0.046
Person_70,-1.105,0.132,0.144,201,480,0.419,1.199,1.187,1.468,1.307
Person_71,0.426,0.16,0.163,276,480,0.575,1.036,1.02,0.263,0.171
Person_72,-1.053,0.132,0.116,204,480,0.425,0.767,0.748,-1.89,-1.921
Person_73,3.174,0.162,0.136,374,480,0.779,0.712,0.719,-2.467,-2.386
Person_74,1.424,0.173,0.186,311,480,0.648,1.157,1.133,0.931,0.784
Person_75,-0.563,0.138,0.121,231,480,0.481,0.768,0.752,-1.776,-1.685
Person_76,-0.245,0.144,0.13,247,480,0.515,0.808,0.794,-1.341,-1.269
Person_77,1.78,0.171,0.171,323,480,0.673,0.996,1.021,0.031,0.182
Person_78,-1.311,0.131,0.133,189,480,0.394,1.041,1.045,0.354,0.369
Person_79,0.349,0.159,0.145,273,480,0.569,0.832,0.821,-0.998,-0.989
Person_80,-1.481,0.131,0.136,179,480,0.373,1.083,1.088,0.669,0.675
Person_81,1.721,0.171,0.145,321,480,0.669,0.716,0.71,-1.902,-1.865
Person_82,-0.306,0.143,0.141,244,480,0.508,0.976,0.963,-0.121,-0.173
Person_83,1.334,0.173,0.185,308,480,0.642,1.154,1.064,0.905,0.413
Person_84,-0.544,0.139,0.137,232,480,0.483,0.981,0.955,-0.093,-0.24
Person_85,1.662,0.172,0.187,319,480,0.665,1.19,1.174,1.152,1.028
Person_86,1.185,0.172,0.163,303,480,0.631,0.902,0.858,-0.514,-0.765
Person_87,-0.427,0.141,0.139,238,480,0.496,0.972,1.021,-0.154,0.182
Person_88,0.638,0.165,0.169,284,480,0.592,1.054,1.025,0.36,0.195
Person_89,1.78,0.171,0.177,323,480,0.673,1.074,1.067,0.504,0.449
Person_90,-0.03,0.149,0.133,257,480,0.535,0.79,0.775,-1.407,-1.343
Person_91,-1.481,0.131,0.129,179,480,0.373,0.979,0.955,-0.122,-0.294
Person_92,-0.466,0.14,0.146,236,480,0.492,1.092,1.025,0.68,0.206
Person_93,-0.804,0.135,0.134,218,480,0.454,0.989,1.013,-0.036,0.14
Person_94,-1.703,0.131,0.128,166,480,0.346,0.949,0.922,-0.362,-0.54
Person_95,0.4,0.16,0.158,275,480,0.573,0.984,1.01,-0.039,0.117
Person_96,0.061,0.151,0.144,261,480,0.544,0.902,0.849,-0.584,-0.846
Person_97,-1.0,0.133,0.132,207,480,0.431,0.985,0.993,-0.073,-0.004
Person_98,1.454,0.173,0.175,312,480,0.65,1.032,1.048,0.245,0.328
Person_99,1.751,0.171,0.183,322,480,0.671,1.137,1.094,0.868,0.601
Person_100,1.096,0.172,0.185,300,480,0.625,1.161,1.168,0.916,0.937
Person_101,-0.224,0.145,0.163,248,480,0.517,1.263,1.375,1.683,2.05
Person_102,1.984,0.169,0.163,330,480,0.688,0.927,0.905,-0.436,-0.559
Person_103,1.984,0.169,0.153,330,480,0.688,0.82,0.824,-1.202,-1.12
Person_104,0.777,0.168,0.154,289,480,0.602,0.845,0.856,-0.855,-0.762
Person_105,0.693,0.166,0.181,286,480,0.596,1.194,1.203,1.085,1.096
Person_106,1.037,0.171,0.171,298,480,0.621,1.003,0.974,0.078,-0.083
Person_107,0.666,0.166,0.163,285,480,0.594,0.974,0.94,-0.09,-0.274
Person_108,0.638,0.165,0.144,284,480,0.592,0.757,0.754,-1.439,-1.404
Person_109,1.125,0.172,0.16,301,480,0.627,0.871,0.83,-0.702,-0.935
Person_110,-0.387,0.141,0.138,240,480,0.5,0.946,0.943,-0.334,-0.305
Person_111,1.573,0.172,0.148,316,480,0.658,0.737,0.704,-1.688,-1.864
Person_112,2.069,0.169,0.171,333,480,0.694,1.023,1.043,0.205,0.323
Person_113,-0.982,0.133,0.142,208,480,0.433,1.147,1.15,1.107,1.054
Person_114,-1.105,0.132,0.121,201,480,0.419,0.836,0.856,-1.285,-1.041
Person_115,-0.224,0.145,0.142,248,480,0.517,0.965,0.998,-0.187,0.042
Person_116,-1.396,0.131,0.134,184,480,0.383,1.06,1.04,0.498,0.334
Person_117,1.454,0.173,0.152,312,480,0.65,0.781,0.824,-1.341,-1.009
Person_118,1.633,0.172,0.148,318,480,0.662,0.74,0.728,-1.684,-1.706
Person_119,-1.584,0.131,0.126,173,480,0.36,0.933,0.915,-0.488,-0.599
Person_120,0.666,0.166,0.178,285,480,0.594,1.162,1.182,0.925,0.995
Person_121,0.038,0.151,0.177,260,480,0.542,1.384,1.347,2.223,1.841
Person_122,-1.174,0.131,0.135,197,480,0.41,1.057,1.086,0.475,0.649
Person_123,-2.123,0.134,0.138,142,480,0.296,1.052,1.071,0.427,0.534
Person_124,0.084,0.152,0.131,262,480,0.546,0.738,0.762,-1.757,-1.41
Person_125,0.4,0.16,0.167,275,480,0.573,1.099,1.134,0.616,0.768
Person_126,-0.876,0.134,0.145,214,480,0.446,1.172,1.164,1.265,1.118
Person_127,-0.265,0.144,0.151,246,480,0.512,1.107,1.094,0.753,0.605
Person_128,-0.524,0.139,0.123,233,480,0.485,0.783,0.791,-1.636,-1.38
Person_129,1.334,0.173,0.166,308,480,0.642,0.927,0.91,-0.371,-0.462
Person_130,1.007,0.171,0.172,297,480,0.619,1.016,0.984,0.148,-0.03
Person_131,0.015,0.15,0.15,259,480,0.54,0.999,1.094,0.046,0.578
Person_132,-1.226,0.131,0.139,194,480,0.404,1.128,1.217,0.99,1.523
Person_133,0.777,0.168,0.146,289,480,0.602,0.759,0.725,-1.411,-1.596
Person_134,2.183,0.168,0.137,337,480,0.702,0.664,0.704,-2.551,-2.113
Person_135,0.557,0.163,0.172,281,480,0.585,1.103,1.056,0.628,0.36
Person_136,0.107,0.153,0.157,263,480,0.548,1.063,1.082,0.436,0.509
Person_137,0.891,0.169,0.152,293,480,0.61,0.801,0.788,-1.13,-1.186
Person_138,-1.754,0.131,0.131,163,480,0.34,0.994,1.006,-0.001,0.086
Person_139,1.484,0.173,0.182,313,480,0.652,1.114,1.099,0.708,0.605
Person_140,-0.265,0.144,0.158,246,480,0.512,1.202,1.237,1.339,1.374
Person_141,-0.074,0.148,0.134,255,480,0.531,0.815,0.767,-1.232,-1.411
Person_142,-1.772,0.131,0.141,162,480,0.338,1.149,1.084,1.143,0.642
Person_143,0.202,0.155,0.14,267,480,0.556,0.82,0.857,-1.113,-0.776
Person_144,0.202,0.155,0.154,267,480,0.556,0.983,0.976,-0.051,-0.074
Person_145,-2.401,0.139,0.128,127,480,0.265,0.853,0.835,-1.067,-1.142
Person_146,0.584,0.164,0.159,282,480,0.588,0.936,0.929,-0.314,-0.332
Person_147,-3.562,0.167,0.16,76,480,0.158,0.925,0.879,-0.423,-0.776
Person_148,0.107,0.153,0.151,263,480,0.548,0.982,1.076,-0.056,0.479
Person_149,0.611,0.164,0.135,283,480,0.59,0.673,0.693,-2.04,-1.819
Person_150,0.107,0.153,0.138,263,480,0.548,0.821,0.801,-1.137,-1.146
Person_151,-0.327,0.143,0.139,243,480,0.506,0.947,0.949,-0.323,-0.259
Person_152,0.584,0.164,0.175,282,480,0.588,1.145,1.109,0.844,0.636
Person_153,1.78,0.171,0.172,323,480,0.673,1.016,1.003,0.15,0.071
Person_154,1.215,0.172,0.2,304,480,0.633,1.348,1.356,1.839,1.837
Person_155,1.514,0.172,0.168,314,480,0.654,0.944,0.937,-0.282,-0.309
Person_156,-1.998,0.133,0.134,149,480,0.31,1.007,1.006,0.1,0.092
Person_157,-0.876,0.134,0.13,214,480,0.446,0.946,0.983,-0.366,-0.072
Person_158,0.638,0.165,0.147,284,480,0.592,0.798,0.802,-1.167,-1.097
Person_159,-3.853,0.175,0.166,66,480,0.138,0.902,0.964,-0.58,-0.189
Person_160,-0.965,0.133,0.141,209,480,0.435,1.123,1.118,0.934,0.84
Person_161,0.275,0.157,0.157,270,480,0.562,1.008,0.968,0.104,-0.121
Person_162,-1.157,0.132,0.132,198,480,0.412,1.013,1.028,0.141,0.248
Person_163,0.92,0.17,0.178,294,480,0.612,1.095,1.056,0.574,0.361
Person_164,1.155,0.172,0.167,302,480,0.629,0.947,0.944,-0.245,-0.256
Person_165,0.084,0.152,0.141,262,480,0.546,0.861,0.858,-0.864,-0.786
Person_166,0.584,0.164,0.14,282,480,0.588,0.729,0.728,-1.642,-1.576
Person_167,1.454,0.173,0.188,312,480,0.65,1.181,1.222,1.06,1.24
Person_168,-3.296,0.159,0.144,86,480,0.179,0.819,0.83,-1.152,-1.123
Person_169,-0.544,0.139,0.123,232,480,0.483,0.782,0.792,-1.645,-1.375
Person_170,-0.676,0.136,0.138,225,480,0.469,1.027,1.114,0.241,0.77
Person_171,-0.182,0.146,0.155,250,480,0.521,1.125,1.101,0.851,0.632
Person_172,-0.638,0.137,0.123,227,480,0.473,0.803,0.799,-1.497,-1.357
Person_173,-0.203,0.145,0.14,249,480,0.519,0.933,0.996,-0.409,0.034
Person_174,1.514,0.172,0.17,314,480,0.654,0.977,0.924,-0.08,-0.391
Person_175,1.394,0.173,0.15,310,480,0.646,0.752,0.742,-1.528,-1.549
Person_176,0.349,0.159,0.148,273,480,0.569,0.877,0.831,-0.701,-0.929
Person_177,1.007,0.171,0.178,297,480,0.619,1.087,1.053,0.53,0.344
Person_178,-1.226,0.131,0.132,194,480,0.404,1.013,1.023,0.145,0.21
Person_179,0.349,0.159,0.169,273,480,0.569,1.143,1.166,0.86,0.927
Person_180,-1.122,0.132,0.13,200,480,0.417,0.974,0.999,-0.157,0.039
Person_181,-1.686,0.131,0.139,167,480,0.348,1.133,1.14,1.031,1.023
Person_182,-0.265,0.144,0.134,246,480,0.512,0.865,0.813,-0.912,-1.144
Person_183,-0.007,0.15,0.149,258,480,0.538,0.983,1.015,-0.056,0.144
Person_184,-0.447,0.14,0.137,237,480,0.494,0.948,0.922,-0.327,-0.448
Person_185,-0.347,0.142,0.134,242,480,0.504,0.894,0.867,-0.715,-0.793
Person_186,0.4,0.16,0.147,275,480,0.573,0.844,0.798,-0.905,-1.129
Person_187,2.755,0.163,0.154,358,480,0.746,0.897,0.891,-0.755,-0.784
Person_188,-0.858,0.134,0.143,215,480,0.448,1.143,1.226,1.07,1.49
Person_189,0.638,0.165,0.15,284,480,0.592,0.831,0.853,-0.955,-0.782
Person_190,1.603,0.172,0.165,317,480,0.66,0.918,0.907,-0.454,-0.501
Person_191,-0.582,0.138,0.134,230,480,0.479,0.946,0.962,-0.354,-0.197
Person_192,-1.652,0.131,0.131,169,480,0.352,1.001,0.997,0.054,0.023
Person_193,0.374,0.159,0.144,274,480,0.571,0.821,0.809,-1.066,-1.065
Person_194,-0.657,0.137,0.149,226,480,0.471,1.189,1.172,1.348,1.114
Person_195,1.984,0.169,0.161,330,480,0.688,0.905,0.871,-0.59,-0.795
Person_196,-0.486,0.14,0.141,235,480,0.49,1.023,1.087,0.207,0.586
Person_197,0.349,0.159,0.155,273,480,0.569,0.951,0.925,-0.235,-0.363
Person_198,1.78,0.171,0.18,323,480,0.673,1.104,1.165,0.682,1.0
Person_199,-1.945,0.133,0.139,152,480,0.317,1.106,1.138,0.83,0.991
Person_200,-1.226,0.131,0.13,194,480,0.404,0.976,1.002,-0.143,0.059
