,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_35,1.217,0.297,51,72,0.708,0.804,0.947
Person_36,-1.675,0.324,16,72,0.222,1.243,1.072
Person_37,0.174,0.278,38,72,0.528,1.651,1.614
Person_38,-3.504,0.524,4,72,0.056,0.693,0.615
Person_39,-2.127,0.354,12,72,0.167,1.157,1.177
Person_40,0.021,0.278,36,72,0.5,0.905,0.878
Person_41,1.217,0.297,51,72,0.708,0.723,0.734
Person_42,0.64,0.282,44,72,0.611,1.086,1.039
Person_43,-0.21,0.279,33,72,0.458,1.176,1.165
Person_44,-0.444,0.282,30,72,0.417,1.286,1.299
Person_45,-2.127,0.354,12,72,0.167,0.95,1.122
Person_46,-0.932,0.292,24,72,0.333,0.966,0.922
Person_47,-1.105,0.298,22,72,0.306,1.035,0.987
Person_48,1.488,0.308,54,72,0.75,0.851,0.774
Person_49,0.719,0.284,45,72,0.625,1.195,1.167
Person_50,-2.389,0.376,10,72,0.139,1.162,0.923
Person_51,1.131,0.294,50,72,0.694,1.212,1.155
Person_52,-0.133,0.279,34,72,0.472,0.738,0.728
Person_53,-0.365,0.281,31,72,0.431,0.91,0.916
Person_54,1.046,0.291,49,72,0.681,0.933,0.876
Person_55,1.682,0.318,56,72,0.778,0.706,0.79
Person_56,1.584,0.313,55,72,0.764,0.882,0.787
Person_57,-0.932,0.292,24,72,0.333,1.163,1.109
Person_58,-0.056,0.278,35,72,0.486,0.655,0.638
Person_59,0.64,0.282,44,72,0.611,1.003,1.025
Person_60,1.131,0.294,50,72,0.694,1.045,1.161
Person_61,-0.603,0.284,28,72,0.389,0.94,0.924
Person_62,0.174,0.278,38,72,0.528,1.304,1.295
Person_63,-2.006,0.345,13,72,0.181,0.376,0.46
Person_64,-2.006,0.345,13,72,0.181,0.792,0.744
Person_65,1.396,0.304,53,72,0.736,0.67,0.685
Person_66,2.366,0.368,62,72,0.861,0.922,0.925
Person_67,0.174,0.278,38,72,0.528,0.785,0.774
Person_68,1.584,0.313,55,72,0.764,0.869,0.869
Person_69,0.719,0.284,45,72,0.625,1.014,0.985
Person_70,-1.474,0.313,18,72,0.25,0.788,0.809
Person_71,0.963,0.289,48,72,0.667,1.124,1.146
Person_72,2.115,0.347,60,72,0.833,0.628,0.896
Person_73,0.098,0.278,37,72,0.514,0.468,0.48
Person_74,2.366,0.368,62,72,0.861,0.632,0.527
Person_75,-4.657,0.826,1,72,0.014,0.763,1.512
Person_76,1.306,0.3,52,72,0.722,0.609,0.615
Person_77,-0.444,0.282,30,72,0.417,0.718,0.722
Person_78,0.098,0.278,37,72,0.514,0.918,0.907
Person_79,0.561,0.281,43,72,0.597,0.796,0.802
Person_80,-2.389,0.376,10,72,0.139,0.88,0.862
Person_81,-0.287,0.28,32,72,0.444,0.854,0.86
Person_82,0.799,0.285,46,72,0.639,0.585,0.604
Person_83,1.999,0.338,59,72,0.819,0.725,0.708
Person_84,-0.765,0.288,26,72,0.361,1.074,1.06
Person_85,-1.474,0.313,18,72,0.25,0.832,0.959
Person_86,-0.21,0.279,33,72,0.458,1.043,1.051
Person_87,1.584,0.313,55,72,0.764,0.73,0.736
Person_88,0.799,0.285,46,72,0.639,1.119,1.058
Person_89,-0.603,0.284,28,72,0.389,0.594,0.603
Person_90,1.396,0.304,53,72,0.736,0.898,0.87
Person_91,0.174,0.278,38,72,0.528,1.129,1.132
Person_92,1.488,0.308,54,72,0.75,1.351,1.419
Person_93,-1.105,0.298,22,72,0.306,1.082,1.05
Person_94,0.098,0.278,37,72,0.514,0.632,0.639
Person_95,-0.523,0.283,29,72,0.403,0.692,0.689
Person_96,-2.127,0.354,12,72,0.167,0.711,0.748
Person_97,0.405,0.279,41,72,0.569,0.682,0.71
Person_98,0.799,0.285,46,72,0.639,1.104,1.088
Person_99,0.405,0.279,41,72,0.569,0.841,0.803
Person_100,-0.523,0.283,29,72,0.403,0.753,0.758
Person_101,-1.675,0.324,16,72,0.222,0.947,0.942
Person_102,-0.523,0.283,29,72,0.403,1.109,1.112
Person_103,-0.056,0.278,35,72,0.486,0.772,0.79
Person_104,-1.018,0.295,23,72,0.319,0.966,0.968
Person_105,-0.603,0.284,28,72,0.389,0.688,0.698
Person_106,0.799,0.285,46,72,0.639,0.708,0.742
Person_107,2.653,0.398,64,72,0.889,0.643,0.677
Person_108,0.328,0.279,40,72,0.556,0.588,0.605
Person_109,0.561,0.281,43,72,0.597,1.158,1.2
Person_110,0.174,0.278,38,72,0.528,1.076,1.044
Person_111,-2.86,0.426,7,72,0.097,0.916,1.563
Person_112,0.251,0.278,39,72,0.542,0.995,0.965
Person_113,0.328,0.279,40,72,0.556,0.701,0.682
Person_114,4.088,0.666,70,72,0.972,0.762,0.701
Person_115,0.021,0.278,36,72,0.5,1.269,1.266
Person_116,0.328,0.279,40,72,0.556,0.617,0.612
Person_117,-0.21,0.279,33,72,0.458,1.046,1.046
Person_118,-1.891,0.337,14,72,0.194,0.701,0.703
Person_119,1.306,0.3,52,72,0.722,1.338,1.261
Person_120,1.396,0.304,53,72,0.736,1.255,1.182
Person_121,1.131,0.294,50,72,0.694,1.059,1.011
Person_122,-1.378,0.309,19,72,0.264,1.08,1.22
Person_123,1.784,0.324,57,72,0.792,0.732,0.803
Person_124,-2.254,0.364,11,72,0.153,1.045,0.947
Person_125,0.561,0.281,43,72,0.597,1.36,1.31
Person_126,3.202,0.474,67,72,0.931,0.868,1.048
Person_127,-1.573,0.318,17,72,0.236,0.598,0.597
Person_128,-1.105,0.298,22,72,0.306,0.738,0.73
Person_129,0.328,0.279,40,72,0.556,0.497,0.507
Person_130,-0.765,0.288,26,72,0.361,1.06,1.076
Person_131,-1.891,0.337,14,72,0.194,0.621,0.589
Person_132,0.174,0.278,38,72,0.528,1.459,1.465
Person_133,-1.474,0.313,18,72,0.25,0.889,0.862
Person_134,1.306,0.3,52,72,0.722,1.201,1.272
Person_135,-1.675,0.324,16,72,0.222,1.246,1.256
Person_136,2.653,0.398,64,72,0.889,0.694,1.079
Person_137,-1.105,0.298,22,72,0.306,1.097,1.044
Person_138,-0.365,0.281,31,72,0.431,1.051,1.044
Person_139,1.217,0.297,51,72,0.708,1.055,0.978
Person_140,-1.285,0.305,20,72,0.278,0.709,0.707
Person_141,0.799,0.285,46,72,0.639,0.638,0.626
Person_142,2.115,0.347,60,72,0.833,0.856,0.801
Person_143,-3.048,0.451,6,72,0.083,1.095,1.353
Person_144,0.483,0.28,42,72,0.583,1.361,1.339
Person_145,0.483,0.28,42,72,0.583,1.29,1.366
Person_146,1.131,0.294,50,72,0.694,0.747,0.867
Person_147,-1.675,0.324,16,72,0.222,1.196,1.155
Person_148,-2.127,0.354,12,72,0.167,0.75,0.772
Person_149,0.88,0.287,47,72,0.653,0.886,0.891
Person_150,0.88,0.287,47,72,0.653,1.243,1.244
Person_151,0.561,0.281,43,72,0.597,0.845,0.865
Person_152,0.64,0.282,44,72,0.611,0.746,0.847
Person_153,-0.848,0.29,25,72,0.347,0.954,0.921
Person_154,0.483,0.28,42,72,0.583,1.461,1.433
Person_155,0.963,0.289,48,72,0.667,0.661,0.656
Person_156,-1.474,0.313,18,72,0.25,0.921,0.986
Person_157,3.202,0.474,67,72,0.931,1.352,1.29
Person_158,0.483,0.28,42,72,0.583,0.765,0.782
Person_159,-1.781,0.33,15,72,0.208,1.144,1.14
Person_160,1.488,0.308,54,72,0.75,0.898,0.79
Person_161,-1.675,0.324,16,72,0.222,1.103,1.008
Person_162,1.584,0.313,55,72,0.764,0.616,0.63
Person_163,1.999,0.338,59,72,0.819,0.833,0.749
Person_164,-1.378,0.309,19,72,0.264,0.58,0.69
Person_165,1.584,0.313,55,72,0.764,0.83,0.958
Person_166,1.046,0.291,49,72,0.681,1.141,1.111
Person_167,1.396,0.304,53,72,0.736,1.26,1.52
Person_168,2.817,0.418,65,72,0.903,0.857,1.28
Person_169,-0.523,0.283,29,72,0.403,1.278,1.241
Person_170,-1.194,0.301,21,72,0.292,1.0,0.932
Person_171,-1.194,0.301,21,72,0.292,1.248,1.217
Person_172,-0.848,0.29,25,72,0.347,1.061,1.066
Person_173,-0.365,0.281,31,72,0.431,1.05,1.039
Person_174,0.328,0.279,40,72,0.556,0.55,0.554
Person_175,0.483,0.28,42,72,0.583,1.023,1.012
Person_176,0.963,0.289,48,72,0.667,1.144,1.089
Person_177,0.098,0.278,37,72,0.514,0.763,0.774
Person_178,2.366,0.368,62,72,0.861,0.428,0.398
Person_179,-0.365,0.281,31,72,0.431,1.129,1.114
Person_180,3.44,0.516,68,72,0.944,0.89,1.297
Person_181,1.217,0.297,51,72,0.708,0.877,0.983
Person_182,-1.474,0.313,18,72,0.25,1.11,1.147
Person_183,-1.474,0.313,18,72,0.25,0.704,0.669
Person_184,0.88,0.287,47,72,0.653,0.706,0.694
Person_185,-0.287,0.28,32,72,0.444,1.478,1.487
Person_186,1.488,0.308,54,72,0.75,0.816,0.774
Person_187,1.217,0.297,51,72,0.708,0.791,0.826
Person_188,-0.523,0.283,29,72,0.403,1.16,1.123
Person_189,-0.932,0.292,24,72,0.333,0.948,0.927
Person_190,-2.254,0.364,11,72,0.153,1.349,1.604
Person_191,-0.848,0.29,25,72,0.347,1.003,0.968
Person_192,1.396,0.304,53,72,0.736,0.888,0.836
Person_193,0.64,0.282,44,72,0.611,0.68,0.7
Person_194,-2.127,0.354,12,72,0.167,0.632,0.7
Person_195,0.251,0.278,39,72,0.542,0.878,0.888
Person_196,0.561,0.281,43,72,0.597,0.625,0.604
Person_197,-1.018,0.295,23,72,0.319,0.782,0.773
Person_198,0.88,0.287,47,72,0.653,0.94,0.931
Person_199,0.251,0.278,39,72,0.542,0.947,0.931
Person_200,-1.675,0.324,16,72,0.222,1.048,1.176
