,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_37,-0.081,0.149,161,320,0.503,1.238,1.231
Person_38,-1.154,0.148,112,320,0.35,1.005,0.994
Person_39,-1.398,0.15,101,320,0.316,0.953,0.936
Person_40,0.977,0.155,207,320,0.647,1.124,1.087
Person_41,1.123,0.157,213,320,0.666,1.081,1.064
Person_42,0.809,0.154,200,320,0.625,0.624,0.628
Person_43,-0.892,0.148,124,320,0.388,0.871,0.853
Person_44,0.391,0.151,182,320,0.569,1.078,1.073
Person_45,0.164,0.15,172,320,0.538,1.015,0.999
Person_46,0.575,0.152,190,320,0.594,1.076,1.075
Person_47,1.474,0.161,227,320,0.709,0.89,0.866
Person_48,0.414,0.151,183,320,0.572,0.979,0.978
Person_49,1.074,0.156,211,320,0.659,1.488,1.472
Person_50,0.119,0.15,170,320,0.531,1.388,1.391
Person_51,0.668,0.153,194,320,0.606,1.086,1.081
Person_52,1.147,0.157,214,320,0.669,1.007,1.001
Person_53,-2.101,0.158,71,320,0.222,1.07,0.985
Person_54,-0.477,0.148,143,320,0.447,1.012,1.024
Person_55,-0.608,0.148,137,320,0.428,1.18,1.163
Person_56,-1.11,0.148,114,320,0.356,0.909,0.894
Person_57,-0.28,0.148,152,320,0.475,1.606,1.601
Person_58,2.071,0.17,249,320,0.778,1.069,1.01
Person_59,-1.154,0.148,112,320,0.35,0.907,0.937
Person_60,1.929,0.167,244,320,0.762,0.778,0.785
Person_61,-2.699,0.174,49,320,0.153,0.835,0.927
Person_62,-0.499,0.148,142,320,0.444,1.113,1.115
Person_63,0.368,0.151,181,320,0.566,1.25,1.266
Person_64,1.001,0.156,208,320,0.65,0.853,0.836
Person_65,1.321,0.159,221,320,0.691,1.137,1.159
Person_66,1.147,0.157,214,320,0.669,1.0,0.984
Person_67,-0.63,0.148,136,320,0.425,0.819,0.828
Person_68,-0.28,0.148,152,320,0.475,0.869,0.866
Person_69,1.791,0.165,239,320,0.747,1.289,1.3
Person_70,-0.192,0.149,156,320,0.488,1.04,1.028
Person_71,-1.929,0.155,78,320,0.244,0.699,0.701
Person_72,-1.533,0.151,95,320,0.297,0.884,0.874
Person_73,-1.264,0.149,107,320,0.334,1.145,1.13
Person_74,0.598,0.152,191,320,0.597,1.417,1.412
Person_75,0.391,0.151,182,320,0.569,0.951,0.941
Person_76,1.123,0.157,213,320,0.666,0.92,0.932
Person_77,-0.63,0.148,136,320,0.425,0.732,0.736
Person_78,0.391,0.151,182,320,0.569,0.887,0.898
Person_79,0.857,0.154,202,320,0.631,0.783,0.813
Person_80,-0.368,0.148,148,320,0.462,0.901,0.897
Person_81,0.692,0.153,195,320,0.609,0.895,0.905
Person_82,-0.87,0.148,125,320,0.391,0.769,0.777
Person_83,-0.28,0.148,152,320,0.475,0.954,0.95
Person_84,-0.565,0.148,139,320,0.434,0.759,0.769
Person_85,-1.929,0.155,78,320,0.244,0.831,0.809
Person_86,0.786,0.154,199,320,0.622,0.788,0.788
Person_87,-0.652,0.148,135,320,0.422,1.084,1.102
Person_88,-0.126,0.149,159,320,0.497,1.213,1.204
Person_89,0.622,0.153,192,320,0.6,0.791,0.793
Person_90,0.692,0.153,195,320,0.609,0.765,0.767
Person_91,1.321,0.159,221,320,0.691,0.869,0.871
Person_92,0.119,0.15,170,320,0.531,1.137,1.131
Person_93,-0.587,0.148,138,320,0.431,1.018,1.007
Person_94,-0.236,0.148,154,320,0.481,1.102,1.096
Person_95,-2.76,0.176,47,320,0.147,1.109,1.439
Person_96,-1.905,0.155,79,320,0.247,1.279,1.265
Person_97,-1.953,0.156,77,320,0.241,1.014,0.992
Person_98,-1.42,0.15,100,320,0.312,0.909,0.982
Person_99,0.645,0.153,193,320,0.603,0.869,0.872
Person_100,-1.624,0.152,91,320,0.284,1.2,1.139
Person_101,-0.543,0.148,140,320,0.438,1.052,1.056
Person_102,2.014,0.169,247,320,0.772,0.792,0.798
Person_103,-0.587,0.148,138,320,0.431,0.867,0.857
Person_104,1.246,0.158,218,320,0.681,1.203,1.187
Person_105,-1.398,0.15,101,320,0.316,0.976,0.975
Person_106,-0.081,0.149,161,320,0.503,0.899,0.913
Person_107,-1.286,0.149,106,320,0.331,0.763,0.758
Person_108,-0.63,0.148,136,320,0.425,1.093,1.078
Person_109,1.197,0.157,216,320,0.675,1.279,1.256
Person_110,-2.524,0.168,55,320,0.172,0.972,0.903
Person_111,0.506,0.152,187,320,0.584,0.976,0.969
Person_112,0.3,0.151,178,320,0.556,1.106,1.093
Person_113,-0.826,0.148,127,320,0.397,0.904,0.904
Person_114,-2.076,0.158,72,320,0.225,1.453,1.366
Person_115,0.142,0.15,171,320,0.534,0.886,0.88
Person_116,-0.521,0.148,141,320,0.441,0.893,0.902
Person_117,0.255,0.15,176,320,0.55,1.232,1.234
Person_118,-0.037,0.149,163,320,0.509,0.823,0.816
Person_119,2.529,0.181,264,320,0.825,1.595,1.611
Person_120,-0.103,0.149,160,320,0.5,0.778,0.779
Person_121,-1.763,0.153,85,320,0.266,1.079,1.188
Person_122,0.209,0.15,174,320,0.544,1.087,1.082
Person_123,0.368,0.151,181,320,0.566,0.93,0.938
Person_124,2.248,0.174,255,320,0.797,1.155,1.11
Person_125,1.372,0.159,223,320,0.697,1.191,1.182
Person_126,0.622,0.153,192,320,0.6,1.065,1.08
Person_127,2.37,0.177,259,320,0.809,1.048,1.056
Person_128,-1.578,0.151,93,320,0.291,0.82,0.831
Person_129,-0.935,0.148,122,320,0.381,0.868,0.866
Person_130,-1.487,0.15,97,320,0.303,0.989,0.973
Person_131,-0.587,0.148,138,320,0.431,1.199,1.182
Person_132,-1.881,0.155,80,320,0.25,0.919,1.015
Person_133,0.929,0.155,205,320,0.641,0.977,0.974
Person_134,-0.103,0.149,160,320,0.5,1.02,1.014
Person_135,-2.101,0.158,71,320,0.222,0.944,0.917
Person_136,-1.601,0.151,92,320,0.288,1.233,1.155
Person_137,0.715,0.153,196,320,0.612,1.189,1.168
Person_138,1.5,0.161,228,320,0.712,0.848,0.846
Person_139,3.062,0.198,279,320,0.872,0.604,0.64
Person_140,4.453,0.286,305,320,0.953,0.908,0.656
Person_141,0.437,0.151,184,320,0.575,0.826,0.808
Person_142,-1.353,0.149,103,320,0.322,0.999,0.967
Person_143,-3.236,0.196,33,320,0.103,0.814,0.68
Person_144,0.277,0.151,177,320,0.553,0.923,0.918
Person_145,-1.198,0.149,110,320,0.344,0.909,0.916
Person_146,-0.587,0.148,138,320,0.431,1.001,1.005
Person_147,-0.979,0.148,120,320,0.375,0.734,0.755
Person_148,-0.148,0.149,158,320,0.494,0.997,0.997
Person_149,1.448,0.16,226,320,0.706,0.767,0.801
Person_150,0.075,0.15,168,320,0.525,0.986,0.98
Person_151,-0.103,0.149,160,320,0.5,0.818,0.818
Person_152,-1.578,0.151,93,320,0.291,0.681,0.65
Person_153,-2.333,0.163,62,320,0.194,1.093,0.934
Person_154,-0.761,0.148,130,320,0.406,0.873,0.859
Person_155,0.142,0.15,171,320,0.534,0.966,0.97
Person_156,3.062,0.198,279,320,0.872,1.12,1.052
Person_157,0.232,0.15,175,320,0.547,0.959,0.976
Person_158,1.397,0.16,224,320,0.7,1.046,1.025
Person_159,-0.913,0.148,123,320,0.384,1.018,1.023
Person_160,-1.929,0.155,78,320,0.244,0.678,0.651
Person_161,-1.286,0.149,106,320,0.331,0.681,0.667
Person_162,-1.045,0.148,117,320,0.366,0.711,0.709
Person_163,3.636,0.226,292,320,0.912,0.921,0.921
Person_164,-1.309,0.149,105,320,0.328,1.03,1.012
Person_165,1.474,0.161,227,320,0.709,1.075,1.082
Person_166,-1.264,0.149,107,320,0.334,0.918,0.937
Person_167,1.526,0.161,229,320,0.716,1.414,1.426
Person_168,0.762,0.154,198,320,0.619,0.855,0.837
Person_169,-0.081,0.149,161,320,0.503,1.351,1.354
Person_170,-0.17,0.149,157,320,0.491,1.236,1.231
Person_171,-0.979,0.148,120,320,0.375,0.87,0.875
Person_172,0.762,0.154,198,320,0.619,0.948,0.939
Person_173,-0.543,0.148,140,320,0.438,1.215,1.22
Person_174,-1.601,0.151,92,320,0.288,1.18,1.141
Person_175,-1.881,0.155,80,320,0.25,0.795,0.783
Person_176,0.323,0.151,179,320,0.559,0.767,0.75
Person_177,2.37,0.177,259,320,0.809,1.089,1.118
Person_178,0.323,0.151,179,320,0.559,0.846,0.846
Person_179,-0.192,0.149,156,320,0.488,0.789,0.783
Person_180,0.598,0.152,191,320,0.597,0.76,0.769
Person_181,1.764,0.165,238,320,0.744,1.338,1.304
Person_182,0.529,0.152,188,320,0.588,0.85,0.842
Person_183,-0.477,0.148,143,320,0.447,1.104,1.102
Person_184,1.819,0.166,240,320,0.75,1.007,1.14
Person_185,0.345,0.151,180,320,0.562,0.908,0.883
Person_186,2.402,0.177,260,320,0.812,0.941,0.94
Person_187,0.575,0.152,190,320,0.594,1.045,1.064
Person_188,-1.833,0.154,82,320,0.256,0.979,0.978
Person_189,-2.126,0.159,70,320,0.219,1.031,1.074
Person_190,2.562,0.182,265,320,0.828,0.831,0.788
Person_191,2.873,0.191,274,320,0.856,1.063,1.03
Person_192,-0.214,0.149,155,320,0.484,1.004,1.02
Person_193,-0.368,0.148,148,320,0.462,0.71,0.714
Person_194,2.309,0.175,257,320,0.803,0.846,0.873
Person_195,-1.67,0.152,89,320,0.278,0.775,0.748
Person_196,-1.264,0.149,107,320,0.334,0.955,0.953
Person_197,1.246,0.158,218,320,0.681,1.213,1.216
Person_198,-0.499,0.148,142,320,0.444,0.661,0.661
Person_199,0.142,0.15,171,320,0.534,0.995,0.986
Person_200,-0.236,0.148,154,320,0.481,0.901,0.909
