,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_65,-1.086,0.132,0.138,200,480,0.417,1.104,1.099,0.822,0.755
Person_66,1.205,0.17,0.157,303,480,0.631,0.845,0.847,-0.869,-0.852
Person_67,0.86,0.167,0.155,291,480,0.606,0.86,0.868,-0.759,-0.702
Person_68,-1.069,0.132,0.124,201,480,0.419,0.886,0.896,-0.881,-0.747
Person_69,-0.086,0.147,0.155,253,480,0.527,1.12,0.988,0.815,-0.013
Person_70,-1.035,0.132,0.132,203,480,0.423,0.998,0.964,0.025,-0.223
Person_71,0.507,0.161,0.162,278,480,0.579,1.014,0.989,0.138,-0.003
Person_72,-0.751,0.135,0.133,219,480,0.456,0.978,1.074,-0.121,0.55
Person_73,3.157,0.159,0.153,375,480,0.781,0.925,0.916,-0.566,-0.641
Person_74,1.118,0.17,0.182,300,480,0.625,1.141,1.163,0.816,0.923
Person_75,-0.697,0.135,0.125,222,480,0.462,0.849,0.855,-1.148,-1.0
Person_76,-0.233,0.144,0.121,246,480,0.512,0.711,0.701,-2.16,-2.006
Person_77,1.613,0.17,0.157,317,480,0.66,0.854,0.856,-0.883,-0.843
Person_78,-1.309,0.131,0.14,187,480,0.39,1.146,1.159,1.139,1.184
Person_79,0.379,0.158,0.141,273,480,0.569,0.799,0.829,-1.218,-0.961
Person_80,-1.428,0.131,0.138,180,480,0.375,1.117,1.148,0.926,1.11
Person_81,1.899,0.167,0.154,327,480,0.681,0.843,0.832,-1.026,-1.062
Person_82,-0.491,0.139,0.123,233,480,0.485,0.793,0.792,-1.561,-1.416
Person_83,0.916,0.168,0.163,293,480,0.61,0.935,0.936,-0.31,-0.302
Person_84,-0.733,0.135,0.114,220,480,0.458,0.717,0.727,-2.319,-2.042
Person_85,1.585,0.17,0.184,316,480,0.658,1.174,1.183,1.054,1.076
Person_86,1.497,0.17,0.153,313,480,0.652,0.802,0.8,-1.208,-1.191
Person_87,-0.086,0.147,0.157,253,480,0.527,1.138,1.132,0.919,0.812
Person_88,0.721,0.165,0.16,286,480,0.596,0.935,0.944,-0.314,-0.256
Person_89,1.468,0.17,0.177,312,480,0.65,1.075,1.035,0.489,0.258
Person_90,-0.15,0.145,0.135,250,480,0.521,0.863,0.904,-0.918,-0.543
Person_91,-1.65,0.131,0.118,167,480,0.348,0.808,0.815,-1.574,-1.429
Person_92,-0.192,0.145,0.148,248,480,0.517,1.045,1.053,0.352,0.371
Person_93,-0.733,0.135,0.129,220,480,0.458,0.916,0.87,-0.602,-0.891
Person_94,-1.805,0.132,0.136,158,480,0.329,1.062,1.012,0.513,0.13
Person_95,0.404,0.159,0.163,274,480,0.571,1.059,1.094,0.397,0.57
Person_96,-0.042,0.148,0.152,255,480,0.531,1.051,0.984,0.38,-0.039
Person_97,-0.77,0.134,0.127,218,480,0.454,0.893,0.905,-0.795,-0.64
Person_98,1.497,0.17,0.151,313,480,0.652,0.787,0.785,-1.314,-1.297
Person_99,1.585,0.17,0.175,316,480,0.658,1.062,1.07,0.423,0.46
Person_100,1.147,0.17,0.143,301,480,0.627,0.703,0.667,-1.816,-2.059
Person_101,-0.233,0.144,0.124,246,480,0.512,0.747,0.724,-1.85,-1.829
Person_102,2.147,0.165,0.184,336,480,0.7,1.25,1.282,1.631,1.759
Person_103,1.87,0.168,0.161,326,480,0.679,0.916,0.892,-0.505,-0.643
Person_104,0.945,0.169,0.194,294,480,0.612,1.321,1.331,1.688,1.718
Person_105,0.804,0.167,0.181,289,480,0.602,1.185,1.159,1.034,0.895
Person_106,1.234,0.171,0.18,304,480,0.633,1.11,1.085,0.665,0.528
Person_107,0.354,0.158,0.162,272,480,0.567,1.06,1.081,0.403,0.504
Person_108,0.612,0.163,0.173,282,480,0.588,1.128,1.172,0.754,0.961
Person_109,1.527,0.17,0.141,314,480,0.654,0.684,0.685,-2.077,-2.018
Person_110,-0.171,0.145,0.153,249,480,0.519,1.115,1.09,0.796,0.588
Person_111,1.556,0.17,0.162,315,480,0.656,0.907,0.91,-0.522,-0.49
Person_112,2.336,0.163,0.151,343,480,0.715,0.859,0.853,-1.007,-1.019
Person_113,-0.751,0.135,0.124,219,480,0.456,0.851,0.864,-1.14,-0.943
Person_114,-0.823,0.134,0.134,215,480,0.448,1.003,0.986,0.064,-0.049
Person_115,-0.192,0.145,0.135,248,480,0.517,0.868,0.962,-0.888,-0.177
Person_116,-1.667,0.131,0.135,166,480,0.346,1.056,1.039,0.472,0.332
Person_117,1.786,0.168,0.17,323,480,0.673,1.023,1.02,0.199,0.174
Person_118,1.264,0.171,0.15,305,480,0.635,0.777,0.763,-1.328,-1.403
Person_119,-1.667,0.131,0.133,166,480,0.346,1.031,1.043,0.282,0.362
Person_120,0.559,0.162,0.145,280,480,0.583,0.796,0.763,-1.197,-1.374
Person_121,-0.064,0.147,0.133,254,480,0.529,0.813,0.782,-1.261,-1.349
Person_122,-1.224,0.131,0.132,192,480,0.4,1.018,1.049,0.18,0.404
Person_123,-1.84,0.132,0.132,156,480,0.325,0.988,1.013,-0.048,0.138
Person_124,0.092,0.151,0.162,261,480,0.544,1.149,1.134,0.952,0.802
Person_125,0.507,0.161,0.162,278,480,0.579,1.007,0.985,0.097,-0.026
Person_126,-1.069,0.132,0.122,201,480,0.419,0.852,0.852,-1.169,-1.108
Person_127,-0.212,0.144,0.132,247,480,0.515,0.838,0.806,-1.12,-1.216
Person_128,-0.51,0.138,0.147,232,480,0.483,1.123,1.173,0.906,1.126
Person_129,1.87,0.168,0.169,326,480,0.679,1.014,1.033,0.139,0.254
Person_130,1.527,0.17,0.167,314,480,0.654,0.965,0.958,-0.158,-0.192
Person_131,-0.128,0.146,0.137,251,480,0.523,0.876,0.903,-0.812,-0.549
Person_132,-1.309,0.131,0.129,187,480,0.39,0.968,0.967,-0.21,-0.21
Person_133,0.379,0.158,0.149,273,480,0.569,0.892,0.92,-0.606,-0.399
Person_134,2.256,0.164,0.172,340,480,0.708,1.098,1.124,0.711,0.856
Person_135,0.455,0.16,0.159,276,480,0.575,0.987,0.938,-0.019,-0.293
Person_136,0.533,0.162,0.137,279,480,0.581,0.722,0.727,-1.714,-1.616
Person_137,1.205,0.17,0.168,303,480,0.631,0.968,0.982,-0.122,-0.043
Person_138,-1.445,0.131,0.129,179,480,0.373,0.97,1.003,-0.197,0.066
Person_139,1.264,0.171,0.158,305,480,0.635,0.854,0.847,-0.82,-0.853
Person_140,-0.02,0.148,0.153,256,480,0.533,1.065,1.076,0.462,0.496
Person_141,-0.107,0.146,0.136,252,480,0.525,0.858,0.835,-0.941,-0.992
Person_142,-1.616,0.131,0.117,169,480,0.352,0.805,0.843,-1.602,-1.192
Person_143,0.047,0.15,0.174,259,480,0.54,1.347,1.374,2.048,2.009
Person_144,0.404,0.159,0.137,274,480,0.571,0.748,0.767,-1.567,-1.361
Person_145,-2.53,0.143,0.138,119,480,0.248,0.932,0.993,-0.435,0.006
Person_146,0.639,0.164,0.151,283,480,0.59,0.855,0.8,-0.802,-1.125
Person_147,-3.576,0.168,0.178,75,480,0.156,1.131,1.109,0.837,0.746
Person_148,0.185,0.153,0.13,265,480,0.552,0.721,0.706,-1.858,-1.823
Person_149,0.379,0.158,0.141,273,480,0.569,0.796,0.82,-1.241,-1.013
Person_150,0.069,0.151,0.143,260,480,0.542,0.907,0.815,-0.556,-1.092
Person_151,-0.394,0.14,0.137,238,480,0.496,0.957,0.882,-0.26,-0.73
Person_152,0.945,0.169,0.138,294,480,0.612,0.675,0.69,-1.996,-1.868
Person_153,1.7,0.169,0.148,320,480,0.667,0.763,0.763,-1.549,-1.499
Person_154,1.322,0.171,0.16,307,480,0.64,0.875,0.871,-0.695,-0.71
Person_155,1.147,0.17,0.154,301,480,0.627,0.819,0.831,-1.033,-0.944
Person_156,-2.035,0.134,0.14,145,480,0.302,1.08,1.05,0.635,0.395
Person_157,-0.859,0.133,0.135,213,480,0.444,1.018,1.017,0.183,0.17
Person_158,0.973,0.169,0.161,295,480,0.615,0.904,0.92,-0.491,-0.397
Person_159,-3.996,0.178,0.162,61,480,0.127,0.822,0.84,-1.174,-1.115
Person_160,-0.733,0.135,0.133,220,480,0.458,0.977,1.004,-0.132,0.078
Person_161,-0.107,0.146,0.126,252,480,0.525,0.737,0.708,-1.873,-1.895
Person_162,-0.77,0.134,0.111,218,480,0.454,0.685,0.698,-2.639,-2.315
Person_163,0.916,0.168,0.162,293,480,0.61,0.922,0.888,-0.386,-0.582
Person_164,1.118,0.17,0.173,300,480,0.625,1.033,0.994,0.244,0.025
Person_165,-0.192,0.145,0.131,248,480,0.517,0.825,0.873,-1.213,-0.755
Person_166,0.916,0.168,0.176,293,480,0.61,1.098,1.081,0.587,0.497
Person_167,1.002,0.169,0.172,296,480,0.617,1.036,1.062,0.257,0.397
Person_168,-3.081,0.155,0.138,94,480,0.196,0.788,0.802,-1.403,-1.329
Person_169,-0.51,0.138,0.12,232,480,0.483,0.757,0.764,-1.88,-1.633
Person_170,-0.604,0.137,0.15,227,480,0.473,1.207,1.278,1.478,1.766
Person_171,-0.294,0.142,0.136,243,480,0.506,0.919,0.924,-0.527,-0.43
Person_172,-0.66,0.136,0.119,224,480,0.467,0.767,0.73,-1.837,-1.979
Person_173,-0.128,0.146,0.143,251,480,0.523,0.957,0.924,-0.244,-0.412
Person_174,1.757,0.169,0.157,322,480,0.671,0.867,0.869,-0.826,-0.78
Person_175,1.234,0.171,0.163,304,480,0.633,0.916,0.906,-0.435,-0.489
Person_176,0.533,0.162,0.157,279,480,0.581,0.94,0.945,-0.296,-0.252
Person_177,0.776,0.166,0.163,288,480,0.6,0.963,0.929,-0.148,-0.338
Person_178,-1.104,0.131,0.13,199,480,0.415,0.984,1.015,-0.081,0.159
Person_179,0.208,0.154,0.132,266,480,0.554,0.73,0.722,-1.778,-1.7
Person_180,-0.982,0.132,0.14,206,480,0.429,1.116,1.159,0.905,1.148
Person_181,-1.292,0.131,0.137,188,480,0.392,1.104,1.143,0.836,1.071
Person_182,-0.042,0.148,0.152,255,480,0.531,1.051,1.066,0.376,0.436
Person_183,0.115,0.152,0.155,262,480,0.546,1.048,0.995,0.349,0.031
Person_184,-0.586,0.137,0.144,228,480,0.475,1.106,1.075,0.8,0.539
Person_185,-0.294,0.142,0.131,243,480,0.506,0.85,0.829,-1.053,-1.081
Person_186,0.533,0.162,0.165,279,480,0.581,1.038,1.017,0.272,0.153
Person_187,2.778,0.16,0.146,360,480,0.75,0.834,0.84,-1.298,-1.225
Person_188,-0.965,0.132,0.119,207,480,0.431,0.811,0.806,-1.517,-1.463
Person_189,0.916,0.168,0.166,293,480,0.61,0.971,0.989,-0.104,0.0
Person_190,1.613,0.17,0.148,317,480,0.66,0.763,0.761,-1.52,-1.489
Person_191,-0.548,0.138,0.164,230,480,0.479,1.416,1.492,2.738,2.88
Person_192,-1.599,0.131,0.129,170,480,0.354,0.972,0.942,-0.18,-0.4
Person_193,0.305,0.156,0.133,270,480,0.562,0.727,0.741,-1.753,-1.548
Person_194,-0.414,0.14,0.135,237,480,0.494,0.93,0.934,-0.464,-0.381
Person_195,1.982,0.167,0.148,330,480,0.688,0.794,0.77,-1.418,-1.54
Person_196,-0.15,0.145,0.12,250,480,0.521,0.686,0.684,-2.328,-2.1
Person_197,0.329,0.157,0.163,271,480,0.565,1.079,1.16,0.517,0.913
Person_198,1.351,0.171,0.147,308,480,0.642,0.739,0.733,-1.61,-1.627
Person_199,-1.999,0.134,0.134,147,480,0.306,0.999,0.939,0.037,-0.4
Person_200,-1.377,0.131,0.14,183,480,0.381,1.142,1.154,1.11,1.15
