,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_60,1.281,0.108,0.1,363,480,0.756,0.859,1.102,-0.863,0.612
Person_61,0.522,0.094,0.087,286,480,0.596,0.856,0.837,-1.083,-1.108
Person_62,-0.058,0.094,0.096,219,480,0.456,1.04,1.02,0.334,0.182
Person_63,0.194,0.093,0.098,248,480,0.517,1.125,1.014,0.947,0.143
Person_64,-0.249,0.097,0.103,198,480,0.412,1.125,1.232,0.899,1.501
Person_65,1.269,0.107,0.099,362,480,0.754,0.848,0.888,-0.942,-0.596
Person_66,-1.193,0.12,0.126,114,480,0.238,1.116,1.078,0.709,0.49
Person_67,-1.784,0.142,0.145,79,480,0.165,1.044,1.059,0.289,0.363
Person_68,0.747,0.096,0.09,311,480,0.648,0.862,0.843,-0.98,-1.016
Person_69,2.324,0.15,0.16,431,480,0.898,1.149,0.857,0.761,-0.545
Person_70,-0.315,0.098,0.091,191,480,0.398,0.871,0.818,-0.899,-1.244
Person_71,2.517,0.162,0.162,439,480,0.915,0.991,0.947,0.034,-0.124
Person_72,-0.315,0.098,0.109,191,480,0.398,1.243,1.152,1.626,1.015
Person_73,2.369,0.152,0.148,433,480,0.902,0.943,0.721,-0.207,-1.186
Person_74,1.224,0.106,0.103,358,480,0.746,0.938,0.916,-0.346,-0.437
Person_75,0.784,0.097,0.106,315,480,0.656,1.205,1.294,1.395,1.767
Person_76,1.292,0.108,0.125,364,480,0.758,1.341,1.144,1.964,0.83
Person_77,-1.123,0.117,0.122,119,480,0.248,1.076,1.127,0.492,0.755
Person_78,0.039,0.094,0.089,230,480,0.479,0.905,0.944,-0.685,-0.349
Person_79,-2.301,0.166,0.158,57,480,0.119,0.908,0.868,-0.406,-0.593
Person_80,-2.772,0.19,0.185,42,480,0.088,0.952,0.953,-0.173,-0.126
Person_81,1.281,0.108,0.113,363,480,0.756,1.099,0.977,0.647,-0.073
Person_82,-0.277,0.097,0.1,195,480,0.406,1.069,1.151,0.522,1.012
Person_83,1.412,0.111,0.103,374,480,0.779,0.864,0.989,-0.809,0.001
Person_84,0.126,0.093,0.099,240,480,0.5,1.124,1.084,0.941,0.613
Person_85,-1.207,0.12,0.11,113,480,0.235,0.842,0.823,-0.912,-1.002
Person_86,4.092,0.333,0.274,471,480,0.981,0.676,0.435,-0.898,-0.645
Person_87,2.157,0.14,0.132,423,480,0.881,0.888,0.711,-0.536,-1.338
Person_88,0.22,0.093,0.085,251,480,0.523,0.832,0.871,-1.299,-0.883
Person_89,-0.085,0.095,0.09,216,480,0.45,0.907,0.945,-0.656,-0.338
Person_90,2.118,0.138,0.147,421,480,0.877,1.129,1.107,0.712,0.484
Person_91,-0.682,0.105,0.11,155,480,0.323,1.105,1.091,0.708,0.6
Person_92,2.217,0.143,0.126,426,480,0.888,0.777,0.746,-1.154,-1.123
Person_93,0.969,0.1,0.1,334,480,0.696,0.996,1.028,0.023,0.221
Person_94,-1.867,0.146,0.139,75,480,0.156,0.912,0.787,-0.404,-1.115
Person_95,0.979,0.101,0.096,335,480,0.698,0.918,0.847,-0.512,-0.927
Person_96,1.706,0.121,0.122,396,480,0.825,1.026,0.96,0.209,-0.138
Person_97,0.803,0.097,0.095,317,480,0.66,0.953,0.972,-0.284,-0.13
Person_98,1.375,0.11,0.124,371,480,0.773,1.267,1.164,1.558,0.912
Person_99,1.765,0.123,0.11,400,480,0.833,0.808,0.865,-1.12,-0.63
Person_100,-0.807,0.108,0.096,144,480,0.3,0.78,0.813,-1.452,-1.152
Person_101,2.749,0.18,0.181,447,480,0.931,1.013,0.681,0.132,-0.825
Person_102,0.048,0.093,0.09,231,480,0.481,0.938,0.924,-0.429,-0.493
Person_103,1.019,0.101,0.117,339,480,0.706,1.333,1.362,2.035,2.015
Person_104,-2.772,0.19,0.191,42,480,0.088,1.018,1.095,0.154,0.471
Person_105,1.363,0.11,0.1,370,480,0.771,0.823,0.859,-1.103,-0.756
Person_106,1.246,0.107,0.11,360,480,0.75,1.069,1.228,0.473,1.265
Person_107,-1.096,0.117,0.122,121,480,0.252,1.093,1.119,0.592,0.717
Person_108,0.979,0.101,0.1,335,480,0.698,0.983,1.032,-0.067,0.248
Person_109,0.619,0.095,0.101,297,480,0.619,1.138,1.12,1.007,0.814
Person_110,1.553,0.116,0.113,385,480,0.802,0.959,0.951,-0.193,-0.196
Person_111,0.87,0.098,0.099,324,480,0.675,1.008,1.031,0.102,0.247
Person_112,-0.854,0.109,0.112,140,480,0.292,1.055,1.1,0.388,0.637
Person_113,-0.148,0.095,0.096,209,480,0.435,1.017,1.059,0.165,0.447
Person_114,-2.845,0.194,0.188,40,480,0.083,0.943,0.935,-0.216,-0.195
Person_115,-0.138,0.095,0.1,210,480,0.438,1.101,1.168,0.756,1.135
Person_116,-0.878,0.11,0.117,138,480,0.288,1.135,1.169,0.859,1.013
Person_117,1.462,0.113,0.112,378,480,0.788,0.986,0.975,-0.028,-0.072
Person_118,1.842,0.126,0.12,405,480,0.844,0.912,0.916,-0.452,-0.349
Person_119,0.822,0.098,0.093,319,480,0.665,0.9,0.873,-0.671,-0.784
Person_120,-2.845,0.194,0.19,40,480,0.083,0.961,1.191,-0.125,0.831
Person_121,0.637,0.095,0.09,299,480,0.623,0.904,0.832,-0.674,-1.121
Person_122,-1.846,0.145,0.161,76,480,0.158,1.234,1.283,1.193,1.4
Person_123,0.637,0.095,0.101,299,480,0.623,1.126,1.086,0.925,0.601
Person_124,0.22,0.093,0.095,251,480,0.523,1.039,1.127,0.332,0.891
Person_125,-1.506,0.131,0.124,94,480,0.196,0.892,1.004,-0.552,0.084
Person_126,-2.046,0.154,0.142,67,480,0.14,0.857,0.81,-0.698,-0.799
Person_127,1.124,0.104,0.105,349,480,0.727,1.017,0.921,0.158,-0.42
Person_128,2.85,0.188,0.192,450,480,0.938,1.038,0.832,0.233,-0.517
Person_129,-0.481,0.101,0.103,174,480,0.362,1.041,1.021,0.322,0.187
Person_130,0.263,0.093,0.086,256,480,0.533,0.864,0.906,-1.037,-0.621
Person_131,-0.927,0.111,0.12,134,480,0.279,1.154,1.158,0.958,0.942
Person_132,-0.353,0.098,0.087,187,480,0.39,0.782,0.749,-1.588,-1.775
Person_133,-2.701,0.186,0.202,44,480,0.092,1.178,0.907,0.893,-0.273
Person_134,0.065,0.093,0.096,233,480,0.485,1.051,0.981,0.422,-0.083
Person_135,0.16,0.093,0.094,244,480,0.508,1.016,1.001,0.162,0.055
Person_136,-0.564,0.102,0.105,166,480,0.346,1.047,1.047,0.355,0.349
Person_137,0.117,0.093,0.094,239,480,0.498,1.017,1.189,0.17,1.284
Person_138,-0.738,0.106,0.122,150,480,0.312,1.311,1.311,1.862,1.794
Person_139,1.906,0.128,0.146,409,480,0.852,1.296,0.99,1.565,0.024
Person_140,-0.239,0.097,0.092,199,480,0.415,0.917,0.897,-0.562,-0.673
Person_141,0.323,0.093,0.098,263,480,0.548,1.113,1.055,0.869,0.416
Person_142,1.412,0.111,0.134,374,480,0.779,1.449,1.659,2.451,3.051
Person_143,0.254,0.093,0.077,255,480,0.531,0.686,0.737,-2.63,-1.957
Person_144,0.505,0.094,0.095,284,480,0.592,1.027,1.061,0.242,0.453
Person_145,-2.736,0.188,0.193,43,480,0.09,1.059,1.166,0.35,0.756
Person_146,-0.76,0.107,0.123,148,480,0.308,1.315,1.339,1.876,1.928
Person_147,3.225,0.223,0.223,459,480,0.956,1.002,0.724,0.099,-0.375
Person_148,0.487,0.094,0.093,282,480,0.588,0.985,0.987,-0.071,-0.04
Person_149,1.375,0.11,0.115,371,480,0.773,1.08,1.049,0.531,0.327
Person_150,0.505,0.094,0.105,284,480,0.592,1.254,1.293,1.794,1.853
Person_151,2.782,0.182,0.15,448,480,0.933,0.679,0.715,-1.411,-0.864
Person_152,-1.042,0.115,0.122,125,480,0.26,1.124,1.311,0.771,1.696
Person_153,-1.374,0.126,0.127,102,480,0.212,1.011,0.994,0.122,0.028
Person_154,0.88,0.099,0.104,325,480,0.677,1.119,1.066,0.829,0.459
Person_155,1.04,0.102,0.105,341,480,0.71,1.062,0.976,0.451,-0.089
Person_156,0.366,0.093,0.088,268,480,0.558,0.894,0.858,-0.784,-0.974
Person_157,0.357,0.093,0.103,267,480,0.556,1.223,1.288,1.617,1.857
Person_158,-1.016,0.114,0.116,127,480,0.265,1.029,0.962,0.227,-0.165
Person_159,1.269,0.107,0.122,362,480,0.754,1.295,1.315,1.732,1.675
Person_160,-0.076,0.094,0.101,217,480,0.452,1.136,1.101,0.997,0.722
Person_161,0.655,0.095,0.086,301,480,0.627,0.809,0.793,-1.436,-1.41
Person_162,-0.783,0.108,0.113,146,480,0.304,1.108,1.053,0.715,0.369
Person_163,2.749,0.18,0.193,447,480,0.931,1.158,1.032,0.707,0.205
Person_164,-0.795,0.108,0.104,145,480,0.302,0.932,0.959,-0.387,-0.198
Person_165,0.082,0.093,0.097,235,480,0.49,1.081,0.977,0.635,-0.114
Person_166,-1.999,0.152,0.148,69,480,0.144,0.957,0.864,-0.158,-0.541
Person_167,-1.686,0.138,0.112,84,480,0.175,0.662,0.815,-1.979,-0.971
Person_168,-0.305,0.098,0.09,192,480,0.4,0.843,0.911,-1.111,-0.563
Person_169,-1.422,0.128,0.126,99,480,0.206,0.975,1.025,-0.082,0.197
Person_170,0.039,0.094,0.101,230,480,0.479,1.156,1.265,1.146,1.74
Person_171,-1.472,0.13,0.147,96,480,0.2,1.278,1.263,1.468,1.372
Person_172,0.108,0.093,0.084,238,480,0.496,0.822,0.754,-1.381,-1.818
Person_173,-0.184,0.096,0.093,205,480,0.427,0.945,0.972,-0.354,-0.139
Person_174,1.826,0.125,0.143,404,480,0.842,1.316,1.289,1.687,1.35
Person_175,-0.878,0.11,0.127,138,480,0.288,1.32,1.34,1.862,1.889
Person_176,-1.744,0.14,0.147,81,480,0.169,1.092,1.089,0.532,0.513
Person_177,-1.455,0.129,0.13,97,480,0.202,1.013,0.894,0.131,-0.533
Person_178,-3.633,0.242,0.211,23,480,0.048,0.764,0.733,-1.164,-0.376
Person_179,-3.266,0.218,0.178,30,480,0.062,0.668,0.659,-1.792,-0.902
Person_180,1.19,0.105,0.098,355,480,0.74,0.872,0.809,-0.795,-1.118
Person_181,2.886,0.191,0.198,451,480,0.94,1.075,0.892,0.377,-0.284
Person_182,-0.902,0.111,0.105,136,480,0.283,0.9,0.866,-0.583,-0.779
Person_183,-0.023,0.094,0.101,223,480,0.465,1.148,1.115,1.086,0.813
Person_184,-0.939,0.112,0.095,133,480,0.277,0.724,0.716,-1.826,-1.803
Person_185,1.269,0.107,0.112,362,480,0.754,1.085,1.076,0.568,0.477
Person_186,-0.431,0.1,0.103,179,480,0.373,1.069,1.045,0.509,0.343
Person_187,-0.362,0.098,0.101,186,480,0.388,1.044,1.028,0.346,0.234
Person_188,-0.543,0.102,0.1,168,480,0.35,0.967,0.926,-0.173,-0.429
Person_189,-2.962,0.2,0.185,37,480,0.077,0.851,0.923,-0.707,-0.178
Person_190,1.124,0.104,0.105,349,480,0.727,1.026,0.945,0.216,-0.273
Person_191,-2.273,0.164,0.157,58,480,0.121,0.907,1.001,-0.41,0.076
Person_192,3.33,0.234,0.231,461,480,0.96,0.977,0.849,0.013,-0.259
Person_193,1.974,0.131,0.118,413,480,0.86,0.804,0.702,-1.09,-1.472
Person_194,0.272,0.093,0.099,257,480,0.535,1.138,1.145,1.043,1.002
Person_195,-4.771,0.352,0.356,9,480,0.019,1.024,1.054,0.18,0.429
Person_196,0.048,0.093,0.104,231,480,0.481,1.238,1.122,1.689,0.863
Person_197,1.05,0.102,0.105,342,480,0.712,1.051,1.161,0.38,0.97
Person_198,0.548,0.094,0.098,289,480,0.602,1.096,1.0,0.734,0.047
Person_199,-0.818,0.109,0.102,143,480,0.298,0.877,0.835,-0.752,-0.997
Person_200,2.749,0.18,0.142,447,480,0.931,0.627,0.582,-1.72,-1.43
