,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Rater_1,Person_144,2,1,0,0,1,0,3,4,1,1,2,3
Rater_1,Person_145,0,0,0,0,1,0,0,1,0,0,0,0
Rater_1,Person_146,1,1,1,0,0,0,0,1,0,0,2,1
Rater_1,Person_147,5,3,3,4,3,5,5,5,3,5,4,5
Rater_1,Person_148,4,0,1,2,1,2,1,4,0,2,1,4
Rater_1,Person_149,5,1,2,0,2,1,5,4,1,2,2,4
Rater_1,Person_150,0,2,0,1,1,0,2,5,1,1,1,3
Rater_1,Person_151,5,4,4,3,2,3,5,5,3,4,4,5
Rater_1,Person_152,1,0,1,0,0,0,1,1,0,0,1,1
Rater_1,Person_153,2,0,0,0,0,1,1,1,0,1,0,1
Rater_1,Person_154,0,2,1,1,1,2,3,4,0,3,2,5
Rater_1,Person_155,3,1,0,1,1,1,5,4,2,5,1,4
Rater_1,Person_156,2,1,1,1,1,1,2,4,0,1,1,2
Rater_1,Person_157,1,1,2,1,1,2,4,1,1,3,2,4
Rater_1,Person_158,1,0,1,1,0,1,1,1,0,1,0,0
Rater_1,Person_159,4,1,4,1,1,1,4,2,1,2,2,4
Rater_1,Person_160,1,0,2,0,0,1,1,1,1,2,1,3
Rater_1,Person_161,4,1,1,2,1,1,2,4,0,2,1,2
Rater_1,Person_162,0,0,0,0,1,2,1,1,0,0,1,2
Rater_1,Person_163,2,5,1,4,4,3,5,5,3,4,4,3
Rater_1,Person_164,1,0,0,1,0,1,1,2,0,1,0,1
Rater_1,Person_165,1,2,1,1,1,1,2,4,1,2,0,1
Rater_1,Person_166,0,0,0,0,0,0,1,2,0,0,0,1
Rater_1,Person_167,1,0,0,0,0,1,1,1,0,0,0,1
Rater_1,Person_168,0,1,1,0,0,0,1,2,0,1,1,0
Rater_1,Person_169,0,0,0,0,0,1,0,2,0,0,0,1
Rater_1,Person_170,2,1,1,1,0,1,3,5,1,1,1,2
Rater_1,Person_171,1,1,1,0,1,0,1,0,0,2,0,0
Rater_1,Person_172,1,1,1,2,0,2,2,4,1,2,1,1
Rater_1,Person_173,1,0,0,0,0,1,2,2,1,1,0,1
Rater_1,Person_174,5,1,4,3,2,2,4,5,3,5,2,1
Rater_1,Person_175,1,0,0,1,0,0,1,2,0,3,0,3
Rater_1,Person_176,0,0,1,0,1,0,1,1,1,0,0,0
Rater_1,Person_177,0,0,0,1,0,0,0,1,0,1,1,1
Rater_1,Person_178,0,0,0,0,0,0,0,0,1,0,0,0
Rater_1,Person_179,0,0,0,0,0,0,0,0,0,0,0,0
Rater_1,Person_180,3,3,1,0,2,1,4,4,1,4,2,3
Rater_1,Person_181,4,3,3,4,5,4,5,5,2,4,4,5
Rater_1,Person_182,2,1,1,0,0,1,1,4,1,1,1,1
Rater_1,Person_183,1,1,3,1,1,1,1,2,0,2,1,0
Rater_1,Person_184,1,1,1,1,0,1,1,3,0,1,1,1
Rater_1,Person_185,1,1,1,3,1,2,4,4,1,4,1,4
Rater_1,Person_186,1,1,0,0,1,2,2,4,0,1,1,2
Rater_1,Person_187,2,1,0,2,0,1,1,3,0,1,0,1
Rater_1,Person_188,1,0,2,1,1,1,1,3,0,1,1,1
Rater_1,Person_189,1,0,0,0,1,0,0,1,0,0,0,0
Rater_1,Person_190,2,1,0,1,1,3,4,5,0,3,2,3
Rater_1,Person_191,1,1,0,0,0,0,1,2,0,0,0,0
Rater_1,Person_192,4,5,5,3,5,4,5,5,4,3,4,5
Rater_1,Person_193,4,5,3,0,1,3,4,5,2,4,2,5
Rater_1,Person_194,3,1,1,0,1,1,5,3,0,1,1,1
Rater_1,Person_195,0,0,0,0,0,0,0,1,0,0,0,0
Rater_1,Person_196,1,1,1,0,0,1,1,2,1,4,1,2
Rater_1,Person_197,2,1,1,0,1,1,4,3,3,3,0,4
Rater_1,Person_198,0,1,1,2,1,2,3,4,1,4,1,1
Rater_1,Person_199,1,0,0,1,0,0,1,1,1,1,0,1
Rater_1,Person_200,4,4,2,3,3,4,4,5,3,4,4,4
Rater_2,Person_1,0,0,0,0,0,0,0,0,0,0,0,0
Rater_2,Person_2,4,1,4,3,1,1,4,4,0,2,3,3
Rater_2,Person_3,4,5,4,3,4,5,4,5,5,3,2,5
Rater_2,Person_4,3,2,3,1,3,4,4,4,1,1,3,5
Rater_2,Person_5,5,3,5,5,4,5,4,5,1,4,5,3
Rater_2,Person_6,5,5,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_7,1,1,1,0,2,0,1,0,0,1,1,0
Rater_2,Person_8,5,5,5,4,4,4,5,5,4,4,5,4
Rater_2,Person_9,0,0,1,0,0,1,0,0,0,0,1,0
Rater_2,Person_10,4,4,4,5,4,4,5,3,3,2,2,3
Rater_2,Person_11,2,5,1,1,0,1,2,2,3,1,0,2
Rater_2,Person_12,5,4,5,5,5,5,5,5,4,5,5,5
Rater_2,Person_13,0,1,1,1,0,0,0,1,1,1,1,1
Rater_2,Person_14,5,3,1,3,2,1,5,5,2,5,1,3
Rater_2,Person_15,2,1,0,0,0,1,0,2,0,0,1,2
Rater_2,Person_16,0,1,0,0,0,0,0,0,0,0,0,0
Rater_2,Person_17,1,3,3,5,4,3,4,4,5,2,4,5
Rater_2,Person_18,5,4,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_19,4,5,2,4,4,2,4,5,3,3,1,4
Rater_2,Person_20,3,1,0,1,1,1,1,1,0,0,1,3
Rater_2,Person_21,2,2,0,5,4,4,5,5,2,3,4,4
Rater_2,Person_22,4,1,4,5,2,5,5,5,1,5,2,5
Rater_2,Person_23,4,4,5,4,5,3,5,5,5,5,5,5
Rater_2,Person_24,1,0,1,0,1,0,1,4,1,2,0,1
Rater_2,Person_25,3,3,3,4,4,5,5,4,3,1,5,5
Rater_2,Person_26,3,4,5,1,5,4,3,4,2,2,4,4
Rater_2,Person_27,3,3,1,4,4,2,1,5,1,3,3,3
Rater_2,Person_28,1,1,2,3,4,4,2,5,0,3,3,3
Rater_2,Person_29,1,0,1,1,0,1,1,3,1,2,0,0
Rater_2,Person_30,1,0,1,2,1,1,3,2,1,3,0,2
Rater_2,Person_31,5,5,5,2,4,4,5,5,4,5,4,5
Rater_2,Person_32,3,2,3,0,3,3,4,5,3,4,1,1
Rater_2,Person_33,1,1,0,2,1,1,2,1,1,1,2,1
Rater_2,Person_34,0,1,1,0,0,0,0,0,0,0,0,0
Rater_2,Person_35,0,1,0,1,1,1,2,0,0,3,1,1
Rater_2,Person_36,0,0,0,2,0,2,3,0,0,2,1,1
Rater_2,Person_37,1,1,0,1,0,0,0,3,0,2,0,1
Rater_2,Person_38,0,0,0,0,0,0,2,0,0,1,0,0
Rater_2,Person_39,5,5,3,5,4,5,4,5,4,4,4,4
Rater_2,Person_40,1,1,1,2,2,3,2,3,3,2,3,1
Rater_2,Person_41,1,0,1,1,0,0,2,0,0,1,0,1
Rater_2,Person_42,1,0,1,2,0,1,2,1,0,0,2,0
Rater_2,Person_43,2,1,1,2,0,4,2,1,0,1,1,2
Rater_2,Person_44,5,5,5,4,4,5,5,5,4,5,5,5
Rater_2,Person_45,0,0,0,0,1,1,0,1,0,0,0,1
Rater_2,Person_46,5,4,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_47,3,2,1,2,1,0,1,3,1,2,1,3
Rater_2,Person_48,0,1,0,1,0,0,0,0,1,0,1,0
Rater_2,Person_49,4,3,2,5,4,4,5,5,4,4,5,4
Rater_2,Person_50,5,5,4,3,3,5,5,5,4,5,5,5
Rater_2,Person_51,1,3,2,1,0,2,2,5,1,1,2,2
Rater_2,Person_52,4,3,3,5,4,3,4,5,1,5,5,4
Rater_2,Person_53,2,0,1,0,1,1,2,2,1,2,0,1
Rater_2,Person_54,4,2,1,0,3,0,3,3,0,1,1,2
Rater_2,Person_55,4,5,4,5,5,4,5,5,4,5,4,5
Rater_2,Person_56,4,5,4,3,5,5,3,4,3,5,4,5
Rater_2,Person_57,0,0,0,1,1,1,0,1,0,1,0,1
Rater_2,Person_58,5,5,3,5,5,5,5,5,5,5,5,5
Rater_2,Person_59,0,2,0,0,0,1,1,0,0,1,1,3
Rater_2,Person_60,5,3,5,4,5,5,5,5,5,4,5,5
Rater_2,Person_61,3,2,2,4,5,3,4,5,5,3,4,4
Rater_2,Person_62,4,5,1,2,2,2,3,4,4,2,2,3
Rater_2,Person_63,0,3,4,2,0,4,3,5,1,2,3,1
Rater_2,Person_64,3,3,3,2,2,0,3,1,2,5,0,1
Rater_2,Person_65,5,5,4,3,4,4,5,5,5,5,3,5
Rater_2,Person_66,1,1,1,2,1,2,2,4,0,1,0,1
Rater_2,Person_67,2,0,1,2,0,0,0,1,1,1,1,0
Rater_2,Person_68,3,3,0,4,5,3,5,4,2,5,3,4
Rater_2,Person_69,4,4,5,5,5,5,5,5,5,5,4,5
Rater_2,Person_70,1,2,1,0,2,1,2,2,3,0,2,1
Rater_2,Person_71,5,5,5,4,5,5,5,5,5,5,5,5
Rater_2,Person_72,2,0,2,0,0,4,4,2,2,4,2,2
Rater_2,Person_73,4,5,5,5,5,4,5,5,5,5,4,5
Rater_2,Person_74,2,3,1,3,2,5,4,5,4,4,4,5
Rater_2,Person_75,5,5,3,1,5,3,5,1,4,4,5,4
Rater_2,Person_76,5,4,3,3,3,5,4,5,5,4,3,5
Rater_2,Person_77,0,1,0,1,1,0,1,1,1,1,1,1
Rater_2,Person_78,3,3,3,1,2,3,4,4,4,4,1,2
Rater_2,Person_79,0,0,0,1,0,0,2,2,1,0,1,1
Rater_2,Person_80,0,0,0,0,0,0,0,1,0,0,0,0
Rater_2,Person_81,4,5,5,5,5,4,5,5,3,2,4,4
Rater_2,Person_82,2,2,4,1,1,3,1,3,1,1,2,4
Rater_2,Person_83,4,4,4,5,5,4,5,4,5,5,4,5
Rater_2,Person_84,5,2,5,1,3,1,1,5,3,2,2,5
Rater_2,Person_85,2,2,1,2,1,0,1,1,1,2,1,1
Rater_2,Person_86,5,5,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_87,5,5,4,5,5,5,5,5,5,5,5,5
Rater_2,Person_88,2,2,1,4,2,2,4,5,3,4,3,5
Rater_2,Person_89,1,2,1,2,1,2,5,5,2,3,1,4
Rater_2,Person_90,5,5,5,5,5,5,5,5,5,5,4,5
Rater_2,Person_91,2,1,2,1,0,1,4,2,1,1,0,0
Rater_2,Person_92,5,5,5,5,5,4,5,5,5,5,5,5
Rater_2,Person_93,5,4,4,3,4,5,3,4,3,5,3,5
Rater_2,Person_94,1,0,1,0,0,1,0,0,0,1,0,2
Rater_2,Person_95,5,4,5,2,5,3,5,5,3,4,5,4
Rater_2,Person_96,4,4,2,5,4,4,5,4,5,5,4,5
Rater_2,Person_97,1,3,4,4,4,5,4,5,4,3,4,5
Rater_2,Person_98,5,4,5,5,5,4,5,5,1,4,5,4
Rater_2,Person_99,4,4,4,5,5,5,5,4,4,4,3,5
Rater_2,Person_100,2,0,0,1,1,1,3,1,2,1,2,0
Rater_2,Person_101,5,5,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_102,3,2,2,1,3,2,4,1,1,2,3,4
Rater_2,Person_103,5,4,5,5,4,5,5,5,4,4,5,3
Rater_2,Person_104,1,0,1,0,0,0,0,0,0,0,0,0
Rater_2,Person_105,5,5,5,4,5,4,3,5,2,5,4,5
Rater_2,Person_106,5,5,4,4,5,4,4,5,4,4,5,5
Rater_2,Person_107,2,1,2,0,1,2,1,3,2,1,1,1
Rater_2,Person_108,5,3,2,5,4,4,5,4,4,4,5,4
Rater_2,Person_109,4,3,4,2,4,3,1,4,3,5,2,5
Rater_2,Person_110,5,4,4,5,5,5,5,5,5,3,3,4
Rater_2,Person_111,2,5,1,4,4,5,5,4,3,4,2,3
Rater_2,Person_112,0,2,2,1,1,5,2,4,1,1,2,0
Rater_2,Person_113,2,3,4,1,1,4,4,1,1,1,1,3
Rater_2,Person_114,0,0,1,0,0,0,1,0,0,0,0,1
Rater_2,Person_115,1,2,1,0,2,3,5,1,0,4,1,4
Rater_2,Person_116,0,0,1,0,1,3,3,4,1,1,1,2
Rater_2,Person_117,5,4,4,2,5,5,5,5,5,5,3,4
Rater_2,Person_118,5,4,5,5,4,4,5,5,4,5,5,5
Rater_2,Person_119,3,5,1,4,4,4,5,5,2,3,5,5
Rater_2,Person_120,0,0,0,0,0,0,0,1,0,0,0,0
Rater_2,Person_121,4,5,2,4,4,1,4,5,2,5,5,4
Rater_2,Person_122,1,0,0,0,0,0,1,0,1,2,0,0
Rater_2,Person_123,5,3,4,3,4,5,4,5,1,5,4,4
Rater_2,Person_124,4,3,1,4,4,4,4,4,1,3,4,3
Rater_2,Person_125,1,0,0,1,0,0,0,3,0,0,1,1
Rater_2,Person_126,0,0,1,0,0,1,1,1,0,0,0,0
Rater_2,Person_127,5,3,4,5,5,4,3,5,3,3,5,5
Rater_2,Person_128,5,5,5,4,5,5,5,5,5,5,5,5
Rater_2,Person_129,1,1,0,1,2,3,5,5,2,1,1,1
Rater_2,Person_130,3,1,2,2,2,2,4,5,3,3,3,4
Rater_2,Person_131,0,1,0,0,1,1,1,3,1,3,1,1
Rater_2,Person_132,2,4,0,2,4,2,4,3,1,1,1,2
Rater_2,Person_133,0,0,1,0,0,1,0,0,0,1,0,0
Rater_2,Person_134,4,1,4,4,2,3,5,5,5,2,0,3
Rater_2,Person_135,1,4,2,4,1,3,4,4,0,2,2,4
Rater_2,Person_136,3,2,2,3,0,3,1,5,1,3,1,2
Rater_2,Person_137,1,4,2,2,1,4,5,3,3,5,2,3
Rater_2,Person_138,0,0,4,1,3,3,1,3,1,0,0,1
Rater_2,Person_139,5,4,3,4,4,5,5,5,5,5,5,5
Rater_2,Person_140,4,1,4,1,1,1,2,3,1,1,1,3
Rater_2,Person_141,5,3,1,1,3,5,4,5,2,1,3,4
Rater_2,Person_142,5,4,3,3,5,5,5,5,5,5,5,5
Rater_2,Person_143,2,3,2,3,2,4,4,5,1,4,3,5
Rater_2,Person_144,1,4,5,4,1,3,3,4,2,4,3,5
Rater_2,Person_145,1,0,0,0,1,0,1,1,0,0,0,0
Rater_2,Person_146,1,0,0,1,1,2,5,2,2,4,1,2
Rater_2,Person_147,5,5,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_148,4,4,4,5,2,2,4,5,3,5,3,2
Rater_2,Person_149,5,3,4,5,5,5,4,5,4,5,3,5
Rater_2,Person_150,3,2,2,4,2,4,5,5,2,4,3,4
Rater_2,Person_151,5,5,5,5,5,5,5,5,5,5,5,5
Rater_2,Person_152,1,1,1,1,0,0,2,1,2,3,0,0
Rater_2,Person_153,1,1,1,1,0,2,2,0,1,3,0,0
Rater_2,Person_154,4,3,2,5,4,3,5,4,3,4,5,5
Rater_2,Person_155,5,3,1,5,3,5,4,4,4,4,5,5
Rater_2,Person_156,5,1,4,4,3,2,4,5,2,1,2,5
Rater_2,Person_157,4,4,3,3,3,4,5,4,1,4,3,2
Rater_2,Person_158,1,1,1,2,1,5,0,1,1,1,0,1
Rater_2,Person_159,3,4,4,5,4,2,4,3,4,3,5,4
Rater_2,Person_160,2,2,3,3,2,4,4,5,1,1,4,1
Rater_2,Person_161,3,5,4,2,5,3,5,4,4,2,2,5
Rater_2,Person_162,1,1,3,2,1,1,3,1,0,1,1,1
Rater_2,Person_163,5,5,5,5,5,5,5,4,5,5,5,5
Rater_2,Person_164,1,0,2,1,0,2,1,4,0,4,3,3
Rater_2,Person_165,4,2,1,3,1,5,4,4,1,4,2,1
Rater_2,Person_166,0,1,0,1,0,0,1,0,1,0,1,1
Rater_2,Person_167,1,2,0,1,1,1,0,1,2,0,1,2
Rater_2,Person_168,0,2,2,2,0,1,2,4,2,1,0,3
Rater_2,Person_169,1,1,1,1,2,1,0,0,1,1,0,1
Rater_2,Person_170,4,1,2,1,1,3,5,4,2,2,2,3
Rater_2,Person_171,0,0,2,1,1,1,1,0,0,0,1,1
Rater_2,Person_172,1,1,4,1,4,3,3,3,1,4,4,5
Rater_2,Person_173,2,3,2,4,3,4,1,3,1,1,1,1
Rater_2,Person_174,5,5,4,5,5,4,5,5,4,5,4,5
Rater_2,Person_175,3,1,5,0,2,1,0,1,2,1,1,1
Rater_2,Person_176,1,0,0,1,1,0,1,2,0,1,0,0
Rater_2,Person_177,1,1,0,0,0,1,1,0,1,0,1,1
Rater_2,Person_178,0,0,0,0,0,0,0,0,0,0,0,0
Rater_2,Person_179,0,0,0,0,0,0,0,1,0,0,0,1
Rater_2,Person_180,4,4,4,5,4,4,4,5,4,5,3,4
Rater_2,Person_181,5,5,5,5,5,5,5,5,4,5,3,5
Rater_2,Person_182,1,1,1,0,1,1,2,1,0,2,0,1
Rater_2,Person_183,3,1,2,4,1,4,4,4,3,4,0,2
Rater_2,Person_184,1,0,0,1,1,1,0,2,1,1,1,3
Rater_2,Person_185,5,5,2,3,5,3,4,5,2,5,3,5
Rater_2,Person_186,0,1,4,1,0,0,1,2,0,2,2,4
Rater_2,Person_187,3,1,5,3,2,4,1,3,1,1,1,1
Rater_2,Person_188,2,2,1,2,1,2,2,2,1,0,1,5
Rater_2,Person_189,0,0,0,0,0,0,0,2,1,0,0,0
Rater_2,Person_190,4,5,3,5,4,4,5,4,4,4,4,4
Rater_2,Person_191,0,0,1,0,0,0,0,0,1,0,0,0
Rater_2,Person_192,5,5,5,5,5,5,5,5,5,4,5,5
Rater_2,Person_193,4,5,5,5,5,5,5,5,4,5,5,5
Rater_2,Person_194,4,4,4,2,2,1,4,3,2,3,4,3
Rater_2,Person_195,0,0,0,1,0,0,1,0,0,0,1,0
Rater_2,Person_196,2,1,2,1,1,5,4,4,0,4,1,5
