,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20
Item_11,-0.07137284095977935,-0.01867532691257673,-0.11206266084371294,-0.08694576985533997,-0.1270342164029931,0.07072994469262085,-0.046541136390483254,-0.19091402582033085,-0.13433371441636127,-0.14917261851965286,1.0,-0.05788252363562496,-0.1333781263932826,-0.15740301468763543,-0.08044682500578273,-0.11097260590275831,-0.11328303240897397,-0.08590337107279224,-0.06128473876864519,-0.03230585010506781
Item_12,-0.13535382035231155,-0.10007408204840092,-0.13029003532727834,-0.17639373009157971,-0.04794665365787174,-0.014154676876177155,-0.10300178433913156,-0.17303340084228563,-0.03346434788038284,-0.08157496568262881,-0.05788252363562496,1.0,-0.18404334048506252,0.08152170328397783,-0.07225374267451766,-0.031113506522625022,-0.07954523772757564,-0.11048453444181865,-0.03825492419542005,-0.1046820246853122
Item_13,-0.10868575770146968,-0.08602114375880354,-0.09796078369988252,-0.15436146973396372,-0.06078822316558935,0.006733944826892397,-0.03131944981734307,0.05263840317036069,-0.1461788241367895,0.00599958543424901,-0.1333781263932826,-0.18404334048506252,1.0,-0.05418053312857942,0.028579797321437003,-0.10526533762650055,-0.08605760312086634,-0.058270899833292526,-0.09979272767026882,-0.09343304144243669
Item_14,-0.04411609138114902,-0.10419348856012506,-0.08437510392423761,-0.22935409985741922,-0.16850790777781888,-0.05256816193523928,-0.04802209833631391,-0.028472896151846835,-0.13097347608254692,-0.055298974742890174,-0.15740301468763543,0.08152170328397783,-0.05418053312857942,1.0,-0.06590011388213485,0.017116252839660534,-0.05958566488711863,0.0057227482182584,-0.1239289677479892,-0.06425365259716086
Item_15,-0.13958722224016318,-0.2019096180380263,-0.02172002015483338,0.008317859155591958,-0.08176394963993498,-0.11008195063664462,0.0010277080119391016,-0.04572137700022393,-0.1405383669037286,-0.0996817247777252,-0.08044682500578273,-0.07225374267451766,0.028579797321437003,-0.06590011388213485,1.0,-0.07988059509816482,-0.08517437232509227,-0.19184649491672734,-0.07189741464185348,-0.06196508412137502
Item_16,-0.12213597351579616,-0.09858122721375882,-0.07000909056342589,-0.1288296247997677,-0.16224060028794754,-0.1468627170587417,-0.11350400727601641,-0.051728200580108984,-0.02169252449931142,0.018341077414341177,-0.11097260590275831,-0.031113506522625022,-0.10526533762650055,0.017116252839660534,-0.07988059509816482,1.0,-0.13830220708599958,0.058536235268966064,-0.1577158384659171,-0.06939163189132107
Item_17,-0.02223092229302361,0.031058434475164372,-0.12138044269497614,-0.01117213495974643,-0.03132332500569983,-0.030989678796762735,-0.11902879427147692,-0.11026647117668079,-0.061838628714545686,-0.05544289356090879,-0.11328303240897397,-0.07954523772757564,-0.08605760312086634,-0.05958566488711863,-0.08517437232509227,-0.13830220708599958,1.0,-0.09370259832144102,-0.13500421485981476,-0.09351652298701946
Item_18,-0.08464843154325047,-0.07328996872323187,-0.13370014709728098,-0.08427455571817957,-0.06567416065195016,-0.036350745009502396,-0.10177925993104915,-0.09103802312940314,-0.052649913877091184,-0.08450353292921671,-0.08590337107279224,-0.11048453444181865,-0.058270899833292526,0.0057227482182584,-0.19184649491672734,0.058536235268966064,-0.09370259832144102,1.0,-0.08978309866115804,-0.10202417142060922
Item_19,-0.03837465263590086,-0.007422812548726131,-0.07062762737692617,-0.0409877166709956,-0.027499482498021012,0.03724725892549047,-0.10804390624452302,-0.12186188406036579,-0.10513487908749243,-0.07795137427902978,-0.06128473876864519,-0.03825492419542005,-0.09979272767026882,-0.1239289677479892,-0.07189741464185348,-0.1577158384659171,-0.13500421485981476,-0.08978309866115804,1.0,-0.03838646773998899
Item_20,-0.09103748018934703,-0.039083682830551573,-0.09808764657657401,-0.13065843278021233,-0.0798653558861196,-0.1451984077053754,-0.04295304822864792,-0.09558495345363763,-0.1278609888479072,-0.14922038426735462,-0.03230585010506781,-0.1046820246853122,-0.09343304144243669,-0.06425365259716086,-0.06196508412137502,-0.06939163189132107,-0.09351652298701946,-0.10202417142060922,-0.03838646773998899,1.0
