,,Item_1,Item_2,Item_3,Item_4
Rater_1,Person_51,4.0,2.0,3.0,3.0
Rater_1,Person_52,4.0,2.0,2.0,0.0
Rater_1,Person_53,5.0,3.0,,1.0
Rater_1,Person_54,,4.0,3.0,2.0
Rater_1,Person_55,5.0,,,2.0
Rater_1,Person_56,5.0,4.0,2.0,0.0
Rater_1,Person_57,5.0,3.0,5.0,
Rater_1,Person_58,,3.0,2.0,0.0
Rater_1,Person_59,2.0,2.0,0.0,0.0
Rater_1,Person_60,2.0,1.0,2.0,1.0
Rater_1,Person_61,3.0,,3.0,1.0
Rater_1,Person_62,4.0,3.0,,2.0
Rater_1,Person_63,,3.0,2.0,0.0
Rater_1,Person_64,4.0,3.0,2.0,0.0
Rater_1,Person_65,4.0,5.0,4.0,2.0
Rater_1,Person_66,4.0,1.0,,1.0
Rater_1,Person_67,1.0,2.0,1.0,1.0
Rater_1,Person_68,5.0,5.0,5.0,3.0
Rater_1,Person_69,5.0,2.0,1.0,1.0
Rater_1,Person_70,5.0,3.0,,0.0
Rater_1,Person_71,5.0,5.0,4.0,3.0
Rater_1,Person_72,2.0,1.0,2.0,0.0
Rater_1,Person_73,4.0,5.0,2.0,3.0
Rater_1,Person_74,2.0,3.0,,0.0
Rater_1,Person_75,3.0,4.0,3.0,2.0
Rater_1,Person_76,3.0,4.0,2.0,1.0
Rater_1,Person_77,3.0,4.0,3.0,1.0
Rater_1,Person_78,3.0,2.0,,0.0
Rater_1,Person_79,4.0,3.0,2.0,1.0
Rater_1,Person_80,3.0,2.0,2.0,0.0
Rater_1,Person_81,3.0,4.0,3.0,2.0
Rater_1,Person_82,4.0,,3.0,2.0
Rater_1,Person_83,3.0,3.0,1.0,1.0
Rater_1,Person_84,2.0,,2.0,0.0
Rater_1,Person_85,5.0,3.0,4.0,0.0
Rater_1,Person_86,3.0,0.0,,0.0
Rater_1,Person_87,3.0,2.0,0.0,1.0
Rater_1,Person_88,4.0,5.0,2.0,3.0
Rater_1,Person_89,3.0,2.0,2.0,1.0
Rater_1,Person_90,3.0,2.0,2.0,1.0
Rater_1,Person_91,2.0,3.0,2.0,1.0
Rater_1,Person_92,,4.0,3.0,2.0
Rater_1,Person_93,3.0,1.0,0.0,
Rater_1,Person_94,4.0,4.0,3.0,2.0
Rater_1,Person_95,4.0,4.0,4.0,
Rater_1,Person_96,4.0,2.0,,1.0
Rater_1,Person_97,3.0,0.0,0.0,0.0
Rater_1,Person_98,5.0,2.0,2.0,2.0
Rater_1,Person_99,2.0,1.0,2.0,0.0
Rater_1,Person_100,,5.0,4.0,3.0
Rater_1,Person_101,5.0,2.0,2.0,3.0
Rater_1,Person_102,1.0,2.0,2.0,0.0
Rater_1,Person_103,4.0,0.0,1.0,
Rater_1,Person_104,5.0,3.0,5.0,3.0
Rater_1,Person_105,4.0,,,0.0
Rater_1,Person_106,2.0,3.0,3.0,1.0
Rater_1,Person_107,4.0,2.0,3.0,0.0
Rater_1,Person_108,5.0,3.0,,1.0
Rater_1,Person_109,4.0,3.0,4.0,2.0
Rater_1,Person_110,5.0,4.0,3.0,2.0
Rater_1,Person_111,4.0,5.0,3.0,4.0
Rater_1,Person_112,3.0,,0.0,
Rater_1,Person_113,,2.0,3.0,0.0
Rater_1,Person_114,2.0,3.0,2.0,1.0
Rater_1,Person_115,3.0,5.0,3.0,2.0
Rater_1,Person_116,4.0,5.0,,2.0
Rater_1,Person_117,3.0,1.0,1.0,0.0
Rater_1,Person_118,3.0,1.0,1.0,0.0
Rater_1,Person_119,4.0,3.0,1.0,
Rater_1,Person_120,4.0,3.0,2.0,1.0
Rater_1,Person_121,4.0,,1.0,1.0
Rater_1,Person_122,5.0,4.0,3.0,
Rater_1,Person_123,4.0,4.0,2.0,2.0
Rater_1,Person_124,4.0,4.0,2.0,1.0
Rater_1,Person_125,4.0,2.0,2.0,1.0
Rater_1,Person_126,3.0,,0.0,0.0
Rater_1,Person_127,5.0,3.0,4.0,
Rater_1,Person_128,,3.0,2.0,0.0
Rater_1,Person_129,4.0,2.0,1.0,1.0
Rater_1,Person_130,,3.0,5.0,1.0
Rater_1,Person_131,2.0,3.0,,0.0
Rater_1,Person_132,5.0,5.0,2.0,0.0
Rater_1,Person_133,4.0,5.0,3.0,
Rater_1,Person_134,2.0,1.0,3.0,1.0
Rater_1,Person_135,4.0,4.0,3.0,0.0
Rater_1,Person_136,2.0,3.0,1.0,0.0
Rater_1,Person_137,5.0,3.0,2.0,2.0
Rater_1,Person_138,3.0,3.0,2.0,2.0
Rater_1,Person_139,4.0,,3.0,1.0
Rater_1,Person_140,4.0,,2.0,1.0
Rater_1,Person_141,5.0,4.0,1.0,1.0
Rater_1,Person_142,4.0,4.0,2.0,3.0
Rater_1,Person_143,4.0,2.0,2.0,0.0
Rater_1,Person_144,5.0,4.0,3.0,3.0
Rater_1,Person_145,2.0,2.0,1.0,
Rater_1,Person_146,5.0,4.0,5.0,3.0
Rater_1,Person_147,3.0,3.0,4.0,2.0
Rater_1,Person_148,4.0,4.0,,0.0
Rater_1,Person_149,5.0,4.0,5.0,4.0
Rater_1,Person_150,4.0,4.0,,2.0
Rater_1,Person_151,4.0,3.0,1.0,1.0
Rater_1,Person_152,4.0,4.0,3.0,4.0
Rater_1,Person_153,2.0,2.0,1.0,0.0
Rater_1,Person_154,3.0,2.0,4.0,2.0
Rater_1,Person_155,2.0,2.0,2.0,1.0
Rater_1,Person_156,4.0,4.0,1.0,2.0
Rater_1,Person_157,4.0,5.0,3.0,
Rater_1,Person_158,5.0,3.0,2.0,2.0
Rater_1,Person_159,5.0,5.0,5.0,
Rater_1,Person_160,2.0,1.0,0.0,0.0
Rater_1,Person_161,2.0,0.0,2.0,0.0
Rater_1,Person_162,2.0,1.0,3.0,0.0
Rater_1,Person_163,2.0,3.0,1.0,0.0
Rater_1,Person_164,2.0,2.0,0.0,0.0
Rater_1,Person_165,3.0,4.0,2.0,2.0
Rater_1,Person_166,4.0,1.0,2.0,2.0
Rater_1,Person_167,5.0,4.0,2.0,
Rater_1,Person_168,5.0,5.0,5.0,3.0
Rater_1,Person_169,1.0,2.0,2.0,1.0
Rater_1,Person_170,2.0,2.0,,1.0
Rater_1,Person_171,4.0,2.0,3.0,0.0
Rater_1,Person_172,3.0,3.0,1.0,0.0
Rater_1,Person_173,2.0,2.0,1.0,0.0
Rater_1,Person_174,,2.0,0.0,0.0
Rater_1,Person_175,3.0,2.0,1.0,1.0
Rater_1,Person_176,3.0,2.0,2.0,0.0
Rater_1,Person_177,5.0,3.0,1.0,1.0
Rater_1,Person_178,4.0,4.0,0.0,1.0
Rater_1,Person_179,3.0,2.0,1.0,2.0
Rater_1,Person_180,2.0,2.0,,0.0
Rater_1,Person_181,4.0,4.0,,0.0
Rater_1,Person_182,5.0,5.0,3.0,2.0
Rater_1,Person_183,3.0,2.0,2.0,
Rater_1,Person_184,5.0,4.0,4.0,1.0
Rater_1,Person_185,5.0,4.0,3.0,2.0
Rater_1,Person_186,5.0,3.0,,3.0
Rater_1,Person_187,2.0,1.0,1.0,0.0
Rater_1,Person_188,3.0,2.0,3.0,2.0
Rater_1,Person_189,3.0,1.0,0.0,1.0
Rater_1,Person_190,4.0,1.0,3.0,1.0
Rater_1,Person_191,4.0,5.0,5.0,3.0
Rater_1,Person_192,3.0,5.0,3.0,3.0
Rater_1,Person_193,3.0,1.0,,0.0
Rater_1,Person_194,2.0,1.0,3.0,0.0
Rater_1,Person_195,3.0,4.0,1.0,0.0
Rater_1,Person_196,5.0,2.0,2.0,1.0
Rater_1,Person_197,1.0,2.0,0.0,1.0
Rater_1,Person_198,,1.0,1.0,0.0
Rater_1,Person_199,4.0,4.0,3.0,1.0
Rater_1,Person_200,5.0,4.0,1.0,0.0
Rater_1,Person_201,2.0,2.0,0.0,
Rater_1,Person_202,5.0,4.0,2.0,2.0
Rater_1,Person_203,4.0,1.0,5.0,3.0
Rater_1,Person_204,1.0,2.0,3.0,
Rater_1,Person_205,4.0,5.0,4.0,4.0
Rater_1,Person_206,5.0,3.0,3.0,1.0
Rater_1,Person_207,3.0,5.0,2.0,2.0
Rater_1,Person_208,2.0,3.0,1.0,
Rater_1,Person_209,5.0,4.0,3.0,
Rater_1,Person_210,2.0,0.0,1.0,0.0
Rater_1,Person_211,5.0,4.0,4.0,3.0
Rater_1,Person_212,4.0,1.0,1.0,
Rater_1,Person_213,5.0,2.0,4.0,3.0
Rater_1,Person_214,1.0,0.0,1.0,0.0
Rater_1,Person_215,2.0,1.0,1.0,0.0
Rater_1,Person_216,2.0,1.0,0.0,0.0
Rater_1,Person_217,5.0,3.0,,
Rater_1,Person_218,5.0,5.0,3.0,4.0
Rater_1,Person_219,3.0,4.0,2.0,1.0
Rater_1,Person_220,4.0,3.0,1.0,0.0
Rater_1,Person_221,4.0,3.0,1.0,1.0
Rater_1,Person_222,5.0,4.0,3.0,3.0
Rater_1,Person_223,5.0,,3.0,0.0
Rater_1,Person_224,5.0,5.0,2.0,1.0
Rater_1,Person_225,4.0,4.0,,1.0
Rater_1,Person_226,4.0,3.0,3.0,1.0
Rater_1,Person_227,2.0,,2.0,
Rater_1,Person_228,3.0,2.0,0.0,0.0
Rater_1,Person_229,2.0,0.0,0.0,0.0
Rater_1,Person_230,5.0,5.0,3.0,
Rater_1,Person_231,5.0,3.0,3.0,2.0
Rater_1,Person_232,4.0,3.0,2.0,0.0
Rater_1,Person_233,4.0,3.0,3.0,2.0
Rater_1,Person_234,4.0,2.0,1.0,1.0
Rater_1,Person_235,4.0,5.0,2.0,4.0
Rater_1,Person_236,5.0,4.0,5.0,3.0
Rater_1,Person_237,5.0,4.0,2.0,1.0
Rater_1,Person_238,1.0,2.0,0.0,0.0
Rater_1,Person_239,5.0,5.0,2.0,1.0
Rater_1,Person_240,3.0,2.0,1.0,1.0
Rater_1,Person_241,4.0,4.0,4.0,3.0
Rater_1,Person_242,1.0,2.0,0.0,1.0
Rater_1,Person_243,2.0,2.0,1.0,2.0
Rater_1,Person_244,5.0,2.0,3.0,1.0
Rater_1,Person_245,3.0,2.0,1.0,1.0
Rater_1,Person_246,3.0,3.0,2.0,2.0
Rater_1,Person_247,5.0,3.0,4.0,4.0
Rater_1,Person_248,3.0,1.0,0.0,0.0
Rater_1,Person_249,4.0,4.0,1.0,2.0
Rater_1,Person_250,4.0,5.0,1.0,2.0
Rater_1,Person_251,5.0,,4.0,3.0
Rater_1,Person_252,4.0,4.0,2.0,3.0
Rater_1,Person_253,5.0,5.0,3.0,2.0
Rater_1,Person_254,5.0,3.0,4.0,4.0
Rater_1,Person_255,5.0,4.0,5.0,3.0
Rater_1,Person_256,2.0,2.0,0.0,1.0
Rater_1,Person_257,5.0,5.0,,3.0
Rater_1,Person_258,2.0,2.0,1.0,0.0
Rater_1,Person_259,3.0,1.0,2.0,0.0
Rater_1,Person_260,4.0,3.0,1.0,2.0
Rater_1,Person_261,5.0,4.0,3.0,2.0
Rater_1,Person_262,5.0,3.0,2.0,0.0
Rater_1,Person_263,4.0,5.0,4.0,4.0
Rater_1,Person_264,3.0,3.0,1.0,0.0
Rater_1,Person_265,1.0,2.0,0.0,
Rater_1,Person_266,3.0,3.0,3.0,1.0
Rater_1,Person_267,3.0,0.0,1.0,0.0
Rater_1,Person_268,5.0,4.0,2.0,1.0
Rater_1,Person_269,2.0,0.0,0.0,0.0
Rater_1,Person_270,,3.0,2.0,2.0
Rater_1,Person_271,3.0,0.0,0.0,0.0
Rater_1,Person_272,3.0,4.0,3.0,2.0
Rater_1,Person_273,4.0,4.0,3.0,1.0
Rater_1,Person_274,4.0,3.0,,1.0
Rater_1,Person_275,,1.0,0.0,1.0
Rater_1,Person_276,5.0,,0.0,0.0
Rater_1,Person_277,4.0,1.0,2.0,1.0
Rater_1,Person_278,2.0,5.0,4.0,2.0
Rater_1,Person_279,3.0,1.0,0.0,2.0
Rater_1,Person_280,4.0,1.0,1.0,0.0
Rater_1,Person_281,4.0,5.0,2.0,
Rater_1,Person_282,5.0,4.0,3.0,2.0
Rater_1,Person_283,,2.0,0.0,2.0
Rater_1,Person_284,3.0,1.0,0.0,0.0
Rater_1,Person_285,2.0,2.0,2.0,0.0
Rater_1,Person_286,5.0,3.0,2.0,
Rater_1,Person_287,4.0,4.0,2.0,
Rater_1,Person_288,4.0,2.0,3.0,0.0
Rater_1,Person_289,5.0,5.0,3.0,
Rater_1,Person_290,5.0,5.0,4.0,2.0
Rater_1,Person_291,5.0,4.0,2.0,3.0
Rater_1,Person_292,4.0,1.0,,1.0
Rater_1,Person_293,3.0,4.0,,1.0
Rater_1,Person_294,4.0,2.0,1.0,0.0
Rater_1,Person_295,5.0,4.0,4.0,3.0
Rater_1,Person_296,2.0,,2.0,1.0
Rater_1,Person_297,,3.0,3.0,0.0
Rater_1,Person_298,4.0,2.0,1.0,1.0
Rater_1,Person_299,4.0,2.0,2.0,3.0
Rater_1,Person_300,,4.0,4.0,
Rater_1,Person_301,2.0,1.0,0.0,0.0
Rater_1,Person_302,5.0,5.0,2.0,2.0
Rater_1,Person_303,5.0,4.0,3.0,2.0
Rater_1,Person_304,2.0,,1.0,
Rater_1,Person_305,3.0,1.0,0.0,1.0
Rater_1,Person_306,5.0,5.0,,3.0
Rater_1,Person_307,,4.0,4.0,3.0
Rater_1,Person_308,3.0,5.0,,2.0
Rater_1,Person_309,,4.0,4.0,4.0
Rater_1,Person_310,3.0,2.0,2.0,1.0
Rater_1,Person_311,3.0,,2.0,3.0
Rater_1,Person_312,3.0,2.0,1.0,1.0
Rater_1,Person_313,4.0,2.0,4.0,3.0
Rater_1,Person_314,3.0,1.0,1.0,
Rater_1,Person_315,4.0,4.0,3.0,0.0
Rater_1,Person_316,4.0,1.0,1.0,0.0
Rater_1,Person_317,,3.0,4.0,0.0
Rater_1,Person_318,,4.0,1.0,3.0
Rater_1,Person_319,4.0,3.0,,2.0
Rater_1,Person_320,5.0,5.0,2.0,2.0
Rater_1,Person_321,,2.0,1.0,
Rater_1,Person_322,1.0,0.0,1.0,0.0
Rater_1,Person_323,4.0,3.0,2.0,1.0
Rater_1,Person_324,3.0,3.0,2.0,1.0
Rater_1,Person_325,5.0,4.0,2.0,2.0
Rater_1,Person_326,5.0,3.0,1.0,2.0
Rater_1,Person_327,3.0,2.0,2.0,1.0
Rater_1,Person_328,,0.0,1.0,0.0
Rater_1,Person_329,5.0,5.0,5.0,2.0
Rater_1,Person_330,4.0,,2.0,1.0
Rater_1,Person_331,4.0,3.0,4.0,0.0
Rater_1,Person_332,3.0,0.0,1.0,
Rater_1,Person_333,3.0,2.0,0.0,0.0
Rater_1,Person_334,5.0,2.0,1.0,
Rater_1,Person_335,4.0,2.0,0.0,1.0
Rater_1,Person_336,5.0,3.0,3.0,2.0
Rater_1,Person_337,2.0,3.0,2.0,
Rater_1,Person_338,5.0,5.0,,1.0
Rater_1,Person_339,,4.0,1.0,3.0
Rater_1,Person_340,2.0,1.0,0.0,1.0
Rater_1,Person_341,4.0,4.0,2.0,3.0
Rater_1,Person_342,5.0,5.0,5.0,4.0
Rater_1,Person_343,4.0,3.0,2.0,0.0
Rater_1,Person_344,3.0,1.0,,
Rater_1,Person_345,4.0,2.0,2.0,1.0
Rater_1,Person_346,3.0,4.0,1.0,0.0
Rater_1,Person_347,4.0,5.0,3.0,3.0
Rater_1,Person_348,4.0,5.0,2.0,1.0
Rater_1,Person_349,3.0,3.0,0.0,1.0
Rater_1,Person_350,4.0,2.0,2.0,2.0
Rater_1,Person_351,4.0,4.0,0.0,1.0
Rater_1,Person_352,3.0,2.0,0.0,1.0
Rater_1,Person_353,3.0,3.0,1.0,
Rater_1,Person_354,3.0,1.0,3.0,0.0
Rater_1,Person_355,4.0,3.0,1.0,0.0
Rater_1,Person_356,4.0,3.0,2.0,2.0
Rater_1,Person_357,,5.0,5.0,4.0
Rater_1,Person_358,,4.0,2.0,
Rater_1,Person_359,5.0,5.0,5.0,1.0
Rater_1,Person_360,3.0,1.0,0.0,0.0
Rater_1,Person_361,3.0,3.0,2.0,
Rater_1,Person_362,5.0,,1.0,1.0
Rater_1,Person_363,3.0,3.0,1.0,0.0
Rater_1,Person_364,4.0,,3.0,
Rater_1,Person_365,4.0,,0.0,
Rater_1,Person_366,3.0,2.0,2.0,1.0
Rater_1,Person_367,3.0,2.0,1.0,1.0
Rater_1,Person_368,5.0,5.0,2.0,4.0
Rater_1,Person_369,,,,
Rater_1,Person_370,4.0,1.0,2.0,1.0
Rater_1,Person_371,5.0,5.0,3.0,3.0
Rater_1,Person_372,3.0,4.0,0.0,1.0
Rater_1,Person_373,3.0,3.0,4.0,
Rater_1,Person_374,,1.0,1.0,0.0
Rater_1,Person_375,,4.0,4.0,2.0
Rater_1,Person_376,5.0,3.0,4.0,3.0
Rater_1,Person_377,2.0,1.0,0.0,
Rater_1,Person_378,3.0,1.0,2.0,1.0
Rater_1,Person_379,5.0,4.0,2.0,3.0
Rater_1,Person_380,4.0,0.0,2.0,1.0
Rater_1,Person_381,5.0,,2.0,
Rater_1,Person_382,3.0,4.0,,1.0
Rater_1,Person_383,5.0,4.0,3.0,
Rater_1,Person_384,,3.0,4.0,1.0
Rater_1,Person_385,3.0,2.0,1.0,1.0
Rater_1,Person_386,4.0,,3.0,3.0
Rater_1,Person_387,4.0,3.0,3.0,0.0
Rater_1,Person_388,5.0,5.0,4.0,2.0
Rater_1,Person_389,5.0,4.0,4.0,2.0
Rater_1,Person_390,3.0,3.0,2.0,0.0
Rater_1,Person_391,1.0,3.0,1.0,0.0
Rater_1,Person_392,3.0,2.0,3.0,3.0
Rater_1,Person_393,2.0,1.0,1.0,0.0
Rater_1,Person_394,3.0,1.0,2.0,
Rater_1,Person_395,2.0,1.0,0.0,0.0
Rater_1,Person_396,2.0,2.0,1.0,1.0
Rater_1,Person_397,3.0,1.0,2.0,0.0
Rater_1,Person_398,5.0,5.0,4.0,4.0
Rater_1,Person_399,4.0,5.0,3.0,2.0
Rater_1,Person_400,3.0,2.0,0.0,
Rater_1,Person_401,1.0,3.0,0.0,0.0
Rater_1,Person_402,4.0,3.0,0.0,1.0
Rater_1,Person_403,,,,1.0
Rater_1,Person_404,3.0,3.0,1.0,1.0
Rater_1,Person_405,5.0,4.0,1.0,4.0
Rater_1,Person_406,5.0,4.0,2.0,4.0
Rater_1,Person_407,3.0,1.0,1.0,1.0
Rater_1,Person_408,5.0,3.0,2.0,0.0
Rater_1,Person_409,4.0,4.0,1.0,2.0
Rater_1,Person_410,5.0,3.0,4.0,2.0
Rater_1,Person_411,3.0,,2.0,2.0
Rater_1,Person_412,4.0,2.0,2.0,0.0
Rater_1,Person_413,4.0,4.0,4.0,4.0
Rater_1,Person_414,3.0,3.0,0.0,0.0
Rater_1,Person_415,5.0,2.0,2.0,3.0
Rater_1,Person_416,5.0,4.0,2.0,3.0
Rater_1,Person_417,1.0,1.0,0.0,1.0
Rater_1,Person_418,4.0,0.0,1.0,0.0
Rater_1,Person_419,3.0,4.0,,0.0
Rater_1,Person_420,3.0,3.0,1.0,1.0
Rater_1,Person_421,3.0,2.0,1.0,1.0
Rater_1,Person_422,4.0,2.0,1.0,0.0
Rater_1,Person_423,4.0,3.0,1.0,0.0
Rater_1,Person_424,3.0,1.0,0.0,0.0
Rater_1,Person_425,5.0,2.0,0.0,1.0
Rater_1,Person_426,4.0,3.0,4.0,3.0
Rater_1,Person_427,5.0,3.0,5.0,
Rater_1,Person_428,3.0,3.0,1.0,
Rater_1,Person_429,,3.0,4.0,2.0
Rater_1,Person_430,5.0,4.0,3.0,2.0
Rater_1,Person_431,,2.0,0.0,0.0
Rater_1,Person_432,,,1.0,0.0
Rater_1,Person_433,5.0,3.0,0.0,2.0
Rater_1,Person_434,3.0,3.0,1.0,0.0
Rater_1,Person_435,2.0,3.0,1.0,0.0
Rater_1,Person_436,4.0,3.0,3.0,0.0
Rater_1,Person_437,3.0,2.0,1.0,1.0
Rater_1,Person_438,5.0,4.0,3.0,3.0
Rater_1,Person_439,4.0,4.0,4.0,3.0
Rater_1,Person_440,5.0,1.0,1.0,0.0
Rater_1,Person_441,3.0,2.0,,1.0
Rater_1,Person_442,5.0,,1.0,4.0
Rater_1,Person_443,,1.0,1.0,0.0
Rater_1,Person_444,3.0,1.0,1.0,
Rater_1,Person_445,,4.0,3.0,2.0
Rater_1,Person_446,,1.0,1.0,1.0
Rater_1,Person_447,5.0,,4.0,3.0
Rater_1,Person_448,2.0,3.0,0.0,1.0
Rater_1,Person_449,5.0,3.0,1.0,2.0
Rater_1,Person_450,5.0,4.0,3.0,2.0
Rater_1,Person_451,3.0,2.0,2.0,0.0
Rater_1,Person_452,3.0,2.0,3.0,1.0
Rater_1,Person_453,5.0,5.0,4.0,3.0
Rater_1,Person_454,2.0,2.0,0.0,0.0
Rater_1,Person_455,2.0,2.0,,0.0
Rater_1,Person_456,1.0,1.0,1.0,0.0
Rater_1,Person_457,4.0,5.0,2.0,1.0
Rater_1,Person_458,4.0,,4.0,1.0
Rater_1,Person_459,3.0,2.0,1.0,1.0
Rater_1,Person_460,5.0,2.0,0.0,
Rater_1,Person_461,5.0,4.0,4.0,1.0
Rater_1,Person_462,3.0,1.0,1.0,0.0
Rater_1,Person_463,5.0,,3.0,1.0
Rater_1,Person_464,4.0,3.0,2.0,0.0
Rater_1,Person_465,4.0,3.0,2.0,1.0
Rater_1,Person_466,3.0,0.0,0.0,1.0
Rater_1,Person_467,5.0,3.0,2.0,3.0
Rater_1,Person_468,3.0,1.0,,1.0
Rater_1,Person_469,2.0,,1.0,1.0
Rater_1,Person_470,5.0,,,2.0
Rater_1,Person_471,2.0,1.0,1.0,0.0
Rater_1,Person_472,2.0,2.0,1.0,1.0
Rater_1,Person_473,2.0,,1.0,0.0
Rater_1,Person_474,3.0,4.0,,1.0
Rater_1,Person_475,5.0,5.0,5.0,4.0
Rater_1,Person_476,3.0,4.0,0.0,1.0
Rater_1,Person_477,4.0,4.0,3.0,3.0
Rater_1,Person_478,3.0,2.0,4.0,2.0
Rater_1,Person_479,1.0,2.0,2.0,1.0
Rater_1,Person_480,5.0,4.0,3.0,1.0
Rater_1,Person_481,5.0,5.0,4.0,3.0
Rater_1,Person_482,4.0,3.0,1.0,0.0
Rater_1,Person_483,4.0,2.0,0.0,0.0
Rater_1,Person_484,2.0,1.0,0.0,1.0
Rater_1,Person_485,3.0,2.0,2.0,2.0
Rater_1,Person_486,5.0,3.0,2.0,2.0
Rater_1,Person_487,4.0,3.0,4.0,1.0
Rater_1,Person_488,5.0,3.0,2.0,5.0
Rater_1,Person_489,,0.0,0.0,0.0
Rater_1,Person_490,2.0,3.0,0.0,0.0
Rater_1,Person_491,4.0,4.0,3.0,3.0
Rater_1,Person_492,3.0,4.0,1.0,0.0
Rater_1,Person_493,3.0,2.0,1.0,0.0
Rater_1,Person_494,4.0,4.0,4.0,3.0
Rater_1,Person_495,,0.0,0.0,1.0
Rater_1,Person_496,4.0,5.0,2.0,3.0
Rater_1,Person_497,5.0,3.0,4.0,2.0
Rater_1,Person_498,3.0,5.0,4.0,1.0
Rater_1,Person_499,3.0,3.0,1.0,0.0
Rater_1,Person_500,,5.0,3.0,3.0
Rater_2,Person_1,3.0,3.0,0.0,
Rater_2,Person_2,5.0,3.0,3.0,3.0
Rater_2,Person_3,4.0,1.0,2.0,1.0
Rater_2,Person_4,,4.0,3.0,2.0
Rater_2,Person_5,5.0,5.0,2.0,2.0
Rater_2,Person_6,4.0,5.0,5.0,2.0
Rater_2,Person_7,4.0,4.0,1.0,2.0
Rater_2,Person_8,3.0,2.0,3.0,0.0
Rater_2,Person_9,3.0,2.0,2.0,0.0
Rater_2,Person_10,2.0,4.0,1.0,0.0
Rater_2,Person_11,,3.0,3.0,1.0
Rater_2,Person_12,2.0,5.0,2.0,1.0
Rater_2,Person_13,5.0,3.0,,
Rater_2,Person_14,4.0,2.0,3.0,1.0
Rater_2,Person_15,,3.0,3.0,2.0
Rater_2,Person_16,4.0,5.0,3.0,
Rater_2,Person_17,4.0,1.0,2.0,0.0
Rater_2,Person_18,3.0,1.0,0.0,0.0
Rater_2,Person_19,4.0,2.0,2.0,1.0
Rater_2,Person_20,3.0,5.0,4.0,4.0
Rater_2,Person_21,3.0,3.0,1.0,1.0
Rater_2,Person_22,4.0,5.0,3.0,2.0
Rater_2,Person_23,3.0,3.0,2.0,0.0
Rater_2,Person_24,5.0,5.0,2.0,3.0
Rater_2,Person_25,,3.0,3.0,2.0
Rater_2,Person_26,5.0,5.0,3.0,1.0
Rater_2,Person_27,2.0,1.0,0.0,0.0
Rater_2,Person_28,3.0,2.0,1.0,0.0
Rater_2,Person_29,4.0,2.0,,0.0
Rater_2,Person_30,5.0,5.0,5.0,3.0
Rater_2,Person_31,,4.0,,1.0
Rater_2,Person_32,4.0,3.0,,1.0
Rater_2,Person_33,4.0,4.0,2.0,0.0
Rater_2,Person_34,2.0,2.0,2.0,1.0
Rater_2,Person_35,5.0,3.0,2.0,
Rater_2,Person_36,,1.0,0.0,0.0
Rater_2,Person_37,4.0,1.0,,
Rater_2,Person_38,3.0,4.0,1.0,2.0
Rater_2,Person_39,,3.0,3.0,1.0
