,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_48,-1.024,0.462,0.444,26,60,0.433,0.923,-0.057,0.944,-0.002
Person_49,0.234,0.455,0.4,32,60,0.533,0.773,-0.503,0.761,-0.539
Person_50,-1.453,0.465,0.45,24,60,0.4,0.935,-0.031,0.947,0.001
Person_51,0.645,0.456,0.387,34,60,0.567,0.718,-0.689,0.719,-0.69
Person_52,-2.109,0.472,0.478,21,60,0.35,1.025,0.195,1.034,0.218
Person_53,0.44,0.455,0.428,33,60,0.55,0.885,-0.182,0.883,-0.188
Person_54,-1.888,0.47,0.357,22,60,0.367,0.577,-1.126,0.574,-1.139
Person_55,-0.388,0.458,0.387,29,60,0.483,0.712,-0.655,0.715,-0.644
Person_56,2.686,0.517,0.482,43,60,0.717,0.868,-0.189,1.025,0.205
Person_57,-2.109,0.472,0.444,21,60,0.35,0.884,-0.169,0.902,-0.121
Person_58,0.44,0.455,0.398,33,60,0.55,0.762,-0.544,0.76,-0.552
Person_59,0.852,0.458,0.588,35,60,0.583,1.645,1.539,1.597,1.455
Person_60,-1.238,0.464,0.447,25,60,0.417,0.929,-0.046,0.935,-0.028
Person_61,-1.024,0.462,0.529,26,60,0.433,1.311,0.83,1.328,0.863
Person_62,-0.811,0.461,0.441,27,60,0.45,0.918,-0.07,0.916,-0.074
Person_63,-1.238,0.464,0.591,25,60,0.417,1.623,1.432,1.635,1.45
Person_64,-0.18,0.457,0.441,30,60,0.5,0.932,-0.04,0.914,-0.086
Person_65,-1.024,0.462,0.49,26,60,0.433,1.123,0.425,1.125,0.429
Person_66,0.44,0.455,0.573,33,60,0.55,1.581,1.41,1.582,1.413
Person_67,0.028,0.456,0.503,31,60,0.517,1.217,0.645,1.217,0.643
Person_68,-1.238,0.464,0.547,25,60,0.417,1.392,0.997,1.428,1.067
Person_69,-0.18,0.457,0.397,30,60,0.5,0.756,-0.53,0.772,-0.482
Person_70,0.234,0.455,0.436,32,60,0.533,0.915,-0.093,0.928,-0.057
Person_71,-0.811,0.461,0.625,27,60,0.45,1.836,1.78,1.804,1.723
Person_72,1.062,0.461,0.484,36,60,0.6,1.103,0.386,1.073,0.313
Person_73,-1.67,0.467,0.405,23,60,0.383,0.751,-0.55,0.753,-0.546
Person_74,2.959,0.531,0.481,44,60,0.733,0.819,-0.307,0.883,-0.109
Person_75,-2.792,0.483,0.328,18,60,0.3,0.461,-1.508,0.458,-1.519
Person_76,-0.811,0.461,0.344,27,60,0.45,0.558,-1.157,0.563,-1.136
Person_77,-2.333,0.476,0.526,20,60,0.333,1.221,0.646,1.244,0.695
Person_78,0.028,0.456,0.504,31,60,0.517,1.224,0.659,1.232,0.677
Person_79,0.234,0.455,0.286,32,60,0.533,0.395,-1.917,0.392,-1.926
Person_80,-3.509,0.493,0.429,15,60,0.25,0.758,-0.496,0.764,-0.48
Person_81,2.179,0.494,0.489,41,60,0.683,0.981,0.088,1.036,0.227
Person_82,-1.024,0.462,0.465,26,60,0.433,1.01,0.16,1.018,0.179
Person_83,-0.599,0.459,0.507,28,60,0.467,1.218,0.635,1.239,0.677
Person_84,1.062,0.461,0.466,36,60,0.6,1.021,0.183,0.987,0.094
Person_85,-0.599,0.459,0.439,28,60,0.467,0.914,-0.081,0.922,-0.058
Person_86,-1.238,0.464,0.5,25,60,0.417,1.164,0.518,1.125,0.432
Person_87,-0.388,0.458,0.461,29,60,0.483,1.014,0.169,1.007,0.153
Person_88,0.852,0.458,0.427,35,60,0.583,0.867,-0.234,0.868,-0.236
Person_89,1.491,0.471,0.374,38,60,0.633,0.633,-0.948,0.604,-1.042
Person_90,0.645,0.456,0.428,34,60,0.567,0.878,-0.205,0.888,-0.176
Person_91,1.274,0.465,0.547,37,60,0.617,1.381,1.006,1.371,0.986
Person_92,-5.283,0.532,0.602,8,60,0.133,1.28,0.816,1.206,0.653
Person_93,-0.18,0.457,0.247,30,60,0.5,0.292,-2.379,0.288,-2.394
Person_94,-0.18,0.457,0.432,30,60,0.5,0.896,-0.135,0.887,-0.157
Person_95,-0.811,0.461,0.439,27,60,0.45,0.906,-0.102,0.891,-0.139
Person_96,-1.024,0.462,0.404,26,60,0.433,0.763,-0.497,0.735,-0.577
Person_97,-3.027,0.486,0.441,17,60,0.283,0.823,-0.31,0.828,-0.297
Person_98,-1.67,0.467,0.46,23,60,0.383,0.968,0.051,0.966,0.047
Person_99,0.645,0.456,0.468,34,60,0.567,1.05,0.256,1.032,0.211
Person_100,-0.18,0.457,0.582,30,60,0.5,1.623,1.443,1.633,1.457
Person_101,0.234,0.455,0.466,32,60,0.533,1.046,0.245,1.077,0.323
Person_102,0.234,0.455,0.441,32,60,0.533,0.939,-0.03,0.913,-0.098
Person_103,0.028,0.456,0.446,31,60,0.517,0.957,0.022,0.944,-0.01
Person_104,-2.56,0.479,0.625,19,60,0.317,1.703,1.56,1.705,1.563
Person_105,-3.753,0.495,0.308,14,60,0.233,0.387,-1.853,0.365,-1.959
Person_106,-0.599,0.459,0.28,28,60,0.467,0.372,-1.922,0.355,-1.996
Person_107,0.645,0.456,0.614,34,60,0.567,1.809,1.834,1.787,1.803
Person_108,0.645,0.456,0.498,34,60,0.567,1.192,0.599,1.176,0.562
Person_109,0.234,0.455,0.369,32,60,0.533,0.657,-0.873,0.667,-0.838
Person_110,3.562,0.565,0.441,46,60,0.767,0.611,-0.848,0.544,-1.011
Person_111,0.028,0.456,0.253,31,60,0.517,0.308,-2.327,0.305,-2.341
Person_112,-1.024,0.462,0.49,26,60,0.433,1.124,0.428,1.138,0.459
Person_113,-0.18,0.457,0.417,30,60,0.5,0.832,-0.311,0.832,-0.31
Person_114,-0.599,0.459,0.31,28,60,0.467,0.455,-1.557,0.452,-1.562
Person_115,1.491,0.471,0.3,38,60,0.633,0.407,-1.844,0.398,-1.871
Person_116,-1.238,0.464,0.505,25,60,0.417,1.188,0.572,1.188,0.572
Person_117,1.062,0.461,0.414,36,60,0.6,0.806,-0.411,0.81,-0.404
Person_118,-0.811,0.461,0.397,27,60,0.45,0.743,-0.555,0.75,-0.53
Person_119,0.645,0.456,0.439,34,60,0.567,0.925,-0.073,0.907,-0.125
Person_120,-1.024,0.462,0.489,26,60,0.433,1.12,0.419,1.122,0.423
Person_121,-0.811,0.461,0.437,27,60,0.45,0.901,-0.113,0.912,-0.082
Person_122,2.959,0.531,0.389,44,60,0.733,0.536,-1.171,0.452,-1.358
Person_123,0.028,0.456,0.495,31,60,0.517,1.181,0.563,1.184,0.57
Person_124,0.44,0.455,0.463,33,60,0.55,1.034,0.217,1.049,0.253
Person_125,0.852,0.458,0.418,35,60,0.583,0.833,-0.334,0.896,-0.156
Person_126,0.44,0.455,0.468,33,60,0.55,1.055,0.269,1.041,0.233
Person_127,0.44,0.455,0.487,33,60,0.55,1.144,0.484,1.119,0.425
Person_128,-0.388,0.458,0.418,29,60,0.483,0.834,-0.299,0.802,-0.385
Person_129,2.686,0.517,0.423,43,60,0.717,0.668,-0.76,0.556,-1.021
Person_130,-0.811,0.461,0.352,27,60,0.45,0.584,-1.063,0.583,-1.063
Person_131,0.44,0.455,0.513,33,60,0.55,1.268,0.768,1.254,0.737
Person_132,1.062,0.461,0.272,36,60,0.6,0.347,-2.184,0.375,-2.056
Person_133,-0.811,0.461,0.499,27,60,0.45,1.174,0.54,1.177,0.545
Person_134,-0.811,0.461,0.536,27,60,0.45,1.35,0.907,1.364,0.932
Person_135,3.895,0.581,0.489,47,60,0.783,0.706,-0.548,0.696,-0.551
Person_136,-1.67,0.467,0.475,23,60,0.383,1.036,0.222,1.057,0.274
Person_137,0.44,0.455,0.38,33,60,0.55,0.695,-0.759,0.707,-0.721
Person_138,0.234,0.455,0.544,32,60,0.533,1.428,1.098,1.409,1.06
Person_139,0.234,0.455,0.375,32,60,0.533,0.68,-0.796,0.685,-0.78
Person_140,-3.753,0.495,0.498,14,60,0.233,1.013,0.167,0.994,0.121
Person_141,-2.792,0.483,0.369,18,60,0.3,0.583,-1.052,0.567,-1.109
Person_142,-1.024,0.462,0.328,26,60,0.433,0.503,-1.369,0.499,-1.379
Person_143,1.713,0.477,0.321,39,60,0.65,0.453,-1.619,0.432,-1.667
Person_144,-0.811,0.461,0.433,27,60,0.45,0.881,-0.167,0.887,-0.15
Person_145,1.062,0.461,0.359,36,60,0.6,0.606,-1.069,0.621,-1.02
Person_146,-1.238,0.464,0.461,25,60,0.417,0.989,0.108,0.973,0.068
Person_147,-2.333,0.476,0.329,20,60,0.333,0.478,-1.484,0.472,-1.511
Person_148,-2.56,0.479,0.406,19,60,0.317,0.717,-0.634,0.733,-0.583
Person_149,0.44,0.455,0.382,33,60,0.55,0.704,-0.729,0.699,-0.746
Person_150,0.852,0.458,0.411,35,60,0.583,0.804,-0.422,0.812,-0.4
Person_151,-0.388,0.458,0.432,29,60,0.483,0.888,-0.151,0.883,-0.164
Person_152,1.274,0.465,0.461,37,60,0.617,0.98,0.079,0.988,0.099
Person_153,0.234,0.455,0.473,32,60,0.533,1.078,0.326,1.062,0.287
Person_154,1.274,0.465,0.414,37,60,0.617,0.791,-0.449,0.763,-0.536
Person_155,-2.56,0.479,0.403,19,60,0.317,0.707,-0.663,0.687,-0.727
Person_156,0.234,0.455,0.595,32,60,0.533,1.708,1.631,1.705,1.624
Person_157,-0.599,0.459,0.335,28,60,0.467,0.532,-1.255,0.541,-1.215
Person_158,-1.238,0.464,0.399,25,60,0.417,0.742,-0.567,0.75,-0.539
Person_159,3.562,0.565,0.682,46,60,0.767,1.458,1.035,1.427,0.957
Person_160,4.25,0.596,0.399,48,60,0.8,0.448,-1.335,0.394,-1.466
Person_161,-3.027,0.486,0.517,17,60,0.283,1.13,0.436,1.132,0.442
Person_162,-0.18,0.457,0.47,30,60,0.5,1.059,0.278,1.068,0.299
Person_163,-1.888,0.47,0.341,22,60,0.367,0.529,-1.307,0.532,-1.297
Person_164,-0.18,0.457,0.383,30,60,0.5,0.703,-0.693,0.708,-0.676
Person_165,1.062,0.461,0.42,36,60,0.6,0.828,-0.346,0.823,-0.364
Person_166,1.274,0.465,0.589,37,60,0.617,1.599,1.437,1.519,1.285
Person_167,-0.388,0.458,0.379,29,60,0.483,0.686,-0.736,0.686,-0.735
Person_168,0.852,0.458,0.361,35,60,0.583,0.621,-1.022,0.627,-1.007
Person_169,2.686,0.517,0.349,43,60,0.717,0.455,-1.512,0.421,-1.501
Person_170,0.028,0.456,0.623,31,60,0.517,1.869,1.889,1.895,1.927
Person_171,0.028,0.456,0.421,31,60,0.517,0.852,-0.261,0.847,-0.274
Person_172,1.713,0.477,0.405,39,60,0.65,0.72,-0.649,0.748,-0.545
Person_173,1.062,0.461,0.551,36,60,0.6,1.424,1.102,1.503,1.266
Person_174,0.44,0.455,0.421,33,60,0.55,0.855,-0.266,0.84,-0.311
Person_175,-0.811,0.461,0.418,27,60,0.45,0.824,-0.322,0.826,-0.314
Person_176,-2.792,0.483,0.439,18,60,0.3,0.826,-0.309,0.836,-0.28
Person_177,-1.888,0.47,0.457,22,60,0.367,0.947,-0.002,0.931,-0.045
Person_178,-1.453,0.465,0.245,24,60,0.4,0.276,-2.467,0.273,-2.484
Person_179,-0.388,0.458,0.398,29,60,0.483,0.756,-0.521,0.762,-0.502
Person_180,3.895,0.581,0.667,47,60,0.783,1.315,0.771,1.411,0.919
Person_181,-1.453,0.465,0.372,24,60,0.4,0.639,-0.901,0.64,-0.896
Person_182,0.028,0.456,0.451,31,60,0.517,0.98,0.082,0.971,0.059
Person_183,-0.388,0.458,0.269,29,60,0.483,0.345,-2.069,0.332,-2.129
Person_184,2.686,0.517,0.404,43,60,0.717,0.609,-0.95,0.534,-1.093
Person_185,-1.453,0.465,0.518,24,60,0.4,1.238,0.685,1.26,0.731
Person_186,0.234,0.455,0.47,32,60,0.533,1.065,0.292,1.064,0.29
Person_187,-3.509,0.493,0.494,15,60,0.25,1.005,0.15,1.036,0.225
Person_188,1.274,0.465,0.316,37,60,0.617,0.46,-1.632,0.489,-1.512
Person_189,0.028,0.456,0.35,31,60,0.517,0.59,-1.091,0.584,-1.109
Person_190,-0.811,0.461,0.405,27,60,0.45,0.773,-0.464,0.777,-0.452
Person_191,-2.333,0.476,0.48,20,60,0.333,1.021,0.186,0.987,0.101
Person_192,-0.811,0.461,0.246,27,60,0.45,0.285,-2.367,0.272,-2.435
Person_193,-0.599,0.459,0.344,28,60,0.467,0.56,-1.151,0.578,-1.084
Person_194,-1.67,0.467,0.628,23,60,0.383,1.809,1.775,1.837,1.821
Person_195,-0.18,0.457,0.253,30,60,0.5,0.306,-2.302,0.301,-2.324
Person_196,-2.56,0.479,0.372,19,60,0.317,0.603,-1.002,0.62,-0.944
Person_197,-1.67,0.467,0.413,23,60,0.383,0.783,-0.456,0.787,-0.444
Person_198,0.44,0.455,0.608,33,60,0.55,1.78,1.775,1.727,1.682
Person_199,-0.388,0.458,0.268,29,60,0.483,0.342,-2.085,0.337,-2.1
Person_200,-1.024,0.462,0.605,26,60,0.433,1.713,1.58,1.718,1.585
Person_201,-1.238,0.464,0.503,25,60,0.417,1.178,0.55,1.159,0.507
Person_202,2.686,0.517,0.449,43,60,0.717,0.755,-0.5,0.933,0.001
Person_203,2.959,0.531,0.492,44,60,0.733,0.856,-0.211,0.922,-0.019
Person_204,-0.18,0.457,0.388,30,60,0.5,0.723,-0.631,0.734,-0.597
Person_205,0.44,0.455,0.466,33,60,0.55,1.048,0.251,1.044,0.242
Person_206,2.179,0.494,0.429,41,60,0.683,0.754,-0.526,0.822,-0.296
Person_207,0.028,0.456,0.538,31,60,0.517,1.392,1.016,1.394,1.018
Person_208,1.491,0.471,0.364,38,60,0.633,0.597,-1.074,0.603,-1.044
Person_209,0.852,0.458,0.59,35,60,0.583,1.654,1.556,1.597,1.455
Person_210,0.028,0.456,0.372,31,60,0.517,0.667,-0.823,0.667,-0.822
Person_211,-0.388,0.458,0.295,29,60,0.483,0.414,-1.744,0.401,-1.795
Person_212,-2.333,0.476,0.343,20,60,0.333,0.521,-1.317,0.534,-1.267
Person_213,-1.67,0.467,0.467,23,60,0.383,0.999,0.131,1.007,0.15
Person_214,2.959,0.531,0.594,44,60,0.733,1.249,0.681,1.217,0.593
Person_215,0.028,0.456,0.477,31,60,0.517,1.095,0.364,1.062,0.284
Person_216,1.491,0.471,0.653,38,60,0.633,1.924,1.991,1.941,2.007
Person_217,0.028,0.456,0.415,31,60,0.517,0.827,-0.332,0.828,-0.33
Person_218,0.028,0.456,0.435,31,60,0.517,0.912,-0.098,0.918,-0.081
Person_219,0.852,0.458,0.5,35,60,0.583,1.189,0.593,1.181,0.576
Person_220,1.274,0.465,0.371,37,60,0.617,0.635,-0.955,0.615,-1.025
Person_221,1.062,0.461,0.44,36,60,0.6,0.91,-0.112,0.915,-0.1
Person_222,-1.238,0.464,0.552,25,60,0.417,1.419,1.05,1.459,1.126
Person_223,-1.453,0.465,0.323,24,60,0.4,0.483,-1.473,0.469,-1.529
Person_224,-0.811,0.461,0.296,27,60,0.45,0.412,-1.738,0.422,-1.686
Person_225,0.028,0.456,0.452,31,60,0.517,0.985,0.093,0.997,0.124
Person_226,-1.024,0.462,0.456,26,60,0.433,0.973,0.069,0.963,0.045
Person_227,0.234,0.455,0.559,32,60,0.533,1.509,1.26,1.5,1.241
Person_228,-0.18,0.457,0.406,30,60,0.5,0.79,-0.431,0.795,-0.413
Person_229,-1.024,0.462,0.518,26,60,0.433,1.257,0.717,1.26,0.723
Person_230,1.491,0.471,0.426,38,60,0.633,0.821,-0.356,0.803,-0.404
Person_231,0.028,0.456,0.401,31,60,0.517,0.775,-0.486,0.777,-0.479
Person_232,1.491,0.471,0.423,38,60,0.633,0.806,-0.398,0.787,-0.451
Person_233,0.44,0.455,0.327,33,60,0.55,0.516,-1.409,0.516,-1.411
Person_234,3.895,0.581,0.408,47,60,0.783,0.493,-1.194,0.446,-1.312
Person_235,2.686,0.517,0.521,43,60,0.717,1.015,0.176,1.016,0.187
Person_236,0.44,0.455,0.494,33,60,0.55,1.174,0.556,1.158,0.519
Person_237,-0.388,0.458,0.289,29,60,0.483,0.398,-1.819,0.393,-1.832
Person_238,-1.453,0.465,0.294,24,60,0.4,0.401,-1.828,0.402,-1.82
Person_239,-1.024,0.462,0.443,26,60,0.433,0.917,-0.072,0.929,-0.041
Person_240,0.44,0.455,0.528,33,60,0.55,1.343,0.931,1.296,0.83
Person_241,-0.18,0.457,0.601,30,60,0.5,1.733,1.636,1.741,1.647
Person_242,0.44,0.455,0.35,33,60,0.55,0.591,-1.122,0.587,-1.135
Person_243,-1.888,0.47,0.416,22,60,0.367,0.784,-0.454,0.775,-0.482
Person_244,0.028,0.456,0.261,31,60,0.517,0.328,-2.222,0.325,-2.229
Person_245,-1.67,0.467,0.366,23,60,0.383,0.615,-0.99,0.622,-0.968
Person_246,-0.388,0.458,0.512,29,60,0.483,1.249,0.705,1.233,0.669
Person_247,0.852,0.458,0.461,35,60,0.583,1.012,0.159,0.995,0.113
Person_248,0.645,0.456,0.308,34,60,0.567,0.456,-1.673,0.464,-1.646
Person_249,1.274,0.465,0.286,37,60,0.617,0.379,-2.004,0.379,-2.006
Person_250,0.234,0.455,0.407,32,60,0.533,0.799,-0.423,0.8,-0.421
Person_251,-0.18,0.457,0.267,30,60,0.5,0.342,-2.111,0.333,-2.15
Person_252,-1.024,0.462,0.624,26,60,0.433,1.82,1.759,1.781,1.69
Person_253,2.427,0.505,0.398,42,60,0.7,0.623,-0.925,0.776,-0.398
Person_254,-2.333,0.476,0.326,20,60,0.333,0.471,-1.514,0.465,-1.542
Person_255,2.179,0.494,0.472,41,60,0.683,0.913,-0.083,0.827,-0.283
Person_256,-0.811,0.461,0.335,27,60,0.45,0.529,-1.262,0.526,-1.268
Person_257,-0.811,0.461,0.592,27,60,0.45,1.651,1.468,1.636,1.438
Person_258,-0.599,0.459,0.38,28,60,0.467,0.686,-0.731,0.667,-0.785
Person_259,-1.453,0.465,0.391,24,60,0.4,0.707,-0.68,0.708,-0.676
Person_260,-0.599,0.459,0.337,28,60,0.467,0.539,-1.228,0.53,-1.256
Person_261,2.686,0.517,0.412,43,60,0.717,0.636,-0.86,0.767,-0.406
Person_262,-0.811,0.461,0.365,27,60,0.45,0.628,-0.914,0.63,-0.904
Person_263,-1.888,0.47,0.527,22,60,0.367,1.261,0.739,1.273,0.764
Person_264,2.179,0.494,0.519,41,60,0.683,1.104,0.382,1.149,0.473
Person_265,-1.238,0.464,0.279,25,60,0.417,0.362,-1.993,0.356,-2.014
Person_266,-0.811,0.461,0.373,27,60,0.45,0.654,-0.83,0.657,-0.817
Person_267,-1.888,0.47,0.505,22,60,0.367,1.159,0.512,1.161,0.518
Person_268,0.645,0.456,0.471,34,60,0.567,1.064,0.29,1.04,0.231
Person_269,1.713,0.477,0.279,39,60,0.65,0.341,-2.14,0.339,-2.104
Person_270,0.028,0.456,0.363,31,60,0.517,0.634,-0.937,0.62,-0.98
Person_271,-1.024,0.462,0.443,26,60,0.433,0.92,-0.066,0.92,-0.063
Person_272,0.645,0.456,0.492,34,60,0.567,1.162,0.529,1.147,0.495
Person_273,0.028,0.456,0.451,31,60,0.517,0.979,0.078,0.995,0.121
Person_274,-1.238,0.464,0.243,25,60,0.417,0.274,-2.457,0.271,-2.473
Person_275,2.179,0.494,0.342,41,60,0.683,0.48,-1.464,0.423,-1.591
Person_276,-0.811,0.461,0.423,27,60,0.45,0.843,-0.269,0.832,-0.297
Person_277,-0.388,0.458,0.427,29,60,0.483,0.868,-0.206,0.882,-0.165
Person_278,-2.792,0.483,0.342,18,60,0.3,0.501,-1.351,0.491,-1.39
Person_279,-1.67,0.467,0.423,23,60,0.383,0.822,-0.343,0.822,-0.341
Person_280,-1.453,0.465,0.481,24,60,0.4,1.068,0.301,1.043,0.239
Person_281,-3.267,0.49,0.476,16,60,0.267,0.944,0.004,0.94,-0.007
Person_282,-2.56,0.479,0.381,19,60,0.317,0.633,-0.899,0.614,-0.963
Person_283,0.44,0.455,0.439,33,60,0.55,0.931,-0.055,0.922,-0.079
Person_284,-2.792,0.483,0.511,18,60,0.3,1.119,0.414,1.111,0.397
Person_285,1.274,0.465,0.517,37,60,0.617,1.232,0.684,1.163,0.529
Person_286,-1.238,0.464,0.414,25,60,0.417,0.798,-0.401,0.808,-0.373
Person_287,1.713,0.477,0.393,39,60,0.65,0.68,-0.777,0.629,-0.922
Person_288,-1.67,0.467,0.522,23,60,0.383,1.247,0.706,1.221,0.65
Person_289,1.062,0.461,0.439,36,60,0.6,0.907,-0.12,0.89,-0.17
Person_290,0.234,0.455,0.461,32,60,0.533,1.025,0.194,1.032,0.212
Person_291,-0.18,0.457,0.547,30,60,0.5,1.433,1.086,1.394,1.006
Person_292,-1.238,0.464,0.412,25,60,0.417,0.789,-0.426,0.796,-0.407
Person_293,-0.18,0.457,0.509,30,60,0.5,1.244,0.698,1.244,0.697
Person_294,2.179,0.494,0.519,41,60,0.683,1.106,0.387,0.958,0.045
Person_295,-1.453,0.465,0.455,24,60,0.4,0.957,0.027,0.972,0.063
Person_296,-0.18,0.457,0.441,30,60,0.5,0.934,-0.035,0.934,-0.033
Person_297,0.852,0.458,0.469,35,60,0.583,1.047,0.247,1.026,0.194
Person_298,-2.56,0.479,0.424,19,60,0.317,0.782,-0.44,0.789,-0.421
Person_299,-1.024,0.462,0.476,26,60,0.433,1.062,0.285,1.03,0.209
Person_300,-1.238,0.464,0.33,25,60,0.417,0.505,-1.371,0.506,-1.366
Person_301,-2.109,0.472,0.346,21,60,0.35,0.538,-1.267,0.528,-1.307
Person_302,-0.18,0.457,0.377,30,60,0.5,0.681,-0.765,0.679,-0.768
Person_303,-0.811,0.461,0.437,27,60,0.45,0.899,-0.119,0.868,-0.2
Person_304,1.942,0.485,0.508,40,60,0.667,1.1,0.375,1.07,0.304
Person_305,0.44,0.455,0.548,33,60,0.55,1.447,1.146,1.468,1.189
Person_306,-0.388,0.458,0.684,29,60,0.483,2.229,2.396,2.196,2.343
Person_307,-0.388,0.458,0.248,29,60,0.483,0.294,-2.338,0.286,-2.374
Person_308,0.645,0.456,0.404,34,60,0.567,0.784,-0.482,0.819,-0.378
Person_309,0.234,0.455,0.483,32,60,0.533,1.125,0.438,1.14,0.472
Person_310,-1.67,0.467,0.258,23,60,0.383,0.305,-2.32,0.301,-2.348
Person_311,-1.238,0.464,0.333,25,60,0.417,0.515,-1.334,0.511,-1.346
Person_312,-1.67,0.467,0.63,23,60,0.383,1.82,1.793,1.807,1.77
Person_313,-0.811,0.461,0.39,27,60,0.45,0.717,-0.63,0.708,-0.656
Person_314,4.25,0.596,0.858,48,60,0.8,2.076,1.91,2.097,1.875
Person_315,0.645,0.456,0.501,34,60,0.567,1.206,0.63,1.184,0.581
Person_316,0.44,0.455,0.456,33,60,0.55,1.003,0.137,1.005,0.141
Person_317,-0.811,0.461,0.394,27,60,0.45,0.729,-0.594,0.717,-0.628
Person_318,0.645,0.456,0.41,34,60,0.567,0.807,-0.412,0.792,-0.459
Person_319,1.274,0.465,0.457,37,60,0.617,0.963,0.034,0.949,-0.003
Person_320,-1.238,0.464,0.369,25,60,0.417,0.634,-0.906,0.644,-0.871
Person_321,-0.388,0.458,0.545,29,60,0.483,1.418,1.047,1.415,1.039
Person_322,-1.888,0.47,0.432,22,60,0.367,0.848,-0.27,0.849,-0.269
Person_323,1.062,0.461,0.392,36,60,0.6,0.72,-0.677,0.73,-0.652
Person_324,1.062,0.461,0.499,36,60,0.6,1.168,0.543,1.177,0.564
Person_325,-0.811,0.461,0.358,27,60,0.45,0.604,-0.996,0.579,-1.076
