,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Person_137,3,2,3,3,2,2,3,4,3,3,3,2
Person_138,2,4,3,2,2,1,3,4,3,3,2,3
Person_139,3,2,3,2,2,3,4,3,2,3,2,3
Person_140,1,0,1,1,1,1,2,3,1,2,1,0
Person_141,1,1,1,1,2,1,2,2,1,3,2,1
Person_142,2,2,3,2,2,1,3,3,2,2,2,2
Person_143,2,3,3,3,3,4,4,4,3,4,3,3
Person_144,1,1,2,2,2,2,4,3,2,3,2,3
Person_145,2,3,4,3,3,3,4,3,2,3,3,3
Person_146,1,1,3,1,2,2,4,3,1,3,2,2
Person_147,1,2,2,1,2,1,3,2,1,2,2,1
Person_148,1,1,2,0,1,2,2,2,2,3,2,1
Person_149,2,3,4,2,2,2,4,3,2,4,3,2
Person_150,3,2,4,3,3,2,3,4,3,3,3,2
Person_151,2,1,2,2,2,3,3,4,3,3,2,2
Person_152,2,3,4,2,4,3,3,3,3,4,4,2
Person_153,2,2,2,3,2,2,4,3,2,3,4,3
Person_154,2,2,4,2,3,3,4,4,4,4,3,2
Person_155,1,1,2,1,2,1,2,1,2,3,2,1
Person_156,2,2,3,1,1,3,4,4,3,3,2,4
Person_157,1,2,2,2,3,2,3,3,3,3,2,2
Person_158,1,1,2,2,2,2,2,3,2,3,2,3
Person_159,4,4,4,3,2,4,5,4,4,4,4,4
Person_160,4,4,4,3,4,4,5,4,4,4,4,4
Person_161,1,2,2,1,1,0,1,2,2,2,1,2
Person_162,3,2,2,2,3,1,4,3,2,3,3,2
Person_163,2,2,2,1,2,1,2,2,2,3,2,1
Person_164,3,2,2,2,2,2,4,3,3,3,2,2
Person_165,2,2,4,2,3,3,4,4,4,3,3,2
Person_166,3,2,4,1,3,2,4,3,4,4,3,4
Person_167,2,2,2,3,2,2,3,4,2,3,2,2
Person_168,2,3,3,3,2,3,3,4,2,4,3,3
Person_169,3,3,4,3,4,3,4,4,4,4,3,4
Person_170,1,4,3,3,2,1,4,4,2,3,2,2
Person_171,2,2,4,1,3,3,3,3,3,3,2,2
Person_172,2,3,3,3,4,3,4,4,4,3,3,3
Person_173,3,3,3,2,3,2,5,4,4,3,2,2
Person_174,2,3,3,2,2,4,3,3,2,4,3,2
Person_175,2,2,2,2,1,3,2,3,2,3,3,2
Person_176,1,1,2,2,2,2,2,1,1,2,1,1
Person_177,2,2,2,1,2,2,3,1,2,2,1,2
Person_178,1,2,2,1,2,2,3,2,2,3,2,2
Person_179,1,2,3,2,2,3,3,2,2,3,3,3
Person_180,4,4,4,3,3,4,4,4,3,5,5,4
Person_181,1,2,2,2,2,2,3,2,2,2,3,1
Person_182,2,3,3,2,2,1,3,4,3,4,2,2
Person_183,2,2,3,2,2,2,3,4,2,3,2,2
Person_184,3,3,4,4,3,4,4,4,4,4,3,3
Person_185,2,1,3,2,2,1,3,2,3,3,1,1
Person_186,2,2,3,2,3,2,2,4,3,3,4,2
Person_187,0,2,2,0,1,1,2,1,1,2,1,2
Person_188,3,3,3,3,3,3,3,4,3,4,3,2
Person_189,2,2,3,2,2,2,4,4,2,3,2,3
Person_190,2,1,2,2,2,3,3,3,2,2,3,2
Person_191,1,1,2,1,1,2,3,3,2,1,1,2
Person_192,2,2,3,2,2,2,3,3,2,2,2,2
Person_193,1,2,3,1,2,3,3,3,2,3,3,2
Person_194,1,2,3,1,0,3,2,2,3,3,2,1
Person_195,2,2,3,2,2,2,3,3,2,4,3,2
Person_196,1,1,2,2,1,2,2,2,1,2,1,2
Person_197,1,1,2,1,2,2,3,3,1,2,3,2
Person_198,2,2,4,2,4,1,3,4,2,3,4,2
Person_199,2,2,2,2,2,3,3,3,2,3,3,2
Person_200,1,2,3,2,0,2,3,4,3,2,2,2
Person_201,2,1,4,2,2,2,3,2,2,2,2,1
Person_202,3,3,3,3,3,4,4,4,4,5,4,3
Person_203,3,3,4,4,4,4,4,3,3,4,4,4
Person_204,3,2,2,2,3,2,3,3,2,3,2,3
Person_205,3,3,4,3,2,2,4,3,2,3,2,2
Person_206,2,3,4,3,3,4,3,4,4,4,4,3
Person_207,1,3,2,2,2,1,4,4,3,4,3,2
Person_208,3,3,3,3,2,3,4,3,3,4,4,3
Person_209,3,3,3,2,2,1,3,3,3,4,4,4
Person_210,2,2,3,2,2,3,4,3,3,2,3,2
Person_211,2,2,3,2,2,2,3,2,3,3,3,2
Person_212,1,1,2,2,2,1,2,2,1,2,2,2
Person_213,2,1,3,1,2,3,2,2,2,2,2,1
Person_214,2,4,4,4,4,3,3,4,4,4,4,4
Person_215,2,2,2,2,3,3,3,2,3,3,4,2
Person_216,2,2,4,1,4,2,5,4,4,4,3,3
Person_217,2,1,3,2,2,3,4,3,3,3,2,3
Person_218,2,3,2,1,2,3,3,3,2,4,3,3
Person_219,1,3,3,3,2,3,3,4,2,4,4,3
Person_220,2,3,3,2,2,3,4,4,4,4,3,3
Person_221,2,3,3,3,4,3,3,4,3,3,2,3
Person_222,3,1,3,1,2,1,3,2,3,3,2,1
Person_223,1,2,3,1,2,2,2,3,2,2,2,2
Person_224,2,2,2,1,3,2,3,3,2,3,2,2
Person_225,2,2,3,3,3,3,2,3,2,4,2,2
Person_226,2,1,2,1,3,2,4,2,2,3,2,2
Person_227,3,1,3,2,3,2,4,4,1,3,3,3
Person_228,1,2,2,2,2,3,4,3,2,3,3,3
Person_229,2,2,2,1,2,2,3,3,1,2,4,2
Person_230,2,2,3,3,4,3,4,3,3,4,4,3
Person_231,2,3,3,2,2,2,4,3,2,2,3,3
Person_232,2,4,4,3,3,2,4,3,3,4,3,3
Person_233,2,2,3,2,3,3,4,3,3,4,2,2
Person_234,3,4,4,3,4,4,5,4,4,4,4,4
Person_235,3,3,5,2,4,3,4,4,4,4,4,3
Person_236,2,4,2,3,3,3,3,3,2,3,3,2
Person_237,2,2,2,2,3,2,3,3,3,3,2,2
Person_238,2,2,2,1,2,2,3,2,2,3,2,1
Person_239,1,2,2,2,2,1,2,3,2,3,3,3
Person_240,2,2,4,2,3,3,3,3,1,3,4,3
Person_241,1,3,2,1,2,3,4,3,3,3,4,1
Person_242,2,2,3,2,3,3,4,3,2,4,2,3
Person_243,1,1,1,1,1,2,3,3,2,3,2,2
Person_244,2,2,3,2,2,2,3,3,3,4,3,2
Person_245,2,2,2,2,2,2,3,2,1,2,2,1
Person_246,1,2,2,2,2,3,4,4,2,2,2,3
Person_247,3,2,4,2,2,2,4,3,4,3,3,3
Person_248,2,2,3,3,3,3,4,3,3,3,3,2
Person_249,2,3,3,3,3,3,4,4,3,4,3,2
Person_250,3,3,2,2,2,3,3,3,2,4,3,2
Person_251,2,2,3,2,2,2,3,4,2,3,3,2
Person_252,2,2,1,2,3,3,2,2,2,4,1,2
Person_253,3,3,4,3,4,3,4,4,3,5,3,3
Person_254,1,1,2,1,2,1,3,2,1,2,2,2
Person_255,3,4,4,3,3,3,4,4,2,4,3,4
Person_256,2,3,2,2,2,2,2,3,2,3,2,2
Person_257,2,3,2,1,3,2,4,2,3,2,1,2
Person_258,1,2,3,2,2,2,4,3,2,2,3,2
Person_259,1,1,3,2,2,2,3,3,1,2,2,2
Person_260,2,2,2,1,2,2,4,3,2,3,3,2
Person_261,3,3,4,3,4,3,4,5,3,4,4,3
Person_262,2,2,3,2,2,1,3,2,3,3,2,2
Person_263,2,0,3,1,1,1,3,2,2,3,2,2
Person_264,3,3,3,2,4,4,3,4,4,4,3,4
Person_265,1,2,3,1,2,2,3,2,2,3,2,2
Person_266,2,2,2,2,2,3,3,3,2,3,1,2
Person_267,1,1,2,1,1,1,3,3,2,3,1,3
Person_268,2,3,3,3,3,4,4,3,2,3,2,2
Person_269,2,3,3,3,3,3,4,4,3,4,4,3
Person_270,2,2,2,2,3,3,3,3,3,4,2,2
Person_271,2,2,2,1,3,3,2,3,2,2,2,2
Person_272,2,4,2,3,3,2,3,3,3,4,3,2
Person_273,3,2,3,3,3,2,3,2,3,3,2,2
Person_274,2,2,2,1,2,2,3,2,2,3,2,2
Person_275,3,3,4,4,3,3,4,4,3,4,3,3
Person_276,1,2,2,2,1,2,3,4,2,3,3,2
Person_277,2,2,3,3,2,1,3,3,2,4,2,2
Person_278,1,1,2,1,1,1,3,2,1,2,1,2
Person_279,2,2,3,1,1,1,2,3,2,3,2,1
Person_280,2,2,2,1,2,1,3,1,2,3,3,2
Person_281,1,1,1,1,1,0,3,2,1,2,1,2
Person_282,1,1,2,1,1,1,3,3,2,2,1,1
Person_283,2,3,2,2,3,2,4,4,2,4,2,3
Person_284,2,1,2,1,1,1,1,2,2,1,2,2
Person_285,3,4,3,2,3,2,4,4,2,4,4,2
Person_286,2,2,2,1,3,2,2,3,1,3,2,2
Person_287,3,3,4,2,4,3,4,4,3,4,3,2
Person_288,1,2,2,2,1,1,3,4,2,2,1,2
Person_289,3,2,4,2,2,3,4,3,3,4,4,2
Person_290,1,2,3,2,3,2,3,3,3,3,3,4
Person_291,2,2,4,2,2,3,2,3,3,3,1,3
Person_292,1,2,3,1,1,2,3,3,3,2,2,2
Person_293,1,2,4,3,2,3,3,2,3,3,2,2
Person_294,2,3,4,4,3,2,4,4,4,4,4,3
Person_295,1,1,3,1,3,2,3,2,1,3,2,2
Person_296,2,1,3,2,3,3,3,3,3,2,3,2
Person_297,3,3,3,2,3,4,3,3,2,4,2,3
Person_298,2,1,1,1,1,1,2,3,2,2,2,1
Person_299,2,2,4,2,2,1,2,2,2,3,2,2
Person_300,1,2,3,2,1,2,3,2,2,3,2,2
Person_301,1,1,2,1,1,2,2,3,2,3,2,1
Person_302,2,1,3,2,2,2,3,4,3,3,3,2
Person_303,2,2,3,1,2,2,4,2,3,2,2,2
Person_304,2,3,3,2,3,4,4,3,4,4,4,4
Person_305,3,2,2,2,3,2,2,4,3,3,4,3
Person_306,1,2,1,3,1,2,4,3,2,4,4,2
Person_307,2,2,3,2,2,2,4,3,2,3,2,2
Person_308,3,3,3,2,3,3,3,2,3,3,3,3
Person_309,3,3,2,2,3,3,2,3,2,3,3,3
Person_310,1,2,2,1,2,2,3,2,2,2,2,2
Person_311,1,2,3,2,2,2,3,3,2,2,2,1
Person_312,2,3,1,1,2,2,2,1,1,3,3,2
Person_313,1,2,3,2,2,2,3,4,2,3,2,1
Person_314,3,2,5,4,4,4,4,5,4,5,4,4
Person_315,3,3,4,2,1,2,4,3,3,4,3,2
Person_316,1,2,3,3,3,3,3,3,3,3,4,2
Person_317,2,3,2,2,2,2,3,2,2,2,3,2
Person_318,2,2,3,2,4,3,3,3,2,4,3,3
Person_319,3,2,3,3,3,3,3,4,2,4,3,4
Person_320,2,2,2,2,2,1,3,3,2,3,1,2
Person_321,2,1,2,2,3,1,3,3,3,3,4,2
Person_322,1,1,2,2,2,2,3,3,1,3,1,1
Person_323,3,2,2,2,3,3,4,4,3,4,3,3
Person_324,3,2,2,3,3,3,3,4,3,3,3,4
Person_325,2,2,3,1,2,2,3,2,2,4,2,2
Person_326,2,3,3,2,2,2,3,3,4,5,2,2
Person_327,2,2,2,1,2,1,2,4,3,3,3,2
Person_328,1,1,2,2,2,3,2,1,3,2,2,1
Person_329,2,2,4,2,3,4,2,3,3,4,4,2
Person_330,2,1,4,2,3,3,4,3,3,4,2,3
Person_331,2,2,2,2,3,3,3,3,2,3,2,2
Person_332,1,2,2,2,1,1,3,3,2,3,1,2
Person_333,4,4,5,3,4,4,4,4,4,4,4,4
Person_334,0,1,1,0,1,1,1,2,1,1,2,1
Person_335,2,1,2,1,2,2,3,2,2,2,2,2
Person_336,2,3,2,2,1,2,3,3,2,3,3,2
Person_337,2,2,2,1,2,2,4,3,3,4,3,2
Person_338,3,4,4,2,2,4,4,4,4,4,3,3
Person_339,2,2,3,2,2,3,4,4,2,3,3,2
Person_340,2,3,4,2,2,3,3,4,2,3,3,3
Person_341,2,1,1,1,2,0,2,2,2,2,2,1
Person_342,2,2,2,3,3,2,4,4,3,4,3,2
Person_343,2,3,3,2,3,3,3,4,4,4,3,3
Person_344,1,2,3,1,2,2,2,3,1,2,1,1
Person_345,2,2,2,3,3,3,4,4,2,3,3,3
Person_346,2,2,1,1,2,2,3,3,2,3,2,2
Person_347,2,2,3,3,2,2,3,4,3,3,3,3
Person_348,3,3,4,2,3,3,4,4,2,4,3,3
Person_349,1,3,2,2,1,2,2,2,2,3,3,1
Person_350,3,4,4,3,2,3,4,3,3,3,2,3
Person_351,0,1,1,0,2,1,2,1,1,1,1,1
Person_352,2,3,2,1,2,2,3,4,2,3,3,2
Person_353,3,3,4,2,3,4,4,3,3,4,2,3
Person_354,2,1,3,2,1,2,3,3,1,3,3,2
Person_355,2,2,3,3,2,2,4,4,3,4,3,3
Person_356,1,2,2,1,1,2,2,3,2,2,3,2
Person_357,1,2,3,1,1,2,2,2,1,3,2,2
Person_358,2,1,3,1,1,2,3,2,3,2,1,2
Person_359,3,3,3,3,3,2,4,4,4,4,3,3
Person_360,2,2,3,2,1,3,2,3,2,3,4,2
Person_361,2,2,3,3,2,2,4,3,2,3,3,2
Person_362,1,1,2,1,3,2,3,2,2,3,2,2
Person_363,3,3,3,4,3,4,4,4,4,3,3,3
Person_364,3,3,4,3,2,3,4,4,4,4,4,4
Person_365,2,3,3,2,2,2,2,2,2,2,3,1
Person_366,2,3,4,3,3,1,4,3,3,4,3,4
Person_367,1,2,2,2,1,2,2,3,2,3,3,2
Person_368,3,2,3,3,3,3,3,4,3,4,2,3
Person_369,2,2,4,1,2,3,4,4,3,3,3,2
Person_370,4,4,4,4,3,4,5,4,4,5,4,4
Person_371,1,1,3,2,2,2,2,2,2,2,2,3
Person_372,2,3,3,3,4,3,4,4,3,4,4,3
Person_373,3,2,3,3,2,1,4,4,4,3,3,3
Person_374,1,2,2,2,1,3,2,2,2,3,2,3
Person_375,1,1,2,0,2,1,1,1,1,2,1,1
Person_376,1,2,2,2,2,2,2,2,1,3,2,2
Person_377,3,2,3,2,3,3,3,4,3,3,3,3
Person_378,2,3,4,3,3,4,4,4,2,4,4,3
Person_379,1,2,2,1,1,1,2,3,1,1,2,2
Person_380,2,2,3,1,1,2,2,2,1,3,2,2
Person_381,4,3,4,3,3,3,4,4,2,4,3,4
Person_382,2,3,2,2,2,1,4,3,3,3,3,1
Person_383,1,3,3,2,3,3,3,3,3,2,2,3
Person_384,3,3,4,2,4,2,4,3,2,3,2,2
Person_385,2,2,2,2,2,3,2,2,1,3,3,3
Person_386,2,4,3,3,2,3,4,4,4,4,4,3
Person_387,1,1,1,2,1,1,2,2,2,3,2,2
Person_388,1,3,3,2,3,4,4,4,2,4,3,3
Person_389,3,3,5,4,4,3,4,4,4,4,4,4
Person_390,2,2,3,2,1,3,3,3,2,3,2,2
Person_391,2,3,3,2,3,1,4,3,3,3,3,3
Person_392,2,1,2,2,2,1,2,1,1,1,1,2
Person_393,1,2,1,1,2,2,2,2,1,2,1,1
Person_394,2,2,2,1,2,2,3,3,1,3,3,2
Person_395,4,4,4,3,3,3,4,4,3,3,3,3
Person_396,2,3,4,3,2,3,3,3,2,4,3,2
Person_397,2,3,3,3,3,4,4,3,2,4,3,3
Person_398,2,3,3,1,3,2,3,3,2,3,3,2
Person_399,2,3,4,2,1,2,3,3,2,3,2,2
Person_400,2,2,3,2,2,3,3,3,3,2,2,2
Person_401,4,4,4,4,4,4,4,4,2,5,3,3
Person_402,1,3,3,3,3,2,4,2,3,3,2,2
Person_403,4,4,4,4,4,4,4,4,4,4,4,3
Person_404,2,2,3,2,2,1,3,2,2,2,3,2
Person_405,0,2,1,1,1,2,2,2,0,2,1,1
Person_406,3,3,4,3,2,4,3,3,4,4,4,2
Person_407,2,2,3,2,1,2,3,3,2,2,3,2
Person_408,3,4,4,4,3,2,4,4,3,3,4,3
Person_409,2,4,4,3,3,3,3,4,3,3,4,2
Person_410,2,3,2,3,4,3,3,3,4,3,3,2
Person_411,0,1,3,1,1,1,2,3,1,1,1,1
Person_412,2,2,2,1,2,1,3,2,2,4,2,1
Person_413,3,3,4,3,4,3,4,4,4,4,3,4
Person_414,2,2,3,2,3,3,2,3,3,3,3,3
Person_415,3,4,4,3,4,4,4,4,3,4,3,3
Person_416,2,2,2,2,2,1,3,2,1,1,2,2
Person_417,3,3,3,3,4,3,4,4,4,4,4,3
Person_418,2,1,2,2,2,1,2,3,2,3,2,2
Person_419,2,3,2,2,2,2,2,2,2,3,2,2
Person_420,3,3,4,2,4,2,3,4,3,4,3,3
Person_421,2,1,2,1,2,2,2,3,0,3,2,2
Person_422,0,2,3,2,2,1,2,2,2,3,3,1
Person_423,2,3,4,2,2,3,4,3,3,3,3,3
Person_424,3,2,3,3,2,2,3,2,2,3,2,3
Person_425,1,2,4,1,2,2,4,2,2,3,2,3
Person_426,2,2,2,2,2,2,3,3,1,3,2,2
Person_427,2,2,2,2,1,2,4,3,2,2,4,3
Person_428,1,1,2,2,1,1,2,2,1,2,2,1
Person_429,2,1,2,2,2,1,2,3,1,2,3,1
Person_430,2,4,3,3,2,3,4,4,3,3,2,3
Person_431,1,1,1,1,1,1,2,2,1,3,2,1
Person_432,2,1,3,3,3,3,2,4,2,3,2,1
Person_433,2,2,3,2,2,2,3,3,2,4,2,2
Person_434,3,2,2,1,2,2,3,4,2,4,1,2
Person_435,2,2,4,2,2,1,3,4,3,3,2,2
Person_436,3,2,3,2,2,2,2,2,3,4,3,3
Person_437,1,2,4,1,3,2,2,3,2,3,3,3
Person_438,2,2,2,3,2,2,2,3,3,2,2,2
Person_439,2,4,3,3,3,4,4,4,3,4,3,3
Person_440,3,3,4,3,4,3,4,3,4,4,3,3
Person_441,2,2,3,1,2,2,2,2,2,3,2,2
Person_442,2,3,2,2,2,2,2,2,2,3,3,2
Person_443,2,3,4,3,4,2,4,4,3,3,3,3
Person_444,2,2,3,2,2,3,3,3,3,4,3,3
Person_445,3,2,2,1,1,2,3,2,2,3,2,1
Person_446,3,3,4,2,2,3,4,4,2,4,1,3
Person_447,2,3,3,3,4,3,3,4,4,2,2,3
Person_448,2,3,2,2,2,2,2,3,3,2,2,2
Person_449,2,2,1,2,2,2,3,2,2,3,2,2
Person_450,1,2,2,0,1,2,2,3,3,2,2,1
Person_451,2,3,3,2,3,3,3,4,3,3,3,3
Person_452,2,3,2,2,3,3,4,4,2,4,3,2
Person_453,3,2,4,3,2,3,4,4,4,4,3,3
Person_454,2,3,4,4,4,4,5,4,4,5,3,4
Person_455,2,2,2,1,3,2,3,3,2,3,3,2
Person_456,1,2,2,1,2,2,1,3,1,3,2,2
Person_457,2,3,2,2,3,2,3,3,2,3,3,2
Person_458,2,1,3,2,3,2,3,2,2,4,3,1
Person_459,3,4,2,3,3,3,3,4,3,3,3,3
Person_460,2,3,3,3,3,2,4,4,2,4,3,3
Person_461,1,1,2,1,2,3,4,2,2,3,2,3
Person_462,2,2,2,2,2,3,3,3,2,3,2,2
Person_463,1,1,1,1,0,2,2,1,1,2,2,1
Person_464,1,2,3,3,2,1,3,3,2,2,2,1
Person_465,3,2,2,2,2,3,2,4,2,3,2,1
Person_466,1,2,2,3,4,2,3,3,3,4,3,3
Person_467,1,3,2,2,2,2,2,3,2,4,2,2
Person_468,1,2,1,1,2,2,1,2,2,1,1,2
Person_469,2,4,2,2,3,1,3,3,3,3,3,2
Person_470,2,3,3,2,2,3,4,3,3,3,4,1
Person_471,2,1,4,2,3,2,3,2,4,3,3,2
Person_472,1,3,3,2,2,2,3,3,3,3,2,2
Person_473,3,2,3,3,3,3,4,4,3,2,3,3
Person_474,2,2,3,1,2,3,4,3,4,4,4,3
Person_475,2,2,2,1,2,2,2,2,2,2,2,2
Person_476,1,1,2,1,2,2,2,3,2,1,1,1
Person_477,3,2,3,2,2,2,4,3,2,3,2,2
Person_478,3,2,3,1,2,2,2,2,2,3,2,2
