,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45,Item_46,Item_47,Item_48,Item_49,Item_50
Person_11,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Person_12,,1.0,0.0,,1.0,,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,0.0,1.0,0.0,
Person_13,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,0.0,,,0.0,,,1.0,0.0,,1.0,,0.0,1.0,,0.0,0.0,0.0,,,1.0,0.0,,0.0,1.0,0.0,,,0.0,,1.0,1.0,0.0,0.0,,1.0,
Person_14,0.0,,1.0,0.0,,,1.0,,1.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,,0.0,1.0,1.0,,1.0,1.0,,,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,,1.0,,,,,0.0,
Person_15,,1.0,1.0,,,1.0,,,1.0,0.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0
Person_16,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,,,1.0,,,,,0.0,0.0,,,1.0,,1.0,,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,0.0,0.0,1.0
Person_17,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,,1.0,1.0,0.0,,,1.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,1.0,,1.0
Person_18,1.0,,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,0.0,,1.0,0.0,1.0,,,0.0,,0.0,,1.0,,0.0,0.0,1.0,1.0,
Person_19,0.0,0.0,1.0,,1.0,,,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,,1.0,,1.0,,,0.0,,1.0,,0.0,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,0.0,,1.0,,,,,1.0,,1.0
Person_20,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,0.0,0.0,1.0,,,0.0,,,0.0,0.0,,,,0.0,1.0,,,0.0,1.0,,1.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0
Person_21,1.0,,,,1.0,1.0,,0.0,,,,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,,1.0
Person_22,0.0,1.0,0.0,0.0,,0.0,1.0,,,0.0,1.0,,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,,1.0,0.0,,,0.0,1.0,,0.0,,,1.0,,,,,,1.0,,0.0
Person_23,,1.0,0.0,,,1.0,,1.0,1.0,,,1.0,,1.0,0.0,,0.0,,,,1.0,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,0.0,1.0,,,,1.0,,1.0,,1.0
Person_24,1.0,,0.0,0.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,,,,0.0,,,1.0,,1.0,,,0.0,1.0,0.0,,,,1.0,,0.0,0.0,1.0,,
Person_25,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
Person_26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,1.0,,,0.0,1.0,,,1.0,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,1.0,,1.0,,,0.0,0.0,1.0
Person_27,,,,0.0,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,,,,0.0,,,1.0,1.0,,,0.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,1.0,,0.0,1.0,,0.0
Person_28,,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Person_29,1.0,1.0,0.0,,,0.0,0.0,,,,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Person_30,0.0,0.0,,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,0.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,,0.0
Person_31,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,,,1.0,,,0.0,1.0,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,,,0.0,,1.0,0.0,0.0,0.0,,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Person_32,0.0,1.0,0.0,0.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,,,0.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,1.0,0.0,1.0,0.0,0.0
Person_33,0.0,1.0,,,0.0,0.0,0.0,,0.0,1.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0
Person_34,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,,,,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,1.0,1.0,1.0,,0.0,,,0.0,,,1.0,0.0,1.0,,,,1.0,,,0.0,0.0,
Person_35,,,1.0,0.0,,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,,0.0,,,,,1.0,,0.0,1.0,1.0,,
Person_36,1.0,,0.0,,,,,0.0,1.0,0.0,,1.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,,,1.0,,0.0,,0.0,,
Person_37,,,0.0,,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,1.0,0.0,,0.0,,1.0,0.0
Person_38,1.0,,,1.0,,,,1.0,,0.0,1.0,,1.0,,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Person_39,0.0,,,0.0,,,,,0.0,0.0,1.0,1.0,,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.0,,0.0,0.0,,,1.0,0.0,,0.0,0.0,,1.0
Person_40,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,1.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0
Person_41,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,0.0,,,,1.0
Person_42,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,0.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Person_43,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,0.0,,,1.0,1.0,,0.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,0.0
Person_44,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,1.0,0.0,1.0,,0.0,
Person_45,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,,1.0,,,0.0,0.0,0.0,,1.0,1.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,,,,
Person_46,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,,1.0,1.0,,0.0,,1.0,1.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,,,,1.0,,,,0.0,1.0
Person_47,,,,0.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,0.0,,1.0,1.0,,1.0,,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,,1.0,1.0,1.0,,,,0.0,,1.0,,
Person_48,0.0,,1.0,0.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,1.0,,,1.0,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0
Person_49,,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,,,,0.0,0.0,,,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,,0.0,,1.0,0.0,1.0,1.0,,,,1.0,,0.0
Person_50,0.0,0.0,,,,,1.0,,1.0,,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,0.0,0.0,1.0,1.0,1.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,,0.0
Person_51,1.0,,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,,0.0,,0.0,,1.0,0.0,1.0,,1.0,0.0,,1.0,,0.0,0.0,1.0,0.0,,0.0,,,1.0,1.0,,1.0,0.0,
Person_52,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,1.0,,,1.0,0.0,0.0,,0.0,,,,
Person_53,,,,0.0,0.0,0.0,,,1.0,,1.0,1.0,,0.0,,1.0,,1.0,1.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,0.0,,0.0,1.0,,0.0,,,0.0,1.0,,,,0.0,0.0,1.0,1.0,,,
Person_54,0.0,,,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
Person_55,0.0,,1.0,,1.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,1.0,1.0,,,1.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,0.0,,,
Person_56,0.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,0.0,1.0,1.0,,,1.0,,,,,1.0,,,,0.0,,,1.0,1.0,,1.0,0.0,
Person_57,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,0.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,0.0,1.0,0.0,1.0
Person_58,0.0,,,0.0,1.0,0.0,,,,1.0,1.0,,,,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,0.0,,,1.0,0.0,,0.0,1.0,0.0,,1.0,1.0,,,,,1.0
Person_59,,1.0,0.0,,,,,,,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,0.0,,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Person_60,0.0,1.0,,0.0,1.0,,,1.0,,,1.0,,,,1.0,0.0,,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0
Person_61,,,,,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,0.0
Person_62,1.0,1.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,,,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,0.0,1.0,,0.0,0.0,1.0
Person_63,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,0.0,
Person_64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,1.0,,1.0,,,0.0,1.0,0.0,,,0.0,1.0,,0.0,0.0,,,,,,,0.0
Person_65,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,
Person_66,1.0,,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,0.0,1.0,0.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0
Person_67,,,0.0,,1.0,0.0,,1.0,1.0,,0.0,1.0,1.0,,,,,1.0,,1.0,,,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,
Person_68,0.0,0.0,1.0,0.0,,0.0,1.0,,1.0,,0.0,,0.0,0.0,,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,1.0,,1.0,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
Person_69,,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,,,0.0,,1.0,0.0,1.0,,1.0,,,0.0,,,
Person_70,1.0,,,0.0,0.0,1.0,0.0,1.0,,1.0,,0.0,,,0.0,,0.0,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,,1.0,0.0,0.0,1.0,,0.0,0.0,,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0
Person_71,0.0,0.0,1.0,,,0.0,1.0,,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,1.0,1.0,,1.0,1.0,,0.0,1.0,1.0,,1.0,,1.0,0.0,,1.0,,0.0,,,,,,1.0,0.0,1.0
Person_72,,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,,1.0,,,,,,1.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,,1.0,0.0,0.0,1.0
Person_73,1.0,,1.0,,,0.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Person_74,1.0,1.0,,,1.0,1.0,,0.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,,,0.0,,1.0,1.0,
Person_75,,,,0.0,1.0,,,1.0,,1.0,,,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,1.0,,1.0,,1.0,,1.0,0.0,,,,
Person_76,0.0,0.0,,,0.0,0.0,1.0,0.0,,1.0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,,,0.0,1.0,,,1.0,,0.0,1.0,0.0,,,1.0,1.0,0.0,1.0,,,,,
Person_77,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,0.0,,,1.0,,1.0,,0.0,,1.0,1.0,1.0,,,1.0,,1.0,,0.0,1.0
Person_78,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,,,0.0,1.0,0.0,,0.0,,,1.0,,,1.0,1.0,,,0.0,0.0,,0.0
Person_79,0.0,1.0,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,,,1.0,0.0,1.0,1.0,0.0,,1.0,,0.0,0.0,,0.0,1.0,1.0,,1.0,1.0,1.0,,0.0,,,,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0
Person_80,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.0,,1.0,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0
Person_81,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,0.0,,,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,,,1.0,1.0,,1.0,0.0,,,,1.0,,1.0,,,,1.0,1.0,1.0
Person_82,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,,,0.0,1.0,,1.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,1.0,,,1.0,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0
Person_83,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,,0.0,1.0,,,,1.0,1.0,1.0,,0.0,,,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0
Person_84,0.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,,0.0,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,1.0,,,0.0,0.0,,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Person_85,,0.0,1.0,,1.0,1.0,,,1.0,1.0,,,0.0,1.0,1.0,,1.0,0.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,0.0,,,1.0,1.0,,1.0,,,,1.0,0.0,,,1.0
Person_86,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,1.0,1.0,,1.0,,0.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,
Person_87,1.0,1.0,,,1.0,,0.0,0.0,0.0,,0.0,1.0,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
Person_88,1.0,,,0.0,,1.0,1.0,,,,1.0,,0.0,0.0,1.0,,,,,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,,1.0,,,1.0,0.0
Person_89,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0
Person_90,,,0.0,,1.0,,0.0,,0.0,,,1.0,,0.0,1.0,0.0,,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,0.0,,1.0,,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,,,,
Person_91,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,0.0,,,0.0,,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,,,,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
Person_92,,,0.0,,,,1.0,1.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,1.0,1.0,0.0,0.0,,,1.0,0.0,1.0,,,1.0,,,1.0,,
