,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_44,-0.455,0.373,0.331,14,36,0.389,0.789,-1.453,0.754,-1.369
Person_45,-0.937,0.418,0.366,10,32,0.312,0.769,-1.276,0.661,-1.287
Person_46,1.156,0.439,0.475,21,29,0.724,1.171,0.924,1.597,1.672
Person_47,1.593,0.518,0.5,20,25,0.8,0.932,-0.164,0.815,-0.284
Person_48,1.695,0.504,0.505,24,29,0.828,1.003,0.106,0.836,-0.217
Person_49,0.834,0.409,0.362,22,32,0.688,0.781,-1.288,0.675,-1.342
Person_50,0.094,0.378,0.386,18,33,0.545,1.043,0.359,1.06,0.412
Person_51,0.213,0.384,0.426,19,33,0.576,1.228,1.502,1.249,1.309
Person_52,-2.438,0.701,0.693,2,24,0.083,0.979,0.128,0.915,0.145
Person_53,-0.345,0.444,0.492,11,26,0.423,1.227,1.151,1.204,0.913
Person_54,-3.178,0.839,0.678,1,32,0.031,0.653,-0.325,0.327,-0.522
Person_55,-0.958,0.469,0.431,8,25,0.32,0.843,-0.725,0.799,-0.618
Person_56,1.395,0.57,0.555,15,19,0.789,0.946,-0.09,0.825,-0.304
Person_57,2.183,0.604,0.548,23,26,0.885,0.823,-0.334,0.541,-0.659
Person_58,0.448,0.436,0.425,16,26,0.615,0.953,-0.238,0.946,-0.167
Person_59,0.878,0.396,0.449,23,34,0.676,1.29,1.683,1.611,2.111
Person_60,-0.221,0.37,0.321,16,35,0.457,0.753,-1.891,0.721,-1.845
Person_61,-1.41,0.437,0.423,8,31,0.258,0.934,-0.262,0.905,-0.181
Person_62,0.091,0.404,0.39,16,30,0.533,0.933,-0.377,0.904,-0.461
Person_63,1.715,0.501,0.482,26,31,0.839,0.925,-0.171,0.956,0.075
Person_64,-1.343,0.468,0.464,7,28,0.25,0.983,-0.002,1.162,0.54
Person_65,-2.098,0.543,0.543,4,32,0.125,1.0,0.117,0.762,-0.283
Person_66,1.226,0.414,0.427,26,35,0.743,1.067,0.408,1.064,0.302
Person_67,1.082,0.462,0.458,21,28,0.75,0.983,-0.003,0.932,-0.085
Person_68,-1.076,0.43,0.429,8,31,0.258,0.993,0.032,0.996,0.086
Person_69,0.282,0.377,0.384,19,34,0.559,1.038,0.317,1.073,0.454
Person_70,-0.487,0.391,0.413,13,33,0.394,1.119,0.772,1.055,0.331
Person_71,0.755,0.399,0.385,21,32,0.656,0.927,-0.444,0.872,-0.475
Person_72,-0.812,0.436,0.46,10,26,0.385,1.115,0.714,1.107,0.544
Person_73,1.958,0.546,0.515,24,28,0.857,0.889,-0.231,0.775,-0.264
Person_74,1.472,0.446,0.421,24,31,0.774,0.888,-0.458,1.11,0.411
Person_75,-0.446,0.43,0.394,11,27,0.407,0.839,-0.932,0.753,-1.148
Person_76,-0.309,0.412,0.416,13,28,0.464,1.023,0.202,1.003,0.078
Person_77,2.039,0.542,0.479,23,27,0.852,0.781,-0.597,0.548,-0.869
Person_78,-0.787,0.41,0.376,10,31,0.323,0.839,-0.914,0.86,-0.559
Person_79,0.425,0.382,0.377,21,34,0.618,0.976,-0.117,0.902,-0.44
Person_80,-1.745,0.506,0.508,5,29,0.172,1.01,0.131,1.048,0.255
Person_81,1.63,0.471,0.45,25,31,0.806,0.914,-0.265,0.765,-0.461
Person_82,-0.802,0.397,0.425,11,33,0.333,1.147,0.894,1.205,0.926
Person_83,1.101,0.454,0.447,22,29,0.759,0.972,-0.053,0.888,-0.242
Person_84,-0.641,0.387,0.323,13,33,0.394,0.699,-2.139,0.684,-1.828
Person_85,1.472,0.523,0.53,18,23,0.783,1.028,0.194,1.144,0.457
Person_86,1.963,0.496,0.492,27,32,0.844,0.98,0.031,1.009,0.186
Person_87,-0.885,0.389,0.414,12,35,0.343,1.133,0.834,1.225,0.958
Person_88,0.825,0.403,0.436,20,31,0.645,1.168,1.093,1.25,1.086
Person_89,2.485,0.699,0.659,22,24,0.917,0.887,-0.062,0.633,-0.228
Person_90,0.421,0.437,0.502,17,27,0.63,1.317,1.633,1.359,1.408
Person_91,-1.007,0.439,0.504,8,30,0.267,1.318,1.442,1.63,1.9
Person_92,-0.167,0.412,0.374,13,28,0.464,0.822,-1.212,0.823,-0.969
Person_93,-0.01,0.416,0.363,14,28,0.5,0.758,-1.579,0.696,-1.718
Person_94,-1.688,0.47,0.425,6,33,0.182,0.815,-0.653,0.728,-0.585
Person_95,-0.16,0.373,0.379,16,34,0.471,1.03,0.264,1.03,0.239
Person_96,-0.303,0.407,0.382,13,30,0.433,0.884,-0.673,0.855,-0.706
Person_97,-0.284,0.402,0.441,13,30,0.433,1.208,1.325,1.333,1.685
Person_98,1.703,0.465,0.466,27,33,0.818,1.005,0.105,0.856,-0.233
Person_99,2.838,0.684,0.603,28,30,0.933,0.775,-0.29,0.481,-0.462
Person_100,2.002,0.612,0.611,20,23,0.87,0.995,0.12,0.925,0.07
Person_101,-0.347,0.39,0.382,14,32,0.438,0.957,-0.23,0.922,-0.386
Person_102,2.192,0.535,0.524,28,32,0.875,0.957,-0.008,0.834,-0.119
Person_103,2.794,0.682,0.616,29,31,0.935,0.816,-0.194,0.531,-0.426
Person_104,0.817,0.493,0.457,15,22,0.682,0.862,-0.651,0.949,-0.059
Person_105,1.04,0.459,0.405,21,28,0.75,0.778,-1.042,0.638,-1.125
Person_106,0.755,0.407,0.401,18,29,0.621,0.97,-0.155,0.949,-0.204
Person_107,0.24,0.415,0.407,16,28,0.571,0.96,-0.203,0.966,-0.118
Person_108,0.942,0.449,0.459,18,26,0.692,1.045,0.304,1.148,0.597
Person_109,0.865,0.388,0.419,25,36,0.694,1.168,1.035,1.302,1.153
Person_110,-0.012,0.397,0.387,13,30,0.433,0.953,-0.282,0.908,-0.507
Person_111,1.834,0.496,0.502,29,34,0.853,1.022,0.172,1.144,0.441
Person_112,2.316,0.527,0.511,32,36,0.889,0.94,-0.049,0.704,-0.384
Person_113,-0.39,0.375,0.362,15,33,0.455,0.93,-0.504,0.896,-0.668
Person_114,-0.02,0.424,0.404,13,27,0.481,0.906,-0.52,0.939,-0.261
Person_115,-0.771,0.448,0.426,9,26,0.346,0.904,-0.464,0.84,-0.56
Person_116,-1.352,0.466,0.432,7,28,0.25,0.861,-0.57,0.775,-0.589
Person_117,1.324,0.456,0.458,21,28,0.75,1.009,0.112,0.856,-0.298
Person_118,1.563,0.481,0.428,23,29,0.793,0.793,-0.853,0.559,-1.021
Person_119,-1.054,0.4,0.407,10,36,0.278,1.037,0.255,1.091,0.411
Person_120,1.368,0.427,0.417,24,32,0.75,0.954,-0.173,0.913,-0.15
Person_121,0.022,0.416,0.385,15,28,0.536,0.859,-0.866,0.81,-1.011
Person_122,-1.206,0.422,0.418,9,32,0.281,0.984,-0.021,1.093,0.406
Person_123,-1.755,0.565,0.614,4,24,0.167,1.181,0.635,1.292,0.682
Person_124,-0.501,0.387,0.407,13,33,0.394,1.103,0.689,1.077,0.466
Person_125,1.073,0.444,0.364,22,30,0.733,0.673,-1.722,0.543,-1.542
Person_126,-1.48,0.532,0.516,5,25,0.2,0.941,-0.125,0.785,-0.324
Person_127,-0.457,0.429,0.436,11,27,0.407,1.037,0.267,1.063,0.365
Person_128,-0.355,0.39,0.398,13,32,0.406,1.039,0.307,1.085,0.518
Person_129,2.248,0.605,0.556,24,27,0.889,0.846,-0.27,0.886,0.052
Person_130,2.062,0.54,0.531,25,29,0.862,0.965,0.01,0.837,-0.116
Person_131,-0.031,0.399,0.401,15,30,0.5,1.013,0.137,0.999,0.05
Person_132,-0.939,0.436,0.453,9,29,0.31,1.077,0.454,1.027,0.19
Person_133,0.506,0.369,0.36,23,37,0.622,0.954,-0.278,0.889,-0.5
Person_134,2.671,0.849,0.747,23,24,0.958,0.774,-0.124,1.106,0.438
Person_135,0.045,0.4,0.372,15,29,0.517,0.866,-0.98,0.847,-0.944
Person_136,0.45,0.416,0.397,18,29,0.621,0.912,-0.503,0.963,-0.09
Person_137,0.734,0.413,0.403,20,30,0.667,0.95,-0.267,1.065,0.34
Person_138,-1.172,0.545,0.452,5,22,0.227,0.687,-1.125,0.65,-0.817
Person_139,1.51,0.479,0.5,24,30,0.8,1.094,0.445,0.887,-0.127
Person_140,-0.009,0.421,0.367,13,27,0.481,0.761,-1.575,0.724,-1.618
Person_141,0.325,0.401,0.395,17,30,0.567,0.969,-0.161,0.98,-0.044
Person_142,-1.652,0.506,0.491,5,28,0.179,0.942,-0.108,0.944,0.011
Person_143,0.495,0.405,0.388,17,29,0.586,0.921,-0.548,0.856,-0.703
Person_144,-0.238,0.426,0.403,14,27,0.519,0.893,-0.586,0.86,-0.677
Person_145,-2.318,0.602,0.56,3,29,0.103,0.864,-0.207,0.904,0.054
Person_146,0.428,0.382,0.445,19,33,0.576,1.352,2.357,1.436,2.082
Person_147,-2.889,0.688,0.639,2,31,0.065,0.862,-0.101,1.17,0.472
Person_148,0.125,0.388,0.342,17,32,0.531,0.778,-1.581,0.744,-1.535
Person_149,-0.382,0.44,0.437,10,25,0.4,0.985,-0.036,0.969,-0.079
Person_150,0.228,0.425,0.443,16,27,0.593,1.088,0.582,1.165,0.829
Person_151,-0.011,0.42,0.416,13,27,0.481,0.982,-0.062,0.974,-0.081
Person_152,1.59,0.465,0.479,26,32,0.812,1.059,0.314,1.501,1.184
Person_153,1.69,0.468,0.457,25,31,0.806,0.957,-0.088,0.819,-0.335
Person_154,1.62,0.472,0.407,23,29,0.793,0.742,-1.077,0.548,-1.213
Person_155,1.431,0.473,0.477,23,29,0.793,1.014,0.139,0.963,0.038
Person_156,-2.959,0.684,0.576,2,31,0.065,0.709,-0.437,0.34,-0.86
Person_157,-0.846,0.429,0.434,10,27,0.37,1.022,0.184,1.04,0.253
Person_158,0.665,0.405,0.382,20,31,0.645,0.89,-0.658,0.815,-0.801
Person_159,-2.937,0.847,0.668,1,30,0.033,0.622,-0.391,0.259,-0.745
Person_160,-1.062,0.444,0.443,8,29,0.276,0.998,0.059,0.879,-0.32
Person_161,-0.081,0.436,0.41,13,25,0.52,0.884,-0.69,0.835,-0.862
Person_162,-0.991,0.451,0.473,8,27,0.296,1.101,0.566,1.233,0.827
Person_163,0.292,0.391,0.434,17,31,0.548,1.228,1.561,1.289,1.568
Person_164,1.618,0.512,0.523,23,28,0.821,1.042,0.241,1.511,1.057
Person_165,-0.628,0.393,0.371,12,34,0.353,0.894,-0.592,0.865,-0.557
Person_166,0.276,0.445,0.421,13,24,0.542,0.893,-0.625,0.908,-0.423
Person_167,1.439,0.479,0.422,24,30,0.8,0.776,-0.894,0.538,-1.135
Person_168,-2.303,0.535,0.57,4,32,0.125,1.132,0.477,1.717,1.282
Person_169,-1.128,0.423,0.445,9,33,0.273,1.105,0.57,1.059,0.29
Person_170,-0.612,0.428,0.433,10,28,0.357,1.024,0.193,1.149,0.683
Person_171,-0.179,0.42,0.427,13,27,0.481,1.032,0.252,1.039,0.271
Person_172,-0.554,0.43,0.385,10,27,0.37,0.802,-1.176,0.794,-0.953
Person_173,-0.34,0.407,0.325,13,29,0.448,0.64,-2.582,0.609,-2.52
Person_174,1.542,0.527,0.509,18,23,0.783,0.934,-0.164,1.402,0.981
Person_175,0.335,0.416,0.37,16,28,0.571,0.79,-1.461,0.721,-1.408
Person_176,0.733,0.427,0.468,18,28,0.643,1.205,1.201,1.301,1.193
Person_177,0.5,0.393,0.38,20,32,0.625,0.937,-0.372,0.864,-0.65
Person_178,-0.904,0.468,0.435,7,26,0.269,0.864,-0.563,1.014,0.146
Person_179,0.138,0.385,0.39,17,32,0.531,1.027,0.24,1.005,0.085
Person_180,-1.423,0.452,0.432,7,31,0.226,0.911,-0.322,0.804,-0.478
Person_181,-1.943,0.503,0.493,5,32,0.156,0.963,-0.028,1.007,0.179
Person_182,-0.342,0.383,0.384,14,32,0.438,1.001,0.055,1.015,0.145
Person_183,0.212,0.391,0.393,16,31,0.516,1.009,0.11,0.976,-0.077
Person_184,-0.467,0.39,0.339,13,32,0.406,0.757,-1.696,0.791,-1.174
Person_185,0.1,0.38,0.391,18,34,0.529,1.061,0.445,1.107,0.636
Person_186,0.496,0.37,0.365,21,35,0.6,0.972,-0.174,0.931,-0.331
Person_187,2.608,0.687,0.667,29,31,0.935,0.945,0.067,1.596,0.874
Person_188,-0.86,0.453,0.401,9,26,0.346,0.782,-1.176,0.653,-1.303
Person_189,1.267,0.457,0.397,21,28,0.75,0.757,-1.195,0.595,-1.243
Person_190,1.626,0.478,0.475,23,29,0.793,0.989,0.036,1.368,0.89
Person_191,-0.53,0.42,0.398,10,29,0.345,0.898,-0.524,0.931,-0.248
Person_192,-1.393,0.472,0.491,6,31,0.194,1.082,0.396,1.152,0.498
Person_193,0.186,0.417,0.399,16,28,0.571,0.918,-0.479,0.885,-0.53
Person_194,-0.703,0.417,0.383,10,31,0.323,0.844,-0.814,0.798,-0.801
Person_195,1.635,0.469,0.469,24,30,0.8,0.998,0.074,0.911,-0.082
Person_196,-0.627,0.429,0.445,11,28,0.393,1.076,0.47,1.072,0.375
Person_197,0.603,0.377,0.352,19,33,0.576,0.868,-1.071,0.822,-0.98
Person_198,1.111,0.396,0.384,25,35,0.714,0.939,-0.314,1.105,0.46
Person_199,-2.391,0.603,0.547,3,29,0.103,0.821,-0.33,0.582,-0.538
Person_200,-1.494,0.52,0.504,5,27,0.185,0.942,-0.105,0.844,-0.209
Person_201,-0.769,0.423,0.362,10,30,0.333,0.73,-1.55,0.632,-1.57
Person_202,-0.388,0.389,0.378,14,32,0.438,0.943,-0.342,0.948,-0.235
Person_203,0.651,0.425,0.471,16,27,0.593,1.227,1.417,1.351,1.52
Person_204,1.223,0.487,0.457,20,26,0.769,0.88,-0.443,0.693,-0.767
Person_205,-2.175,0.549,0.581,4,28,0.143,1.119,0.454,1.083,0.331
Person_206,-2.357,0.534,0.56,4,34,0.118,1.099,0.389,1.253,0.591
Person_207,1.974,0.489,0.499,30,35,0.857,1.04,0.23,1.759,1.375
Person_208,1.563,0.473,0.486,25,31,0.806,1.056,0.3,0.897,-0.104
Person_209,-0.131,0.396,0.397,16,32,0.5,1.004,0.078,1.002,0.076
Person_210,0.696,0.419,0.413,16,27,0.593,0.972,-0.159,0.899,-0.417
Person_211,-3.21,,,0,27,0.0,,,,
Person_212,-0.351,0.452,0.436,10,24,0.417,0.932,-0.325,0.905,-0.401
Person_213,-2.033,0.497,0.49,5,34,0.147,0.974,0.014,0.845,-0.148
Person_214,-3.416,0.837,0.653,1,32,0.031,0.61,-0.409,0.262,-0.619
Person_215,0.467,0.378,0.391,20,34,0.588,1.069,0.54,1.141,0.756
Person_216,-1.283,0.431,0.407,8,33,0.242,0.892,-0.45,0.759,-0.694
Person_217,0.474,0.457,0.451,14,23,0.609,0.972,-0.116,1.009,0.115
Person_218,-0.923,0.378,0.361,12,38,0.316,0.913,-0.486,0.791,-0.87
Person_219,0.935,0.42,0.4,23,32,0.719,0.907,-0.451,0.771,-0.744
Person_220,1.414,0.439,0.459,29,36,0.806,1.093,0.461,1.734,1.692
Person_221,0.561,0.408,0.399,16,28,0.571,0.957,-0.272,0.922,-0.394
Person_222,0.001,0.369,0.354,18,35,0.514,0.922,-0.552,0.884,-0.69
Person_223,1.636,0.506,0.471,25,30,0.833,0.864,-0.398,0.927,0.013
Person_224,-0.275,0.414,0.406,13,29,0.448,0.961,-0.182,0.927,-0.297
Person_225,1.192,0.483,0.421,21,27,0.778,0.759,-1.003,0.56,-1.26
Person_226,1.989,0.543,0.535,26,30,0.867,0.969,0.022,0.849,-0.097
Person_227,0.457,0.347,0.363,23,40,0.575,1.1,0.83,1.121,0.741
Person_228,-0.731,0.369,0.33,14,37,0.378,0.802,-1.387,0.788,-1.098
Person_229,-0.265,0.359,0.351,15,37,0.405,0.959,-0.269,0.976,-0.1
Person_230,1.604,0.441,0.43,28,35,0.8,0.952,-0.138,0.746,-0.556
Person_231,2.713,0.678,0.602,28,30,0.933,0.789,-0.251,0.606,-0.298
Person_232,0.357,0.389,0.373,17,31,0.548,0.919,-0.608,0.975,-0.077
Person_233,-0.118,0.383,0.34,16,32,0.5,0.787,-1.6,0.769,-1.526
Person_234,3.161,0.837,0.684,27,28,0.964,0.668,-0.301,0.43,-0.336
Person_235,1.473,0.477,0.479,23,29,0.793,1.006,0.109,1.042,0.237
Person_236,0.899,0.456,0.478,18,26,0.692,1.101,0.583,1.036,0.219
Person_237,-0.018,0.381,0.364,16,33,0.485,0.913,-0.572,0.939,-0.31
Person_238,-3.532,,,0,32,0.0,,,,
Person_239,1.135,0.418,0.415,23,32,0.719,0.984,-0.028,1.12,0.485
Person_240,-1.253,0.438,0.423,8,31,0.258,0.931,-0.273,0.993,0.088
Person_241,-0.927,0.448,0.433,8,27,0.296,0.934,-0.273,0.909,-0.258
Person_242,-0.869,0.517,0.467,6,21,0.286,0.815,-0.736,0.788,-0.561
Person_243,-0.133,0.386,0.347,14,32,0.438,0.807,-1.387,0.8,-1.225
Person_244,1.852,0.499,0.479,24,29,0.828,0.924,-0.173,0.806,-0.334
Person_245,-3.362,0.84,0.655,1,30,0.033,0.609,-0.414,0.267,-0.61
Person_246,0.232,0.411,0.343,16,29,0.552,0.696,-2.058,0.681,-1.774
Person_247,2.246,0.608,0.621,24,27,0.889,1.044,0.243,1.377,0.72
Person_248,-1.898,0.469,0.45,6,33,0.182,0.919,-0.24,0.677,-0.654
Person_249,0.504,0.41,0.43,17,29,0.586,1.099,0.69,1.246,1.131
Person_250,1.527,0.444,0.461,24,31,0.774,1.077,0.418,1.03,0.202
Person_251,1.611,0.438,0.419,26,33,0.788,0.912,-0.323,0.715,-0.764
Person_252,0.62,0.424,0.419,18,28,0.643,0.975,-0.106,0.987,0.029
Person_253,-3.422,0.835,0.651,1,33,0.03,0.608,-0.41,0.257,-0.671
Person_254,-1.759,0.502,0.481,5,33,0.152,0.919,-0.173,0.934,0.018
Person_255,2.031,0.613,0.578,22,25,0.88,0.889,-0.162,0.577,-0.542
Person_256,0.519,0.44,0.352,15,25,0.6,0.64,-2.565,0.576,-2.188
Person_257,2.061,0.606,0.581,23,26,0.885,0.918,-0.075,0.889,0.038
Person_258,1.56,0.509,0.499,21,26,0.808,0.959,-0.053,0.865,-0.21
Person_259,0.048,0.486,0.459,11,20,0.55,0.894,-0.58,0.876,-0.541
Person_260,-1.07,0.425,0.4,9,31,0.29,0.883,-0.578,0.793,-0.677
Person_261,-1.168,0.464,0.43,7,28,0.25,0.857,-0.575,1.053,0.269
Person_262,-2.763,0.692,0.672,2,29,0.069,0.944,0.064,0.79,0.013
Person_263,-1.273,0.471,0.465,7,26,0.269,0.977,-0.037,0.861,-0.321
Person_264,1.758,0.499,0.494,26,31,0.839,0.98,0.027,0.719,-0.47
Person_265,1.569,0.475,0.418,24,30,0.8,0.773,-0.915,0.548,-1.135
Person_266,1.555,0.437,0.427,28,35,0.8,0.954,-0.122,0.925,-0.085
Person_267,1.223,0.535,0.539,16,21,0.762,1.014,0.14,1.069,0.302
Person_268,-0.384,0.395,0.396,12,31,0.387,1.005,0.086,0.939,-0.278
Person_269,0.37,0.369,0.385,21,36,0.583,1.092,0.684,1.116,0.673
Person_270,2.117,0.535,0.539,28,32,0.875,1.017,0.165,1.009,0.202
Person_271,-0.384,0.41,0.388,12,29,0.414,0.896,-0.641,0.932,-0.285
Person_272,1.061,0.415,0.394,25,34,0.735,0.901,-0.478,0.735,-0.839
Person_273,2.383,0.591,0.594,26,29,0.897,1.01,0.163,1.943,1.356
Person_274,1.175,0.417,0.472,25,34,0.735,1.28,1.456,1.679,1.806
Person_275,-1.353,0.412,0.449,9,35,0.257,1.188,0.98,1.336,1.084
Person_276,2.838,0.685,0.638,28,30,0.933,0.867,-0.091,0.925,0.191
Person_277,-2.963,0.681,0.6,2,34,0.059,0.774,-0.284,0.407,-0.626
Person_278,0.176,0.395,0.329,17,31,0.548,0.692,-2.253,0.672,-1.977
Person_279,0.76,0.399,0.404,21,32,0.656,1.025,0.214,0.991,0.037
Person_280,0.471,0.424,0.419,17,27,0.63,0.978,-0.093,0.951,-0.164
Person_281,1.907,0.498,0.5,26,31,0.839,1.005,0.116,1.532,1.101
Person_282,0.322,0.404,0.421,17,30,0.567,1.088,0.609,1.039,0.259
Person_283,-0.217,0.37,0.367,17,35,0.486,0.986,-0.051,1.01,0.116
Person_284,-0.433,0.408,0.393,12,30,0.4,0.928,-0.384,0.909,-0.398
Person_285,-0.648,0.405,0.334,11,31,0.355,0.68,-2.144,0.592,-2.089
Person_286,-1.646,0.474,0.518,6,32,0.188,1.198,0.813,1.686,1.438
Person_287,-0.352,0.373,0.384,15,35,0.429,1.061,0.459,1.072,0.461
Person_288,2.713,0.684,0.608,30,32,0.938,0.79,-0.251,0.424,-0.624
Person_289,0.042,0.361,0.352,19,36,0.528,0.95,-0.351,0.952,-0.268
Person_290,-0.767,0.432,0.436,9,28,0.321,1.022,0.181,1.018,0.153
Person_291,0.489,0.42,0.404,18,29,0.621,0.925,-0.394,0.823,-0.726
Person_292,2.882,0.845,0.691,23,24,0.958,0.669,-0.309,0.428,-0.387
Person_293,-1.921,0.504,0.496,5,31,0.161,0.966,-0.019,0.955,0.069
Person_294,-1.093,0.489,0.447,7,24,0.292,0.837,-0.699,0.7,-0.865
Person_295,3.397,,,30,30,1.0,,,,
Person_296,1.3,0.426,0.398,25,33,0.758,0.874,-0.583,0.715,-0.863
Person_297,-0.991,0.389,0.394,11,35,0.314,1.023,0.191,0.884,-0.421
Person_298,0.562,0.378,0.341,23,36,0.639,0.815,-1.279,0.753,-1.162
Person_299,-0.089,0.426,0.38,12,26,0.462,0.799,-1.337,0.764,-1.384
Person_300,-0.427,0.434,0.438,10,26,0.385,1.019,0.167,0.977,-0.042
Person_301,-0.996,0.447,0.424,8,28,0.286,0.901,-0.441,0.896,-0.265
Person_302,1.132,0.467,0.422,22,29,0.759,0.818,-0.782,0.592,-1.129
Person_303,-0.85,0.44,0.423,9,28,0.321,0.924,-0.343,0.929,-0.167
Person_304,-0.288,0.395,0.406,13,31,0.419,1.058,0.426,1.044,0.299
Person_305,-1.87,0.563,0.585,4,27,0.148,1.079,0.339,1.59,1.106
Person_306,-3.582,,,0,32,0.0,,,,
Person_307,-0.489,0.372,0.332,14,36,0.389,0.797,-1.388,0.764,-1.343
Person_308,3.169,0.836,0.716,31,32,0.969,0.735,-0.177,0.885,0.247
Person_309,0.192,0.398,0.382,16,30,0.533,0.925,-0.484,0.887,-0.609
Person_310,-1.763,0.547,0.555,4,29,0.138,1.029,0.2,0.96,0.095
Person_311,2.005,0.542,0.523,26,30,0.867,0.933,-0.084,0.795,-0.221
Person_312,-0.284,0.379,0.39,14,33,0.424,1.061,0.487,1.092,0.589
Person_313,-0.757,0.501,0.483,6,22,0.273,0.927,-0.246,0.838,-0.452
Person_314,-0.213,0.461,0.46,10,23,0.435,0.995,0.035,1.043,0.271
Person_315,0.456,0.409,0.436,16,28,0.571,1.138,1.007,1.074,0.452
Person_316,-0.822,0.422,0.415,10,30,0.333,0.969,-0.109,0.922,-0.237
Person_317,-0.301,0.42,0.472,12,27,0.444,1.262,1.594,1.382,1.918
Person_318,-0.124,0.413,0.437,12,28,0.429,1.122,0.805,1.145,0.826
Person_319,2.697,0.678,0.623,31,33,0.939,0.843,-0.13,0.566,-0.394
Person_320,0.081,0.435,0.391,13,25,0.52,0.808,-1.237,0.752,-1.392
Person_321,-1.637,0.471,0.49,6,32,0.188,1.086,0.405,1.118,0.416
Person_322,-0.154,0.361,0.314,17,37,0.459,0.758,-1.839,0.73,-1.817
Person_323,-0.498,0.48,0.498,7,22,0.318,1.076,0.435,1.008,0.115
Person_324,0.922,0.449,0.447,19,27,0.704,0.989,0.005,0.839,-0.443
Person_325,-0.208,0.405,0.348,13,29,0.448,0.738,-1.88,0.704,-1.809
Person_326,-1.167,0.454,0.422,7,31,0.226,0.864,-0.516,0.861,-0.32
Person_327,0.657,0.374,0.37,23,36,0.639,0.979,-0.098,0.958,-0.139
