,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_132,-1.576,0.44,0.392,10,38,0.263,0.795,-0.327,0.695,-0.581
Person_133,2.083,0.54,0.466,30,38,0.789,0.746,-0.383,0.96,0.112
Person_134,3.115,0.633,0.541,33,38,0.868,0.731,-0.329,2.274,1.429
Person_135,1.314,0.478,0.333,27,38,0.711,0.485,-1.187,0.486,-1.198
Person_136,0.887,0.449,0.373,25,38,0.658,0.688,-0.584,0.674,-0.644
Person_137,1.805,0.516,0.406,29,38,0.763,0.619,-0.741,0.592,-0.766
Person_138,-2.236,0.508,0.381,7,38,0.184,0.563,-0.852,0.484,-0.934
Person_139,2.733,0.598,0.777,32,38,0.842,1.686,1.215,1.265,0.582
Person_140,0.692,0.438,0.326,24,38,0.632,0.555,-0.973,0.488,-1.23
Person_141,-0.159,0.397,0.265,19,38,0.5,0.446,-1.503,0.475,-1.398
Person_142,-1.775,0.459,0.402,9,38,0.237,0.769,-0.368,0.878,-0.094
Person_143,0.329,0.418,0.321,22,38,0.579,0.592,-0.89,0.623,-0.818
Person_144,0.692,0.438,0.306,24,38,0.632,0.49,-1.187,0.681,-0.629
Person_145,-4.215,0.827,0.504,2,38,0.053,0.371,-0.932,0.234,-0.472
Person_146,1.094,0.463,0.393,26,38,0.684,0.721,-0.492,0.673,-0.642
Person_147,-5.438,,,0,38,0.0,,,,
Person_148,0.506,0.427,0.504,23,38,0.605,1.394,0.906,1.29,0.734
Person_149,1.094,0.463,0.251,26,38,0.684,0.295,-1.951,0.318,-1.889
Person_150,0.506,0.427,0.285,23,38,0.605,0.447,-1.355,0.453,-1.369
Person_151,-0.608,0.391,0.43,16,38,0.421,1.208,0.621,1.433,1.07
Person_152,1.094,0.463,0.304,26,38,0.684,0.432,-1.38,0.497,-1.184
Person_153,2.733,0.598,0.595,32,38,0.842,0.988,0.163,0.766,-0.13
Person_154,2.083,0.54,0.473,30,38,0.789,0.768,-0.33,0.973,0.136
Person_155,2.083,0.54,0.413,30,38,0.789,0.584,-0.803,0.529,-0.849
Person_156,-3.192,0.638,0.612,4,38,0.105,0.92,0.054,0.813,0.029
Person_157,-1.393,0.425,0.399,11,38,0.289,0.881,-0.134,0.852,-0.204
Person_158,2.391,0.567,0.454,31,38,0.816,0.641,-0.606,0.512,-0.77
Person_159,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_160,-1.775,0.459,0.518,9,38,0.237,1.277,0.694,1.263,0.657
Person_161,-0.002,0.403,0.342,20,38,0.526,0.72,-0.558,0.653,-0.763
Person_162,-2.236,0.508,0.515,7,38,0.184,1.027,0.223,0.869,-0.048
Person_163,1.805,0.516,0.496,29,38,0.763,0.922,0.001,0.888,-0.055
Person_164,2.083,0.54,0.424,30,38,0.789,0.617,-0.711,0.579,-0.714
Person_165,-0.002,0.403,0.466,20,38,0.526,1.342,0.847,1.407,0.973
Person_166,1.805,0.516,0.462,29,38,0.763,0.799,-0.277,0.97,0.111
Person_167,1.55,0.496,0.339,28,38,0.737,0.468,-1.234,0.452,-1.27
Person_168,-4.215,0.827,0.57,2,38,0.053,0.474,-0.677,0.325,-0.304
Person_169,-1.222,0.413,0.435,12,38,0.316,1.111,0.394,1.167,0.514
Person_170,-0.756,0.393,0.441,15,38,0.395,1.258,0.732,1.297,0.804
Person_171,-0.159,0.397,0.453,19,38,0.5,1.299,0.78,1.245,0.673
Person_172,-0.002,0.403,0.401,20,38,0.526,0.993,0.131,1.209,0.594
Person_173,-0.906,0.397,0.36,14,38,0.368,0.819,-0.348,0.922,-0.06
Person_174,2.733,0.598,0.324,32,38,0.842,0.294,-1.632,0.376,-0.957
Person_175,1.805,0.516,0.666,29,38,0.763,1.663,1.293,1.671,1.261
Person_176,0.506,0.427,0.345,23,38,0.605,0.654,-0.691,0.518,-1.139
Person_177,1.55,0.496,0.401,28,38,0.737,0.655,-0.66,0.745,-0.413
Person_178,-1.576,0.44,0.552,10,38,0.263,1.572,1.216,1.611,1.267
Person_179,0.506,0.427,0.389,23,38,0.605,0.83,-0.23,0.843,-0.211
Person_180,-1.775,0.459,0.516,9,38,0.237,1.266,0.674,1.334,0.777
Person_181,-2.236,0.508,0.477,7,38,0.184,0.881,-0.073,1.059,0.293
Person_182,-0.756,0.393,0.293,15,38,0.395,0.556,-1.208,0.434,-1.653
Person_183,1.094,0.463,0.504,26,38,0.684,1.184,0.525,1.473,1.043
Person_184,-1.222,0.413,0.335,12,38,0.316,0.656,-0.783,0.583,-1.016
Person_185,-0.756,0.393,0.259,15,38,0.395,0.435,-1.692,0.484,-1.448
Person_186,0.692,0.438,0.41,24,38,0.632,0.88,-0.108,0.712,-0.544
Person_187,4.534,0.799,0.875,36,38,0.947,1.198,0.505,0.538,0.169
Person_188,-1.393,0.425,0.373,11,38,0.289,0.769,-0.423,0.889,-0.114
Person_189,1.55,0.496,0.54,28,38,0.737,1.184,0.521,1.312,0.746
Person_190,3.115,0.633,0.475,33,38,0.868,0.563,-0.721,0.563,-0.367
Person_191,-1.222,0.413,0.216,12,38,0.316,0.273,-2.338,0.35,-1.935
Person_192,-3.192,0.638,0.584,4,38,0.105,0.839,-0.097,1.06,0.344
Person_193,1.55,0.496,0.318,28,38,0.737,0.412,-1.433,0.433,-1.338
Person_194,-1.222,0.413,0.419,12,38,0.316,1.028,0.206,0.991,0.121
Person_195,4.005,0.721,0.484,35,38,0.921,0.45,-0.991,0.282,-0.441
Person_196,0.329,0.418,0.341,22,38,0.579,0.668,-0.664,0.66,-0.709
Person_197,0.887,0.449,0.459,25,38,0.658,1.043,0.247,1.01,0.177
Person_198,3.115,0.633,0.207,33,38,0.868,0.107,-2.564,0.122,-1.578
Person_199,-3.192,0.638,0.73,4,38,0.105,1.309,0.677,0.797,0.006
Person_200,-1.775,0.459,0.47,9,38,0.237,1.051,0.263,0.914,-0.015
Person_201,-1.393,0.425,0.267,11,38,0.289,0.396,-1.658,0.435,-1.494
Person_202,-0.608,0.391,0.414,16,38,0.421,1.118,0.417,1.035,0.222
Person_203,1.094,0.463,0.398,26,38,0.684,0.741,-0.442,0.612,-0.817
Person_204,1.55,0.496,0.326,28,38,0.737,0.433,-1.356,0.427,-1.358
Person_205,-2.824,0.584,0.568,5,38,0.132,0.946,0.085,1.068,0.33
Person_206,-3.64,0.713,0.506,3,38,0.079,0.505,-0.757,0.316,-0.636
Person_207,2.391,0.567,0.738,31,38,0.816,1.69,1.261,1.544,0.964
Person_208,3.115,0.633,0.521,33,38,0.868,0.679,-0.443,1.676,0.961
Person_209,-0.608,0.391,0.457,16,38,0.421,1.362,0.945,1.523,1.241
Person_210,0.506,0.427,0.357,23,38,0.605,0.701,-0.56,0.653,-0.716
Person_211,-5.438,,,0,38,0.0,,,,
Person_212,0.329,0.418,0.512,22,38,0.579,1.505,1.104,1.347,0.844
Person_213,-4.215,0.827,1.158,2,38,0.053,1.958,1.285,1.414,0.714
Person_214,-2.824,0.584,0.495,5,38,0.132,0.72,-0.378,0.618,-0.392
Person_215,0.329,0.418,0.345,22,38,0.579,0.683,-0.623,0.866,-0.161
Person_216,-1.393,0.425,0.478,11,38,0.289,1.264,0.699,1.465,1.068
Person_217,0.16,0.409,0.475,21,38,0.553,1.345,0.84,1.185,0.54
Person_218,-1.775,0.459,0.412,9,38,0.237,0.808,-0.271,0.756,-0.377
Person_219,2.083,0.54,0.564,30,38,0.789,1.091,0.344,1.291,0.665
Person_220,2.733,0.598,0.595,32,38,0.842,0.988,0.163,0.766,-0.13
Person_221,1.094,0.463,0.527,26,38,0.684,1.295,0.726,1.277,0.702
Person_222,1.094,0.463,0.437,26,38,0.684,0.893,-0.075,0.845,-0.195
Person_223,1.805,0.516,0.604,29,38,0.763,1.367,0.835,1.643,1.222
Person_224,-0.311,0.394,0.375,18,38,0.474,0.907,-0.091,0.906,-0.09
Person_225,3.115,0.633,0.592,33,38,0.868,0.875,-0.037,0.571,-0.353
Person_226,3.538,0.672,0.372,34,38,0.895,0.306,-1.489,0.199,-0.946
Person_227,1.314,0.478,0.422,27,38,0.711,0.777,-0.348,0.881,-0.106
Person_228,-2.51,0.542,0.421,6,38,0.158,0.605,-0.695,0.624,-0.482
Person_229,-0.159,0.397,0.347,19,38,0.5,0.763,-0.458,0.884,-0.138
Person_230,2.391,0.567,0.553,31,38,0.816,0.951,0.082,0.864,-0.025
Person_231,4.005,0.721,0.605,35,38,0.921,0.703,-0.366,0.372,-0.286
Person_232,0.506,0.427,0.302,23,38,0.605,0.501,-1.161,0.511,-1.161
Person_233,0.887,0.449,0.513,25,38,0.658,1.301,0.738,0.998,0.15
Person_234,5.163,0.944,1.091,37,38,0.974,1.335,0.649,3.256,1.389
Person_235,1.314,0.478,0.45,27,38,0.711,0.886,-0.09,0.998,0.153
Person_236,-0.159,0.397,0.291,19,38,0.5,0.535,-1.169,0.606,-0.934
Person_237,-0.608,0.391,0.274,16,38,0.421,0.491,-1.448,0.541,-1.22
Person_238,-5.438,,,0,38,0.0,,,,
Person_239,1.314,0.478,0.364,27,38,0.711,0.58,-0.885,0.671,-0.632
Person_240,-2.236,0.508,0.472,7,38,0.184,0.862,-0.112,0.714,-0.366
Person_241,-1.393,0.425,0.554,11,38,0.289,1.702,1.465,1.795,1.606
Person_242,-0.311,0.394,0.275,18,38,0.474,0.49,-1.381,0.67,-0.752
Person_243,-0.906,0.397,0.437,14,38,0.368,1.211,0.627,1.101,0.376
Person_244,2.391,0.567,0.397,31,38,0.816,0.49,-1.024,0.483,-0.842
Person_245,-2.824,0.584,0.32,5,38,0.132,0.3,-1.604,0.27,-1.264
Person_246,0.329,0.418,0.435,22,38,0.579,1.086,0.335,0.914,-0.044
Person_247,3.115,0.633,0.207,33,38,0.868,0.107,-2.564,0.122,-1.578
Person_248,-2.51,0.542,0.598,6,38,0.158,1.221,0.565,0.988,0.191
Person_249,0.506,0.427,0.455,23,38,0.605,1.137,0.436,1.077,0.317
Person_250,2.733,0.598,0.392,32,38,0.842,0.43,-1.146,0.341,-1.056
Person_251,1.805,0.516,0.567,29,38,0.763,1.205,0.555,1.326,0.748
Person_252,2.083,0.54,0.411,30,38,0.789,0.578,-0.82,0.58,-0.711
Person_253,-5.438,,,0,38,0.0,,,,
Person_254,-3.64,0.713,0.724,3,38,0.079,1.032,0.261,1.091,0.419
Person_255,1.805,0.516,0.403,29,38,0.763,0.61,-0.766,0.575,-0.813
Person_256,0.329,0.418,0.407,22,38,0.579,0.95,0.043,1.028,0.212
Person_257,3.115,0.633,0.685,33,38,0.868,1.171,0.473,1.264,0.571
Person_258,3.538,0.672,0.436,34,38,0.895,0.422,-1.096,0.284,-0.72
Person_259,-0.756,0.393,0.345,15,38,0.395,0.771,-0.494,0.924,-0.055
Person_260,-1.993,0.481,0.349,8,38,0.211,0.528,-1.0,0.531,-0.902
Person_261,-2.236,0.508,0.697,7,38,0.184,1.879,1.543,1.728,1.238
Person_262,-4.215,0.827,0.731,2,38,0.053,0.78,-0.09,0.338,-0.283
Person_263,0.16,0.409,0.409,21,38,0.553,0.996,0.141,1.063,0.288
Person_264,0.887,0.449,0.328,25,38,0.658,0.533,-1.037,0.59,-0.892
Person_265,2.391,0.567,0.608,31,38,0.816,1.146,0.441,1.449,0.846
Person_266,2.733,0.598,0.541,32,38,0.842,0.818,-0.166,0.792,-0.087
Person_267,1.55,0.496,0.491,28,38,0.737,0.979,0.117,1.017,0.198
Person_268,-1.222,0.413,0.266,12,38,0.316,0.415,-1.653,0.434,-1.568
Person_269,-0.46,0.392,0.356,17,38,0.447,0.827,-0.315,0.845,-0.258
Person_270,5.442,,,38,38,1.0,,,,
Person_271,-0.46,0.392,0.292,17,38,0.447,0.555,-1.175,0.528,-1.252
Person_272,1.805,0.516,0.356,29,38,0.763,0.475,-1.18,0.459,-1.163
Person_273,4.005,0.721,0.802,35,38,0.921,1.236,0.569,0.535,-0.057
Person_274,1.55,0.496,0.343,28,38,0.737,0.479,-1.194,0.463,-1.229
Person_275,-2.51,0.542,0.398,6,38,0.158,0.54,-0.873,0.451,-0.899
Person_276,3.115,0.633,0.505,33,38,0.868,0.637,-0.54,0.63,-0.252
Person_277,-2.824,0.584,0.316,5,38,0.132,0.294,-1.63,0.265,-1.28
Person_278,-0.159,0.397,0.41,19,38,0.5,1.065,0.291,1.097,0.363
Person_279,1.314,0.478,0.767,27,38,0.711,2.569,2.482,2.101,1.94
Person_280,1.094,0.463,0.466,26,38,0.684,1.015,0.189,0.943,0.031
Person_281,1.805,0.516,0.412,29,38,0.763,0.637,-0.691,0.613,-0.708
Person_282,1.314,0.478,0.309,27,38,0.711,0.418,-1.426,0.423,-1.425
Person_283,-1.576,0.44,0.527,10,38,0.263,1.433,0.984,1.088,0.34
Person_284,-1.576,0.44,0.356,10,38,0.263,0.656,-0.704,0.664,-0.668
Person_285,-1.222,0.413,0.386,12,38,0.316,0.872,-0.174,0.801,-0.36
Person_286,-3.64,0.713,0.549,3,38,0.079,0.594,-0.546,0.467,-0.349
Person_287,-0.159,0.397,0.45,19,38,0.5,1.282,0.746,1.16,0.498
Person_288,3.538,0.672,0.801,34,38,0.895,1.425,0.84,0.705,-0.009
Person_289,-0.002,0.403,0.269,20,38,0.526,0.448,-1.45,0.46,-1.421
Person_290,-0.002,0.403,0.387,20,38,0.526,0.922,-0.033,0.912,-0.063
Person_291,1.805,0.516,0.419,29,38,0.763,0.66,-0.628,0.626,-0.673
Person_292,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_293,-2.236,0.508,0.497,7,38,0.184,0.955,0.08,0.937,0.079
Person_294,-1.061,0.404,0.32,13,38,0.342,0.627,-0.915,0.662,-0.789
Person_295,4.005,0.721,0.591,35,38,0.921,0.671,-0.435,0.354,-0.315
Person_296,1.805,0.516,0.626,29,38,0.763,1.472,1.005,2.423,2.175
Person_297,-1.061,0.404,0.463,13,38,0.342,1.314,0.833,1.256,0.709
Person_298,2.391,0.567,0.347,31,38,0.816,0.374,-1.408,0.421,-1.015
Person_299,-0.002,0.403,0.365,20,38,0.526,0.82,-0.287,0.757,-0.463
Person_300,-0.906,0.397,0.392,14,38,0.368,0.973,0.066,0.965,0.051
Person_301,-2.51,0.542,0.565,6,38,0.158,1.089,0.34,0.894,0.036
Person_302,2.391,0.567,0.589,31,38,0.816,1.079,0.322,0.915,0.063
Person_303,-2.51,0.542,0.468,6,38,0.158,0.745,-0.351,0.656,-0.414
Person_304,-1.393,0.425,0.313,11,38,0.289,0.542,-1.108,0.574,-0.996
Person_305,-1.775,0.459,0.368,9,38,0.237,0.642,-0.703,0.639,-0.679
Person_306,-5.438,,,0,38,0.0,,,,
Person_307,-0.46,0.392,0.385,17,38,0.447,0.967,0.055,0.968,0.06
Person_308,3.115,0.633,0.774,33,38,0.868,1.495,0.943,1.121,0.415
Person_309,0.506,0.427,0.532,23,38,0.605,1.551,1.166,1.588,1.246
Person_310,-3.64,0.713,0.563,3,38,0.079,0.625,-0.479,0.389,-0.488
Person_311,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_312,-0.906,0.397,0.429,14,38,0.368,1.166,0.527,1.276,0.757
Person_313,-1.393,0.425,0.369,11,38,0.289,0.754,-0.464,0.762,-0.439
Person_314,-1.061,0.404,0.325,13,38,0.342,0.648,-0.848,0.627,-0.903
Person_315,1.314,0.478,0.341,27,38,0.711,0.509,-1.107,0.581,-0.893
Person_316,-1.576,0.44,0.405,10,38,0.263,0.848,-0.195,0.867,-0.145
Person_317,-1.393,0.425,0.344,11,38,0.289,0.656,-0.744,0.714,-0.573
Person_318,-0.906,0.397,0.3,14,38,0.368,0.571,-1.138,0.471,-1.49
Person_319,4.534,0.799,0.89,36,38,0.947,1.24,0.563,0.566,0.194
Person_320,-0.46,0.392,0.263,17,38,0.447,0.453,-1.572,0.425,-1.661
Person_321,-3.64,0.713,0.563,3,38,0.079,0.625,-0.479,0.389,-0.488
Person_322,-3.192,0.638,0.564,4,38,0.105,0.782,-0.21,0.743,-0.072
Person_323,0.887,0.449,0.391,25,38,0.658,0.758,-0.4,0.643,-0.734
Person_324,1.094,0.463,0.322,26,38,0.684,0.485,-1.193,0.548,-1.014
Person_325,-1.775,0.459,0.368,9,38,0.237,0.643,-0.7,0.643,-0.669
Person_326,-1.993,0.481,0.427,8,38,0.211,0.789,-0.296,0.736,-0.375
Person_327,-0.159,0.397,0.481,19,38,0.5,1.468,1.096,1.329,0.84
Person_328,-1.393,0.425,0.343,11,38,0.289,0.65,-0.761,0.681,-0.668
