,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Person_92,3,3,0,1,3,1,2,1,1,0
Person_93,0,2,1,1,2,0,2,1,1,1
Person_94,0,2,0,1,1,0,1,0,0,0
Person_95,3,3,1,2,3,2,3,2,2,2
Person_96,2,3,1,3,2,1,3,3,2,2
Person_97,1,3,0,1,1,2,1,1,2,0
Person_98,2,4,4,2,3,3,3,3,3,2
Person_99,5,3,4,3,3,3,3,3,3,2
Person_100,4,4,4,3,3,2,3,3,3,3
Person_101,3,3,2,1,1,0,1,1,2,2
Person_102,4,4,4,4,3,3,3,3,2,2
Person_103,3,3,5,4,3,2,3,3,3,3
Person_104,4,3,4,3,3,3,3,2,3,2
Person_105,3,4,3,2,3,2,3,3,2,2
Person_106,4,5,4,2,3,3,2,2,2,2
Person_107,3,3,3,3,2,0,3,1,3,1
Person_108,3,3,4,2,3,3,3,2,3,2
Person_109,3,4,4,2,3,2,3,3,2,3
Person_110,2,3,0,2,1,1,3,0,2,2
Person_111,4,4,5,3,3,3,3,3,2,3
Person_112,4,5,5,4,3,3,3,3,3,3
Person_113,0,2,2,2,2,1,1,1,0,2
Person_114,0,2,1,2,1,0,2,0,1,0
Person_115,3,3,0,2,3,2,1,1,2,2
Person_116,1,2,0,1,0,0,0,1,1,1
Person_117,4,5,5,3,3,3,3,3,2,1
Person_118,3,4,4,3,3,3,3,3,2,3
Person_119,0,1,0,1,0,0,1,0,0,0
Person_120,3,3,4,2,3,2,3,2,2,2
Person_121,3,2,3,2,3,0,3,1,2,2
Person_122,2,1,0,0,2,1,1,1,1,0
Person_123,0,2,0,0,0,0,1,0,0,0
Person_124,2,3,3,2,2,2,2,1,2,2
Person_125,3,4,3,2,3,2,3,1,2,2
Person_126,1,3,0,2,2,0,1,0,1,1
Person_127,3,3,3,3,2,1,1,1,2,1
Person_128,1,2,2,2,2,0,1,1,1,2
Person_129,4,4,4,4,3,2,3,2,3,3
Person_130,3,4,4,3,3,1,3,3,3,3
Person_131,3,2,2,2,3,0,2,1,3,1
Person_132,0,3,2,1,2,0,1,0,1,0
Person_133,4,4,3,2,2,3,3,3,3,3
Person_134,4,5,4,3,3,3,2,3,3,3
Person_135,3,3,3,2,3,2,3,3,2,3
Person_136,2,4,3,3,3,1,3,2,2,2
Person_137,3,3,3,3,3,3,3,2,3,3
Person_138,0,2,0,2,1,0,1,0,1,0
Person_139,5,3,3,4,3,2,3,3,3,3
Person_140,3,3,4,2,3,1,3,1,2,2
Person_141,2,3,3,1,2,1,3,1,2,1
Person_142,0,2,1,1,1,1,2,0,0,1
Person_143,3,4,3,2,2,2,1,1,2,2
Person_144,3,4,3,2,3,2,2,2,1,2
Person_145,0,1,0,0,1,0,0,0,0,0
Person_146,3,3,2,3,3,2,3,3,2,2
Person_147,0,0,0,0,0,0,0,0,0,0
Person_148,3,3,3,2,3,3,1,0,3,2
Person_149,3,3,4,2,3,2,3,2,2,2
Person_150,2,4,3,2,2,1,3,2,2,2
Person_151,1,4,1,2,1,1,1,0,2,3
Person_152,4,3,3,3,2,2,3,2,2,2
Person_153,5,4,4,2,3,3,3,3,3,2
Person_154,3,4,4,2,2,3,3,3,3,3
Person_155,4,4,3,2,3,2,3,3,3,3
Person_156,0,1,0,1,0,0,1,0,0,1
Person_157,2,2,1,1,2,0,1,0,0,2
Person_158,3,4,4,2,3,3,3,3,3,3
Person_159,0,1,0,0,0,0,0,0,0,0
Person_160,1,1,2,1,2,0,0,1,1,0
Person_161,1,2,3,2,2,2,2,2,2,2
Person_162,1,1,0,2,1,0,1,0,0,1
Person_163,4,5,4,2,3,2,3,2,2,2
Person_164,4,3,3,3,3,3,3,3,3,2
Person_165,4,2,2,2,3,1,1,1,1,3
Person_166,4,3,3,3,3,3,2,3,2,3
Person_167,4,4,3,2,3,3,3,2,2,2
Person_168,0,1,0,0,0,0,1,0,0,0
Person_169,0,3,0,2,2,0,1,2,2,0
Person_170,1,3,3,0,2,2,1,0,2,1
Person_171,4,2,2,2,3,0,3,1,1,1
Person_172,2,4,3,3,2,0,2,2,1,1
Person_173,1,3,2,2,2,1,2,1,0,0
Person_174,4,4,4,3,3,3,3,2,3,3
Person_175,3,4,3,4,2,1,3,3,3,3
Person_176,3,3,2,2,2,3,3,1,2,2
Person_177,3,4,4,2,3,2,2,3,3,2
Person_178,0,1,0,2,3,0,2,1,0,1
Person_179,3,3,3,3,2,1,2,3,2,1
Person_180,1,1,0,1,3,0,0,1,1,1
Person_181,0,2,0,0,1,1,1,0,2,0
Person_182,0,3,2,2,2,1,1,1,2,1
Person_183,3,3,3,4,2,2,3,2,3,1
Person_184,0,3,0,2,2,0,2,1,1,1
Person_185,1,3,2,1,2,1,1,0,2,2
Person_186,2,3,4,2,3,3,2,1,2,2
Person_187,5,4,4,5,3,3,3,3,3,3
Person_188,0,1,1,1,2,1,2,1,1,1
Person_189,4,3,3,3,2,3,3,3,3,1
Person_190,4,4,4,4,3,3,3,3,3,2
Person_191,1,3,1,1,1,1,1,1,1,1
Person_192,0,1,0,0,1,0,0,1,1,0
Person_193,3,4,3,3,3,2,3,2,2,3
Person_194,0,2,0,1,3,0,1,1,2,2
Person_195,4,4,5,4,3,3,3,3,3,3
Person_196,4,3,3,2,2,2,2,1,1,2
Person_197,3,4,4,2,2,3,3,1,2,1
Person_198,4,4,4,3,3,3,3,3,3,3
Person_199,0,3,0,0,0,0,1,0,0,0
Person_200,2,2,1,2,1,0,1,0,0,0
Person_201,1,2,1,1,2,0,1,0,1,2
Person_202,0,3,2,2,2,1,1,0,2,3
Person_203,4,3,3,2,3,1,3,3,2,2
Person_204,3,4,3,3,3,3,3,2,2,2
Person_205,0,1,0,0,1,0,0,1,1,1
Person_206,0,2,0,0,1,0,0,0,0,0
Person_207,5,4,4,2,3,1,3,3,3,3
Person_208,4,4,4,4,2,3,3,3,3,3
Person_209,2,3,3,0,1,2,1,0,2,2
Person_210,3,3,3,2,3,1,2,3,2,1
Person_211,0,0,0,0,0,0,0,0,0,0
Person_212,4,3,4,1,2,0,2,1,2,3
Person_213,0,0,0,1,0,0,0,0,1,0
Person_214,0,2,0,0,0,0,1,0,1,1
Person_215,3,2,3,1,3,2,3,1,2,2
Person_216,1,4,1,0,1,0,0,1,2,1
Person_217,1,3,3,2,3,2,1,3,2,1
Person_218,0,2,0,2,1,0,1,0,1,2
Person_219,4,5,3,3,2,2,3,3,3,2
Person_220,5,4,4,2,3,3,3,3,3,2
Person_221,4,3,4,2,2,3,3,1,3,1
Person_222,3,3,4,2,2,3,3,1,2,3
Person_223,3,4,3,4,2,3,2,3,2,3
Person_224,3,4,1,2,2,0,2,0,2,2
Person_225,5,4,3,3,3,3,3,3,3,3
Person_226,4,4,4,4,3,3,3,3,3,3
Person_227,3,4,4,2,2,2,2,3,2,3
Person_228,0,2,1,0,1,0,1,0,0,1
Person_229,3,2,3,2,2,1,1,1,3,1
Person_230,4,5,3,3,3,2,3,3,3,2
Person_231,4,5,5,3,3,3,3,3,3,3
Person_232,2,4,3,2,3,1,3,1,2,2
Person_233,3,3,4,2,3,0,3,3,2,2
Person_234,5,5,5,5,3,3,3,3,3,2
Person_235,3,4,4,2,3,2,3,3,1,2
Person_236,3,2,2,2,2,2,2,1,1,2
Person_237,2,3,1,1,2,0,2,2,2,1
Person_238,0,0,0,0,0,0,0,0,0,0
Person_239,3,3,4,3,3,2,2,2,2,3
Person_240,0,2,0,0,2,0,1,0,2,0
Person_241,0,4,0,2,3,0,1,1,0,0
Person_242,2,3,2,3,2,1,1,1,1,2
Person_243,0,3,0,3,2,0,1,1,2,2
Person_244,4,4,3,3,3,3,3,3,2,3
Person_245,0,2,0,1,1,0,1,0,0,0
Person_246,2,3,4,2,3,0,3,2,2,1
Person_247,4,4,4,3,3,3,3,3,3,3
Person_248,1,2,0,2,0,0,1,0,0,0
Person_249,1,3,3,3,2,1,3,2,2,3
Person_250,4,4,3,3,3,3,3,3,3,3
Person_251,4,3,4,2,3,3,3,3,1,3
Person_252,4,3,4,3,3,3,3,3,2,2
Person_253,0,0,0,0,0,0,0,0,0,0
Person_254,0,1,0,0,0,0,0,0,1,1
Person_255,3,4,3,2,3,3,3,3,2,3
Person_256,4,2,3,2,2,2,3,1,1,2
Person_257,4,5,5,3,3,2,3,3,2,3
Person_258,4,5,4,3,3,3,3,3,3,3
Person_259,1,3,2,3,2,0,1,0,1,2
Person_260,1,2,1,0,1,0,1,1,1,0
Person_261,2,1,1,2,1,0,0,0,0,0
Person_262,0,2,0,0,0,0,0,0,0,0
Person_263,4,2,3,2,1,1,2,2,2,2
Person_264,3,4,3,2,2,2,3,1,2,3
Person_265,3,5,4,3,2,3,3,2,3,3
Person_266,4,4,5,3,3,2,3,3,3,2
Person_267,4,3,3,3,3,2,3,3,3,1
Person_268,2,2,1,1,2,0,2,0,1,1
Person_269,1,3,2,2,2,2,3,0,1,1
Person_270,5,5,5,5,3,3,3,3,3,3
Person_271,2,2,3,2,2,0,1,1,2,2
Person_272,4,4,3,3,3,3,3,2,2,2
Person_273,4,4,4,5,3,3,3,3,3,3
Person_274,3,4,4,2,3,3,3,2,2,2
Person_275,0,2,0,0,2,0,1,0,1,0
Person_276,4,4,5,3,3,3,3,3,3,2
Person_277,0,2,0,0,1,0,1,0,1,0
Person_278,1,3,3,1,3,2,1,2,1,2
Person_279,2,4,5,2,3,0,3,3,3,2
Person_280,3,3,2,3,3,3,3,1,3,2
Person_281,4,3,4,2,3,2,3,3,2,3
Person_282,3,3,3,3,3,3,3,2,2,2
Person_283,0,2,3,1,1,0,1,1,1,0
Person_284,1,3,1,2,1,0,1,0,0,1
Person_285,0,3,0,2,2,0,2,1,2,0
Person_286,0,1,0,1,1,0,0,0,0,0
Person_287,0,4,2,2,3,1,3,1,2,1
Person_288,5,5,4,2,3,3,3,3,3,3
Person_289,2,3,3,2,3,1,2,0,2,2
Person_290,3,4,2,2,2,0,3,0,2,2
Person_291,3,3,4,2,3,2,3,3,3,3
Person_292,5,5,5,4,3,3,3,3,3,3
Person_293,0,1,1,0,2,0,1,1,1,0
Person_294,1,2,2,2,2,1,2,0,1,0
Person_295,5,5,4,3,3,3,3,3,3,3
Person_296,3,4,4,2,3,3,1,3,3,3
Person_297,0,2,0,2,1,0,3,1,2,2
Person_298,4,4,4,3,3,2,3,3,3,2
Person_299,3,3,3,2,3,0,1,2,2,1
Person_300,2,2,0,2,1,2,1,1,2,1
Person_301,1,3,0,1,0,0,1,0,0,0
Person_302,4,4,5,2,3,2,3,3,2,3
Person_303,0,3,0,1,1,0,0,0,1,0
Person_304,0,3,1,1,2,1,1,1,1,0
Person_305,0,2,0,1,1,0,1,1,1,2
Person_306,0,0,0,0,0,0,0,0,0,0
Person_307,1,2,3,2,1,0,3,1,2,2
Person_308,5,4,5,2,3,3,3,3,2,3
Person_309,4,4,2,3,3,1,3,0,1,2
Person_310,0,2,0,0,0,0,1,0,0,0
Person_311,5,5,5,4,3,3,3,3,3,3
Person_312,2,4,0,0,2,0,2,1,2,1
Person_313,0,2,1,2,1,0,2,1,2,0
Person_314,1,3,0,2,2,1,1,0,1,2
Person_315,3,4,3,3,2,3,3,2,2,2
Person_316,0,2,0,1,1,1,1,0,2,2
Person_317,0,3,1,1,2,1,2,0,1,0
Person_318,2,2,0,1,2,1,2,1,2,1
Person_319,4,5,4,5,3,3,3,3,3,3
Person_320,2,2,3,2,2,0,2,1,2,1
Person_321,0,2,0,0,0,0,1,0,0,0
Person_322,0,1,0,0,1,0,0,0,1,1
Person_323,3,3,4,2,3,1,2,3,2,2
Person_324,3,3,3,2,2,3,3,2,3,2
Person_325,1,3,1,0,1,0,1,1,1,0
Person_326,0,2,2,1,1,0,1,0,1,0
Person_327,0,3,3,1,3,1,3,2,1,2
Person_328,1,2,1,1,2,0,1,1,0,2
Person_329,0,1,0,0,0,0,0,0,0,0
Person_330,1,2,0,2,0,0,1,1,2,0
Person_331,5,5,5,5,3,3,3,3,3,3
Person_332,4,4,5,3,3,3,3,2,3,3
Person_333,4,3,3,3,3,3,3,3,3,3
Person_334,5,4,4,2,2,2,3,2,2,2
Person_335,1,3,2,2,2,1,1,1,2,1
Person_336,0,2,0,0,0,0,0,0,0,1
Person_337,0,3,0,0,3,0,2,0,2,0
Person_338,4,3,2,2,3,2,3,3,2,2
Person_339,4,3,2,1,2,2,3,2,2,2
Person_340,1,2,0,1,2,2,1,0,0,1
Person_341,4,3,5,3,2,3,3,3,3,3
Person_342,3,4,4,1,2,2,3,2,2,3
Person_343,3,3,2,2,2,0,0,1,3,2
Person_344,0,2,0,2,1,0,1,0,0,2
Person_345,4,5,4,3,3,1,3,3,3,2
Person_346,2,3,1,2,2,1,1,1,2,2
Person_347,0,2,1,0,2,0,0,0,0,1
Person_348,3,3,3,2,3,2,3,2,2,2
Person_349,1,2,0,2,2,0,1,0,1,0
Person_350,3,3,3,2,2,3,2,1,3,2
Person_351,3,2,3,3,3,1,3,2,2,2
Person_352,1,3,0,0,3,1,2,0,1,1
Person_353,4,5,4,3,3,3,3,3,3,2
Person_354,1,1,0,0,2,0,1,1,1,1
Person_355,4,4,4,3,3,3,3,3,3,2
Person_356,3,3,3,1,2,2,3,1,2,2
Person_357,3,3,2,3,3,2,2,2,2,2
Person_358,5,4,2,2,3,3,3,2,3,2
Person_359,1,1,0,0,1,0,1,0,1,0
Person_360,4,2,4,2,2,2,3,3,2,3
Person_361,0,1,0,2,1,0,1,0,3,1
Person_362,0,2,0,0,1,0,1,0,0,0
Person_363,4,5,5,5,3,3,3,3,3,3
Person_364,2,3,3,2,0,0,2,1,3,2
Person_365,0,1,0,0,0,0,0,0,0,0
Person_366,3,2,1,2,1,0,3,0,2,2
Person_367,0,3,3,3,2,2,3,3,3,1
Person_368,5,4,4,3,3,3,3,2,2,3
Person_369,3,3,3,2,2,1,3,1,2,3
Person_370,5,4,5,3,3,3,3,3,3,3
Person_371,0,2,1,2,2,0,1,0,1,0
Person_372,1,1,0,0,0,0,0,0,0,1
Person_373,1,3,0,1,1,1,1,0,1,1
Person_374,0,1,0,1,0,0,0,0,0,0
Person_375,0,2,0,1,3,0,1,0,1,2
Person_376,5,5,5,4,3,3,3,3,3,3
Person_377,0,1,0,0,0,0,0,0,0,0
Person_378,3,5,3,3,3,2,2,2,2,2
Person_379,0,2,0,1,0,0,1,0,1,1
Person_380,2,3,2,2,2,2,3,1,1,2
Person_381,0,2,1,2,3,0,3,1,1,1
Person_382,0,0,0,0,0,0,0,0,0,0
Person_383,2,3,0,1,1,1,1,0,0,1
Person_384,3,2,4,3,3,3,3,3,2,2
Person_385,1,3,0,2,1,0,1,0,2,0
Person_386,5,4,4,3,3,3,3,3,3,3
Person_387,0,3,0,1,2,2,1,0,2,0
Person_388,2,3,2,2,3,2,3,2,2,3
Person_389,2,3,2,2,3,2,2,0,2,2
Person_390,0,2,0,0,1,0,0,0,0,0
Person_391,1,3,1,1,2,1,1,0,1,1
Person_392,0,1,0,0,2,0,1,0,0,0
Person_393,4,3,3,2,2,2,1,1,2,1
Person_394,5,5,4,5,3,3,3,3,3,3
Person_395,3,3,2,2,3,3,1,1,3,2
Person_396,2,3,2,1,2,3,3,1,1,2
Person_397,3,3,3,3,2,1,3,1,3,1
Person_398,4,4,3,4,2,3,3,3,2,2
Person_399,0,2,1,1,1,0,0,0,1,1
Person_400,3,3,3,2,3,2,2,2,2,2
Person_401,5,4,3,5,3,2,3,3,3,3
Person_402,0,1,0,1,2,0,0,0,1,0
Person_403,5,4,5,4,3,2,3,3,3,3
Person_404,1,3,0,2,3,0,2,1,2,1
Person_405,3,3,0,3,3,1,3,1,2,1
Person_406,1,3,0,2,2,1,2,0,0,0
Person_407,3,3,3,1,2,1,2,1,3,3
Person_408,0,2,0,0,1,0,1,2,0,1
Person_409,3,3,2,2,1,2,2,1,2,2
Person_410,2,3,1,2,2,0,1,0,2,1
Person_411,4,4,4,3,3,3,2,3,3,3
Person_412,0,0,0,0,0,0,0,0,0,0
Person_413,5,4,3,3,3,3,3,3,2,3
Person_414,2,3,0,1,2,0,1,0,2,2
Person_415,0,0,0,0,0,0,0,0,0,0
Person_416,2,1,0,2,1,0,2,1,0,2
Person_417,0,0,0,1,2,0,0,0,0,1
Person_418,0,1,0,2,1,0,0,0,0,0
Person_419,3,4,3,2,3,2,2,2,3,2
Person_420,2,4,3,3,1,2,1,1,2,0
Person_421,3,3,3,2,1,1,3,1,2,0
Person_422,2,1,3,0,2,0,3,1,2,0
Person_423,4,4,4,4,3,3,3,3,3,3
Person_424,3,5,3,4,3,3,3,3,3,2
Person_425,3,3,4,2,2,3,3,0,2,2
Person_426,1,2,0,2,2,0,1,0,0,2
Person_427,4,5,4,3,3,3,3,3,3,3
Person_428,4,3,4,4,3,3,3,3,3,3
Person_429,0,2,0,0,1,0,0,0,0,0
Person_430,1,3,1,2,2,0,1,1,2,2
Person_431,2,3,3,2,3,0,2,3,2,1
Person_432,4,2,2,2,1,0,2,2,1,0
Person_433,3,3,2,2,2,2,3,2,2,2
Person_434,0,2,0,0,1,0,1,0,1,1
Person_435,0,1,0,0,2,0,1,1,0,0
Person_436,2,3,0,1,0,0,2,0,1,0
Person_437,2,3,3,2,3,0,1,2,2,1
Person_438,1,1,0,0,0,0,1,0,0,0
Person_439,3,3,3,3,2,2,3,2,2,2
Person_440,2,3,3,2,1,0,1,1,1,1
Person_441,1,1,0,1,1,0,1,1,1,0
Person_442,3,2,2,2,2,1,1,0,1,1
Person_443,5,3,3,3,3,2,3,2,3,3
Person_444,3,5,4,3,3,3,3,2,2,2
Person_445,1,2,2,2,2,1,1,1,2,2
Person_446,4,3,4,3,3,3,3,2,3,2
Person_447,4,4,4,4,2,3,3,3,2,3
Person_448,3,4,4,3,3,3,3,3,3,3
Person_449,1,0,0,1,1,0,1,0,1,0
Person_450,1,2,1,1,1,0,0,0,1,0
Person_451,4,5,3,2,3,3,3,3,3,3
Person_452,0,1,0,0,1,1,0,0,0,0
Person_453,3,2,2,1,1,0,1,1,3,2
Person_454,3,3,3,3,3,1,2,2,3,3
Person_455,0,2,0,0,0,0,0,0,0,1
Person_456,2,4,3,2,2,1,3,3,3,2
Person_457,2,3,2,1,2,1,3,0,2,2
Person_458,5,4,5,3,3,3,3,1,3,3
Person_459,3,4,3,3,2,1,1,0,2,1
Person_460,0,2,1,0,0,0,1,0,0,0
Person_461,1,2,0,1,1,0,0,0,1,1
Person_462,0,1,0,0,2,0,1,0,1,0
Person_463,1,2,1,2,1,0,1,1,1,2
Person_464,5,4,4,4,2,3,3,3,2,3
Person_465,3,3,4,3,2,2,3,2,3,3
Person_466,1,1,0,2,1,1,1,0,0,0
Person_467,0,3,0,2,1,0,2,1,0,0
Person_468,1,2,2,2,3,2,2,2,3,1
Person_469,0,1,0,0,1,0,1,0,0,0
Person_470,0,3,1,2,2,1,1,0,1,0
Person_471,0,1,1,0,1,2,1,1,0,0
Person_472,2,3,3,2,3,2,3,3,2,2
Person_473,0,1,2,0,2,0,3,1,2,1
Person_474,0,2,2,2,2,0,2,0,2,1
Person_475,0,2,0,2,0,0,1,0,1,0
Person_476,0,2,2,1,1,0,0,0,0,0
Person_477,2,3,3,2,2,1,1,1,2,1
Person_478,3,3,3,2,3,2,3,3,1,1
Person_479,4,4,4,3,3,3,3,3,3,3
Person_480,3,2,2,1,2,3,3,1,2,2
Person_481,4,4,3,3,3,2,2,2,3,3
Person_482,0,2,0,2,3,0,2,0,1,2
Person_483,0,1,2,0,1,0,1,0,0,1
Person_484,0,1,1,0,2,0,1,0,1,0
Person_485,4,4,5,3,3,3,3,3,3,3
Person_486,0,2,0,1,2,0,0,1,1,2
Person_487,0,1,0,1,1,0,0,0,0,2
Person_488,0,2,1,0,0,0,0,1,0,0
Person_489,1,2,1,1,2,1,1,1,1,0
Person_490,0,1,0,1,1,0,1,1,2,1
Person_491,4,3,2,2,2,0,3,0,2,2
Person_492,4,5,4,4,3,3,3,3,3,3
Person_493,4,4,3,2,3,2,3,3,2,3
Person_494,0,3,1,0,2,0,1,0,1,1
Person_495,3,3,3,3,2,1,3,1,2,3
Person_496,2,2,3,2,2,3,3,1,2,2
Person_497,3,3,3,3,3,1,3,3,3,3
Person_498,0,2,0,1,2,0,1,0,2,0
Person_499,2,2,0,2,1,1,2,2,2,2
Person_500,2,3,4,1,2,2,1,1,2,2
Person_501,3,3,2,2,2,1,1,1,1,2
Person_502,3,3,4,3,3,2,3,3,2,3
Person_503,0,1,0,0,1,0,1,0,0,0
Person_504,1,3,1,2,3,3,3,0,2,3
Person_505,4,4,3,2,3,2,3,3,3,2
Person_506,3,2,0,1,2,0,1,1,2,1
Person_507,0,1,0,0,0,0,0,0,0,1
Person_508,3,2,3,1,3,2,1,1,2,2
Person_509,5,5,5,4,3,3,3,3,3,3
Person_510,1,2,0,0,0,0,1,0,1,0
Person_511,0,1,0,0,1,0,2,0,0,0
Person_512,0,0,0,0,0,0,0,0,0,0
Person_513,3,3,2,2,3,0,1,0,2,1
Person_514,4,4,3,2,3,3,3,3,3,3
Person_515,2,2,1,1,2,0,0,1,0,0
Person_516,4,3,4,3,3,2,3,1,3,3
Person_517,4,4,2,2,3,2,1,0,3,2
Person_518,4,4,5,3,3,3,3,3,3,3
Person_519,3,3,3,2,3,1,3,2,2,3
Person_520,5,5,5,4,3,3,3,3,3,3
Person_521,0,2,0,1,1,0,0,0,0,0
Person_522,1,3,0,2,2,1,2,1,2,2
Person_523,3,4,3,2,3,0,2,2,2,3
Person_524,4,4,4,3,3,3,3,2,2,2
Person_525,4,3,4,3,3,3,3,3,3,3
Person_526,0,2,0,1,1,0,1,0,0,0
Person_527,0,1,0,0,0,0,0,0,0,0
Person_528,1,3,3,2,2,0,2,0,2,1
Person_529,3,4,3,3,3,2,3,3,3,3
Person_530,1,4,3,1,3,2,3,1,3,3
Person_531,0,3,2,0,1,1,2,1,2,1
Person_532,1,2,2,1,1,0,1,0,3,2
Person_533,5,4,4,3,3,3,3,3,3,3
Person_534,4,4,5,4,3,3,3,2,3,3
Person_535,5,4,5,5,3,3,3,3,3,3
Person_536,3,4,4,1,3,3,2,1,2,2
Person_537,4,5,4,3,3,3,3,3,3,3
Person_538,2,3,2,2,2,1,2,0,2,2
Person_539,0,2,0,0,0,0,0,0,0,0
Person_540,0,1,0,0,0,0,1,0,1,0
Person_541,2,3,3,1,2,0,2,1,2,1
Person_542,4,3,2,2,3,2,3,1,2,3
Person_543,2,3,3,2,3,1,3,3,3,1
Person_544,0,0,0,0,0,0,0,0,1,0
Person_545,1,3,0,2,3,0,0,1,1,1
Person_546,4,3,3,4,3,3,3,3,3,3
Person_547,0,2,1,1,2,0,1,0,1,1
Person_548,0,3,0,1,1,0,0,0,1,0
Person_549,4,5,4,3,3,2,3,3,2,1
Person_550,0,0,0,0,0,0,0,0,0,0
Person_551,3,4,1,1,1,1,2,0,3,2
Person_552,3,3,2,1,3,0,2,1,2,1
Person_553,4,3,0,2,3,3,2,2,2,2
Person_554,3,4,4,3,3,3,3,3,3,3
Person_555,3,3,0,2,2,3,1,2,2,2
