,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_36,-0.005,0.15,0.165,257,480,0.535,1.206,1.242,1.289,1.376
Person_37,-1.544,0.133,0.121,178,480,0.371,0.83,0.797,-1.319,-1.486
Person_38,1.943,0.169,0.173,331,480,0.69,1.048,1.052,0.357,0.38
Person_39,-1.668,0.133,0.145,171,480,0.356,1.178,1.152,1.321,1.073
Person_40,-1.348,0.134,0.123,189,480,0.394,0.84,0.883,-1.223,-0.79
Person_41,2.282,0.168,0.178,343,480,0.715,1.127,1.126,0.884,0.854
Person_42,-1.989,0.134,0.137,153,480,0.319,1.046,1.028,0.385,0.246
Person_43,0.828,0.162,0.145,291,480,0.606,0.802,0.83,-1.245,-0.995
Person_44,-0.247,0.146,0.142,246,480,0.512,0.934,0.886,-0.387,-0.652
Person_45,-1.597,0.133,0.138,175,480,0.365,1.079,1.076,0.625,0.569
Person_46,0.749,0.161,0.155,288,480,0.6,0.925,0.863,-0.418,-0.777
Person_47,1.772,0.169,0.172,325,480,0.677,1.042,1.042,0.316,0.311
Person_48,1.291,0.167,0.166,308,480,0.642,0.994,1.037,0.018,0.277
Person_49,0.544,0.159,0.129,280,480,0.583,0.659,0.671,-2.359,-2.098
Person_50,-0.225,0.147,0.148,247,480,0.515,1.016,0.962,0.158,-0.173
Person_51,1.015,0.165,0.159,298,480,0.621,0.931,0.883,-0.378,-0.658
Person_52,-2.768,0.143,0.13,112,480,0.233,0.819,0.81,-1.298,-1.359
Person_53,-0.005,0.15,0.142,257,480,0.535,0.893,0.912,-0.658,-0.473
Person_54,-2.489,0.139,0.134,126,480,0.262,0.929,0.924,-0.481,-0.507
Person_55,-0.832,0.138,0.14,217,480,0.452,1.019,0.971,0.179,-0.133
Person_56,1.544,0.168,0.182,317,480,0.66,1.167,1.18,1.039,1.097
Person_57,1.601,0.168,0.167,319,480,0.665,0.985,0.984,-0.043,-0.044
Person_58,0.544,0.159,0.158,280,480,0.583,0.995,1.017,0.021,0.155
Person_59,1.544,0.168,0.146,317,480,0.66,0.75,0.748,-1.649,-1.644
Person_60,-0.716,0.14,0.136,223,480,0.465,0.948,1.002,-0.317,0.068
Person_61,-1.076,0.136,0.123,204,480,0.425,0.818,0.841,-1.368,-1.067
Person_62,-0.027,0.15,0.148,256,480,0.533,0.969,0.94,-0.145,-0.304
Person_63,1.715,0.169,0.171,323,480,0.673,1.027,1.029,0.224,0.234
Person_64,-0.851,0.138,0.15,216,480,0.45,1.174,1.198,1.208,1.251
Person_65,-1.058,0.136,0.114,205,480,0.427,0.704,0.731,-2.35,-1.921
Person_66,0.988,0.164,0.141,297,480,0.619,0.737,0.737,-1.716,-1.644
Person_67,0.419,0.157,0.142,275,480,0.573,0.821,0.82,-1.133,-1.049
Person_68,-1.222,0.135,0.129,196,480,0.408,0.918,0.931,-0.575,-0.425
Person_69,0.041,0.151,0.158,259,480,0.54,1.096,1.047,0.643,0.326
Person_70,-1.276,0.134,0.127,193,480,0.402,0.896,0.886,-0.755,-0.759
Person_71,0.395,0.156,0.166,274,480,0.571,1.123,1.077,0.792,0.491
Person_72,-0.965,0.137,0.117,210,480,0.438,0.729,0.701,-2.096,-2.138
Person_73,3.285,0.167,0.174,379,480,0.79,1.087,1.098,0.683,0.758
Person_74,1.375,0.167,0.174,311,480,0.648,1.076,1.053,0.509,0.37
Person_75,-0.456,0.143,0.134,236,480,0.492,0.87,0.812,-0.855,-1.174
Person_76,-0.332,0.145,0.142,242,480,0.504,0.952,0.884,-0.268,-0.673
Person_77,1.488,0.168,0.167,315,480,0.656,0.989,0.997,-0.014,0.033
Person_78,-1.33,0.134,0.113,190,480,0.396,0.706,0.709,-2.404,-2.179
Person_79,0.494,0.158,0.153,278,480,0.579,0.943,0.906,-0.309,-0.501
Person_80,-1.473,0.133,0.13,182,480,0.379,0.955,0.911,-0.297,-0.592
Person_81,1.943,0.169,0.18,331,480,0.69,1.135,1.15,0.892,0.966
Person_82,-0.456,0.143,0.159,236,480,0.492,1.236,1.219,1.514,1.308
Person_83,0.854,0.163,0.147,292,480,0.608,0.818,0.781,-1.131,-1.321
Person_84,-0.456,0.143,0.15,236,480,0.492,1.095,1.08,0.665,0.529
Person_85,1.544,0.168,0.158,317,480,0.66,0.881,0.859,-0.715,-0.854
Person_86,1.488,0.168,0.168,315,480,0.656,0.994,0.974,0.017,-0.104
Person_87,-0.374,0.145,0.12,240,480,0.5,0.695,0.724,-2.217,-1.799
Person_88,0.569,0.159,0.167,281,480,0.585,1.108,1.143,0.696,0.848
Person_89,1.629,0.168,0.163,320,480,0.667,0.935,0.938,-0.36,-0.337
Person_90,-0.374,0.145,0.135,240,480,0.5,0.878,0.865,-0.79,-0.806
Person_91,-1.58,0.133,0.131,176,480,0.367,0.968,1.029,-0.202,0.248
Person_92,-0.289,0.146,0.142,244,480,0.508,0.946,0.912,-0.313,-0.488
Person_93,-0.598,0.141,0.141,229,480,0.477,0.997,0.965,0.029,-0.169
Person_94,-1.597,0.133,0.128,175,480,0.365,0.919,0.871,-0.589,-0.903
Person_95,0.469,0.157,0.158,277,480,0.577,1.011,1.049,0.123,0.335
Person_96,-0.16,0.148,0.144,250,480,0.521,0.95,0.855,-0.279,-0.848
Person_97,-1.258,0.134,0.135,194,480,0.404,1.005,0.984,0.084,-0.061
Person_98,1.291,0.167,0.168,308,480,0.642,1.013,1.033,0.133,0.25
Person_99,1.743,0.169,0.183,324,480,0.675,1.178,1.218,1.123,1.331
Person_100,1.07,0.165,0.159,300,480,0.625,0.922,0.99,-0.434,-0.004
Person_101,-0.311,0.145,0.144,243,480,0.506,0.986,0.961,-0.042,-0.18
Person_102,1.772,0.169,0.131,325,480,0.677,0.605,0.6,-2.892,-2.893
Person_103,1.971,0.169,0.142,332,480,0.692,0.714,0.713,-2.028,-1.994
Person_104,1.07,0.165,0.186,300,480,0.625,1.276,1.249,1.599,1.415
Person_105,0.62,0.16,0.142,283,480,0.59,0.795,0.816,-1.307,-1.077
Person_106,0.988,0.164,0.151,297,480,0.619,0.849,0.83,-0.917,-1.002
Person_107,0.469,0.157,0.163,277,480,0.577,1.077,0.989,0.518,-0.004
Person_108,0.395,0.156,0.142,274,480,0.571,0.828,0.756,-1.086,-1.483
Person_109,1.459,0.168,0.166,314,480,0.654,0.981,0.951,-0.064,-0.247
Person_110,-0.832,0.138,0.123,217,480,0.452,0.792,0.785,-1.525,-1.443
Person_111,1.431,0.168,0.161,313,480,0.652,0.922,0.921,-0.438,-0.436
Person_112,2.254,0.168,0.179,342,480,0.712,1.142,1.155,0.973,1.024
Person_113,-0.794,0.139,0.15,219,480,0.456,1.161,1.146,1.118,0.943
Person_114,-1.186,0.135,0.142,198,480,0.412,1.099,1.115,0.751,0.794
Person_115,-0.138,0.148,0.155,251,480,0.523,1.091,1.097,0.621,0.611
Person_116,-1.526,0.133,0.125,179,480,0.373,0.881,0.867,-0.895,-0.929
Person_117,1.207,0.166,0.157,305,480,0.635,0.89,0.87,-0.643,-0.758
Person_118,1.658,0.168,0.173,321,480,0.669,1.056,1.067,0.4,0.459
Person_119,-1.615,0.133,0.122,174,480,0.362,0.84,0.809,-1.238,-1.397
Person_120,0.37,0.156,0.151,273,480,0.569,0.931,0.895,-0.387,-0.572
Person_121,0.086,0.152,0.153,261,480,0.544,1.02,1.059,0.178,0.396
Person_122,-1.149,0.135,0.12,200,480,0.417,0.786,0.753,-1.649,-1.762
Person_123,-1.863,0.134,0.122,160,480,0.333,0.836,0.795,-1.265,-1.537
Person_124,-0.005,0.15,0.136,257,480,0.535,0.817,0.773,-1.199,-1.391
Person_125,0.322,0.155,0.151,271,480,0.565,0.94,1.003,-0.33,0.077
Person_126,-0.755,0.139,0.12,221,480,0.46,0.744,0.794,-1.911,-1.36
Person_127,-0.374,0.145,0.129,240,480,0.5,0.798,0.733,-1.387,-1.73
Person_128,-0.182,0.147,0.151,249,480,0.519,1.042,0.996,0.32,0.03
Person_129,1.375,0.167,0.178,311,480,0.648,1.131,1.103,0.823,0.655
Person_130,1.263,0.167,0.171,307,480,0.64,1.048,1.045,0.346,0.322
Person_131,-0.138,0.148,0.15,251,480,0.523,1.028,1.126,0.233,0.774
Person_132,-1.021,0.136,0.142,207,480,0.431,1.084,1.112,0.637,0.762
Person_133,0.37,0.156,0.142,273,480,0.569,0.834,0.817,-1.043,-1.07
Person_134,2.226,0.168,0.178,341,480,0.71,1.121,1.103,0.836,0.709
Person_135,0.37,0.156,0.146,273,480,0.569,0.88,0.911,-0.725,-0.469
Person_136,0.469,0.157,0.162,277,480,0.577,1.059,1.061,0.412,0.4
Person_137,0.907,0.163,0.171,294,480,0.612,1.095,1.112,0.617,0.685
Person_138,-1.597,0.133,0.125,175,480,0.365,0.876,0.873,-0.938,-0.887
Person_139,1.319,0.167,0.161,309,480,0.644,0.924,0.888,-0.423,-0.642
Person_140,-0.094,0.149,0.148,253,480,0.527,0.987,0.964,-0.032,-0.16
Person_141,-0.182,0.147,0.138,249,480,0.519,0.879,0.941,-0.767,-0.303
Person_142,-1.881,0.134,0.136,159,480,0.331,1.034,1.001,0.297,0.054
Person_143,0.086,0.152,0.153,261,480,0.544,1.017,0.996,0.157,0.032
Person_144,0.226,0.154,0.156,267,480,0.556,1.031,1.094,0.246,0.583
Person_145,-2.413,0.138,0.131,130,480,0.271,0.903,0.846,-0.687,-1.106
Person_146,0.25,0.154,0.137,268,480,0.558,0.794,0.791,-1.341,-1.246
Person_147,-3.227,0.153,0.138,91,480,0.19,0.815,0.808,-1.253,-1.327
Person_148,0.064,0.151,0.145,260,480,0.542,0.921,0.927,-0.466,-0.38
Person_149,0.395,0.156,0.162,274,480,0.571,1.071,1.129,0.487,0.772
Person_150,0.156,0.153,0.162,264,480,0.55,1.122,1.119,0.795,0.722
Person_151,-0.311,0.145,0.149,243,480,0.506,1.051,0.984,0.378,-0.044
Person_152,0.544,0.159,0.169,280,480,0.583,1.137,1.228,0.866,1.283
Person_153,1.601,0.168,0.152,319,480,0.665,0.812,0.823,-1.205,-1.108
Person_154,1.207,0.166,0.167,305,480,0.635,1.014,1.017,0.141,0.156
Person_155,1.347,0.167,0.169,310,480,0.646,1.023,1.017,0.197,0.155
Person_156,-1.917,0.134,0.135,157,480,0.327,1.014,1.056,0.149,0.44
Person_157,-1.058,0.136,0.12,205,480,0.427,0.777,0.759,-1.707,-1.692
Person_158,0.645,0.16,0.155,284,480,0.592,0.938,0.874,-0.336,-0.702
Person_159,-4.387,0.188,0.17,50,480,0.104,0.817,0.923,-1.131,-0.411
Person_160,-1.076,0.136,0.128,204,480,0.425,0.882,0.857,-0.847,-0.944
Person_161,-0.138,0.148,0.169,251,480,0.523,1.294,1.365,1.79,1.996
Person_162,-0.946,0.137,0.134,211,480,0.44,0.948,0.903,-0.328,-0.601
Person_163,0.801,0.162,0.156,290,480,0.604,0.93,0.946,-0.384,-0.265
Person_164,1.07,0.165,0.146,300,480,0.625,0.787,0.797,-1.347,-1.233
Person_165,-0.456,0.143,0.138,236,480,0.492,0.926,0.941,-0.455,-0.314
Person_166,0.62,0.16,0.16,283,480,0.59,0.999,0.984,0.047,-0.034
Person_167,1.097,0.165,0.158,301,480,0.627,0.911,0.883,-0.502,-0.662
Person_168,-3.001,0.148,0.137,101,480,0.21,0.859,0.883,-0.952,-0.78
Person_169,-0.697,0.14,0.161,224,480,0.467,1.318,1.421,2.041,2.403
Person_170,-0.618,0.141,0.153,228,480,0.475,1.174,1.13,1.174,0.83
Person_171,-0.311,0.145,0.139,243,480,0.506,0.909,0.891,-0.567,-0.627
Person_172,-0.755,0.139,0.124,221,480,0.46,0.795,0.801,-1.487,-1.303
Person_173,-0.374,0.145,0.145,240,480,0.5,1.004,1.049,0.079,0.346
Person_174,1.772,0.169,0.127,325,480,0.677,0.568,0.557,-3.229,-3.283
Person_175,1.124,0.166,0.149,302,480,0.629,0.811,0.87,-1.18,-0.751
Person_176,0.346,0.156,0.148,272,480,0.567,0.91,0.93,-0.524,-0.354
Person_177,0.697,0.161,0.171,286,480,0.596,1.132,1.168,0.831,0.979
Person_178,-1.276,0.134,0.114,193,480,0.402,0.719,0.687,-2.272,-2.352
Person_179,0.226,0.154,0.145,267,480,0.556,0.888,0.945,-0.681,-0.269
Person_180,-1.384,0.134,0.135,187,480,0.39,1.021,1.044,0.199,0.345
Person_181,-1.615,0.133,0.135,174,480,0.362,1.021,1.034,0.205,0.288
Person_182,-0.436,0.144,0.149,237,480,0.494,1.075,1.099,0.54,0.639
Person_183,-0.225,0.147,0.136,247,480,0.515,0.853,0.856,-0.959,-0.849
Person_184,-0.477,0.143,0.147,235,480,0.49,1.05,1.087,0.378,0.573
Person_185,-0.374,0.145,0.136,240,480,0.5,0.891,0.849,-0.696,-0.908
Person_186,0.395,0.156,0.164,274,480,0.571,1.104,1.081,0.682,0.513
Person_187,2.646,0.167,0.152,356,480,0.742,0.831,0.834,-1.239,-1.177
Person_188,-0.983,0.137,0.123,209,480,0.435,0.814,0.835,-1.379,-1.094
Person_189,0.723,0.161,0.146,287,480,0.598,0.823,0.816,-1.102,-1.078
Person_190,1.516,0.168,0.176,316,480,0.658,1.093,1.117,0.611,0.747
Person_191,-0.775,0.139,0.136,220,480,0.458,0.963,0.998,-0.211,0.037
Person_192,-1.615,0.133,0.125,174,480,0.362,0.885,0.88,-0.863,-0.84
Person_193,0.11,0.152,0.165,262,480,0.546,1.173,1.241,1.093,1.359
Person_194,-0.456,0.143,0.112,236,480,0.492,0.608,0.589,-3.01,-2.919
Person_195,1.999,0.168,0.151,333,480,0.694,0.802,0.799,-1.345,-1.339
Person_196,-0.16,0.148,0.162,250,480,0.521,1.205,1.338,1.297,1.871
Person_197,0.274,0.155,0.154,269,480,0.56,0.998,1.038,0.038,0.272
Person_198,1.347,0.167,0.155,310,480,0.646,0.863,0.892,-0.825,-0.622
Person_199,-1.953,0.134,0.12,155,480,0.323,0.803,0.784,-1.546,-1.63
Person_200,-1.58,0.133,0.132,176,480,0.367,0.982,0.99,-0.093,-0.027
