,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_87,-0.361,0.146,0.135,241,480,0.502,0.862,0.835,-0.936,-1.02
Person_88,0.594,0.164,0.176,281,480,0.585,1.163,1.066,0.97,0.426
Person_89,1.623,0.171,0.168,317,480,0.66,0.963,0.971,-0.182,-0.125
Person_90,-0.143,0.15,0.138,251,480,0.523,0.85,0.824,-0.98,-1.062
Person_91,-1.718,0.134,0.13,169,480,0.352,0.944,0.95,-0.386,-0.326
Person_92,-0.424,0.144,0.155,238,480,0.496,1.159,1.175,1.087,1.076
Person_93,-0.803,0.139,0.146,219,480,0.456,1.105,1.128,0.782,0.861
Person_94,-1.647,0.134,0.134,173,480,0.36,1.006,1.002,0.088,0.06
Person_95,0.308,0.159,0.15,270,480,0.562,0.89,0.869,-0.635,-0.732
Person_96,-0.143,0.15,0.153,251,480,0.523,1.04,1.0,0.308,0.055
Person_97,-1.086,0.136,0.128,204,480,0.425,0.881,0.867,-0.879,-0.912
Person_98,1.069,0.169,0.162,298,480,0.621,0.911,0.938,-0.485,-0.306
Person_99,1.71,0.171,0.167,320,480,0.667,0.952,0.942,-0.254,-0.31
Person_100,1.155,0.17,0.159,301,480,0.627,0.879,0.849,-0.696,-0.862
Person_101,-0.254,0.148,0.133,246,480,0.512,0.809,0.769,-1.316,-1.463
Person_102,2.029,0.169,0.179,331,480,0.69,1.121,1.14,0.819,0.915
Person_103,2.058,0.169,0.154,332,480,0.692,0.832,0.833,-1.138,-1.098
Person_104,1.33,0.171,0.162,307,480,0.64,0.904,0.923,-0.548,-0.41
Person_105,0.703,0.165,0.157,285,480,0.594,0.905,0.872,-0.52,-0.702
Person_106,1.011,0.169,0.17,296,480,0.617,1.011,0.984,0.12,-0.033
Person_107,0.462,0.161,0.144,276,480,0.575,0.79,0.774,-1.294,-1.342
Person_108,0.515,0.162,0.141,278,480,0.579,0.759,0.674,-1.509,-2.049
Person_109,1.71,0.171,0.185,320,480,0.667,1.172,1.202,1.083,1.224
Person_110,-0.275,0.147,0.15,245,480,0.51,1.037,1.034,0.293,0.257
Person_111,1.272,0.17,0.176,305,480,0.635,1.061,1.034,0.416,0.254
Person_112,2.482,0.167,0.161,347,480,0.723,0.93,0.932,-0.46,-0.432
Person_113,-0.445,0.144,0.169,237,480,0.494,1.375,1.39,2.366,2.21
Person_114,-1.232,0.135,0.124,196,480,0.408,0.842,0.835,-1.214,-1.184
Person_115,-0.03,0.152,0.152,256,480,0.533,1.002,1.058,0.065,0.393
Person_116,-1.539,0.134,0.133,179,480,0.373,0.988,0.976,-0.047,-0.131
Person_117,1.564,0.171,0.165,315,480,0.656,0.935,0.95,-0.356,-0.252
Person_118,1.652,0.171,0.168,318,480,0.662,0.965,0.948,-0.167,-0.266
Person_119,-1.629,0.134,0.137,174,480,0.362,1.048,1.044,0.399,0.36
Person_120,0.436,0.161,0.135,275,480,0.573,0.702,0.715,-1.941,-1.756
Person_121,-0.03,0.152,0.144,256,480,0.533,0.905,0.848,-0.575,-0.885
Person_122,-1.104,0.136,0.128,203,480,0.423,0.894,0.851,-0.776,-1.037
Person_123,-2.363,0.139,0.135,134,480,0.279,0.953,0.955,-0.305,-0.272
Person_124,-0.006,0.152,0.147,257,480,0.535,0.937,0.968,-0.358,-0.135
Person_125,0.208,0.157,0.152,266,480,0.554,0.946,0.913,-0.283,-0.461
Person_126,-1.03,0.136,0.127,207,480,0.431,0.865,0.849,-1.005,-1.043
Person_127,-0.382,0.145,0.14,240,480,0.5,0.936,0.923,-0.398,-0.434
Person_128,-0.567,0.142,0.125,231,480,0.481,0.771,0.811,-1.706,-1.229
Person_129,1.476,0.171,0.176,312,480,0.65,1.059,1.076,0.411,0.5
Person_130,1.593,0.171,0.185,316,480,0.658,1.176,1.182,1.089,1.097
Person_131,-0.098,0.151,0.151,253,480,0.527,1.001,1.029,0.06,0.224
Person_132,-1.25,0.135,0.128,195,480,0.406,0.9,0.86,-0.737,-0.994
Person_133,0.703,0.165,0.157,285,480,0.594,0.904,0.852,-0.53,-0.828
Person_134,2.144,0.169,0.16,335,480,0.698,0.9,0.907,-0.646,-0.578
Person_135,0.488,0.162,0.157,277,480,0.577,0.945,0.969,-0.276,-0.118
Person_136,0.515,0.162,0.156,278,480,0.579,0.924,0.942,-0.409,-0.278
Person_137,0.983,0.169,0.174,295,480,0.615,1.066,1.123,0.439,0.735
Person_138,-1.736,0.134,0.135,168,480,0.35,1.008,0.997,0.104,0.025
Person_139,1.155,0.17,0.166,301,480,0.627,0.951,0.945,-0.238,-0.265
Person_140,-0.34,0.146,0.129,242,480,0.504,0.781,0.77,-1.553,-1.472
Person_141,-0.34,0.146,0.154,242,480,0.504,1.109,1.125,0.764,0.789
Person_142,-1.881,0.135,0.13,160,480,0.333,0.938,0.938,-0.439,-0.414
Person_143,0.283,0.158,0.172,269,480,0.56,1.182,1.211,1.1,1.193
Person_144,0.384,0.16,0.157,273,480,0.569,0.967,1.018,-0.147,0.162
Person_145,-2.46,0.14,0.132,129,480,0.269,0.892,0.863,-0.774,-0.959
Person_146,0.436,0.161,0.173,275,480,0.573,1.156,1.154,0.941,0.896
Person_147,-3.458,0.161,0.185,84,480,0.175,1.33,1.332,1.965,2.05
Person_148,0.208,0.157,0.158,266,480,0.554,1.013,0.999,0.134,0.051
Person_149,0.258,0.158,0.16,268,480,0.558,1.026,1.023,0.212,0.187
Person_150,0.088,0.154,0.16,261,480,0.544,1.078,1.141,0.53,0.844
Person_151,-0.275,0.147,0.159,245,480,0.51,1.175,1.277,1.16,1.599
Person_152,0.703,0.165,0.148,285,480,0.594,0.802,0.778,-1.193,-1.31
Person_153,1.652,0.171,0.16,318,480,0.662,0.875,0.891,-0.765,-0.633
Person_154,1.243,0.17,0.169,304,480,0.633,0.981,0.975,-0.057,-0.087
Person_155,1.33,0.171,0.16,307,480,0.64,0.876,0.865,-0.728,-0.773
Person_156,-1.899,0.135,0.121,159,480,0.331,0.806,0.805,-1.532,-1.478
Person_157,-1.104,0.136,0.134,203,480,0.423,0.971,1.012,-0.174,0.133
Person_158,0.814,0.167,0.168,289,480,0.602,1.01,1.012,0.114,0.127
Person_159,-4.084,0.178,0.158,62,480,0.129,0.792,0.837,-1.352,-1.078
Person_160,-0.955,0.137,0.131,211,480,0.44,0.906,0.901,-0.673,-0.646
Person_161,0.064,0.154,0.147,260,480,0.542,0.92,0.902,-0.464,-0.535
Person_162,-1.214,0.135,0.129,197,480,0.41,0.912,0.892,-0.637,-0.744
Person_163,0.87,0.167,0.177,291,480,0.606,1.122,1.106,0.748,0.644
Person_164,1.301,0.171,0.166,306,480,0.638,0.943,0.927,-0.294,-0.383
Person_165,-0.188,0.149,0.157,249,480,0.519,1.117,1.09,0.791,0.579
Person_166,0.842,0.167,0.18,290,480,0.604,1.164,1.167,0.973,0.963
Person_167,1.213,0.17,0.179,303,480,0.631,1.107,1.02,0.676,0.175
Person_168,-3.307,0.157,0.169,90,480,0.188,1.163,1.125,1.06,0.85
Person_169,-0.567,0.142,0.123,231,480,0.481,0.747,0.761,-1.909,-1.601
Person_170,-0.667,0.141,0.147,226,480,0.471,1.099,1.06,0.734,0.433
Person_171,-0.297,0.147,0.138,244,480,0.508,0.879,0.818,-0.797,-1.121
Person_172,-0.822,0.139,0.126,218,480,0.454,0.821,0.766,-1.345,-1.636
Person_173,-0.34,0.146,0.133,242,480,0.504,0.833,0.832,-1.152,-1.037
Person_174,1.418,0.171,0.186,310,480,0.646,1.187,1.209,1.129,1.219
Person_175,1.213,0.17,0.156,303,480,0.631,0.843,0.869,-0.936,-0.738
Person_176,0.676,0.165,0.158,284,480,0.592,0.919,0.933,-0.431,-0.332
Person_177,0.87,0.167,0.183,291,480,0.606,1.201,1.223,1.166,1.246
Person_178,-1.395,0.134,0.137,187,480,0.39,1.042,1.03,0.36,0.262
Person_179,0.16,0.156,0.137,264,480,0.55,0.777,0.78,-1.44,-1.32
Person_180,-0.955,0.137,0.132,211,480,0.44,0.92,0.857,-0.563,-0.966
Person_181,-1.467,0.134,0.136,183,480,0.381,1.02,1.013,0.197,0.136
Person_182,-0.254,0.148,0.156,246,480,0.512,1.112,1.191,0.77,1.144
Person_183,-0.053,0.151,0.148,255,480,0.531,0.953,0.937,-0.253,-0.32
Person_184,-0.567,0.142,0.154,231,480,0.481,1.177,1.156,1.224,0.992
Person_185,-0.21,0.148,0.147,248,480,0.517,0.988,0.948,-0.028,-0.26
Person_186,0.462,0.161,0.15,276,480,0.575,0.863,0.898,-0.802,-0.546
Person_187,2.814,0.166,0.162,359,480,0.748,0.959,0.948,-0.262,-0.341
Person_188,-0.955,0.137,0.134,211,480,0.44,0.955,0.974,-0.291,-0.126
Person_189,0.926,0.168,0.162,293,480,0.61,0.926,0.917,-0.387,-0.431
Person_190,1.769,0.171,0.171,322,480,0.671,1.002,0.988,0.068,-0.02
Person_191,-0.842,0.138,0.138,217,480,0.452,0.992,0.985,-0.013,-0.048
Person_192,-1.772,0.134,0.138,166,480,0.346,1.061,1.068,0.5,0.529
Person_193,0.208,0.157,0.157,266,480,0.554,1.007,1.066,0.095,0.432
Person_194,-0.34,0.146,0.14,242,480,0.504,0.915,0.989,-0.542,-0.012
Person_195,1.827,0.17,0.165,324,480,0.675,0.939,0.909,-0.351,-0.534
Person_196,-0.166,0.149,0.14,250,480,0.521,0.879,0.918,-0.779,-0.445
Person_197,0.135,0.155,0.135,263,480,0.548,0.759,0.743,-1.581,-1.586
Person_198,1.447,0.171,0.171,311,480,0.648,1.006,1.019,0.092,0.169
Person_199,-1.935,0.135,0.145,157,480,0.327,1.155,1.106,1.162,0.789
Person_200,-1.359,0.134,0.118,189,480,0.394,0.776,0.781,-1.791,-1.655
