,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_33,-2.3,0.137,0.147,130,480,0.271,1.142,1.158,1.026,1.044
Person_34,-0.059,0.147,0.144,254,480,0.529,0.959,0.879,-0.22,-0.664
Person_35,0.211,0.153,0.151,266,480,0.554,0.97,0.961,-0.129,-0.156
Person_36,0.307,0.155,0.143,270,480,0.562,0.842,0.771,-0.943,-1.305
Person_37,-1.288,0.131,0.126,188,480,0.392,0.923,0.963,-0.553,-0.225
Person_38,1.85,0.167,0.162,326,480,0.679,0.936,0.96,-0.364,-0.189
Person_39,-1.662,0.131,0.124,166,480,0.346,0.897,0.877,-0.77,-0.872
Person_40,-1.099,0.132,0.131,199,480,0.415,0.986,1.059,-0.061,0.458
Person_41,2.365,0.163,0.157,345,480,0.719,0.936,0.881,-0.421,-0.788
Person_42,-1.992,0.133,0.128,147,480,0.306,0.932,0.961,-0.48,-0.224
Person_43,0.532,0.16,0.145,279,480,0.581,0.817,0.796,-1.064,-1.123
Person_44,-0.144,0.145,0.131,250,480,0.521,0.816,0.81,-1.247,-1.129
Person_45,-1.731,0.131,0.125,162,480,0.338,0.916,0.965,-0.617,-0.203
Person_46,1.022,0.168,0.164,297,480,0.619,0.953,0.9,-0.207,-0.5
Person_47,1.681,0.168,0.154,320,480,0.667,0.839,0.83,-0.987,-0.997
Person_48,1.366,0.169,0.173,309,480,0.644,1.04,0.983,0.284,-0.034
Person_49,0.69,0.163,0.154,285,480,0.594,0.891,0.821,-0.578,-0.961
Person_50,-0.408,0.14,0.127,237,480,0.494,0.818,0.772,-1.308,-1.464
Person_51,0.61,0.162,0.15,282,480,0.588,0.861,0.902,-0.772,-0.482
Person_52,-2.937,0.151,0.126,99,480,0.206,0.694,0.683,-2.14,-2.144
Person_53,0.029,0.149,0.156,258,480,0.538,1.099,1.143,0.664,0.83
Person_54,-2.654,0.144,0.129,112,480,0.233,0.803,0.801,-1.377,-1.304
Person_55,-0.504,0.138,0.148,232,480,0.483,1.143,1.143,1.016,0.913
Person_56,1.453,0.169,0.166,312,480,0.65,0.965,0.983,-0.151,-0.036
Person_57,1.28,0.169,0.165,306,480,0.638,0.951,0.986,-0.222,-0.019
Person_58,0.211,0.153,0.137,266,480,0.554,0.799,0.833,-1.266,-0.919
Person_59,1.05,0.168,0.147,298,480,0.621,0.768,0.768,-1.346,-1.302
Person_60,-0.485,0.139,0.132,233,480,0.485,0.905,0.953,-0.644,-0.244
Person_61,-1.065,0.132,0.12,201,480,0.419,0.823,0.796,-1.371,-1.502
Person_62,-0.186,0.144,0.143,248,480,0.517,0.98,0.989,-0.084,-0.01
Person_63,1.85,0.167,0.168,326,480,0.679,1.008,1.01,0.101,0.116
Person_64,-0.764,0.135,0.125,218,480,0.454,0.867,0.851,-0.982,-0.999
Person_65,-0.782,0.134,0.13,217,480,0.452,0.941,0.896,-0.396,-0.67
Person_66,1.107,0.169,0.161,300,480,0.625,0.912,0.942,-0.449,-0.258
Person_67,0.798,0.165,0.177,289,480,0.602,1.146,1.083,0.838,0.496
Person_68,-1.22,0.131,0.117,192,480,0.4,0.802,0.787,-1.569,-1.605
Person_69,-0.144,0.145,0.129,250,480,0.521,0.786,0.764,-1.477,-1.438
Person_70,-0.96,0.133,0.135,207,480,0.431,1.028,1.084,0.254,0.618
Person_71,0.558,0.161,0.153,280,480,0.583,0.906,0.913,-0.499,-0.423
Person_72,-0.907,0.133,0.139,210,480,0.438,1.087,1.148,0.675,1.02
Person_73,3.216,0.161,0.164,378,480,0.788,1.04,1.04,0.35,0.344
Person_74,1.539,0.169,0.166,315,480,0.656,0.967,0.951,-0.14,-0.226
Person_75,-0.523,0.138,0.134,231,480,0.481,0.936,1.084,-0.416,0.566
Person_76,-0.349,0.141,0.149,240,480,0.5,1.119,1.108,0.836,0.686
Person_77,1.653,0.168,0.146,319,480,0.665,0.754,0.81,-1.585,-1.128
Person_78,-1.099,0.132,0.131,199,480,0.415,0.99,1.009,-0.029,0.109
Person_79,0.532,0.16,0.149,279,480,0.581,0.86,0.831,-0.787,-0.904
Person_80,-1.322,0.131,0.117,186,480,0.388,0.802,0.749,-1.569,-1.94
Person_81,1.794,0.167,0.16,324,480,0.675,0.914,0.945,-0.5,-0.276
Person_82,-0.227,0.143,0.148,246,480,0.512,1.069,0.942,0.506,-0.292
Person_83,0.854,0.166,0.162,291,480,0.606,0.949,1.0,-0.229,0.061
Person_84,-0.836,0.134,0.121,214,480,0.446,0.821,0.824,-1.366,-1.217
Person_85,1.738,0.168,0.169,322,480,0.671,1.013,1.052,0.136,0.359
Person_86,1.28,0.169,0.146,306,480,0.638,0.748,0.732,-1.513,-1.572
Person_87,-0.368,0.141,0.141,239,480,0.498,1.003,0.94,0.066,-0.318
Person_88,0.532,0.16,0.135,279,480,0.581,0.71,0.697,-1.801,-1.772
Person_89,1.822,0.167,0.148,325,480,0.677,0.783,0.752,-1.427,-1.575
Person_90,-0.144,0.145,0.131,250,480,0.521,0.82,0.858,-1.22,-0.81
Person_91,-1.254,0.131,0.139,190,480,0.396,1.121,1.152,0.926,1.088
Person_92,-0.186,0.144,0.154,248,480,0.517,1.136,1.146,0.92,0.873
Person_93,-0.691,0.136,0.141,222,480,0.462,1.086,1.187,0.657,1.205
Person_94,-1.886,0.132,0.121,153,480,0.319,0.839,0.849,-1.25,-1.066
Person_95,0.331,0.156,0.137,271,480,0.565,0.772,0.84,-1.414,-0.865
Person_96,-0.165,0.145,0.154,249,480,0.519,1.13,1.08,0.877,0.511
Person_97,-0.872,0.133,0.132,212,480,0.442,0.973,0.97,-0.159,-0.158
Person_98,1.193,0.169,0.172,303,480,0.631,1.035,1.054,0.256,0.349
Person_99,1.453,0.169,0.166,312,480,0.65,0.964,0.935,-0.158,-0.317
Person_100,1.395,0.169,0.15,310,480,0.646,0.78,0.759,-1.317,-1.41
Person_101,-0.523,0.138,0.13,231,480,0.481,0.884,0.876,-0.813,-0.763
Person_102,2.016,0.166,0.18,332,480,0.692,1.189,1.25,1.228,1.502
Person_103,1.989,0.166,0.172,331,480,0.69,1.078,1.118,0.549,0.757
Person_104,1.107,0.169,0.135,300,480,0.625,0.644,0.649,-2.227,-2.127
Person_105,0.826,0.166,0.161,290,480,0.604,0.944,1.037,-0.26,0.258
Person_106,0.994,0.168,0.146,296,480,0.617,0.757,0.732,-1.415,-1.533
Person_107,0.188,0.153,0.147,265,480,0.552,0.928,1.008,-0.401,0.104
Person_108,0.69,0.163,0.156,285,480,0.594,0.916,0.936,-0.429,-0.287
Person_109,1.165,0.169,0.139,302,480,0.629,0.677,0.668,-1.991,-1.998
Person_110,-0.309,0.142,0.137,242,480,0.504,0.93,0.891,-0.44,-0.624
Person_111,1.395,0.169,0.193,310,480,0.646,1.292,1.269,1.601,1.443
Person_112,2.418,0.162,0.139,347,480,0.723,0.733,0.726,-2.08,-2.018
Person_113,-0.854,0.134,0.129,213,480,0.444,0.929,0.927,-0.497,-0.457
Person_114,-1.013,0.132,0.141,204,480,0.425,1.14,1.101,1.046,0.734
Person_115,-0.309,0.142,0.124,242,480,0.504,0.764,0.764,-1.714,-1.489
Person_116,-1.271,0.131,0.121,189,480,0.394,0.861,0.799,-1.065,-1.506
Person_117,1.738,0.168,0.17,322,480,0.671,1.025,1.013,0.205,0.134
Person_118,1.136,0.169,0.165,301,480,0.627,0.952,0.894,-0.214,-0.539
Person_119,-1.594,0.131,0.128,170,480,0.354,0.962,0.944,-0.25,-0.364
Person_120,0.994,0.168,0.139,296,480,0.617,0.683,0.65,-1.927,-2.1
Person_121,0.096,0.151,0.127,261,480,0.544,0.712,0.713,-1.957,-1.729
Person_122,-1.065,0.132,0.122,201,480,0.419,0.849,0.864,-1.15,-0.96
Person_123,-2.171,0.135,0.131,137,480,0.285,0.933,0.95,-0.462,-0.293
Person_124,0.073,0.15,0.178,260,480,0.542,1.408,1.267,2.332,1.444
Person_125,0.142,0.152,0.152,263,480,0.548,1.002,0.925,0.064,-0.371
Person_126,-0.728,0.135,0.127,220,480,0.458,0.88,0.873,-0.868,-0.83
Person_127,-0.165,0.145,0.152,249,480,0.519,1.108,1.133,0.744,0.801
Person_128,-0.349,0.141,0.141,240,480,0.5,1.002,0.966,0.065,-0.153
Person_129,1.136,0.169,0.148,301,480,0.627,0.772,0.69,-1.328,-1.834
Person_130,1.567,0.169,0.145,316,480,0.658,0.742,0.722,-1.637,-1.71
Person_131,0.051,0.15,0.146,259,480,0.54,0.954,0.963,-0.241,-0.151
Person_132,-1.186,0.131,0.131,194,480,0.404,0.998,1.018,0.027,0.174
Person_133,0.663,0.163,0.15,284,480,0.592,0.848,0.954,-0.847,-0.187
Person_134,2.179,0.164,0.147,338,480,0.704,0.8,0.786,-1.422,-1.445
Person_135,0.356,0.157,0.147,272,480,0.567,0.885,1.084,-0.654,0.505
Person_136,0.69,0.163,0.145,285,480,0.594,0.787,0.772,-1.235,-1.271
Person_137,1.05,0.168,0.139,298,480,0.621,0.679,0.681,-1.964,-1.889
Person_138,-1.424,0.13,0.138,180,480,0.375,1.115,1.181,0.884,1.283
Person_139,1.395,0.169,0.155,310,480,0.646,0.842,0.849,-0.906,-0.831
Person_140,-0.165,0.145,0.134,249,480,0.519,0.854,0.802,-0.967,-1.186
Person_141,-0.015,0.148,0.138,256,480,0.533,0.87,0.778,-0.822,-1.309
Person_142,-1.56,0.131,0.128,172,480,0.358,0.966,0.959,-0.219,-0.254
Person_143,0.331,0.156,0.136,271,480,0.565,0.762,0.765,-1.488,-1.336
Person_144,0.307,0.155,0.144,270,480,0.562,0.862,0.871,-0.808,-0.679
Person_145,-2.473,0.14,0.148,121,480,0.252,1.117,1.064,0.836,0.46
Person_146,1.05,0.168,0.151,298,480,0.621,0.802,0.73,-1.123,-1.553
Person_147,-3.439,0.166,0.159,79,480,0.165,0.915,0.87,-0.469,-0.749
Person_148,0.283,0.155,0.158,269,480,0.56,1.042,1.153,0.307,0.86
Person_149,0.455,0.159,0.139,276,480,0.575,0.763,0.778,-1.444,-1.244
Person_150,0.405,0.158,0.153,274,480,0.571,0.937,0.879,-0.318,-0.626
Person_151,-0.207,0.144,0.128,247,480,0.515,0.797,0.742,-1.413,-1.612
Person_152,0.405,0.158,0.169,274,480,0.571,1.151,1.165,0.902,0.911
Person_153,1.681,0.168,0.155,320,480,0.667,0.853,0.82,-0.889,-1.063
Person_154,1.251,0.169,0.183,305,480,0.635,1.173,1.076,0.985,0.468
Person_155,1.28,0.169,0.17,306,480,0.638,1.01,0.958,0.118,-0.172
Person_156,-2.116,0.134,0.128,140,480,0.292,0.91,0.959,-0.646,-0.231
Person_157,-0.854,0.134,0.127,213,480,0.444,0.906,0.911,-0.675,-0.571
Person_158,1.022,0.168,0.145,297,480,0.619,0.744,0.734,-1.503,-1.528
Person_159,-3.854,0.179,0.197,65,480,0.135,1.212,1.288,1.232,1.609
Person_160,-0.943,0.133,0.13,208,480,0.433,0.965,1.091,-0.216,0.658
Person_161,0.096,0.151,0.132,261,480,0.544,0.773,0.939,-1.487,-0.291
Person_162,-0.764,0.135,0.134,218,480,0.454,0.987,1.044,-0.053,0.341
Person_163,1.05,0.168,0.147,298,480,0.621,0.766,0.755,-1.361,-1.39
Person_164,1.107,0.169,0.15,300,480,0.625,0.79,0.806,-1.206,-1.069
Person_165,-0.186,0.144,0.144,248,480,0.517,1.001,1.082,0.058,0.523
Person_166,0.826,0.166,0.149,290,480,0.604,0.813,0.79,-1.052,-1.151
Person_167,1.107,0.169,0.158,300,480,0.625,0.877,0.895,-0.657,-0.53
Person_168,-3.102,0.156,0.172,92,480,0.192,1.21,1.253,1.275,1.473
Person_169,-0.618,0.137,0.125,226,480,0.471,0.839,0.851,-1.186,-0.957
Person_170,-0.349,0.141,0.161,240,480,0.5,1.31,1.297,1.994,1.702
Person_171,-0.08,0.147,0.163,253,480,0.527,1.244,1.293,1.527,1.6
Person_172,-0.58,0.137,0.136,228,480,0.475,0.976,0.952,-0.125,-0.258
Person_173,-0.309,0.142,0.15,242,480,0.504,1.123,1.122,0.86,0.759
Person_174,1.794,0.167,0.156,324,480,0.675,0.872,0.868,-0.784,-0.767
Person_175,0.798,0.165,0.171,289,480,0.602,1.075,1.034,0.468,0.24
Person_176,0.481,0.159,0.187,277,480,0.577,1.38,1.415,2.022,2.051
Person_177,1.05,0.168,0.184,298,480,0.621,1.191,1.179,1.061,0.976
Person_178,-1.237,0.131,0.149,191,480,0.398,1.293,1.272,2.079,1.843
Person_179,0.283,0.155,0.136,269,480,0.56,0.771,0.777,-1.439,-1.267
Person_180,-0.978,0.132,0.156,206,480,0.429,1.388,1.344,2.634,2.209
Person_181,-1.509,0.131,0.152,175,480,0.365,1.348,1.348,2.44,2.312
Person_182,-0.059,0.147,0.14,254,480,0.529,0.9,0.832,-0.619,-0.963
Person_183,-0.123,0.146,0.147,251,480,0.523,1.023,1.035,0.203,0.26
Person_184,-0.368,0.141,0.132,239,480,0.498,0.877,0.83,-0.842,-1.046
Person_185,-0.408,0.14,0.132,237,480,0.494,0.887,0.798,-0.773,-1.277
Person_186,0.663,0.163,0.163,284,480,0.592,0.999,0.976,0.053,-0.069
Person_187,3.011,0.16,0.126,370,480,0.771,0.616,0.644,-3.414,-2.989
Person_188,-0.96,0.133,0.126,207,480,0.431,0.895,0.861,-0.765,-0.961
Person_189,0.637,0.162,0.158,283,480,0.59,0.951,0.952,-0.223,-0.2
Person_190,1.653,0.168,0.172,319,480,0.665,1.038,1.022,0.281,0.184
Person_191,-0.636,0.136,0.129,225,480,0.469,0.895,0.823,-0.741,-1.173
Person_192,-1.714,0.131,0.122,163,480,0.34,0.868,0.84,-1.011,-1.159
Person_193,0.532,0.16,0.14,279,480,0.581,0.765,0.801,-1.414,-1.093
Person_194,-0.349,0.141,0.123,240,480,0.5,0.757,0.722,-1.787,-1.818
Person_195,1.794,0.167,0.165,324,480,0.675,0.973,0.931,-0.118,-0.366
Person_196,0.007,0.149,0.141,257,480,0.535,0.907,0.853,-0.558,-0.818
Person_197,0.307,0.155,0.149,270,480,0.562,0.92,0.919,-0.435,-0.396
Person_198,1.481,0.169,0.189,313,480,0.652,1.244,1.196,1.387,1.101
Person_199,-1.834,0.132,0.126,156,480,0.325,0.915,0.903,-0.622,-0.656
Person_200,-1.509,0.131,0.136,175,480,0.365,1.084,1.133,0.669,0.968
